coin,T1_count,T2_count,both_count,frac_T2_also_T1,frac_T1_also_T2,T1_and_T2_independent_frac
BTC,2,50,2,0.04,1.0,0.00315955766192733
ETH,8,87,8,0.09195402298850575,1.0,0.01263823064770932
HYPE,0,37,0,0.0,,0.0
SOL,4,47,2,0.0425531914893617,0.5,0.0031746031746031746
PUMP,0,3,0,0.0,,0.0
ZEC,0,1,0,0.0,,0.0
XRP,3,95,2,0.021052631578947368,0.6666666666666666,0.0034662045060658577
LIT,0,5,0,0.0,,0.0
DOGE,3,75,1,0.013333333333333334,0.3333333333333333,0.0016260162601626016
CRV,4,58,3,0.05172413793103448,0.75,0.005050505050505051
AAVE,5,71,4,0.056338028169014086,0.8,0.0071174377224199285
XMR,1,1,0,0.0,0.0,0.0
