ts,o,h,l,c,v
1719792000000,62749.5,63845.0,62464.4,62860.1,88928.106
1719878400000,62860.1,63259.0,61779.6,62092.6,69452.838
1719964800000,62092.6,62250.0,59350.2,60184.8,132930.045
1720051200000,60184.8,60464.6,56687.5,57034.6,197056.627
1720137600000,57034.6,57523.4,53314.3,56602.8,240355.557
1720224000000,56602.8,58489.6,56002.0,58204.1,75155.695
1720310400000,58204.1,58420.0,55710.0,55840.0,98532.507
1720396800000,55840.0,58195.4,54228.3,56696.5,206890.576
1720483200000,56696.5,58315.7,56257.0,58029.9,119422.257
1720569600000,58029.9,59471.4,57127.0,57713.8,114198.732
1720656000000,57713.8,59661.5,57016.1,57312.1,131008.25
1720742400000,57312.1,58514.2,56513.3,57860.9,107764.152
1720828800000,57860.9,59869.9,57711.2,59181.8,64548.245
1720915200000,59181.8,61387.9,59170.3,60755.8,96422.363
1721001600000,60755.8,64900.0,60601.9,64696.1,160992.866
1721088000000,64696.1,65365.0,62350.3,65027.0,172009.771
1721174400000,65027.0,66119.2,63800.0,64048.6,121109.072
1721260800000,64048.6,65132.9,63200.0,63966.8,95790.592
1721347200000,63966.8,67368.4,63281.0,66631.9,141906.542
1721433600000,66631.9,67599.9,66202.0,67103.2,57216.059
1721520000000,67103.2,68371.7,65738.0,68150.0,102208.243
1721606400000,68150.0,68467.9,66543.0,67493.6,94044.527
1721692800000,67493.6,67719.8,65371.6,65922.1,130161.566
1721779200000,65922.1,67105.2,64903.0,65364.6,99290.969
1721865600000,65364.6,66205.8,63378.5,65767.6,148585.813
1721952000000,65767.6,68212.6,65695.0,67881.2,110878.882
1722038400000,67881.2,69400.0,66608.3,67902.0,164973.501
1722124800000,67902.0,68337.9,67026.9,68240.9,57209.896
1722211200000,68240.9,70136.9,66360.9,66757.7,170668.757
1722297600000,66757.7,66958.9,65265.0,66170.0,116692.506
1722384000000,66170.0,66832.0,64502.4,64615.9,114141.657
1722470400000,64615.9,65634.3,62217.7,65341.1,176298.517
1722556800000,65341.1,65576.4,61171.5,61459.0,195870.336
1722643200000,61459.0,62154.0,59822.0,60682.0,131379.655
1722729600000,60682.0,61088.0,57150.0,58131.6,160008.509
1722816000000,58131.6,58278.3,48914.1,53988.2,563087.729
1722902400000,53988.2,57056.1,53917.3,55989.8,208496.835
1722988800000,55989.8,57762.5,54517.7,55109.5,174213.427
1723075200000,55109.5,62743.1,54705.0,61670.2,223316.503
1723161600000,61670.2,61733.0,59488.0,60814.9,139235.433
1723248000000,60814.9,61459.9,60223.0,60893.7,50607.723
1723334400000,60893.7,61880.0,58264.0,58703.4,100013.914
1723420800000,58703.4,60691.5,57555.0,59316.1,197646.862
1723507200000,59316.1,61576.7,58380.0,60558.8,136710.133
1723593600000,60558.8,61950.3,58399.1,58647.7,146970.627
1723680000000,58647.7,59833.7,56052.1,57515.9,185055.183
1723766400000,57515.9,59800.1,57071.7,58850.0,136354.711
1723852800000,58850.0,59698.8,58765.0,59475.1,39023.108
1723939200000,59475.1,60288.5,58400.0,58406.4,71746.256
1724025600000,58406.4,59600.0,57753.1,59403.9,107202.581
1724112000000,59403.9,61455.8,58400.0,58978.0,161097.025
1724198400000,58978.0,61835.0,58728.4,61120.6,145061.264
1724284800000,61120.6,61386.2,59623.9,60355.3,103268.447
1724371200000,60355.3,65041.9,60316.1,64005.0,180897.088
1724457600000,64005.0,64485.0,63520.0,64130.3,56009.29
1724544000000,64130.3,64992.6,63750.0,64180.9,51677.069
1724630400000,64180.9,64447.6,62777.0,62812.0,97247.397
1724716800000,62812.0,63203.2,57869.5,59366.7,182835.455
1724803200000,59366.7,60244.9,57800.0,59013.1,169427.518
1724889600000,59013.1,61148.7,58618.2,59315.8,126521.607
1724976000000,59315.8,59922.0,57665.7,59100.9,133153.001
1725062400000,59100.9,59437.7,58705.9,58944.4,33660.194
1725148800000,58944.4,59053.1,56913.4,57266.1,111534.306
1725235200000,57266.1,59423.1,57072.2,59116.7,100806.177
1725321600000,59116.7,59805.0,57356.7,57450.2,107037.806
1725408000000,57450.2,58499.8,55501.0,57937.8,160129.965
1725494400000,57937.8,58300.0,55509.8,56150.5,149545.456
1725580800000,56150.5,56997.6,52500.2,53934.0,257720.54
1725667200000,53934.0,54827.5,53733.0,54139.5,63626.741
1725753600000,54139.5,55300.0,53607.5,54850.0,80683.769
1725840000000,54850.0,58150.2,54560.3,57014.5,151982.606
1725926400000,57014.5,58039.7,56350.0,57620.3,118463.481
1726012800000,57620.3,57977.4,55530.1,57310.4,186525.083
1726099200000,57310.4,58580.9,57298.5,58104.8,130449.328
1726185600000,58104.8,60624.2,57579.0,60466.3,130451.728
1726272000000,60466.3,60584.2,59357.7,59968.0,51140.924
1726358400000,59968.0,60392.8,58652.1,59101.2,62762.687
1726444800000,59101.2,59182.0,57450.0,58185.0,123938.27
1726531200000,58185.0,61330.0,57568.0,60275.1,163500.533
1726617600000,60275.1,61776.9,59126.2,61743.7,171635.552
