ts,o,h,l,c,v
1667260800000,20480.0,20689.0,20318.0,20472.5,84949.959
1667347200000,20472.5,20789.0,20051.5,20143.5,181631.672
1667433600000,20143.5,20382.0,20013.5,20199.5,96388.681
1667520000000,20199.5,21293.5,20175.0,21132.0,220464.945
1667606400000,21132.0,21470.0,21068.0,21290.5,82840.951
1667692800000,21290.5,21345.0,20874.5,20904.0,76315.126
1667779200000,20904.0,21062.5,20365.0,20582.5,150294.233
1667865600000,20582.5,20672.0,16800.0,18537.0,699512.438
1667952000000,18537.0,18578.0,15460.5,15891.5,558721.094
1668038400000,15891.5,18191.0,15697.5,17594.0,399524.126
1668124800000,17594.0,17673.5,16310.0,17052.0,272649.351
1668211200000,17052.0,17103.5,16624.5,16804.0,83551.459
1668297600000,16804.0,16943.5,16222.0,16330.5,95510.435
1668384000000,16330.5,17213.0,15802.5,16607.5,276275.735
1668470400000,16607.5,17160.0,16515.5,16878.0,181155.602
1668556800000,16878.0,17011.0,16367.0,16643.0,140983.363
1668643200000,16643.0,16739.5,16400.0,16688.5,102872.23
1668729600000,16688.5,16997.0,16541.5,16700.0,104046.598
1668816000000,16700.0,16799.0,16551.0,16688.0,43365.1
1668902400000,16688.0,16739.5,16180.0,16273.5,93939.768
1668988800000,16273.5,16789.0,15440.0,15765.5,227818.724
1669075200000,15765.5,16300.0,15620.0,16218.5,161518.212
1669161600000,16218.5,16710.5,16154.5,16589.0,155912.474
1669248000000,16589.0,16810.0,16450.0,16594.5,95732.129
1669334400000,16594.5,16646.0,16339.0,16510.5,79584.532
1669420800000,16510.5,16685.0,16376.5,16449.0,63440.9
1669507200000,16449.0,16588.5,16401.0,16426.0,45324.673
1669593600000,16426.0,16477.0,15985.0,16206.0,155591.767
1669680000000,16206.0,16547.0,16096.5,16427.0,118283.979
1669766400000,16427.0,17270.0,16418.0,17146.5,179218.274
1669852800000,17146.5,17390.0,16850.0,16972.5,115491.538
1669939200000,16972.5,17100.0,16769.0,17083.5,99441.59
1670025600000,17083.5,17150.0,16855.0,16881.0,55577.335
1670112000000,16881.0,17195.0,16880.5,17096.0,76561.758
1670198400000,17096.0,17425.5,16867.0,16966.0,139606.62
1670284800000,16966.0,17116.5,16903.5,17081.5,80065.833
1670371200000,17081.5,17135.0,16666.5,16823.0,86069.542
1670457600000,16823.0,17286.0,16702.5,17209.5,112023.483
1670544000000,17209.5,17348.0,17045.0,17116.0,77124.718
1670630400000,17116.0,17219.5,17086.0,17121.0,32090.751
1670716800000,17121.0,17261.5,17060.0,17078.0,37999.728
1670803200000,17078.0,17234.5,16870.0,17194.0,98693.27
1670889600000,17194.0,18000.0,17060.0,17764.5,189951.138
1670976000000,17764.5,18379.0,17514.0,17790.0,214192.682
1671062400000,17790.0,17830.5,17262.0,17353.5,126228.838
1671148800000,17353.5,17530.0,16532.5,16634.0,198399.798
1671235200000,16634.0,16792.5,16574.5,16770.5,61679.368
1671321600000,16770.5,16900.0,16656.0,16729.5,52565.046
1671408000000,16729.5,16805.0,16203.0,16432.5,106830.579
1671494400000,16432.5,17054.0,16388.0,16890.0,142816.376
1671580800000,16890.0,16918.5,16710.0,16822.0,66481.455
1671667200000,16822.0,16890.0,16560.5,16832.5,89747.342
1671753600000,16832.5,16990.0,16705.0,16785.0,71752.974
1671840000000,16785.0,16859.0,16785.0,16828.5,18763.85
1671926400000,16828.5,16853.5,16713.5,16825.0,36886.58
1672012800000,16825.0,16937.5,16783.0,16911.0,38688.925
1672099200000,16911.0,16961.0,16587.0,16709.0,75010.438
1672185600000,16709.0,16778.0,16469.5,16546.5,100333.293
1672272000000,16546.5,16665.0,16490.0,16642.0,60469.75
1672358400000,16642.0,16725.0,16353.0,16620.5,88014.6
1672444800000,16620.5,16650.5,16480.5,16549.5,39283.915
1672531200000,16549.5,16631.0,16511.0,16622.5,24943.016
1672617600000,16622.5,16799.0,16552.0,16668.0,64844.907
1672704000000,16668.0,16774.0,16605.0,16670.0,65314.938
1672790400000,16670.0,16988.0,16652.0,16847.5,107056.584
1672876800000,16847.5,16873.5,16747.0,16826.0,49374.574
1672963200000,16826.0,17031.5,16675.0,16940.0,95139.388
1673049600000,16940.0,16974.0,16904.0,16938.0,18890.73
1673136000000,16938.0,17190.0,16907.0,17119.5,48890.622
1673222400000,17119.5,17385.0,17094.0,17173.5,108098.728
1673308800000,17173.5,17480.5,17138.5,17430.5,85649.811
1673395200000,17430.5,18031.0,17309.5,17929.0,111579.23
1673481600000,17929.0,19133.5,17896.0,18820.0,296184.86
1673568000000,18820.0,20013.5,18692.0,19909.0,235525.164
1673654400000,19909.0,21550.0,19869.5,20952.5,326866.984
1673740800000,20952.5,21066.0,20555.0,20878.0,118541.184
1673827200000,20878.0,21488.0,20600.0,21179.0,207040.534
1673913600000,21179.0,21626.5,20824.5,21118.0,161002.365
1674000000000,21118.0,21673.0,20385.0,20674.0,274076.351
1674086400000,20674.0,21173.5,20645.0,21058.5,120207.752
1674172800000,21058.5,22780.0,20853.0,22656.5,224304.43
1674259200000,22656.5,23381.0,22413.0,22781.5,228138.206
1674345600000,22781.5,23083.0,22277.0,22703.5,138759.901
1674432000000,22703.5,23187.0,22459.5,22908.5,167008.427
1674518400000,22908.5,23165.5,22451.0,22631.0,149058.582
1674604800000,22631.0,23875.0,22319.0,23056.5,217704.47
1674691200000,23056.5,23289.5,22850.5,23005.5,118456.82
1674777600000,23005.5,23515.5,22523.0,23066.0,156010.669
1674864000000,23066.0,23193.0,22874.0,23022.0,44468.238
1674950400000,23022.0,23966.0,22962.0,23737.5,153694.093
1675036800000,23737.5,23799.5,22480.5,22830.5,177328.745
1675123200000,22830.5,23375.0,22723.0,23130.0,117969.48
1675209600000,23130.0,23866.0,22755.0,23729.5,167442.623
1675296000000,23729.5,24280.0,23360.0,23495.5,183609.406
1675382400000,23495.5,23723.0,23203.0,23433.5,118629.253
1675468800000,23433.5,23587.5,23260.5,23323.5,47655.117
1675555200000,23323.5,23434.5,22760.0,22934.0,96929.849
1675641600000,22934.0,23165.0,22612.5,22763.5,102631.632
1675728000000,22763.5,23363.0,22749.5,23244.5,123637.716
1675814400000,23244.5,23462.5,22669.0,22959.0,103272.766
1675900800000,22959.0,23011.0,21698.0,21802.0,205064.908
1675987200000,21802.0,21939.5,21431.1,21624.2,126276.354
1676073600000,21624.2,21890.0,21602.5,21847.1,52099.136
1676160000000,21847.1,22079.0,21625.3,21776.9,78110.435
1676246400000,21776.9,21887.0,21327.5,21768.0,129526.994
1676332800000,21768.0,22310.7,21514.2,22184.1,178668.135
1676419200000,22184.1,24428.9,22032.0,24330.3,250860.078
1676505600000,24330.3,25296.1,23505.0,23515.5,286770.916
1676592000000,23515.5,25043.9,23340.0,24578.0,285178.286
1676678400000,24578.0,24886.6,24427.4,24637.9,80547.124
1676764800000,24637.9,25197.5,24168.8,24266.9,157719.502
1676851200000,24266.9,25149.6,23816.7,24853.5,182022.465
1676937600000,24853.5,25295.0,24152.0,24455.5,207542.391
1677024000000,24455.5,24476.0,23570.3,24180.2,205335.381
1677110400000,24180.2,24602.9,23590.5,23936.4,205216.569
1677196800000,23936.4,24130.0,22800.0,23185.1,197117.907
1677283200000,23185.1,23212.8,22712.3,23154.8,81103.536
1677369600000,23154.8,23685.7,23060.1,23548.3,104193.601
1677456000000,23548.3,23889.0,23083.8,23484.1,158482.927
1677542400000,23484.1,23592.9,23010.0,23129.9,120864.711
1677628800000,23129.9,24028.4,23015.0,23630.0,174329.331
1677715200000,23630.0,23788.2,23186.4,23462.5,108167.574
1677801600000,23462.5,23469.9,21905.0,22345.8,190990.043
1677888000000,22345.8,22394.8,22152.0,22336.6,45459.139
1677974400000,22336.6,22672.9,22173.0,22419.0,72836.932
1678060800000,22419.0,22594.7,22234.4,22398.5,75489.874
1678147200000,22398.5,22541.2,21919.0,22188.9,153476.577
1678233600000,22188.9,22280.0,21559.0,21702.0,159996.985
1678320000000,21702.0,21837.5,20016.0,20355.6,292958.451
1678406400000,20355.6,20358.1,19535.0,20141.4,359581.663
1678492800000,20141.4,20671.2,19760.0,20450.1,189705.16
1678579200000,20450.1,22139.0,20260.9,21978.9,244700.456
1678665600000,21978.9,24560.0,21804.0,24112.2,414361.488
1678752000000,24112.2,26500.0,23966.0,24684.7,476325.135
1678838400000,24684.7,25211.0,23868.1,24284.9,306935.436
1678924800000,24284.9,25175.0,24123.2,24989.2,201971.596
1679011200000,24989.2,27766.0,24878.6,27382.2,407579.872
1679097600000,27382.2,27720.0,26555.0,26898.2,198268.054
1679184000000,26898.2,28417.1,26816.2,27962.1,215409.683
1679270400000,27962.1,28480.0,27123.0,27703.6,251285.843
1679356800000,27703.6,28471.0,27292.2,28090.0,189724.09
1679443200000,28090.0,28897.0,26583.4,27233.8,319885.014
1679529600000,27233.8,28780.0,27103.5,28278.0,238795.344
1679616000000,28278.0,28353.2,26956.0,27437.2,198482.434
1679702400000,27437.2,27787.5,27132.0,27444.9,98602.968
1679788800000,27444.9,28196.7,27402.4,27951.6,107214.999
1679875200000,27951.6,28010.0,26474.3,27108.3,184006.017
1679961600000,27108.3,27497.0,26611.0,27243.5,165746.782
1680048000000,27243.5,28644.5,27220.0,28330.0,194113.38
1680134400000,28330.0,29197.2,27650.0,28008.1,235499.793
1680220800000,28008.1,28675.1,27486.6,28452.1,178252.438
1680307200000,28452.1,28838.6,28182.5,28435.1,75890.103
1680393600000,28435.1,28525.0,27822.8,28155.9,95661.658
1680480000000,28155.9,28550.0,27175.0,27788.7,203626.196
