ts,o,h,l,c,v
1719792000000,62749.5,63845.0,53314.3,55840.0,902411.375
1720396800000,55840.0,61387.9,54228.3,60755.8,840254.575
1721001600000,60755.8,68371.7,60601.9,68150.0,851233.145
1721606400000,68150.0,69400.0,63378.5,68240.9,805145.154
1722211200000,68240.9,70136.9,57150.0,58131.6,1065059.937
1722816000000,58131.6,62743.1,48914.1,58703.4,1458971.564
1723420800000,58703.4,61950.3,56052.1,58406.4,913506.88
1724025600000,58406.4,65041.9,57753.1,64180.9,805212.764
1724630400000,64180.9,64447.6,56913.4,57266.1,854379.478
1725235200000,57266.1,59805.0,52500.2,54850.0,919550.454
1725840000000,54850.0,60624.2,54560.3,59101.2,831775.837
1726444800000,59101.2,64131.7,57450.0,63549.9,834980.52
1727049600000,63549.9,66520.0,62537.1,65571.7,681984.976
1727654400000,65571.7,65604.8,59840.2,62792.9,957142.326
1728259200000,62792.9,64464.0,58900.0,62838.7,799770.391
1728864000000,62838.7,69428.0,62422.5,69034.0,878551.986
1729468800000,69034.0,69555.0,65240.2,68001.1,788608.337
1730073600000,68001.1,73681.8,67456.1,68743.6,949272.994
1730678400000,68743.6,81700.0,66808.0,80428.5,1135714.367
1731283200000,80428.5,93400.0,80267.8,89900.0,1394912.572
1731888000000,89900.0,99690.0,89424.0,98027.7,949799.962
1732492800000,98027.7,98979.9,90835.5,97265.4,744087.224
1733097600000,97265.4,104698.8,90530.0,101186.8,891994.76
1733702400000,101186.8,105338.2,93888.0,104515.6,777956.13
1734307200000,104515.6,108421.6,92230.0,95144.7,960397.551
1734912000000,95144.7,99950.0,92465.8,93699.0,590416.623
1735516800000,93699.0,98950.0,91463.7,98340.5,500701.194
1736121600000,98340.5,102702.1,91151.0,94510.0,751619.532
1736726400000,94510.0,106476.5,89100.0,101310.7,817591.372
1737331200000,101310.7,109951.7,99500.1,102553.7,931690.728
1737936000000,102553.7,106421.1,95994.3,97645.7,672422.572
1738540800000,97645.7,102457.8,91166.6,96428.6,764183.632
1739145600000,96428.6,98821.0,94001.2,96060.1,477856.444
1739750400000,96060.1,99454.2,93318.1,96262.6,441921.384
1740355200000,96262.6,96536.3,78210.5,94259.7,1069277.603
1740960000000,94259.7,94414.2,79913.4,80692.3,1046074.335
1741564800000,80692.3,85299.9,76545.0,82528.5,860695.353
1742169600000,82528.5,87400.0,81093.6,86037.8,522684.489
1742774400000,86037.8,88740.0,81510.0,82347.9,602122.105
1743379200000,82347.9,88560.1,77083.5,78376.1,869912.375
1743984000000,78376.1,86099.0,74456.2,83716.8,1142993.485
1744588800000,83716.8,86444.0,83055.0,85145.5,468280.728
1745193600000,85145.5,95724.5,85106.1,93700.0,642868.874
1745798400000,93700.0,97868.0,92750.0,94224.1,513397.624
1746403200000,94224.1,104986.7,93333.5,104080.0,609949.004
1747008000000,104080.0,106650.0,100688.0,106428.1,565840.84
1747612800000,106428.1,111968.0,102000.0,108976.2,890171.114
1748217600000,108976.2,110700.0,103036.8,105614.4,602729.987
1748822400000,105614.4,106773.7,100350.0,105670.8,547447.499
1749427200000,105670.8,110660.8,102626.9,105547.8,561649.946
1750032000000,105547.8,108955.5,98125.0,100904.3,668855.614
1750636800000,100904.3,108507.0,99581.0,108314.8,495566.49
1751241600000,108314.8,110485.7,105058.6,109160.5,422360.843
1751846400000,109160.5,119474.9,107369.7,119050.2,482113.04
1752451200000,119050.2,123250.0,115750.0,117290.4,611360.966
1753056000000,117290.4,120321.0,114710.0,119429.9,496641.623
1753660800000,119429.9,119844.9,111870.0,114147.1,468691.95
1754265600000,114147.1,119433.6,112577.7,119271.8,396505.819
1754870400000,119271.8,124571.2,116719.3,117355.6,571258.373
1755475200000,117355.6,117509.6,110551.0,113474.8,505436.939
1756080000000,113474.8,113649.9,107300.0,108200.0,472114.219
1756684800000,108200.0,113369.4,107202.0,111086.7,456743.207
1757289600000,111086.7,116600.0,110555.3,115214.4,423203.096
1757894400000,115214.4,117884.0,114316.3,115173.4,368388.312
1758499200000,115173.4,115340.2,108550.0,112133.5,438417.875
1759104000000,112133.5,125849.7,111487.2,123447.9,549406.382
1759708800000,123447.9,126150.0,101045.9,114908.5,838700.95
1760313600000,114908.5,115950.6,103437.4,108597.3,627665.538
1760918400000,108597.3,115583.0,106588.0,114498.3,579088.521
1761523200000,114498.3,116373.3,106225.0,110493.5,523729.678
1762128000000,110493.5,110721.3,98888.1,104665.0,587351.116
1762732800000,104665.0,107481.0,92920.1,94215.9,589287.28
1763337600000,94215.9,96046.2,80607.9,86802.8,830002.215
1763942400000,86802.8,93081.0,85211.1,90308.6,473736.201
1764547200000,90308.6,94189.4,83755.3,90335.4,615959.81
1765152000000,90335.4,94550.0,87521.9,88116.0,457994.192
1765756800000,88116.0,90341.0,84408.1,88629.0,558835.699
1766361600000,88629.0,90588.8,86363.3,87909.9,325261.305
1766966400000,87909.9,91775.6,86753.0,91490.7,350036.446
1767571200000,91490.7,94749.9,89262.0,90962.6,416843.486
1768176000000,90962.6,97963.2,90068.0,93624.6,415996.131
1768780800000,93624.6,93624.6,86031.4,86625.6,433559.388
1769385600000,86625.6,90597.0,75663.2,76938.5,634385.895
1769990400000,76938.5,79388.0,59888.0,70289.8,1069743.752
1770595200000,70289.8,71418.4,65065.0,68800.0,571944.229
1771200000000,68800.0,70099.1,65573.5,67610.5,427012.858
