ts,o,h,l,c,v
1719792000000,62749.5,63728.2,62556.3,63611.8,15378.751
1719799200000,63611.8,63790.0,63258.1,63398.2,7923.626
1719806400000,63398.2,63435.3,63165.0,63390.5,3458.474
1719813600000,63390.5,63470.0,63201.3,63233.7,4070.441
1719820800000,63233.7,63277.1,62750.0,62910.8,7376.378
1719828000000,62910.8,62950.0,62560.3,62637.7,4285.964
1719835200000,62637.7,63046.9,62464.4,62650.1,9458.939
1719842400000,62650.1,63133.0,62562.2,63108.3,9386.761
1719849600000,63108.3,63672.6,62931.6,63671.3,9834.087
1719856800000,63671.3,63845.0,63034.8,63186.4,9683.324
1719864000000,63186.4,63390.0,62966.0,63085.0,3677.207
1719871200000,63085.0,63124.6,62771.3,62860.1,4394.154
1719878400000,62860.1,62950.3,62738.1,62896.2,2562.154
1719885600000,62896.2,63259.0,62889.9,63093.7,2550.61
1719892800000,63093.7,63209.8,62965.0,62994.2,1738.717
1719900000000,62994.2,63020.1,62550.1,62590.9,5612.161
1719907200000,62590.9,62759.5,62401.3,62628.8,5951.682
1719914400000,62628.8,62838.0,62467.8,62803.0,4486.884
1719921600000,62803.0,63139.2,62460.0,62595.0,9291.442
1719928800000,62595.0,62692.0,61801.9,61911.7,18684.324
1719936000000,61911.7,62135.7,61779.6,62135.7,5348.288
1719943200000,62135.7,62354.8,61854.8,61923.6,6986.694
1719950400000,61923.6,62080.8,61854.7,61910.0,3966.259
1719957600000,61910.0,62158.6,61910.0,62092.6,2273.623
1719964800000,62092.6,62250.0,61262.0,61598.2,9283.565
1719972000000,61598.2,61598.3,60555.1,60967.7,15530.293
1719979200000,60967.7,61093.7,60777.8,61087.7,5925.329
1719986400000,61087.7,61169.8,60818.3,60842.3,5028.118
1719993600000,60842.3,60956.1,60277.9,60580.1,13301.417
1720000800000,60580.1,60590.0,59500.2,60352.4,23655.2
1720008000000,60352.4,60614.2,59722.0,60565.8,15435.532
1720015200000,60565.8,60732.1,59928.0,60140.6,12610.308
1720022400000,60140.6,60637.4,60054.0,60337.6,7124.374
1720029600000,60337.6,60423.5,59611.2,59624.6,9642.769
1720036800000,59624.6,60331.1,59350.2,60221.5,11769.545
1720044000000,60221.5,60360.3,60097.5,60184.8,3623.595
1720051200000,60184.8,60464.6,58400.0,58545.8,23050.4
1720058400000,58545.8,59112.7,57770.2,59072.9,18552.002
1720065600000,59072.9,59117.1,58689.9,58864.4,5127.514
1720072800000,58864.4,59067.8,58059.5,58198.1,14521.133
1720080000000,58198.1,58458.0,56930.0,57715.1,33930.588
1720087200000,57715.1,58099.0,57410.1,57744.3,11407.355
1720094400000,57744.3,57744.3,56687.5,57389.3,28078.107
1720101600000,57389.3,58332.6,56800.0,58110.0,20031.008
1720108800000,58110.0,58376.8,57730.0,58223.6,10922.275
1720116000000,58223.6,58691.8,57903.9,58250.0,8746.796
1720123200000,58250.0,58624.9,58100.0,58472.6,4741.676
1720130400000,58472.6,58820.7,56815.0,57034.6,17947.773
1720137600000,57034.6,57523.4,56650.0,57143.4,21793.657
1720144800000,57143.4,57219.8,54926.1,55214.1,47255.778
1720152000000,55214.1,55350.0,53314.3,54792.6,41810.945
1720159200000,54792.6,54797.1,53859.7,54386.6,18011.196
1720166400000,54386.6,54716.1,53861.2,54511.5,13072.845
1720173600000,54511.5,55653.7,54381.6,55458.4,19088.522
1720180800000,55458.4,56018.0,54810.0,55808.6,24143.542
1720188000000,55808.6,56656.4,55310.9,56630.0,18206.443
1720195200000,56630.0,57035.1,56121.6,56431.1,16072.088
1720202400000,56431.1,56734.7,55782.6,56430.3,13221.532
1720209600000,56430.3,56779.8,56280.8,56485.5,3876.24
1720216800000,56485.5,56843.6,56370.0,56602.8,3802.769
1720224000000,56602.8,56977.8,56170.9,56188.6,8592.091
1720231200000,56188.6,56500.0,56141.8,56386.0,3367.562
1720238400000,56386.0,56473.7,56002.0,56341.6,5966.484
1720245600000,56341.6,56660.5,56322.9,56574.9,3728.339
1720252800000,56574.9,56747.5,56410.0,56739.2,2614.104
1720260000000,56739.2,56875.5,56615.1,56711.6,3136.569
1720267200000,56711.6,57299.9,56480.7,56972.8,6675.358
1720274400000,56972.8,57432.3,56689.4,57294.8,9374.309
1720281600000,57294.8,58079.9,57153.5,57932.0,14345.113
1720288800000,57932.0,58000.0,57691.1,57829.9,3510.611
1720296000000,57829.9,58270.0,57782.2,57841.0,6539.047
1720303200000,57841.0,58489.6,57840.1,58204.1,7306.108
1720310400000,58204.1,58293.9,57803.6,58085.7,5049.652
1720317600000,58085.7,58420.0,57828.4,57935.4,6821.078
1720324800000,57935.4,57992.2,57415.0,57628.4,8678.548
1720332000000,57628.4,57770.0,57057.0,57362.4,8436.432
1720339200000,57362.4,57732.0,57362.4,57718.0,5097.421
1720346400000,57718.0,57897.0,57318.2,57428.0,7741.198
1720353600000,57428.0,57595.2,56752.5,56854.1,11267.054
1720360800000,56854.1,57049.5,56520.6,56795.9,9950.492
1720368000000,56795.9,57266.3,56718.6,57210.0,6335.484
1720375200000,57210.0,57376.5,56993.6,57128.2,5512.48
1720382400000,57128.2,57303.0,56150.0,56558.6,10782.506
1720389600000,56558.6,56764.9,55710.0,55840.0,12860.162
1720396800000,55840.0,56002.2,54228.3,54927.6,29997.072
1720404000000,54927.6,55474.2,54568.1,55130.8,13995.56
1720411200000,55130.8,55700.0,54936.0,55460.0,8294.249
1720418400000,55460.0,55893.3,55171.2,55833.8,8321.899
1720425600000,55833.8,58195.4,55716.4,57508.0,37870.649
1720432800000,57508.0,57700.3,56675.4,57135.3,15311.122
1720440000000,57135.3,57635.9,56775.5,57217.4,15001.963
1720447200000,57217.4,57279.7,54856.0,55723.9,43833.763
1720454400000,55723.9,56340.0,55379.2,56255.7,13571.504
1720461600000,56255.7,56555.9,56110.0,56456.0,7317.986
1720468800000,56456.0,56933.4,56163.3,56633.1,7997.876
1720476000000,56633.1,56954.4,56532.0,56696.5,5376.933
1720483200000,56696.5,57274.6,56257.0,56539.1,10853.724
1720490400000,56539.1,57340.0,56298.3,57143.4,8332.639
1720497600000,57143.4,57436.0,57076.2,57267.1,6638.263
1720504800000,57267.1,57744.2,56974.9,57100.0,9158.488
1720512000000,57100.0,57888.8,57005.0,57560.3,11213.646
1720519200000,57560.3,57641.9,57195.1,57409.2,6273.99
1720526400000,57409.2,57560.2,56900.0,57310.0,9174.64
1720533600000,57310.0,58153.3,56862.0,57450.1,29208.918
1720540800000,57450.1,57861.9,57337.0,57503.9,9126.134
1720548000000,57503.9,58315.7,57417.6,57841.7,10571.364
1720555200000,57841.7,58098.8,57682.1,57779.1,4650.365
1720562400000,57779.1,58235.7,57689.4,58029.9,4220.086
1720569600000,58029.9,58029.9,57309.1,57778.7,8095.795
1720576800000,57778.7,58188.0,57626.0,58167.6,3381.007
1720584000000,58167.6,59471.4,58164.0,58940.1,23421.511
1720591200000,58940.1,59289.6,58800.3,58936.6,6842.287
1720598400000,58936.6,59003.6,58375.0,58468.4,9644.752
1720605600000,58468.4,58710.9,58275.0,58477.1,8880.636
1720612800000,58477.1,58552.9,57457.9,57742.8,20629.052
1720620000000,57742.8,58013.2,57458.6,57675.1,10381.509
1720627200000,57675.1,57998.5,57416.1,57610.6,7148.644
1720634400000,57610.6,57768.0,57322.0,57376.5,5001.095
1720641600000,57376.5,57541.0,57127.0,57414.1,6224.274
1720648800000,57414.1,57859.8,57399.5,57713.8,4548.17
1720656000000,57713.8,58382.7,57343.8,58253.9,8431.046
1720663200000,58253.9,58349.6,57016.1,57536.9,9721.119
1720670400000,57536.9,58084.1,57461.6,57961.9,5115.797
1720677600000,57961.9,58288.0,57844.6,58169.0,5292.245
1720684800000,58169.0,58372.0,58030.9,58261.5,5299.472
1720692000000,58261.5,58880.1,58151.0,58735.8,10165.869
1720699200000,58735.8,59661.5,58201.1,58529.1,37315.742
1720706400000,58529.1,58640.0,57235.0,57382.1,23825.525
1720713600000,57382.1,57914.4,57162.0,57777.9,9947.065
1720720800000,57777.9,57974.1,57298.1,57361.2,6516.946
1720728000000,57361.2,57610.0,57180.7,57445.2,4311.586
1720735200000,57445.2,57528.9,57103.9,57312.1,5065.838
1720742400000,57312.1,57557.0,56513.3,56914.5,13789.916
1720749600000,56914.5,57400.0,56819.1,56884.6,7285.612
1720756800000,56884.6,57090.0,56680.8,57000.0,4366.724
1720764000000,57000.0,57390.0,56782.8,57065.2,7826.872
1720771200000,57065.2,57303.3,56843.4,56932.4,6705.125
1720778400000,56932.4,57244.8,56733.0,57180.0,6029.133
1720785600000,57180.0,57989.9,57063.0,57820.1,15406.978
1720792800000,57820.1,58250.0,57642.4,58189.4,12041.543
1720800000000,58189.4,58400.0,57891.1,58141.3,7436.756
1720807200000,58141.3,58514.2,57464.4,57541.9,14126.782
1720814400000,57541.9,57656.0,57118.0,57566.3,9344.415
1720821600000,57566.3,57883.9,57543.6,57860.9,3404.296
1720828800000,57860.9,57949.0,57724.4,57857.7,2352.346
1720836000000,57857.7,57949.6,57738.4,57785.8,1627.487
1720843200000,57785.8,58136.8,57711.2,58045.2,3341.757
1720850400000,58045.2,58198.8,57971.3,58146.7,2503.759
1720857600000,58146.7,58852.2,57885.0,58643.9,8233.174
1720864800000,58643.9,58738.1,58320.0,58515.2,5629.252
1720872000000,58515.2,58888.0,58408.0,58586.8,6342.789
1720879200000,58586.8,58856.0,58442.9,58812.6,4482.73
1720886400000,58812.6,58950.0,58530.6,58682.2,4764.516
1720893600000,58682.2,58775.0,58536.4,58585.1,1905.738
1720900800000,58585.1,58674.0,58531.9,58664.9,1431.49
1720908000000,58664.9,59869.9,58228.5,59181.8,21933.207
1720915200000,59181.8,59822.5,59170.3,59695.8,9351.125
1720922400000,59695.8,59740.0,59255.6,59445.8,4371.831
1720929600000,59445.8,60274.0,59400.2,60235.3,13478.568
1720936800000,60235.3,60298.8,59770.0,60027.9,6061.694
1720944000000,60027.9,60380.0,60027.8,60158.8,6219.386
1720951200000,60158.8,60206.9,59863.3,60070.0,4770.0
1720958400000,60070.0,60077.0,59542.8,59665.0,7298.325
1720965600000,59665.0,60217.2,59426.0,60061.9,9677.905
1720972800000,60061.9,60174.1,59864.6,59980.0,2808.302
1720980000000,59980.0,60050.6,59860.0,59886.1,1418.326
1720987200000,59886.1,61387.9,59850.0,61253.8,19944.135
1720994400000,61253.8,61360.1,60666.6,60755.8,11022.766
1721001600000,60755.8,61794.5,60601.9,61370.6,13101.224
1721008800000,61370.6,62788.8,61275.0,62612.9,21952.529
1721016000000,62612.9,62955.4,62382.5,62769.9,9818.366
1721023200000,62769.9,63088.4,62675.2,62814.2,8894.603
1721030400000,62814.2,63333.0,62522.2,62632.1,12683.022
1721037600000,62632.1,62800.0,62275.0,62438.2,7082.923
1721044800000,62438.2,62972.0,62427.3,62899.7,11696.861
1721052000000,62899.7,63295.9,62690.5,62983.6,12457.587
1721059200000,62983.6,63721.1,62820.0,63027.3,18007.416
1721066400000,63027.3,63777.0,62921.3,63300.1,14243.893
1721073600000,63300.1,63765.1,63204.4,63491.1,5892.449
1721080800000,63491.1,64900.0,63460.5,64696.1,25161.993
