ts,o,h,l,c,v
1719792000000,3436.4,3519.6,3430.48,3518.44,110188.97
1719799200000,3518.44,3523.57,3492.77,3496.54,51996.01
1719806400000,3496.54,3497.91,3482.6,3488.98,23038.51
1719813600000,3488.98,3492.47,3481.91,3488.74,20592.18
1719820800000,3488.74,3493.71,3471.62,3480.19,35211.48
1719828000000,3480.19,3481.87,3456.02,3458.2,32328.04
1719835200000,3458.2,3479.94,3450.0,3458.45,46554.3
1719842400000,3458.45,3477.0,3451.41,3473.14,30611.33
1719849600000,3473.14,3492.69,3460.55,3489.74,35223.87
1719856800000,3489.74,3498.32,3465.49,3469.54,45347.41
1719864000000,3469.54,3474.33,3450.85,3457.78,18840.97
1719871200000,3457.78,3459.77,3419.28,3440.0,56006.22
1719878400000,3440.0,3447.99,3431.64,3446.65,14914.16
1719885600000,3446.65,3462.96,3443.77,3455.53,12925.84
1719892800000,3455.53,3462.79,3451.05,3457.41,12865.65
1719900000000,3457.41,3457.98,3432.0,3437.14,25659.02
1719907200000,3437.14,3450.97,3430.4,3445.24,20082.45
1719914400000,3445.24,3453.98,3440.14,3452.13,18240.5
1719921600000,3452.13,3463.28,3427.62,3436.02,36735.9
1719928800000,3436.02,3440.97,3398.61,3414.63,96080.08
1719936000000,3414.63,3423.67,3407.05,3423.64,18977.86
1719943200000,3423.64,3432.43,3412.22,3414.53,25184.88
1719950400000,3414.53,3428.7,3411.49,3419.82,16061.0
1719957600000,3419.82,3427.83,3416.75,3419.95,20336.59
1719964800000,3419.95,3431.32,3380.05,3391.95,62820.46
1719972000000,3391.95,3393.28,3326.87,3358.97,112015.18
1719979200000,3358.97,3367.5,3350.55,3367.5,32694.08
1719986400000,3367.5,3372.0,3350.02,3350.38,26685.07
1719993600000,3350.38,3355.95,3329.64,3340.29,44942.77
1720000800000,3340.29,3341.33,3277.84,3305.45,148629.37
1720008000000,3305.45,3318.99,3271.19,3316.0,88675.88
1720015200000,3316.0,3324.5,3291.24,3302.33,58907.62
1720022400000,3302.33,3321.67,3288.85,3301.87,40462.83
1720029600000,3301.87,3309.64,3251.13,3264.45,109606.93
1720036800000,3264.45,3305.15,3246.36,3296.87,63598.5
1720044000000,3296.87,3303.6,3292.25,3294.29,19343.28
1720051200000,3294.29,3312.57,3200.06,3207.66,154444.9
1720058400000,3207.66,3243.43,3147.42,3241.71,120451.67
1720065600000,3241.71,3245.0,3221.01,3222.88,22467.72
1720072800000,3222.88,3225.2,3166.63,3180.23,97562.42
1720080000000,3180.23,3194.85,3122.47,3161.35,173394.49
1720087200000,3161.35,3179.0,3130.07,3158.21,74963.12
1720094400000,3158.21,3160.28,3084.95,3125.25,197219.45
1720101600000,3125.25,3147.6,3088.35,3137.29,118086.03
1720108800000,3137.29,3145.74,3111.4,3142.24,59511.53
1720116000000,3142.24,3151.65,3124.41,3131.99,51171.87
1720123200000,3131.99,3168.32,3126.25,3161.73,37926.06
1720130400000,3161.73,3168.92,3047.96,3058.64,133053.1
1720137600000,3058.64,3108.34,3037.77,3094.03,175814.65
1720144800000,3094.03,3094.71,2866.06,2920.11,479124.42
1720152000000,2920.11,2927.39,2802.87,2900.85,367232.26
1720159200000,2900.85,2901.39,2840.01,2881.26,147356.98
1720166400000,2881.26,2888.1,2820.88,2882.44,154660.8
1720173600000,2882.44,2956.61,2871.34,2946.8,160934.02
1720180800000,2946.8,2992.09,2921.0,2970.18,186537.69
1720188000000,2970.18,3005.94,2934.56,2990.05,120887.3
1720195200000,2990.05,3000.34,2959.4,2989.66,65123.71
1720202400000,2989.66,2995.14,2956.82,2986.27,65184.51
1720209600000,2986.27,2988.01,2961.06,2976.4,33177.26
