ts,o,h,l,c,v
1719792000000,3436.4,3438.4,3434.45,3434.72,896.37
1719792300000,3434.72,3437.88,3431.51,3431.69,1098.49
1719792600000,3431.69,3434.39,3430.48,3434.26,1386.48
1719792900000,3434.26,3438.37,3433.25,3437.04,1488.13
1719793200000,3437.04,3440.59,3436.43,3436.44,840.56
1719793500000,3436.44,3440.58,3435.54,3438.33,570.14
1719793800000,3438.33,3439.98,3435.96,3439.72,397.27
1719794100000,3439.72,3440.62,3436.02,3439.68,723.07
1719794400000,3439.68,3443.8,3439.68,3440.06,826.74
1719794700000,3440.06,3442.24,3438.97,3438.97,403.72
1719795000000,3438.97,3440.89,3437.78,3439.3,461.27
1719795300000,3439.3,3444.19,3437.87,3441.29,826.83
1719795600000,3441.29,3444.67,3438.86,3444.38,1637.63
1719795900000,3444.38,3464.15,3444.22,3459.0,19153.94
1719796200000,3459.0,3490.98,3457.4,3490.1,26284.62
1719796500000,3490.1,3495.0,3486.22,3492.01,6688.81
1719796800000,3492.01,3499.6,3491.12,3497.54,8141.88
1719797100000,3497.54,3503.39,3494.28,3495.84,5766.66
1719797400000,3495.84,3515.67,3494.61,3506.13,14197.11
1719797700000,3506.13,3508.23,3502.65,3505.45,3921.11
1719798000000,3505.45,3510.12,3505.45,3509.0,3265.6
1719798300000,3509.0,3509.84,3504.26,3508.94,2286.75
1719798600000,3508.94,3514.8,3507.28,3512.94,2983.73
1719798900000,3512.94,3519.6,3512.82,3518.44,5942.06
1719799200000,3518.44,3523.57,3510.01,3511.14,9286.61
1719799500000,3511.14,3515.99,3508.96,3515.99,2520.76
1719799800000,3515.99,3518.24,3500.84,3504.99,10019.86
1719800100000,3504.99,3508.47,3502.85,3506.12,1686.56
1719800400000,3506.12,3507.37,3497.21,3498.62,2709.21
1719800700000,3498.62,3503.8,3498.59,3503.59,1692.93
1719801000000,3503.59,3505.93,3496.55,3497.69,2058.76
1719801300000,3497.69,3499.78,3492.77,3499.78,2213.86
1719801600000,3499.78,3505.31,3499.78,3502.19,1967.25
1719801900000,3502.19,3502.19,3494.76,3500.01,1181.46
1719802200000,3500.01,3502.53,3498.4,3499.35,643.52
1719802500000,3499.35,3501.6,3496.54,3500.93,901.97
1719802800000,3500.93,3503.36,3498.7,3502.93,709.49
1719803100000,3502.93,3505.32,3502.52,3503.49,868.16
1719803400000,3503.49,3506.75,3503.49,3505.35,831.13
1719803700000,3505.35,3506.76,3503.74,3505.31,480.32
1719804000000,3505.31,3507.28,3502.72,3504.97,501.15
1719804300000,3504.97,3506.51,3504.25,3504.63,1478.71
1719804600000,3504.63,3505.28,3501.35,3501.95,978.14
1719804900000,3501.95,3501.99,3493.52,3496.21,5838.39
1719805200000,3496.21,3496.21,3493.15,3494.13,1296.1
1719805500000,3494.13,3498.7,3493.46,3498.25,858.32
