ts,o,h,l,c,v
1717200000000,67596.0,67816.0,67496.0,67782.0,214.65576
1717214400000,67787.0,67857.0,67640.0,67705.0,267.73732
1717228800000,67705.0,67808.0,67669.0,67732.0,201.9473
1717243200000,67733.0,67928.0,67712.0,67741.0,141.41801
1717257600000,67742.0,67861.0,67591.0,67818.0,96.34305
1717272000000,67799.0,67905.0,67742.0,67811.0,110.42312
1717286400000,67810.0,67944.0,67672.0,67808.0,95.24151
1717300800000,67808.0,67897.0,67748.0,67748.0,63.17942
1717315200000,67747.0,68361.0,67404.0,68295.0,351.68881
1717329600000,68304.0,68523.0,67821.0,68197.0,466.13633
1717344000000,68195.0,68266.0,67339.0,67785.0,504.12505
1717358400000,67786.0,68060.0,67623.0,67800.0,333.57145
1717372800000,67798.0,68853.0,67650.0,68465.0,627.45412
1717387200000,68465.0,69317.0,68352.0,68936.0,928.15315
1717401600000,68937.0,69401.0,68889.0,69171.0,409.08834
1717416000000,69172.0,70386.0,68521.0,69684.0,1778.23857
1717430400000,69704.0,69795.0,68751.0,69248.0,1379.38079
1717444800000,69218.0,69583.0,68750.0,68849.0,646.55906
1717459200000,68850.0,69447.0,68700.0,69243.0,451.59668
1717473600000,69243.0,69373.0,68747.0,69091.0,779.15155
1717488000000,69092.0,69254.0,68568.0,69015.0,1197.05472
1717502400000,69014.0,70553.0,68906.0,70481.0,1282.74825
1717516800000,70497.0,71134.0,70154.0,70481.0,1243.91154
1717531200000,70474.0,70800.0,70222.0,70620.0,551.58091
1717545600000,70620.0,71372.0,70478.0,71017.0,674.55672
1717560000000,71017.0,71461.0,70885.0,71256.0,478.63474
1717574400000,71246.0,71284.0,70723.0,71003.0,397.28231
1717588800000,71003.0,71745.0,70378.0,71608.0,1148.8648
1717603200000,71608.0,71786.0,70891.0,71308.0,1437.04638
1717617600000,71308.0,71386.0,70659.0,71113.0,889.43701
1717632000000,71111.0,71275.0,70896.0,71100.0,273.56062
1717646400000,71101.0,71143.0,70829.0,71062.0,290.80548
1717660800000,71062.0,71243.0,70896.0,71222.0,159.38414
1717675200000,71222.0,71703.0,71039.0,71327.0,930.45471
1717689600000,71328.0,71407.0,70442.0,70467.0,852.91489
1717704000000,70467.0,70982.0,70111.0,70835.0,637.43196
1717718400000,70828.0,71039.0,70724.0,71027.0,306.90886
1717732800000,71028.0,71500.0,71027.0,71148.0,659.15962
1717747200000,71147.0,71784.0,71084.0,71783.0,357.58106
1717761600000,71784.0,72000.0,70612.0,71132.0,1816.07296
1717776000000,71132.0,71223.0,68559.0,69346.0,1987.49121
1717790400000,69340.0,69637.0,69076.0,69436.0,287.36873
1717804800000,69435.0,69586.0,69359.0,69497.0,120.35183
1717819200000,69495.0,69635.0,69292.0,69614.0,144.15543
1717833600000,69626.0,69634.0,69361.0,69417.0,72.92047
1717848000000,69416.0,69554.0,69228.0,69473.0,209.29216
1717862400000,69472.0,69547.0,69332.0,69512.0,187.52632
1717876800000,69511.0,69520.0,69316.0,69347.0,156.38348
1717891200000,69346.0,69365.0,69165.0,69308.0,222.52249
1717905600000,69309.0,69494.0,69274.0,69363.0,224.95559
1717920000000,69363.0,69457.0,69342.0,69435.0,102.6106
1717934400000,69436.0,69845.0,69333.0,69552.0,416.60443
1717948800000,69554.0,69899.0,69540.0,69758.0,134.86975
1717963200000,69759.0,69856.0,69631.0,69690.0,127.71871
1717977600000,69689.0,69828.0,69445.0,69643.0,227.03713
1717992000000,69630.0,69704.0,69259.0,69292.0,130.52603
1718006400000,69302.0,69582.0,69211.0,69516.0,197.44177
1718020800000,69515.0,70249.0,69283.0,70107.0,884.16504
1718035200000,70113.0,70168.0,69412.0,69525.0,1068.88607
1718049600000,69532.0,69733.0,69391.0,69577.0,283.92619
1718064000000,69576.0,69617.0,67888.0,68500.0,1068.39708
1718078400000,68496.0,68496.0,67373.0,67599.0,853.00203
1718092800000,67583.0,67706.0,66787.0,66961.0,860.5869
1718107200000,66939.0,67338.0,66104.0,66288.0,1281.9911
1718121600000,66280.0,67701.0,66218.0,67519.0,1126.83095
1718136000000,67533.0,67680.0,67267.0,67369.0,385.20171
1718150400000,67368.0,67706.0,66948.0,67453.0,680.00669
1718164800000,67450.0,67671.0,67270.0,67491.0,254.93732
1718179200000,67490.0,68120.0,67387.0,67814.0,243.9126
1718193600000,67813.0,70034.0,67764.0,69748.0,1576.68613
1718208000000,69745.0,69953.0,67223.0,67584.0,3292.1685
1718222400000,67547.0,68723.0,67439.0,68267.0,866.76159
1718236800000,68262.0,68397.0,67007.0,67505.0,574.70022
1718251200000,67505.0,67780.0,67362.0,67780.0,367.39416
1718265600000,67780.0,68017.0,67203.0,67790.0,601.65931
1718280000000,67796.0,68517.0,66420.0,66518.0,1916.76548
1718294400000,66500.0,67128.0,66309.0,66687.0,457.10313
1718308800000,66686.0,67082.0,66612.0,66838.0,327.01391
1718323200000,66848.0,67049.0,66501.0,66774.0,341.98005
1718337600000,66784.0,67257.0,66742.0,66931.0,350.56821
1718352000000,66931.0,67247.0,66771.0,67041.0,223.65325
1718366400000,67041.0,67413.0,66346.0,66395.0,751.04121
1718380800000,66421.0,66514.0,65044.0,65510.0,1786.00342
1718395200000,65530.0,66636.0,65484.0,66022.0,867.87591
1718409600000,66022.0,66280.0,65977.0,66259.0,354.25488
1718424000000,66260.0,66415.0,66074.0,66084.0,280.30242
1718438400000,66090.0,66364.0,66089.0,66351.0,260.34158
1718452800000,66348.0,66473.0,66192.0,66321.0,253.87702
1718467200000,66324.0,66366.0,66051.0,66143.0,153.42456
1718481600000,66143.0,66280.0,65860.0,66208.0,151.21108
1718496000000,66207.0,66250.0,66078.0,66134.0,72.22389
1718510400000,66119.0,66393.0,66058.0,66278.0,154.38548
1718524800000,66292.0,66836.0,66208.0,66503.0,418.34093
1718539200000,66497.0,66801.0,66489.0,66721.0,268.15163
1718553600000,66721.0,66745.0,66515.0,66583.0,202.12954
1718568000000,66583.0,67031.0,66472.0,66729.0,359.05998
1718582400000,66728.0,66947.0,66164.0,66228.0,469.66759
1718596800000,66246.0,66603.0,65983.0,66200.0,450.65986
1718611200000,66203.0,66544.0,65569.0,65863.0,1982.40769
1718625600000,65851.0,65876.0,65119.0,65411.0,2061.87025
1718640000000,65410.0,67310.0,65209.0,66752.0,2290.54886
1718654400000,66753.0,66836.0,66198.0,66567.0,1650.74529
1718668800000,66567.0,66633.0,64529.0,65541.0,1565.54789
1718683200000,65547.0,65887.0,65391.0,65743.0,474.00257
1718697600000,65747.0,65814.0,65166.0,65432.0,358.31315
1718712000000,65425.0,65495.0,64219.0,64733.0,2026.25905
1718726400000,64728.0,64955.0,63989.0,64447.0,1179.16948
1718740800000,64448.0,65350.0,64217.0,65217.0,893.50873
1718755200000,65218.0,65648.0,64829.0,65453.0,680.0019
1718769600000,65486.0,65757.0,65218.0,65369.0,435.93179
1718784000000,65370.0,65575.0,65050.0,65273.0,903.27722
1718798400000,65273.0,65353.0,64801.0,64968.0,443.70137
1718812800000,64961.0,65321.0,64842.0,64941.0,391.1751
1718827200000,64941.0,65156.0,64703.0,65018.0,428.02102
1718841600000,65017.0,65456.0,64875.0,65266.0,339.57813
1718856000000,65265.0,66005.0,65141.0,65881.0,463.6861
1718870400000,65881.0,66490.0,65582.0,66191.0,592.4072
1718884800000,66205.0,66328.0,64654.0,64837.0,1215.00449
1718899200000,64837.0,65244.0,64564.0,65095.0,744.76044
1718913600000,65116.0,65245.0,64886.0,64903.0,272.72691
1718928000000,64903.0,65125.0,64317.0,64537.0,709.65753
1718942400000,64520.0,64806.0,64219.0,64224.0,475.21122
1718956800000,64224.0,64396.0,63531.0,63751.0,1182.87975
1718971200000,63751.0,64401.0,63317.0,63743.0,1511.82834
1718985600000,63750.0,64269.0,63460.0,64257.0,518.84846
1719000000000,64257.0,64473.0,63839.0,64129.0,200.02835
1719014400000,64142.0,64339.0,63942.0,64324.0,75.35823
1719028800000,64327.0,64557.0,64261.0,64539.0,226.478
1719043200000,64540.0,64559.0,64230.0,64273.0,105.81017
1719057600000,64273.0,64404.0,64264.0,64324.0,56.74959
1719072000000,64323.0,64385.0,64227.0,64284.0,104.30168
1719086400000,64285.0,64339.0,64250.0,64291.0,78.14338
1719100800000,64290.0,64562.0,64263.0,64464.0,297.67207
1719115200000,64465.0,64482.0,64396.0,64462.0,113.97902
1719129600000,64463.0,64469.0,64280.0,64348.0,132.98178
1719144000000,64354.0,64450.0,64021.0,64058.0,316.88594
1719158400000,64059.0,64173.0,63894.0,64107.0,293.21968
1719172800000,64129.0,64129.0,63095.0,63167.0,630.15805
1719187200000,63167.0,63336.0,62658.0,62841.0,673.62155
1719201600000,62841.0,62929.0,62136.0,62432.0,735.87217
1719216000000,62444.0,62951.0,60537.0,61251.0,1816.6722
1719230400000,61251.0,61689.0,60666.0,60797.0,766.60115
1719244800000,60800.0,61039.0,59043.0,59335.0,2240.49739
1719259200000,59331.0,60487.0,58564.0,60345.0,1592.24082
1719273600000,60341.0,61630.0,60271.0,61339.0,530.7145
1719288000000,61339.0,61454.0,60664.0,60687.0,551.38482
1719302400000,60715.0,61588.0,60702.0,61206.0,654.74031
1719316800000,61194.0,62144.0,60967.0,61846.0,1004.4767
1719331200000,61857.0,62419.0,61174.0,62004.0,804.9688
1719345600000,62004.0,62175.0,61667.0,61801.0,306.15381
1719360000000,61801.0,62539.0,61630.0,61962.0,533.55111
1719374400000,61962.0,62012.0,61524.0,61762.0,302.49705
1719388800000,61761.0,61792.0,61158.0,61424.0,719.61998
1719403200000,61424.0,61991.0,61197.0,61455.0,912.11389
1719417600000,61458.0,61534.0,60708.0,61006.0,1450.75187
1719432000000,61003.0,61145.0,60716.0,60857.0,361.54434
1719446400000,60861.0,61292.0,60758.0,61023.0,303.64499
1719460800000,61048.0,61203.0,60600.0,60818.0,273.70503
1719475200000,60819.0,61461.0,60757.0,61233.0,370.78038
1719489600000,61233.0,62429.0,61173.0,61593.0,1360.30619
1719504000000,61594.0,62037.0,61467.0,61505.0,492.73256
1719518400000,61506.0,61769.0,61425.0,61756.0,235.67939
1719532800000,61736.0,62280.0,61531.0,61880.0,537.92057
1719547200000,61880.0,61885.0,61240.0,61337.0,533.79047
1719561600000,61334.0,61822.0,61236.0,61722.0,753.83594
1719576000000,61723.0,61911.0,60745.0,61066.0,1280.38238
1719590400000,61074.0,61117.0,60090.0,60128.0,914.83775
1719604800000,60134.0,60499.0,60078.0,60473.0,502.22808
1719619200000,60473.0,61056.0,60445.0,60773.0,410.72685
1719633600000,60774.0,61188.0,60742.0,61098.0,222.01956
1719648000000,61101.0,61291.0,60951.0,61164.0,191.86171
1719662400000,61163.0,61221.0,60990.0,61147.0,125.74722
1719676800000,61146.0,61155.0,60927.0,61059.0,320.4293
1719691200000,61058.0,61093.0,60884.0,60981.0,83.89974
1719705600000,60983.0,61077.0,60746.0,60886.0,132.55624
1719720000000,60875.0,61768.0,60667.0,61519.0,740.05554
1719734400000,61526.0,61725.0,61397.0,61531.0,561.65384
