ts,o,h,l,c,v
1751436000000,2442.8,2452.5,2437.3,2445.2,49171.5828
1751443200000,2445.2,2453.7,2442.8,2447.4,33794.8444
1751450400000,2447.4,2457.8,2440.5,2443.9,14110.3084
1751457600000,2443.9,2456.5,2430.0,2447.9,41830.1212
1751464800000,2447.9,2500.7,2447.1,2497.9,93390.266
1751472000000,2498.0,2588.0,2493.8,2566.8,261131.5143
1751479200000,2566.8,2605.4,2562.7,2603.2,109937.5084
1751486400000,2603.2,2603.3,2582.8,2595.6,82446.5282
1751493600000,2595.6,2616.4,2569.1,2569.7,84199.2628
1751500800000,2569.8,2586.0,2562.6,2579.6,32110.7561
1751508000000,2579.7,2579.7,2556.1,2560.8,28490.1576
1751515200000,2560.8,2600.8,2558.8,2589.0,28654.7805
1751522400000,2589.0,2605.2,2584.9,2599.9,20016.4943
1751529600000,2599.9,2615.8,2586.2,2598.1,61703.7845
1751536800000,2598.1,2601.0,2581.9,2596.4,23283.5855
1751544000000,2596.4,2635.5,2565.7,2624.7,116975.86
1751551200000,2624.8,2632.8,2566.0,2570.0,127062.6756
1751558400000,2570.1,2581.1,2565.5,2577.1,31729.2234
1751565600000,2577.1,2592.0,2574.1,2585.1,30537.0039
1751572800000,2585.2,2603.0,2585.0,2595.0,26376.0551
1751580000000,2595.0,2601.3,2585.0,2589.9,18476.7275
1751587200000,2589.9,2601.8,2580.4,2589.2,37975.6802
1751594400000,2589.2,2591.3,2570.6,2576.9,38811.4189
1751601600000,2576.7,2584.0,2563.2,2568.1,46416.9353
1751608800000,2568.0,2569.3,2530.0,2534.2,78810.6348
1751616000000,2534.1,2558.3,2527.3,2550.4,51267.0809
1751623200000,2550.4,2555.6,2544.3,2548.1,44517.8641
1751630400000,2548.1,2555.3,2521.1,2525.0,71737.9011
1751637600000,2524.9,2527.4,2498.0,2499.9,87652.9948
1751644800000,2499.9,2502.9,2474.4,2496.4,62437.5995
1751652000000,2496.4,2496.4,2474.6,2482.9,36990.055
1751659200000,2482.9,2497.3,2481.4,2497.1,22844.5409
1751666400000,2497.0,2521.3,2495.3,2508.0,37896.0665
1751673600000,2508.1,2518.3,2506.7,2514.4,14894.3024
1751680800000,2514.4,2525.0,2498.5,2518.6,34169.2439
1751688000000,2518.7,2525.0,2512.2,2519.7,30395.3514
1751695200000,2519.8,2529.8,2517.3,2521.5,24225.0567
1751702400000,2521.5,2525.0,2508.7,2521.2,23144.6572
1751709600000,2521.3,2526.2,2517.9,2518.1,15154.1389
1751716800000,2518.1,2521.8,2510.1,2514.1,13533.2454
1751724000000,2514.1,2521.1,2505.2,2507.8,28417.6632
