ts,o,h,l,c,v
1717200000000,165.77,167.93,165.75,167.18,21883.43
1717214400000,167.18,167.62,166.64,167.03,20612.07
1717228800000,167.03,167.51,166.74,167.08,15470.2
1717243200000,167.08,168.08,166.95,167.5,18865.36
1717257600000,167.49,167.77,167.0,167.67,24757.8
1717272000000,167.63,167.93,165.8,166.29,39467.69
1717286400000,166.29,167.29,165.63,166.4,40448.25
1717300800000,166.41,166.82,165.08,165.13,33237.68
1717315200000,165.14,166.21,164.15,166.14,48137.88
1717329600000,166.13,166.37,164.71,165.26,22677.91
1717344000000,165.27,165.43,161.48,163.25,72051.12
1717358400000,163.24,163.87,161.84,163.26,38637.89
1717372800000,163.22,165.38,161.88,163.77,97102.94
1717387200000,163.78,166.0,162.94,165.5,50000.88
1717401600000,165.5,167.06,164.69,165.02,27698.93
1717416000000,165.04,167.45,162.93,164.99,132850.99
1717430400000,164.99,167.0,163.74,167.0,109596.13
1717444800000,166.98,167.22,164.53,164.98,28928.29
1717459200000,164.97,166.88,164.4,166.62,24465.01
1717473600000,166.62,167.13,165.04,165.37,50904.62
1717488000000,165.41,165.9,164.56,165.61,18109.72
1717502400000,165.62,168.15,165.42,168.15,65790.69
1717516800000,168.12,170.58,167.94,169.72,125781.39
1717531200000,169.71,172.09,168.5,171.98,55973.55
1717545600000,171.98,175.05,171.32,173.15,87626.69
1717560000000,173.11,174.39,172.47,173.44,84870.7
1717574400000,173.48,174.17,171.91,172.84,43127.79
1717588800000,172.84,175.13,171.2,174.72,95701.35
1717603200000,174.74,175.6,172.49,173.01,55649.37
1717617600000,173.03,173.91,172.79,173.7,48752.7
1717632000000,173.72,174.6,173.22,174.01,31088.49
1717646400000,174.04,174.18,171.7,172.79,35866.67
1717660800000,172.76,173.52,172.28,173.23,23415.21
1717675200000,173.22,173.81,172.5,173.07,33891.87
1717689600000,173.07,173.15,168.79,169.12,100534.01
1717704000000,169.17,170.87,167.6,170.17,57111.7
1717718400000,170.17,170.7,169.15,170.67,26761.01
1717732800000,170.67,172.56,170.56,172.1,113096.37
1717747200000,172.12,172.48,171.04,172.23,19558.56
1717761600000,172.28,172.91,169.29,170.2,99524.86
1717776000000,170.2,170.5,153.19,162.14,452265.52
1717790400000,162.13,163.34,161.15,162.68,39619.06
1717804800000,162.65,163.26,162.01,162.86,31082.36
1717819200000,162.82,163.95,161.68,163.77,22414.58
1717833600000,163.7,163.77,160.24,160.63,29557.99
1717848000000,160.62,161.49,158.41,160.22,50907.88
1717862400000,160.22,161.12,158.94,159.95,23325.58
1717876800000,159.96,160.09,157.38,157.85,67211.71
1717891200000,157.85,158.85,156.58,157.9,41969.18
1717905600000,157.9,159.89,157.37,159.16,23802.62
1717920000000,159.11,159.85,158.8,159.58,26451.72
1717934400000,159.53,162.0,159.3,161.79,47151.79
1717948800000,161.78,163.07,160.71,162.26,24520.92
1717963200000,162.29,162.41,161.31,162.17,17940.68
1717977600000,162.17,162.18,159.76,159.85,25157.53
1717992000000,159.79,160.63,157.53,157.73,59900.93
1718006400000,157.66,160.19,157.62,159.49,37954.44
1718020800000,159.47,163.18,157.74,162.38,33920.38
1718035200000,162.39,162.93,160.07,160.37,44520.51
1718049600000,160.43,160.68,158.36,159.06,36035.55
1718064000000,159.06,159.71,154.98,156.11,146845.65
1718078400000,156.1,156.17,152.52,153.37,81932.83
1718092800000,153.36,155.3,152.83,153.95,35126.63
1718107200000,153.94,154.53,146.44,147.75,256166.22
1718121600000,147.79,149.93,145.39,149.44,189240.18
1718136000000,149.37,150.44,148.25,149.44,71675.77
1718150400000,149.44,150.0,145.62,149.81,140566.44
1718164800000,149.93,152.05,149.75,151.87,21063.5
1718179200000,151.87,153.58,151.12,151.9,75276.7
1718193600000,151.9,161.88,151.79,159.03,226001.25
1718208000000,159.03,159.9,151.28,153.41,350219.48
1718222400000,153.4,155.62,152.87,155.29,75419.52
1718236800000,155.27,155.27,149.84,151.63,97031.21
1718251200000,151.59,152.87,150.92,152.17,21007.27
1718265600000,152.19,152.43,149.09,149.6,79378.11
1718280000000,149.54,152.06,146.21,146.99,222521.66
1718294400000,146.94,148.95,146.37,147.84,160332.98
1718308800000,147.82,148.54,146.22,147.41,88988.62
1718323200000,147.42,148.69,146.08,147.71,67327.36
1718337600000,147.71,148.94,146.99,147.79,110188.94
1718352000000,147.76,148.83,147.34,148.16,20292.59
1718366400000,148.24,149.13,142.99,143.78,139070.06
1718380800000,143.76,144.03,139.61,141.74,192519.05
1718395200000,141.73,145.14,141.53,143.23,142723.55
1718409600000,143.19,144.97,143.05,144.96,80054.87
1718424000000,144.96,145.51,143.7,143.8,95847.59
1718438400000,143.76,144.67,142.97,144.47,28784.21
1718452800000,144.54,145.39,144.04,145.11,84689.4
1718467200000,145.15,145.77,144.07,144.62,90685.58
1718481600000,144.6,145.61,143.8,145.45,23214.02
1718496000000,145.46,145.51,143.87,143.94,96278.27
1718510400000,143.88,145.14,143.04,144.36,70891.26
1718524800000,144.4,145.71,143.77,144.99,25096.83
1718539200000,144.99,148.7,144.71,148.42,59718.03
1718553600000,148.48,149.28,147.55,148.7,73262.78
1718568000000,148.7,151.27,148.31,151.19,135091.73
1718582400000,151.19,151.6,147.25,147.46,123744.35
1718596800000,147.47,149.27,145.91,146.73,142703.64
1718611200000,146.73,147.68,141.63,144.01,292088.67
1718625600000,143.95,144.77,140.81,141.21,181384.09
1718640000000,141.21,146.81,139.9,144.65,123183.7
1718654400000,144.69,144.73,141.46,143.28,59167.11
1718668800000,143.31,143.73,127.32,135.54,529653.5600000001
1718683200000,135.54,137.89,134.72,136.68,70943.07
1718697600000,136.67,138.78,135.52,137.09,42679.3
1718712000000,137.14,137.69,132.93,135.99,199572.22
1718726400000,135.97,136.14,130.31,132.89,160566.55
1718740800000,132.99,138.27,132.07,137.27,226847.43
1718755200000,137.32,141.5,136.01,140.18,191327.05
1718769600000,140.16,141.87,139.5,140.0,43307.05
1718784000000,139.96,140.22,136.93,137.9,127034.75
1718798400000,137.92,138.79,135.53,136.87,94431.89
1718812800000,136.87,139.0,135.68,136.69,49983.49
1718827200000,136.62,136.81,134.44,135.5,89427.95
1718841600000,135.54,137.2,132.53,132.96,109582.73
1718856000000,132.98,138.08,132.51,137.11,111170.07
1718870400000,137.17,141.28,136.39,139.32,78703.18
1718884800000,139.33,139.74,132.41,133.11,221141.54
1718899200000,133.12,135.71,131.86,134.14,140988.7
1718913600000,134.14,134.79,133.36,133.51,44861.2
1718928000000,133.49,134.73,131.64,132.65,71924.18
1718942400000,132.59,133.22,130.59,131.36,108882.98
1718956800000,131.42,132.65,129.55,132.08,83094.53
1718971200000,132.16,133.71,129.38,131.33,172564.23
1718985600000,131.39,133.79,128.71,132.7,89586.65
1719000000000,132.62,135.34,131.93,134.56,28729.3
1719014400000,134.58,135.19,132.99,135.04,32519.0
1719028800000,135.12,136.73,134.56,134.82,68380.74
1719043200000,134.85,134.93,133.71,134.43,21252.81
1719057600000,134.51,134.74,133.9,134.3,32405.82
1719072000000,134.3,134.97,133.89,134.42,35150.46
1719086400000,134.43,134.59,133.1,133.59,32603.75
1719100800000,133.61,135.06,133.58,134.71,75789.23
1719115200000,134.79,135.0,134.24,134.78,28122.76
1719129600000,134.78,134.87,133.48,134.01,27183.59
1719144000000,134.01,134.51,131.38,131.48,122276.86
1719158400000,131.5,132.52,130.25,131.45,224456.4
1719172800000,131.48,131.55,128.18,128.69,216644.09
1719187200000,128.69,129.78,125.74,126.15,215163.0
1719201600000,126.13,126.58,123.14,125.14,305539.94
1719216000000,125.16,127.39,121.71,127.05,155845.35
