ts,o,h,l,c,v
1669852800000,65.29,65.5,63.0,63.67,0.0
1669939200000,63.67,65.82,62.23,65.67,0.0
1670025600000,65.67,66.37,62.51,62.71,0.0
1670112000000,62.71,64.64,62.62,64.31,0.0
1670198400000,64.31,67.3,63.75,64.35,0.0
1670284800000,64.35,65.54,62.72,63.92,0.0
1670371200000,63.91,64.04,59.97,61.3,0.0
1670457600000,61.31,63.47,60.32,62.82,0.0
1670544000000,62.82,63.35,61.01,61.49,0.0
1670630400000,61.49,62.12,61.1,61.35,0.0
1670716800000,61.35,61.53,59.1,59.63,0.0
1670803200000,59.61,60.85,58.0,60.06,0.0
1670889600000,60.07,63.9,58.12,62.02,0.0
1670976000000,62.03,63.53,61.03,62.52,0.0
1671062400000,62.52,63.1,60.5,60.97,0.0
1671148800000,60.97,61.22,53.62,54.69,0.0
1671235200000,54.67,55.92,53.0,55.51,0.0
1671321600000,55.51,56.54,54.8,55.8,0.0
1671408000000,55.79,56.54,52.93,53.7,0.0
1671494400000,53.69,56.27,53.1,55.63,0.0
1671580800000,55.63,56.41,54.6,55.97,0.0
1671667200000,55.97,56.11,53.55,55.62,0.0
1671753600000,55.62,56.14,54.21,54.54,0.0
1671840000000,54.53,54.73,54.04,54.34,0.0
1671926400000,54.35,55.46,53.7,54.35,0.0
1672012800000,54.36,56.05,54.13,55.91,0.0
1672099200000,55.91,58.19,55.4,57.43,0.0
1672185600000,57.43,57.81,53.15,53.71,0.0
1672272000000,53.71,54.95,53.47,54.41,0.0
1672358400000,54.41,54.72,51.44,52.39,0.0
1672444800000,52.39,53.38,51.64,51.93,0.0
1672531200000,51.92,52.41,51.05,52.09,0.0
1672617600000,52.1,54.1,51.25,52.93,0.0
1672704000000,52.93,53.51,52.02,53.02,0.0
1672790400000,53.02,57.64,52.59,56.73,0.0
1672876800000,56.74,56.94,54.83,55.42,0.0
1672963200000,55.42,56.8,53.97,56.39,0.0
1673049600000,56.4,56.89,55.7,56.03,0.0
1673136000000,56.01,59.7,55.27,59.32,0.0
1673222400000,59.32,63.12,59.03,61.13,0.0
1673308800000,61.15,62.89,59.56,61.86,0.0
1673395200000,61.86,64.69,59.9,64.16,0.0
1673481600000,64.16,68.62,63.43,67.77,0.0
1673568000000,67.77,73.6,66.61,71.15,0.0
1673654400000,71.14,81.54,71.12,76.01,0.0
1673740800000,76.01,83.15,72.89,79.31,0.0
1673827200000,79.3,82.76,76.07,80.64,0.0
1673913600000,80.64,91.35,78.45,85.7,0.0
1674000000000,85.71,90.0,76.89,81.94,0.0
1674086400000,81.94,83.78,77.7,81.26,0.0
1674172800000,81.25,88.68,79.73,87.62,0.0
1674259200000,87.6,89.29,83.98,84.5,0.0
1674345600000,84.5,90.33,83.52,85.41,0.0
1674432000000,85.38,90.26,84.5,86.66,0.0
1674518400000,86.67,88.61,78.72,79.86,0.0
1674604800000,79.85,87.51,78.01,85.69,0.0
1674691200000,85.71,90.68,85.06,88.79,0.0
1674777600000,88.81,89.73,84.7,87.36,0.0
1674864000000,87.37,88.32,83.11,84.21,0.0
1674950400000,84.22,88.67,83.31,87.7,0.0
1675036800000,87.71,88.39,78.98,81.13,0.0
1675123200000,81.14,83.6,80.19,82.95,0.0
1675209600000,82.95,88.58,80.25,88.42,0.0
1675296000000,88.41,93.46,87.5,88.33,0.0
1675382400000,88.32,94.42,87.24,91.14,0.0
1675468800000,91.14,92.08,88.11,88.96,0.0
1675555200000,88.95,89.19,83.13,85.65,0.0
1675641600000,85.65,87.83,83.26,84.1,0.0
1675728000000,84.1,89.27,83.79,88.7,0.0
1675814400000,88.7,90.18,84.5,87.08,0.0
1675900800000,87.08,90.15,75.83,77.78,0.0
1675987200000,77.79,80.41,76.58,78.58,0.0
1676073600000,78.58,79.47,77.7,79.31,0.0
1676160000000,79.32,80.47,76.07,77.29,0.0
1676246400000,77.29,84.0,73.41,82.38,0.0
1676332800000,82.38,83.82,78.5,83.04,0.0
1676419200000,83.04,89.59,82.11,89.47,0.0
1676505600000,89.47,90.68,83.67,84.0,0.0
1676592000000,84.0,88.4,83.34,86.41,0.0
1676678400000,86.41,91.48,86.4,91.06,0.0
1676764800000,91.05,95.51,89.19,90.15,0.0
1676851200000,90.16,93.12,86.8,92.17,0.0
1676937600000,92.16,92.84,85.6,87.76,0.0
1677024000000,87.77,87.88,82.06,85.1,0.0
1677110400000,85.09,87.62,83.73,85.66,0.0
1677196800000,85.67,86.8,78.34,81.53,0.0
1677283200000,81.52,83.59,77.09,79.93,0.0
1677369600000,79.92,82.37,79.6,82.2,0.0
1677456000000,82.2,83.57,79.41,80.16,0.0
1677542400000,80.18,80.25,76.67,77.64,0.0
1677628800000,77.64,83.18,76.87,82.83,0.0
1677715200000,82.83,83.1,78.37,79.97,0.0
1677801600000,79.97,79.98,72.85,76.85,0.0
1677888000000,76.84,77.48,73.7,75.28,0.0
1677974400000,75.28,77.19,74.58,74.99,0.0
1678060800000,75.0,77.46,74.15,76.6,0.0
1678147200000,76.6,77.77,73.54,75.21,0.0
1678233600000,75.21,75.46,71.0,71.58,0.0
1678320000000,71.58,73.99,66.71,68.68,0.0
1678406400000,68.67,68.69,64.54,68.26,0.0
1678492800000,68.25,70.76,63.74,66.83,0.0
1678579200000,66.82,72.95,65.66,72.84,0.0
1678665600000,72.84,77.05,70.86,76.01,0.0
1678752000000,76.01,81.49,74.14,79.08,0.0
1678838400000,79.08,80.62,71.46,73.8,0.0
