ts,o,h,l,c,v
1669852800000,0.671,0.673,0.636,0.642,0.0
1669939200000,0.642,0.659,0.622,0.658,0.0
1670025600000,0.659,0.664,0.631,0.635,0.0
1670112000000,0.634,0.675,0.633,0.669,0.0
1670198400000,0.669,0.691,0.663,0.675,0.0
1670284800000,0.675,0.696,0.665,0.679,0.0
1670371200000,0.679,0.69,0.645,0.652,0.0
1670457600000,0.651,0.672,0.644,0.666,0.0
1670544000000,0.667,0.671,0.635,0.645,0.0
1670630400000,0.645,0.651,0.633,0.637,0.0
1670716800000,0.638,0.648,0.621,0.628,0.0
1670803200000,0.628,0.629,0.588,0.618,0.0
1670889600000,0.618,0.669,0.593,0.654,0.0
1670976000000,0.654,0.667,0.636,0.646,0.0
1671062400000,0.646,0.649,0.613,0.618,0.0
1671148800000,0.617,0.624,0.53,0.546,0.0
1671235200000,0.545,0.562,0.53,0.559,0.0
1671321600000,0.559,0.563,0.543,0.548,0.0
1671408000000,0.548,0.573,0.511,0.516,0.0
1671494400000,0.516,0.538,0.513,0.528,0.0
1671580800000,0.528,0.536,0.507,0.517,0.0
1671667200000,0.517,0.529,0.5,0.523,0.0
1671753600000,0.524,0.53,0.516,0.527,0.0
1671840000000,0.526,0.528,0.516,0.523,0.0
1671926400000,0.523,0.529,0.514,0.52,0.0
1672012800000,0.521,0.538,0.517,0.535,0.0
1672099200000,0.536,0.542,0.515,0.529,0.0
1672185600000,0.528,0.531,0.506,0.508,0.0
1672272000000,0.509,0.524,0.502,0.51,0.0
1672358400000,0.511,0.531,0.485,0.527,0.0
1672444800000,0.528,0.534,0.521,0.524,0.0
1672531200000,0.525,0.529,0.519,0.527,0.0
1672617600000,0.527,0.549,0.519,0.533,0.0
1672704000000,0.534,0.537,0.521,0.529,0.0
1672790400000,0.529,0.567,0.527,0.554,0.0
1672876800000,0.555,0.56,0.538,0.542,0.0
1672963200000,0.543,0.548,0.521,0.546,0.0
1673049600000,0.545,0.553,0.544,0.55,0.0
1673136000000,0.55,0.577,0.54,0.577,0.0
1673222400000,0.577,0.695,0.571,0.641,0.0
1673308800000,0.641,0.661,0.633,0.651,0.0
1673395200000,0.65,0.678,0.646,0.671,0.0
1673481600000,0.67,0.698,0.633,0.687,0.0
1673568000000,0.687,0.838,0.679,0.804,0.0
1673654400000,0.805,0.855,0.756,0.813,0.0
1673740800000,0.814,0.877,0.782,0.833,0.0
1673827200000,0.834,0.943,0.823,0.879,0.0
1673913600000,0.878,0.95,0.845,0.911,0.0
1674000000000,0.911,0.958,0.856,0.893,0.0
