ts,o,h,l,c,v
1669852800000,0.1067,0.10778,0.10015,0.10168,0.0
1669939200000,0.10167,0.10353,0.09617,0.10202,0.0
1670025600000,0.10203,0.10309,0.097,0.09965,0.0
1670112000000,0.09964,0.10575,0.09948,0.10398,0.0
1670198400000,0.10398,0.1118,0.099,0.10143,0.0
1670284800000,0.10143,0.10272,0.09757,0.10012,0.0
1670371200000,0.10012,0.10118,0.0922,0.0957,0.0
1670457600000,0.0957,0.09917,0.0945,0.09843,0.0
1670544000000,0.09843,0.0994,0.09444,0.09666,0.0
1670630400000,0.09665,0.09741,0.096,0.09627,0.0
1670716800000,0.09627,0.09714,0.09133,0.09262,0.0
1670803200000,0.09261,0.09297,0.0802,0.09022,0.0
1670889600000,0.09021,0.09579,0.08678,0.091,0.0
1670976000000,0.091,0.09244,0.08633,0.08821,0.0
1671062400000,0.0882,0.08878,0.08399,0.0848,0.0
1671148800000,0.08479,0.08684,0.07371,0.07565,0.0
1671235200000,0.07564,0.07945,0.07545,0.07913,0.0
1671321600000,0.07913,0.08,0.07754,0.07843,0.0
1671408000000,0.07843,0.07949,0.06952,0.0713,0.0
1671494400000,0.0713,0.07564,0.07098,0.07478,0.0
1671580800000,0.07479,0.07501,0.07129,0.07366,0.0
1671667200000,0.07367,0.07776,0.07323,0.07682,0.0
1671753600000,0.07683,0.07901,0.07582,0.07715,0.0
1671840000000,0.07715,0.07813,0.07656,0.07747,0.0
1671926400000,0.07747,0.07762,0.07277,0.07595,0.0
1672012800000,0.07595,0.07662,0.07398,0.07566,0.0
1672099200000,0.07566,0.07614,0.0725,0.07368,0.0
1672185600000,0.07368,0.07389,0.06906,0.07034,0.0
1672272000000,0.07035,0.0716,0.0692,0.07089,0.0
1672358400000,0.0709,0.07144,0.06552,0.06837,0.0
1672444800000,0.06836,0.07135,0.06791,0.07021,0.0
1672531200000,0.07022,0.07085,0.06901,0.0702,0.0
1672617600000,0.0702,0.07389,0.06901,0.07135,0.0
1672704000000,0.07136,0.07229,0.06913,0.07046,0.0
1672790400000,0.07046,0.0736,0.07016,0.07308,0.0
1672876800000,0.07309,0.0753,0.07,0.07148,0.0
1672963200000,0.07148,0.07278,0.06926,0.07238,0.0
1673049600000,0.07239,0.07306,0.07166,0.07218,0.0
1673136000000,0.07218,0.074,0.07117,0.07361,0.0
1673222400000,0.07361,0.07964,0.07293,0.07566,0.0
1673308800000,0.07566,0.07791,0.0735,0.07785,0.0
1673395200000,0.07784,0.07862,0.07461,0.07814,0.0
1673481600000,0.07813,0.08135,0.0737,0.08026,0.0
1673568000000,0.08026,0.08528,0.07833,0.08453,0.0
1673654400000,0.08453,0.0929,0.0821,0.08732,0.0
1673740800000,0.08733,0.08802,0.08276,0.08615,0.0
1673827200000,0.08615,0.08843,0.08142,0.08372,0.0
1673913600000,0.08373,0.08513,0.08171,0.08284,0.0
1674000000000,0.08284,0.08979,0.07648,0.07998,0.0
1674086400000,0.07998,0.08215,0.07971,0.0816,0.0
1674172800000,0.0816,0.08727,0.08058,0.08623,0.0
1674259200000,0.08624,0.08928,0.0835,0.08472,0.0
1674345600000,0.08471,0.09347,0.08434,0.08828,0.0
1674432000000,0.08828,0.09164,0.08619,0.0886,0.0
1674518400000,0.0886,0.09094,0.082,0.0839,0.0
1674604800000,0.08391,0.08824,0.08152,0.08659,0.0
1674691200000,0.0866,0.08781,0.08438,0.08638,0.0
1674777600000,0.08639,0.08809,0.0835,0.08729,0.0
1674864000000,0.08728,0.09396,0.08665,0.08774,0.0
1674950400000,0.08773,0.09104,0.08725,0.09017,0.0
1675036800000,0.09017,0.09298,0.08426,0.08831,0.0
1675123200000,0.0883,0.09791,0.08824,0.09617,0.0
1675209600000,0.09617,0.09725,0.0878,0.09412,0.0
1675296000000,0.09412,0.09621,0.09001,0.09102,0.0
1675382400000,0.09101,0.09344,0.09031,0.09301,0.0
1675468800000,0.09301,0.09985,0.09255,0.09574,0.0
1675555200000,0.09574,0.09702,0.0901,0.09204,0.0
1675641600000,0.09204,0.09329,0.0884,0.08954,0.0
1675728000000,0.08954,0.09276,0.08938,0.09253,0.0
1675814400000,0.09252,0.09348,0.08846,0.09017,0.0
1675900800000,0.09017,0.09096,0.07861,0.08144,0.0
1675987200000,0.08143,0.08304,0.0791,0.0808,0.0
1676073600000,0.08081,0.08256,0.08059,0.08222,0.0
1676160000000,0.08222,0.0858,0.08109,0.08211,0.0
1676246400000,0.08211,0.08644,0.07923,0.08202,0.0
