ts,o,h,l,c,v
1766361600000,3.9955,4.4364,2.8,3.8902,4316309.0
1766448000000,3.8902,4.5354,3.6222,3.6762,5605699.0
1766534400000,3.6821,3.7669,3.2316,3.5064,5451781.0
1766620800000,3.5107,3.6439,3.4194,3.4351,2753162.0
1766707200000,3.4356,3.561,3.33,3.3739,2758363.0
1766793600000,3.3739,3.5096,3.3393,3.434,1959541.0
1766880000000,3.4336,4.1379,3.33,3.7266,7069955.0
1766966400000,3.7197,3.8311,3.21,3.3387,6150507.0
1767052800000,3.3262,3.4984,2.2677,2.6606,89187924.0
1767139200000,2.6607,2.8475,2.4516,2.4929,28061445.0
1767225600000,2.4964,2.8263,2.3417,2.6855,21281543.0
1767312000000,2.6842,2.87,2.6483,2.6881,16359592.0
1767398400000,2.686,2.7939,2.4917,2.629,18662044.0
1767484800000,2.6272,2.72,2.5423,2.6739,9557561.0
1767571200000,2.6719,3.2991,2.6001,3.0445,28798576.0
1767657600000,3.0429,3.3729,2.9662,3.1496,12845422.0
1767744000000,3.1514,3.1967,2.825,3.1465,12761321.0
1767830400000,3.146,3.3165,2.9811,3.0684,11061854.0
1767916800000,3.0673,3.1801,2.9212,2.9751,8129957.0
1768003200000,2.9751,2.9751,2.5264,2.6231,11866774.0
1768089600000,2.6265,2.7333,2.559,2.6346,3585252.0
1768176000000,2.631,2.7211,2.1155,2.1187,24815917.0
1768262400000,2.1159,2.26,2.035,2.167,14987822.0
1768348800000,2.1677,2.2958,2.05,2.1874,6883822.0
1768435200000,2.1831,2.1831,1.764,1.8895,47537150.0
1768521600000,1.8894,1.9682,1.7847,1.8599,10987113.0
1768608000000,1.8608,2.0753,1.8157,1.9477,9830056.0
1768694400000,1.9477,2.0354,1.7934,1.8019,10388050.0
1768780800000,1.8,1.8348,1.6284,1.6714,10436707.0
1768867200000,1.6712,1.7227,1.5245,1.6447,13141251.0
1768953600000,1.6435,1.8051,1.6119,1.7336,7404420.0
1769040000000,1.733,1.838,1.7249,1.7563,7215839.0
1769126400000,1.7596,1.8935,1.6641,1.7027,11305483.0
1769212800000,1.7037,1.8732,1.6344,1.8138,9732785.0
1769299200000,1.8094,1.8429,1.5359,1.5802,12181201.0
1769385600000,1.5805,1.8132,1.5605,1.7128,10737845.0
1769472000000,1.7112,2.0062,1.6984,1.9475,15551216.0
1769558400000,1.9484,2.0229,1.8473,1.9929,15495811.0
1769644800000,1.9941,2.0004,1.5603,1.6144,16396740.0
1769731200000,1.6124,1.8374,1.555,1.7229,11674281.0
1769817600000,1.7224,1.7335,1.3507,1.5665,18687062.0
1769904000000,1.5665,1.647,1.4267,1.5156,7724546.0
1769990400000,1.5156,1.6587,1.497,1.5996,8513736.0
1770076800000,1.6,1.7567,1.4724,1.4834,18522861.0
1770163200000,1.4832,1.602,1.4261,1.5798,8587964.0
1770249600000,1.5795,1.6174,1.3605,1.4447,20659364.0
1770336000000,1.446,1.765,1.308,1.665,22257296.0
1770422400000,1.6656,1.6928,1.59,1.6292,5226469.0
1770508800000,1.6278,1.7261,1.6019,1.6223,3862097.0
1770595200000,1.6214,1.658,1.4989,1.5488,3501374.0
1770681600000,1.5488,1.5593,1.45,1.4719,4636550.0
1770768000000,1.4719,1.4749,1.3222,1.4189,7274894.0
1770854400000,1.4199,1.5186,1.3735,1.431,10812011.0
1770940800000,1.4309,1.6615,1.4166,1.5993,13632536.0
1771027200000,1.6001,1.7111,1.5649,1.6472,10285380.0
1771113600000,1.6484,1.7436,1.5409,1.6763,10569695.0
1771200000000,1.6759,1.7173,1.5766,1.6904,8943860.0
1771286400000,1.6896,1.6897,1.5504,1.5899,6971561.0
1771372800000,1.5896,1.5966,1.4341,1.4476,7280212.0
1771459200000,1.4476,1.5339,1.4408,1.4779,6044987.0
1771545600000,1.4771,1.5495,1.4263,1.5336,5830074.0
1771632000000,1.5334,1.5517,1.4761,1.5177,2790118.0
1771718400000,1.5165,1.5216,1.4317,1.4463,3014431.0
1771804800000,1.447,1.4536,1.3558,1.3863,10400668.0
1771891200000,1.3862,1.452,1.322,1.4311,6186070.0
1771977600000,1.4314,1.5134,1.3,1.4571,10739510.0
1772064000000,1.4561,1.5098,1.4133,1.4289,4275801.0
1772150400000,1.4281,1.4407,1.3386,1.3572,4221592.0
1772236800000,1.3573,1.4096,1.2829,1.385,4529594.0
1772323200000,1.3841,1.4551,1.3408,1.3599,5483003.0
1772409600000,1.3595,1.4507,1.3477,1.3574,11494022.0
1772496000000,1.3577,1.365,1.2901,1.298,6538278.0
1772582400000,1.2975,1.3922,1.2472,1.3716,13596037.0
1772668800000,1.3717,1.3831,1.19,1.2094,10710751.0
1772755200000,1.2093,1.2329,1.0691,1.1386,12202129.0
