ts,o,h,l,c,v
1682121600000,150.98,157.56,150.22,157.34,0.0
1682208000000,157.35,159.36,155.69,157.44,0.0
1682294400000,157.45,158.96,156.01,157.57,0.0
1682380800000,157.58,159.84,154.12,159.59,0.0
1682467200000,159.59,162.41,151.73,156.77,0.0
1682553600000,156.78,159.22,153.46,153.77,0.0
1682640000000,153.78,155.89,152.3,153.14,0.0
1682726400000,153.14,156.07,152.32,154.38,0.0
1682812800000,154.38,156.95,153.58,155.43,0.0
1682899200000,155.45,155.94,150.86,152.55,0.0
1682985600000,152.54,154.88,152.25,152.62,0.0
1683072000000,152.63,155.14,151.03,155.13,0.0
1683158400000,155.12,156.7,154.5,155.42,0.0
1683244800000,155.43,158.5,154.47,158.12,0.0
1683331200000,158.13,158.94,153.64,156.05,0.0
1683417600000,156.07,158.52,155.68,156.79,0.0
1683504000000,156.82,157.43,148.9,153.36,0.0
1683590400000,153.36,155.32,152.04,154.89,0.0
1683676800000,154.87,156.09,150.27,153.63,0.0
1683763200000,153.63,155.33,150.94,152.45,0.0
1683849600000,152.42,153.79,149.65,153.77,0.0
1683936000000,153.76,153.83,152.29,152.79,0.0
1684022400000,152.81,154.23,152.35,153.94,0.0
1684108800000,153.94,154.47,151.86,151.94,0.0
1684195200000,151.94,152.82,150.51,151.51,0.0
1684281600000,151.51,152.39,150.8,151.28,0.0
1684368000000,151.28,151.92,149.04,150.99,0.0
1684454400000,150.99,152.33,149.57,150.36,0.0
1684540800000,150.36,151.46,149.61,150.29,0.0
1684627200000,150.28,150.78,148.76,149.93,0.0
1684713600000,149.93,152.67,148.99,151.45,0.0
1684800000000,151.45,152.96,150.88,151.54,0.0
1684886400000,151.55,151.83,148.01,150.11,0.0
1684972800000,150.11,151.66,148.83,150.98,0.0
1685059200000,150.98,151.82,150.31,150.51,0.0
1685145600000,150.51,151.46,150.25,151.1,0.0
1685232000000,151.1,156.55,150.88,155.06,0.0
1685318400000,155.07,156.64,152.8,153.92,0.0
1685404800000,153.93,154.67,152.16,152.87,0.0
1685491200000,152.87,153.5,144.73,145.86,0.0
1685577600000,145.86,148.59,144.78,146.33,0.0
1685664000000,146.33,147.39,144.6,145.97,0.0
1685750400000,145.96,148.53,145.46,148.17,0.0
1685836800000,148.17,150.02,147.86,148.04,0.0
1685923200000,148.03,148.46,136.19,141.01,0.0
1686009600000,141.01,147.42,138.58,146.9,0.0
1686096000000,146.93,148.16,143.26,145.09,0.0
1686182400000,145.09,145.92,142.09,142.46,0.0
