ts,o,h,l,c,v
1673049600000,41.35,42.89,40.78,41.5,0.0
1673136000000,41.5,42.79,40.95,42.75,0.0
1673222400000,42.75,44.77,42.51,43.1,0.0
1673308800000,43.1,44.17,42.11,43.99,0.0
1673395200000,44.0,44.61,42.52,44.28,0.0
1673481600000,44.28,46.04,42.95,45.33,0.0
1673568000000,45.31,45.94,43.83,45.38,0.0
1673654400000,45.38,48.68,44.14,46.68,0.0
1673740800000,46.68,47.07,44.25,44.79,0.0
1673827200000,44.8,46.05,41.34,42.58,0.0
1673913600000,42.57,45.47,41.77,44.62,0.0
1674000000000,44.63,45.66,40.46,42.74,0.0
1674086400000,42.74,45.1,42.61,44.43,0.0
1674172800000,44.42,48.71,44.11,48.09,0.0
1674259200000,48.1,49.72,47.06,48.02,0.0
1674345600000,48.02,49.09,46.24,47.29,0.0
1674432000000,47.3,48.55,46.41,46.96,0.0
1674518400000,46.96,48.35,43.63,44.46,0.0
1674604800000,44.46,46.48,43.45,45.43,0.0
1674691200000,45.44,47.07,44.47,46.8,0.0
1674777600000,46.8,47.14,45.38,46.6,0.0
1674864000000,46.62,47.03,44.56,45.41,0.0
1674950400000,45.4,48.05,44.98,47.22,0.0
1675036800000,47.23,47.46,43.54,44.58,0.0
1675123200000,44.58,45.92,44.1,45.16,0.0
1675209600000,45.15,47.71,43.88,47.19,0.0
1675296000000,47.2,48.38,45.4,45.92,0.0
1675382400000,45.92,47.69,45.55,47.03,0.0
1675468800000,47.04,47.46,46.23,46.6,0.0
1675555200000,46.6,46.79,43.43,44.22,0.0
1675641600000,44.23,44.81,42.4,43.36,0.0
1675728000000,43.36,47.15,43.22,46.82,0.0
1675814400000,46.82,47.28,44.55,45.3,0.0
1675900800000,45.3,45.65,41.41,42.83,0.0
1675987200000,42.84,44.66,42.31,43.54,0.0
1676073600000,43.53,47.0,43.28,45.59,0.0
1676160000000,45.6,48.55,44.41,46.17,0.0
1676246400000,46.17,46.87,42.17,43.52,0.0
1676332800000,43.53,44.15,41.75,43.67,0.0
1676419200000,43.66,46.53,43.03,46.29,0.0
1676505600000,46.29,47.17,43.09,43.61,0.0
1676592000000,43.6,45.93,43.26,45.24,0.0
1676678400000,45.25,47.1,45.24,46.1,0.0
1676764800000,46.09,49.71,45.81,47.9,0.0
1676851200000,47.9,51.36,46.61,50.25,0.0
1676937600000,50.26,50.66,47.0,49.49,0.0
1677024000000,49.49,50.0,45.7,47.95,0.0
1677110400000,47.95,48.44,46.41,47.99,0.0
1677196800000,47.98,48.67,44.3,45.25,0.0
1677283200000,45.26,45.45,43.32,44.47,0.0
1677369600000,44.46,45.42,44.11,45.12,0.0
1677456000000,45.11,45.24,43.36,44.17,0.0
1677542400000,44.18,44.6,42.59,43.07,0.0
1677628800000,43.08,44.85,42.78,44.35,0.0
1677715200000,44.35,44.46,42.9,43.64,0.0
1677801600000,43.65,43.68,36.57,39.59,0.0
1677888000000,39.59,39.92,37.25,38.54,0.0
1677974400000,38.54,39.28,37.73,38.07,0.0
1678060800000,38.07,38.83,37.34,38.49,0.0
1678147200000,38.48,38.9,36.38,37.63,0.0
1678233600000,37.64,37.88,34.94,35.66,0.0
1678320000000,35.66,37.07,32.92,34.18,0.0
1678406400000,34.17,34.19,30.51,32.03,0.0
1678492800000,32.04,32.88,29.69,31.36,0.0
1678579200000,31.36,34.37,30.46,34.22,0.0
1678665600000,34.22,35.67,32.55,35.28,0.0
1678752000000,35.27,37.81,34.33,36.19,0.0
1678838400000,36.19,37.15,32.57,33.24,0.0
1678924800000,33.23,34.32,32.72,33.86,0.0
1679011200000,33.87,37.16,33.34,37.13,0.0
1679097600000,37.13,37.99,35.16,35.97,0.0
1679184000000,35.98,37.59,35.64,36.62,0.0
1679270400000,36.63,37.79,34.0,34.31,0.0
1679356800000,34.3,37.1,33.16,36.36,0.0
1679443200000,36.37,36.49,33.46,34.62,0.0
1679529600000,34.62,38.22,34.24,38.04,0.0
1679616000000,38.04,38.64,34.95,35.82,0.0
1679702400000,35.82,36.11,34.66,35.53,0.0
1679788800000,35.53,36.83,35.19,36.24,0.0
1679875200000,36.24,37.4,34.5,35.85,0.0
1679961600000,35.85,37.19,35.36,36.34,0.0
1680048000000,36.34,38.1,36.2,37.13,0.0
1680134400000,37.14,37.98,36.06,37.84,0.0
1680220800000,37.84,39.28,37.38,38.74,0.0
1680307200000,38.73,38.89,37.23,38.28,0.0
