entry_i,exit_i,entry_dt,exit_dt,side,entry_px,exit_px,pnl_usd,equity,bars
5,6,2026-05-01 10:00:00+00:00,2026-05-01 12:00:00+00:00,L,77420.1,78882.794,178.93,10178.93,1
6,7,2026-05-01 12:00:00+00:00,2026-05-01 14:00:00+00:00,S,78700.0,78026.9638,76.87,10255.8,1
7,8,2026-05-01 14:00:00+00:00,2026-05-01 16:00:00+00:00,L,78399.2,78632.2493,20.23,10276.03,1
12,13,2026-05-02 00:00:00+00:00,2026-05-02 02:00:00+00:00,S,78296.0,78206.4601,1.48,10277.51,1
19,20,2026-05-02 14:00:00+00:00,2026-05-02 16:00:00+00:00,L,78450.0,78558.5565,3.94,10281.45,1
36,37,2026-05-04 00:00:00+00:00,2026-05-04 02:00:00+00:00,S,79759.9,79512.0137,21.67,10303.12,1
44,45,2026-05-04 16:00:00+00:00,2026-05-04 18:00:00+00:00,L,80349.1,80386.2655,-5.54,10297.59,1
48,49,2026-05-05 00:00:00+00:00,2026-05-05 02:00:00+00:00,S,80313.1,80274.6181,-5.36,10292.22,1
55,56,2026-05-05 14:00:00+00:00,2026-05-05 16:00:00+00:00,L,81490.6,81569.0383,-0.39,10291.84,1
60,61,2026-05-06 00:00:00+00:00,2026-05-06 02:00:00+00:00,S,81384.3,80995.1645,38.92,10330.75,1
65,66,2026-05-06 10:00:00+00:00,2026-05-06 12:00:00+00:00,L,82486.4,82500.6657,-8.54,10322.21,1
66,67,2026-05-06 12:00:00+00:00,2026-05-06 14:00:00+00:00,S,81628.8,81100.9521,56.43,10378.64,1
72,73,2026-05-07 00:00:00+00:00,2026-05-07 02:00:00+00:00,L,81132.1,81134.0468,-10.13,10368.51,1
77,78,2026-05-07 10:00:00+00:00,2026-05-07 12:00:00+00:00,S,80835.0,80237.6838,66.25,10434.75,1
84,85,2026-05-08 00:00:00+00:00,2026-05-08 02:00:00+00:00,L,79707.0,79710.7439,-9.94,10424.81,1
96,97,2026-05-09 00:00:00+00:00,2026-05-09 02:00:00+00:00,S,80280.5,80270.5687,-9.14,10415.67,1
102,103,2026-05-09 12:00:00+00:00,2026-05-09 14:00:00+00:00,L,80361.2,80558.8016,15.2,10430.87,1
109,110,2026-05-10 02:00:00+00:00,2026-05-10 04:00:00+00:00,S,80733.4,80639.0697,1.76,10432.63,1
