entry_i,exit_i,entry_dt,exit_dt,side,entry_px,exit_px,pnl_usd,equity,bars
8,9,2024-08-01 16:00:00+00:00,2024-08-01 18:00:00+00:00,S,63175.3,62764.9184,54.96,10054.96,1
10,11,2024-08-01 20:00:00+00:00,2024-08-01 22:00:00+00:00,L,64849.9,65622.8571,109.79,10164.75,1
12,13,2024-08-02 00:00:00+00:00,2024-08-02 02:00:00+00:00,S,64629.5,63662.142,141.98,10306.73,1
17,18,2024-08-02 10:00:00+00:00,2024-08-02 12:00:00+00:00,L,64639.4,65477.58,123.34,10430.07,1
19,20,2024-08-02 14:00:00+00:00,2024-08-02 16:00:00+00:00,S,63374.6,62952.3159,59.07,10489.14,1
24,25,2024-08-03 00:00:00+00:00,2024-08-03 02:00:00+00:00,L,61288.5,61928.1781,98.99,10588.13,1
32,33,2024-08-03 16:00:00+00:00,2024-08-03 18:00:00+00:00,S,60539.8,59886.4245,103.68,10691.81,1
38,39,2024-08-04 04:00:00+00:00,2024-08-04 06:00:00+00:00,L,60761.2,60825.7637,0.67,10692.48,1
39,40,2024-08-04 06:00:00+00:00,2024-08-04 08:00:00+00:00,S,60340.4,60087.1935,34.18,10726.66,1
41,42,2024-08-04 10:00:00+00:00,2024-08-04 12:00:00+00:00,L,60870.0,61046.355,20.35,10747.01,1
46,47,2024-08-04 20:00:00+00:00,2024-08-04 22:00:00+00:00,S,58435.5,57985.4509,72.02,10819.03,1
48,49,2024-08-05 00:00:00+00:00,2024-08-05 02:00:00+00:00,L,54396.9,54668.0645,43.11,10862.14,1
52,53,2024-08-05 08:00:00+00:00,2024-08-05 10:00:00+00:00,S,52629.6,50612.3166,405.48,11267.63,1
56,57,2024-08-05 16:00:00+00:00,2024-08-05 18:00:00+00:00,L,54679.3,54680.0426,-11.11,11256.51,1
60,61,2024-08-06 00:00:00+00:00,2024-08-06 02:00:00+00:00,S,55696.7,55466.1996,35.33,11291.84,1
