entry_i,exit_i,entry_dt,exit_dt,side,entry_px,exit_px,pnl_usd,equity,bars
1,2,2024-08-01 02:00:00+00:00,2024-08-01 04:00:00+00:00,L,3176.67,3187.7859,24.99,10024.99,1
3,4,2024-08-01 06:00:00+00:00,2024-08-01 08:00:00+00:00,S,3164.86,3164.2549,-8.11,10016.88,1
11,12,2024-08-01 22:00:00+00:00,2024-08-02 00:00:00+00:00,L,3202.0,3216.4905,35.31,10052.2,1
12,13,2024-08-02 00:00:00+00:00,2024-08-02 02:00:00+00:00,S,3171.99,3135.0031,107.16,10159.36,1
19,20,2024-08-02 14:00:00+00:00,2024-08-02 16:00:00+00:00,L,3036.64,3045.6727,20.06,10179.42,1
20,21,2024-08-02 16:00:00+00:00,2024-08-02 18:00:00+00:00,S,3023.81,2992.1615,96.36,10275.78,1
24,25,2024-08-03 00:00:00+00:00,2024-08-03 02:00:00+00:00,L,2954.82,2980.7167,79.78,10355.57,1
33,34,2024-08-03 18:00:00+00:00,2024-08-03 20:00:00+00:00,S,2892.12,2856.5472,117.02,10472.58,1
36,37,2024-08-04 00:00:00+00:00,2024-08-04 02:00:00+00:00,L,2905.52,2932.6294,87.24,10559.82,1
39,40,2024-08-04 06:00:00+00:00,2024-08-04 08:00:00+00:00,S,2891.48,2874.5402,51.31,10611.13,1
40,41,2024-08-04 08:00:00+00:00,2024-08-04 10:00:00+00:00,L,2911.36,2923.0231,31.9,10643.03,1
47,48,2024-08-04 22:00:00+00:00,2024-08-05 00:00:00+00:00,S,2687.41,2088.8732,2359.76,13002.78,1
48,49,2024-08-05 00:00:00+00:00,2024-08-05 02:00:00+00:00,L,2316.57,2342.2649,131.22,13134.01,1
60,61,2024-08-06 00:00:00+00:00,2024-08-06 02:00:00+00:00,S,2515.14,2482.0438,159.69,13293.7,1
91,92,2024-08-08 14:00:00+00:00,2024-08-08 16:00:00+00:00,L,2505.87,2605.2958,514.16,13807.86,1
96,97,2024-08-09 00:00:00+00:00,2024-08-09 02:00:00+00:00,S,2669.35,2658.9623,39.93,13847.79,1
108,109,2024-08-10 00:00:00+00:00,2024-08-10 02:00:00+00:00,L,2598.52,2612.8522,62.53,13910.32,1
117,118,2024-08-10 18:00:00+00:00,2024-08-10 20:00:00+00:00,S,2601.61,2595.8393,16.94,13927.26,1
132,133,2024-08-12 00:00:00+00:00,2024-08-12 02:00:00+00:00,L,2548.21,2555.4365,25.57,13952.83,1
144,145,2024-08-13 00:00:00+00:00,2024-08-13 02:00:00+00:00,S,2732.51,2649.0303,412.31,14365.14,1
145,146,2024-08-13 02:00:00+00:00,2024-08-13 04:00:00+00:00,L,2655.3,2662.32,23.61,14388.76,1
146,147,2024-08-13 04:00:00+00:00,2024-08-13 06:00:00+00:00,S,2651.24,2634.5007,76.46,14465.22,1
152,153,2024-08-13 16:00:00+00:00,2024-08-13 18:00:00+00:00,L,2712.05,2717.0811,12.37,14477.59,1
158,159,2024-08-14 04:00:00+00:00,2024-08-14 06:00:00+00:00,S,2722.83,2716.6284,18.5,14496.08,1
160,161,2024-08-14 08:00:00+00:00,2024-08-14 10:00:00+00:00,L,2720.27,2761.086,203.01,14699.09,1
161,162,2024-08-14 10:00:00+00:00,2024-08-14 12:00:00+00:00,S,2748.39,2649.4436,514.49,15213.58,1
162,163,2024-08-14 12:00:00+00:00,2024-08-14 14:00:00+00:00,L,2657.8,2683.6493,132.75,15346.33,1
164,165,2024-08-14 16:00:00+00:00,2024-08-14 18:00:00+00:00,S,2657.32,2645.5208,52.8,15399.13,1
168,169,2024-08-15 00:00:00+00:00,2024-08-15 02:00:00+00:00,L,2642.81,2661.0813,91.06,15490.19,1
178,179,2024-08-15 20:00:00+00:00,2024-08-15 22:00:00+00:00,S,2570.52,2559.728,49.54,15539.74,1
180,181,2024-08-16 00:00:00+00:00,2024-08-16 02:00:00+00:00,L,2571.19,2608.2786,208.62,15748.35,1
187,188,2024-08-16 14:00:00+00:00,2024-08-16 16:00:00+00:00,S,2567.0,2562.724,10.48,15758.84,1
188,189,2024-08-16 16:00:00+00:00,2024-08-16 18:00:00+00:00,L,2609.59,2628.7382,99.87,15858.71,1
192,193,2024-08-17 00:00:00+00:00,2024-08-17 02:00:00+00:00,S,2602.32,2587.4883,74.53,15933.24,1
196,197,2024-08-17 08:00:00+00:00,2024-08-17 10:00:00+00:00,L,2602.76,2604.2466,-6.83,15926.41,1
197,198,2024-08-17 10:00:00+00:00,2024-08-17 12:00:00+00:00,S,2598.05,2595.995,-3.33,15923.08,1
198,199,2024-08-17 12:00:00+00:00,2024-08-17 14:00:00+00:00,L,2603.37,2617.2981,69.27,15992.34,1
208,209,2024-08-18 08:00:00+00:00,2024-08-18 10:00:00+00:00,S,2643.99,2640.9163,2.6,15994.94,1
209,210,2024-08-18 10:00:00+00:00,2024-08-18 12:00:00+00:00,L,2648.17,2686.4373,215.14,16210.08,1
219,220,2024-08-19 06:00:00+00:00,2024-08-19 08:00:00+00:00,S,2612.79,2565.117,279.56,16489.64,1
220,221,2024-08-19 08:00:00+00:00,2024-08-19 10:00:00+00:00,L,2578.3,2590.1409,59.24,16548.88,1
221,222,2024-08-19 10:00:00+00:00,2024-08-19 12:00:00+00:00,S,2586.23,2560.9972,144.91,16693.79,1
225,226,2024-08-19 18:00:00+00:00,2024-08-19 20:00:00+00:00,L,2605.45,2624.4757,105.21,16799.0,1
228,229,2024-08-20 00:00:00+00:00,2024-08-20 02:00:00+00:00,S,2650.73,2644.1531,24.88,16823.88,1
240,241,2024-08-21 00:00:00+00:00,2024-08-21 02:00:00+00:00,L,2583.38,2595.9608,65.11,16888.99,1
245,246,2024-08-21 10:00:00+00:00,2024-08-21 12:00:00+00:00,S,2576.34,2533.5661,263.51,17152.5,1
248,249,2024-08-21 16:00:00+00:00,2024-08-21 18:00:00+00:00,L,2625.03,2648.9371,139.06,17291.56,1
252,253,2024-08-22 00:00:00+00:00,2024-08-22 02:00:00+00:00,S,2626.69,2583.049,270.0,17561.56,1
253,254,2024-08-22 02:00:00+00:00,2024-08-22 04:00:00+00:00,L,2614.96,2625.0981,50.52,17612.08,1
259,260,2024-08-22 14:00:00+00:00,2024-08-22 16:00:00+00:00,S,2598.15,2596.3674,-5.53,17606.55,1
263,264,2024-08-22 22:00:00+00:00,2024-08-23 00:00:00+00:00,L,2622.0,2652.0243,184.0,17790.56,1
264,265,2024-08-23 00:00:00+00:00,2024-08-23 02:00:00+00:00,S,2636.98,2632.0614,15.39,17805.95,1
272,273,2024-08-23 16:00:00+00:00,2024-08-23 18:00:00+00:00,L,2726.41,2749.343,131.97,17937.92,1
276,277,2024-08-24 00:00:00+00:00,2024-08-24 02:00:00+00:00,S,2752.13,2743.0506,41.24,17979.16,1
285,286,2024-08-24 18:00:00+00:00,2024-08-24 20:00:00+00:00,L,2791.42,2805.6336,73.57,18052.73,1
286,287,2024-08-24 20:00:00+00:00,2024-08-24 22:00:00+00:00,S,2738.19,2736.1367,-4.52,18048.21,1
288,289,2024-08-25 00:00:00+00:00,2024-08-25 02:00:00+00:00,L,2757.84,2765.1234,29.62,18077.83,1
306,307,2024-08-26 12:00:00+00:00,2024-08-26 14:00:00+00:00,S,2726.01,2702.1192,140.36,18218.19,1
312,313,2024-08-27 00:00:00+00:00,2024-08-27 02:00:00+00:00,L,2679.0,2688.4926,46.33,18264.52,1
320,321,2024-08-27 16:00:00+00:00,2024-08-27 18:00:00+00:00,S,2584.99,2575.7923,46.72,18311.24,1
324,325,2024-08-28 00:00:00+00:00,2024-08-28 02:00:00+00:00,L,2441.25,2479.1561,266.01,18577.26,1
336,337,2024-08-29 00:00:00+00:00,2024-08-29 02:00:00+00:00,S,2520.88,2510.4744,58.11,18635.36,1
340,341,2024-08-29 08:00:00+00:00,2024-08-29 10:00:00+00:00,L,2542.7,2572.9662,203.18,18838.55,1
346,347,2024-08-29 20:00:00+00:00,2024-08-29 22:00:00+00:00,S,2528.0,2504.2108,158.44,18996.99,1
348,349,2024-08-30 00:00:00+00:00,2024-08-30 02:00:00+00:00,L,2523.59,2527.4423,10.0,19006.99,1
360,361,2024-08-31 00:00:00+00:00,2024-08-31 02:00:00+00:00,S,2524.49,2517.4995,33.62,19040.61,1
372,373,2024-09-01 00:00:00+00:00,2024-09-01 02:00:00+00:00,L,2492.8,2494.1349,-8.84,19031.77,1
380,381,2024-09-01 16:00:00+00:00,2024-09-01 18:00:00+00:00,S,2469.79,2467.5912,-2.09,19029.68,1
381,382,2024-09-01 18:00:00+00:00,2024-09-01 20:00:00+00:00,L,2500.26,2514.6785,90.71,19120.39,1
383,384,2024-09-01 22:00:00+00:00,2024-09-02 00:00:00+00:00,S,2424.25,2422.2639,-3.46,19116.93,1
384,385,2024-09-02 00:00:00+00:00,2024-09-02 02:00:00+00:00,L,2438.82,2450.5131,72.54,19189.48,1
388,389,2024-09-02 08:00:00+00:00,2024-09-02 10:00:00+00:00,S,2514.83,2509.3145,22.9,19212.37,1
389,390,2024-09-02 10:00:00+00:00,2024-09-02 12:00:00+00:00,L,2514.41,2522.5477,42.97,19255.34,1
396,397,2024-09-03 00:00:00+00:00,2024-09-03 02:00:00+00:00,S,2534.48,2513.8292,137.64,19392.98,1
397,398,2024-09-03 02:00:00+00:00,2024-09-03 04:00:00+00:00,L,2514.68,2524.0477,52.85,19445.82,1
400,401,2024-09-03 08:00:00+00:00,2024-09-03 10:00:00+00:00,S,2502.5,2497.6243,18.44,19464.27,1
408,409,2024-09-04 00:00:00+00:00,2024-09-04 02:00:00+00:00,L,2364.09,2380.1179,112.5,19576.76,1
420,421,2024-09-05 00:00:00+00:00,2024-09-05 02:00:00+00:00,S,2456.97,2403.5386,406.16,19982.92,1
421,422,2024-09-05 02:00:00+00:00,2024-09-05 04:00:00+00:00,L,2404.35,2416.8263,83.71,20066.63,1
425,426,2024-09-05 10:00:00+00:00,2024-09-05 12:00:00+00:00,S,2388.57,2375.7285,87.82,20154.45,1
435,436,2024-09-06 06:00:00+00:00,2024-09-06 08:00:00+00:00,L,2342.93,2357.6385,106.37,20260.82,1
440,441,2024-09-06 16:00:00+00:00,2024-09-06 18:00:00+00:00,S,2244.37,2206.6363,320.38,20581.19,1
444,445,2024-09-07 00:00:00+00:00,2024-09-07 02:00:00+00:00,L,2225.52,2239.9075,112.47,20693.67,1
456,460,2024-09-08 00:00:00+00:00,2024-09-08 08:00:00+00:00,S,2278.99,2293.89,-155.99,20537.68,4
460,461,2024-09-08 08:00:00+00:00,2024-09-08 10:00:00+00:00,L,2293.89,2307.2055,98.68,20636.36,1
463,464,2024-09-08 14:00:00+00:00,2024-09-08 16:00:00+00:00,S,2244.43,2242.4036,-2.0,20634.35,1
467,468,2024-09-08 22:00:00+00:00,2024-09-09 00:00:00+00:00,L,2296.21,2319.3931,187.7,20822.05,1
468,469,2024-09-09 00:00:00+00:00,2024-09-09 02:00:00+00:00,S,2310.37,2289.5944,166.42,20988.46,1
474,475,2024-09-09 12:00:00+00:00,2024-09-09 14:00:00+00:00,L,2319.51,2320.588,-11.23,20977.23,1
475,476,2024-09-09 14:00:00+00:00,2024-09-09 16:00:00+00:00,S,2291.29,2290.3283,-12.17,20965.06,1
476,477,2024-09-09 16:00:00+00:00,2024-09-09 18:00:00+00:00,L,2341.02,2352.1546,78.75,21043.81,1
