entry_i,exit_i,entry_dt,exit_dt,side,entry_px,exit_px,pnl_usd,equity,bars
3,4,2026-05-01 06:00:00+00:00,2026-05-01 08:00:00+00:00,L,77095.0,77448.9198,35.91,10035.91,1
6,7,2026-05-01 12:00:00+00:00,2026-05-01 14:00:00+00:00,S,78684.0,78029.6867,73.42,10109.33,1
7,8,2026-05-01 14:00:00+00:00,2026-05-01 16:00:00+00:00,L,78414.0,78607.7109,14.86,10124.19,1
12,13,2026-05-02 00:00:00+00:00,2026-05-02 02:00:00+00:00,S,78300.0,78203.6069,2.34,10126.53,1
19,20,2026-05-02 14:00:00+00:00,2026-05-02 16:00:00+00:00,L,78448.0,78534.8072,1.08,10127.61,1
36,37,2026-05-04 00:00:00+00:00,2026-05-04 02:00:00+00:00,S,79736.0,79513.0643,18.19,10145.8,1
45,46,2026-05-04 18:00:00+00:00,2026-05-04 20:00:00+00:00,L,79998.0,80317.5446,30.38,10176.18,1
48,49,2026-05-05 00:00:00+00:00,2026-05-05 02:00:00+00:00,S,80297.0,80273.3435,-7.18,10169.0,1
55,56,2026-05-05 14:00:00+00:00,2026-05-05 16:00:00+00:00,L,81486.0,81566.73,-0.09,10168.91,1
60,61,2026-05-06 00:00:00+00:00,2026-05-06 02:00:00+00:00,S,81400.0,81023.2527,36.9,10205.8,1
65,66,2026-05-06 10:00:00+00:00,2026-05-06 12:00:00+00:00,L,82479.0,82483.3558,-9.67,10196.14,1
66,67,2026-05-06 12:00:00+00:00,2026-05-06 14:00:00+00:00,S,81642.0,81101.9396,57.25,10253.39,1
72,75,2026-05-07 00:00:00+00:00,2026-05-07 06:00:00+00:00,L,81135.0,81662.4791,56.41,10309.71,3
77,78,2026-05-07 10:00:00+00:00,2026-05-07 12:00:00+00:00,S,80826.0,80241.8769,64.2,10373.91,1
84,86,2026-05-08 00:00:00+00:00,2026-05-08 04:00:00+00:00,L,79699.0,79740.1332,-5.02,10368.85,2
96,97,2026-05-09 00:00:00+00:00,2026-05-09 02:00:00+00:00,S,80301.0,80290.2257,-8.98,10359.87,1
103,104,2026-05-09 14:00:00+00:00,2026-05-09 16:00:00+00:00,L,80480.0,80870.5472,39.91,10399.78,1
108,109,2026-05-10 00:00:00+00:00,2026-05-10 02:00:00+00:00,S,80653.0,80577.3667,-0.65,10399.14,1
111,112,2026-05-10 06:00:00+00:00,2026-05-10 08:00:00+00:00,L,80700.0,80882.3816,13.1,10412.24,1
115,116,2026-05-10 14:00:00+00:00,2026-05-10 16:00:00+00:00,S,81375.0,81155.9059,17.62,10429.86,1
116,117,2026-05-10 16:00:00+00:00,2026-05-10 18:00:00+00:00,L,81421.0,81447.0559,-7.09,10422.77,1
120,121,2026-05-11 00:00:00+00:00,2026-05-11 02:00:00+00:00,S,81465.0,80502.7226,112.69,10535.46,1
