entry_i,exit_i,entry_dt,exit_dt,side,entry_px,exit_px,pnl_usd,equity,bars
2,3,2024-08-01 08:00:00+00:00,2024-08-01 12:00:00+00:00,L,64721.0,64980.8196,30.14,10030.14,1
6,7,2024-08-02 00:00:00+00:00,2024-08-02 04:00:00+00:00,S,64659.0,63858.3031,114.18,10144.32,1
9,10,2024-08-02 12:00:00+00:00,2024-08-02 16:00:00+00:00,L,63457.0,63615.2557,15.15,10159.48,1
11,12,2024-08-02 20:00:00+00:00,2024-08-03 00:00:00+00:00,S,61527.0,60534.0948,153.79,10313.27,1
12,13,2024-08-03 00:00:00+00:00,2024-08-03 04:00:00+00:00,L,61926.0,61967.9591,-3.33,10309.94,1
30,31,2024-08-06 00:00:00+00:00,2024-08-06 04:00:00+00:00,S,55644.0,55278.1205,57.48,10367.42,1
47,48,2024-08-08 20:00:00+00:00,2024-08-09 00:00:00+00:00,L,61640.0,61657.4079,-7.44,10359.98,1
48,49,2024-08-09 00:00:00+00:00,2024-08-09 04:00:00+00:00,S,61324.0,60587.2498,114.11,10474.09,1
54,55,2024-08-10 00:00:00+00:00,2024-08-10 04:00:00+00:00,L,60420.0,60865.8762,66.82,10540.91,1
56,57,2024-08-10 08:00:00+00:00,2024-08-10 12:00:00+00:00,S,60922.0,60411.6115,77.77,10618.68,1
59,60,2024-08-10 20:00:00+00:00,2024-08-11 00:00:00+00:00,L,60930.0,61467.2001,83.0,10701.68,1
60,61,2024-08-11 00:00:00+00:00,2024-08-11 04:00:00+00:00,S,61141.0,60898.6956,31.71,10733.39,1
66,67,2024-08-12 00:00:00+00:00,2024-08-12 04:00:00+00:00,L,58524.0,59036.1979,83.2,10816.6,1
69,70,2024-08-12 12:00:00+00:00,2024-08-12 16:00:00+00:00,S,60228.0,58482.245,302.71,11119.31,1
72,73,2024-08-13 00:00:00+00:00,2024-08-13 04:00:00+00:00,L,59050.0,59450.3507,64.27,11183.57,1
75,76,2024-08-13 12:00:00+00:00,2024-08-13 16:00:00+00:00,S,59469.0,59456.1296,-8.76,11174.81,1
81,82,2024-08-14 12:00:00+00:00,2024-08-14 16:00:00+00:00,L,59425.0,59464.7213,-3.71,11171.11,1
83,84,2024-08-14 20:00:00+00:00,2024-08-15 00:00:00+00:00,S,58730.0,57738.7993,177.37,11348.47,1
84,85,2024-08-15 00:00:00+00:00,2024-08-15 04:00:00+00:00,L,58482.0,58618.575,15.15,11363.63,1
