entry_i,exit_i,entry_dt,exit_dt,side,entry_px,exit_px,pnl_usd,equity,bars
5,6,2026-05-01 10:00:00+00:00,2026-05-01 12:00:00+00:00,L,2285.3,2322.3807,152.26,10152.26,1
6,7,2026-05-01 12:00:00+00:00,2026-05-01 14:00:00+00:00,S,2317.3,2298.4197,72.56,10224.82,1
7,8,2026-05-01 14:00:00+00:00,2026-05-01 16:00:00+00:00,L,2306.9,2312.8942,16.34,10241.16,1
11,12,2026-05-01 22:00:00+00:00,2026-05-02 00:00:00+00:00,S,2294.7,2292.3453,0.27,10241.43,1
16,17,2026-05-02 08:00:00+00:00,2026-05-02 10:00:00+00:00,L,2304.3,2304.6381,-8.74,10232.69,1
36,37,2026-05-04 00:00:00+00:00,2026-05-04 02:00:00+00:00,S,2349.9,2344.9198,11.45,10244.15,1
72,74,2026-05-07 00:00:00+00:00,2026-05-07 04:00:00+00:00,L,2326.0,2332.3331,17.65,10261.73,2
78,79,2026-05-07 12:00:00+00:00,2026-05-07 14:00:00+00:00,S,2313.3,2285.4813,113.14,10374.87,1
84,85,2026-05-08 00:00:00+00:00,2026-05-08 02:00:00+00:00,L,2284.3,2284.3636,-10.09,10364.79,1
96,97,2026-05-09 00:00:00+00:00,2026-05-09 02:00:00+00:00,S,2314.0,2312.674,-4.43,10360.36,1
104,105,2026-05-09 16:00:00+00:00,2026-05-09 18:00:00+00:00,L,2328.8,2337.1885,26.96,10387.32,1
120,121,2026-05-11 00:00:00+00:00,2026-05-11 02:00:00+00:00,S,2358.3,2319.6443,159.87,10547.19,1
131,132,2026-05-11 22:00:00+00:00,2026-05-12 00:00:00+00:00,L,2339.0,2339.5812,-7.93,10539.27,1
137,138,2026-05-12 10:00:00+00:00,2026-05-12 12:00:00+00:00,S,2285.8,2267.889,72.04,10611.31,1
148,149,2026-05-13 08:00:00+00:00,2026-05-13 10:00:00+00:00,L,2320.7,2320.9348,-9.54,10601.77,1
149,150,2026-05-13 10:00:00+00:00,2026-05-13 12:00:00+00:00,S,2301.3,2258.2091,187.91,10789.69,1
157,158,2026-05-14 02:00:00+00:00,2026-05-14 04:00:00+00:00,L,2241.3,2272.5755,139.77,10929.46,1
172,173,2026-05-15 08:00:00+00:00,2026-05-15 10:00:00+00:00,S,2253.3,2251.7346,-3.34,10926.12,1
183,184,2026-05-16 06:00:00+00:00,2026-05-16 08:00:00+00:00,L,2193.7,2195.283,-3.04,10923.08,1
185,186,2026-05-16 10:00:00+00:00,2026-05-16 12:00:00+00:00,S,2175.6,2172.1947,6.17,10929.25,1
192,193,2026-05-17 00:00:00+00:00,2026-05-17 02:00:00+00:00,L,2168.0,2182.5762,62.55,10991.81,1
211,212,2026-05-18 14:00:00+00:00,2026-05-18 16:00:00+00:00,S,2106.4,2090.4269,72.36,11064.17,1
214,215,2026-05-18 20:00:00+00:00,2026-05-18 22:00:00+00:00,L,2136.8,2142.636,19.15,11083.32,1
221,222,2026-05-19 10:00:00+00:00,2026-05-19 12:00:00+00:00,S,2109.8,2107.3286,1.9,11085.22,1
232,233,2026-05-20 08:00:00+00:00,2026-05-20 10:00:00+00:00,L,2128.6,2135.9453,27.17,11112.39,1
240,241,2026-05-21 00:00:00+00:00,2026-05-21 02:00:00+00:00,S,2140.5,2139.3651,-5.22,11107.17,1
248,249,2026-05-21 16:00:00+00:00,2026-05-21 18:00:00+00:00,L,2146.2,2147.1929,-5.97,11101.2,1
252,253,2026-05-22 00:00:00+00:00,2026-05-22 02:00:00+00:00,S,2135.2,2134.1508,-5.65,11095.55,1
256,257,2026-05-22 08:00:00+00:00,2026-05-22 10:00:00+00:00,L,2123.4,2130.2749,24.83,11120.38,1
259,260,2026-05-22 14:00:00+00:00,2026-05-22 16:00:00+00:00,S,2119.1,2117.7185,-3.87,11116.51,1
261,262,2026-05-22 18:00:00+00:00,2026-05-22 20:00:00+00:00,L,2064.7,2078.3181,62.2,11178.71,1
263,264,2026-05-22 22:00:00+00:00,2026-05-23 00:00:00+00:00,S,2064.8,2052.4839,55.5,11234.21,1
264,265,2026-05-23 00:00:00+00:00,2026-05-23 02:00:00+00:00,L,2068.1,2070.833,3.61,11237.83,1
269,270,2026-05-23 10:00:00+00:00,2026-05-23 12:00:00+00:00,S,2030.4,2026.0794,12.68,11250.5,1
