entry_i,exit_i,entry_dt,exit_dt,side,entry_px,exit_px,pnl_usd,equity,bars
4,5,2026-05-01 08:00:00+00:00,2026-05-01 10:00:00+00:00,L,83.918,84.147,17.29,10017.29,1
6,7,2026-05-01 12:00:00+00:00,2026-05-01 14:00:00+00:00,S,84.555,83.8692,71.23,10088.52,1
7,8,2026-05-01 14:00:00+00:00,2026-05-01 16:00:00+00:00,L,84.431,84.5689,6.39,10094.91,1
9,10,2026-05-01 18:00:00+00:00,2026-05-01 20:00:00+00:00,S,83.856,83.3144,55.11,10150.02,1
19,20,2026-05-02 14:00:00+00:00,2026-05-02 16:00:00+00:00,L,84.007,84.2188,15.45,10165.47,1
36,37,2026-05-04 00:00:00+00:00,2026-05-04 02:00:00+00:00,S,84.735,84.7234,-8.78,10156.69,1
56,57,2026-05-05 16:00:00+00:00,2026-05-05 18:00:00+00:00,L,85.416,86.5113,120.09,10276.78,1
60,61,2026-05-06 00:00:00+00:00,2026-05-06 02:00:00+00:00,S,86.801,86.3594,42.01,10318.78,1
65,66,2026-05-06 10:00:00+00:00,2026-05-06 12:00:00+00:00,L,89.855,89.9246,-2.33,10316.46,1
75,76,2026-05-07 06:00:00+00:00,2026-05-07 08:00:00+00:00,S,90.121,89.2193,92.9,10409.36,1
84,85,2026-05-08 00:00:00+00:00,2026-05-08 02:00:00+00:00,L,88.088,88.2978,14.38,10423.74,1
92,93,2026-05-08 16:00:00+00:00,2026-05-08 18:00:00+00:00,S,91.635,92.589,-118.94,10304.72,1
93,94,2026-05-08 18:00:00+00:00,2026-05-08 20:00:00+00:00,L,92.589,92.6393,-4.7,10300.01,1
96,97,2026-05-09 00:00:00+00:00,2026-05-09 02:00:00+00:00,S,93.531,93.349,9.74,10309.75,1
108,109,2026-05-10 00:00:00+00:00,2026-05-10 02:00:00+00:00,L,92.943,93.4489,45.81,10355.56,1
116,117,2026-05-10 16:00:00+00:00,2026-05-10 18:00:00+00:00,S,96.592,95.8539,68.77,10424.33,1
117,118,2026-05-10 18:00:00+00:00,2026-05-10 20:00:00+00:00,L,96.543,96.657,1.88,10426.21,1
120,121,2026-05-11 00:00:00+00:00,2026-05-11 02:00:00+00:00,S,96.11,94.4912,165.19,10591.4,1
121,122,2026-05-11 02:00:00+00:00,2026-05-11 04:00:00+00:00,L,94.788,95.8686,110.15,10701.55,1
124,125,2026-05-11 08:00:00+00:00,2026-05-11 10:00:00+00:00,S,95.285,94.9516,26.74,10728.29,1
127,128,2026-05-11 14:00:00+00:00,2026-05-11 16:00:00+00:00,L,96.806,97.9952,121.06,10849.35,1
137,138,2026-05-12 10:00:00+00:00,2026-05-12 12:00:00+00:00,S,94.964,94.3751,56.43,10905.77,1
150,151,2026-05-13 12:00:00+00:00,2026-05-13 14:00:00+00:00,L,92.23,92.2649,-6.78,10898.99,1
151,156,2026-05-13 14:00:00+00:00,2026-05-14 00:00:00+00:00,S,90.399,91.141,-100.35,10798.23,5
156,157,2026-05-14 00:00:00+00:00,2026-05-14 02:00:00+00:00,L,91.141,91.194,-4.52,10793.7,1
163,164,2026-05-14 14:00:00+00:00,2026-05-14 16:00:00+00:00,S,93.113,92.2655,87.45,10881.16,1
