entry_i,exit_i,entry_dt,exit_dt,side,entry_px,exit_px,pnl_usd,equity,bars
3,4,2026-05-01 06:00:00+00:00,2026-05-01 08:00:00+00:00,L,77095.0,77448.9198,15.91,10015.91,1
7,8,2026-05-01 14:00:00+00:00,2026-05-01 16:00:00+00:00,L,78414.0,78607.7109,-5.3,10010.6,1
19,20,2026-05-02 14:00:00+00:00,2026-05-02 16:00:00+00:00,L,78448.0,78534.8072,-18.95,9991.65,1
45,46,2026-05-04 18:00:00+00:00,2026-05-04 20:00:00+00:00,L,79998.0,80317.5446,9.94,10001.58,1
55,56,2026-05-05 14:00:00+00:00,2026-05-05 16:00:00+00:00,L,81486.0,81566.73,-20.1,9981.49,1
65,66,2026-05-06 10:00:00+00:00,2026-05-06 12:00:00+00:00,L,82479.0,82483.3558,-29.42,9952.07,1
72,75,2026-05-07 00:00:00+00:00,2026-05-07 06:00:00+00:00,L,81135.0,81662.4791,34.84,9986.83,3
84,86,2026-05-08 00:00:00+00:00,2026-05-08 04:00:00+00:00,L,79699.0,79740.1332,-24.81,9961.99,2
103,104,2026-05-09 14:00:00+00:00,2026-05-09 16:00:00+00:00,L,80480.0,80870.5472,18.46,9980.45,1
111,112,2026-05-10 06:00:00+00:00,2026-05-10 08:00:00+00:00,L,80700.0,80882.3816,-7.39,9973.06,1
116,117,2026-05-10 16:00:00+00:00,2026-05-10 18:00:00+00:00,L,81421.0,81447.0559,-26.73,9946.33,1
121,122,2026-05-11 02:00:00+00:00,2026-05-11 04:00:00+00:00,L,80720.0,80945.6347,-2.04,9944.3,1
127,128,2026-05-11 14:00:00+00:00,2026-05-11 16:00:00+00:00,L,81405.0,81987.476,41.32,9985.62,1
150,151,2026-05-13 12:00:00+00:00,2026-05-13 14:00:00+00:00,L,79620.0,79863.4193,0.57,9986.19,1
157,158,2026-05-14 02:00:00+00:00,2026-05-14 04:00:00+00:00,L,79000.0,79947.2504,89.78,10075.97,1
165,166,2026-05-14 18:00:00+00:00,2026-05-14 20:00:00+00:00,L,81368.0,81524.8658,-10.8,10065.17,1
174,175,2026-05-15 12:00:00+00:00,2026-05-15 14:00:00+00:00,L,78715.0,79323.6388,47.63,10112.8,1
180,181,2026-05-16 00:00:00+00:00,2026-05-16 02:00:00+00:00,L,79122.0,79157.7502,-25.77,10087.03,1
192,193,2026-05-17 00:00:00+00:00,2026-05-17 02:00:00+00:00,L,77697.0,78036.0449,13.76,10100.78,1
214,215,2026-05-18 20:00:00+00:00,2026-05-18 22:00:00+00:00,L,77082.0,77201.9581,-14.58,10086.2,1
231,232,2026-05-20 06:00:00+00:00,2026-05-20 08:00:00+00:00,L,77248.0,77606.378,16.53,10102.74,1
252,253,2026-05-22 00:00:00+00:00,2026-05-22 02:00:00+00:00,L,77581.0,77769.3439,-5.78,10096.95,1
264,265,2026-05-23 00:00:00+00:00,2026-05-23 02:00:00+00:00,L,75452.0,75621.3931,-7.62,10089.33,1
291,292,2026-05-25 06:00:00+00:00,2026-05-25 08:00:00+00:00,L,77366.0,77662.5573,8.41,10097.74,1
312,313,2026-05-27 00:00:00+00:00,2026-05-27 02:00:00+00:00,L,75838.0,75922.1915,-19.08,10078.65,1
324,325,2026-05-28 00:00:00+00:00,2026-05-28 02:00:00+00:00,L,74300.0,74337.2369,-25.18,10053.47,1
337,338,2026-05-29 02:00:00+00:00,2026-05-29 04:00:00+00:00,L,73261.0,73683.8973,27.87,10081.34,1
344,345,2026-05-29 16:00:00+00:00,2026-05-29 18:00:00+00:00,L,73942.0,74018.4009,-19.83,10061.51,1
353,354,2026-05-30 10:00:00+00:00,2026-05-30 12:00:00+00:00,L,73574.0,73818.5058,3.25,10064.77,1
372,373,2026-06-01 00:00:00+00:00,2026-06-01 02:00:00+00:00,L,73268.0,73991.4208,69.18,10133.95,1
378,379,2026-06-01 12:00:00+00:00,2026-06-01 14:00:00+00:00,L,71700.0,71866.0998,-6.93,10127.02,1
384,385,2026-06-02 00:00:00+00:00,2026-06-02 02:00:00+00:00,L,70633.0,71014.4161,24.3,10151.33,1
396,397,2026-06-03 00:00:00+00:00,2026-06-03 02:00:00+00:00,L,66881.0,66886.4224,-29.63,10121.7,1
408,409,2026-06-04 00:00:00+00:00,2026-06-04 02:00:00+00:00,L,62148.0,64484.2005,350.12,10471.82,1
432,433,2026-06-06 00:00:00+00:00,2026-06-06 02:00:00+00:00,L,61045.0,61144.9096,-14.28,10457.54,1
448,449,2026-06-07 08:00:00+00:00,2026-06-07 10:00:00+00:00,L,62521.0,62746.2101,6.3,10463.84,1
455,456,2026-06-07 22:00:00+00:00,2026-06-08 00:00:00+00:00,L,63309.0,63842.6956,56.82,10520.65,1
461,462,2026-06-08 10:00:00+00:00,2026-06-08 12:00:00+00:00,L,63454.0,63908.8645,43.85,10564.51,1
468,469,2026-06-09 00:00:00+00:00,2026-06-09 02:00:00+00:00,L,62730.0,62931.1233,2.18,10566.69,1
480,481,2026-06-10 00:00:00+00:00,2026-06-10 02:00:00+00:00,L,61684.0,61794.5876,-12.76,10553.93,1
487,493,2026-06-10 14:00:00+00:00,2026-06-11 02:00:00+00:00,L,62609.0,62784.3894,-2.1,10551.62,6
496,497,2026-06-11 08:00:00+00:00,2026-06-11 10:00:00+00:00,L,62895.0,63230.3437,24.6,10576.23,1
512,513,2026-06-12 16:00:00+00:00,2026-06-12 18:00:00+00:00,L,63841.0,63896.0979,-22.6,10553.63,1
519,520,2026-06-13 06:00:00+00:00,2026-06-13 08:00:00+00:00,L,63829.0,63899.9946,-19.92,10533.7,1
533,534,2026-06-14 10:00:00+00:00,2026-06-14 12:00:00+00:00,L,64518.0,64532.5828,-29.22,10504.48,1
