entry_i,exit_i,entry_dt,exit_dt,side,entry_px,exit_px,pnl_usd,equity,bars
9,10,2024-08-01 18:00:00+00:00,2024-08-01 20:00:00+00:00,S,63395.7,63301.7193,4.82,10004.82,1
10,11,2024-08-01 20:00:00+00:00,2024-08-01 22:00:00+00:00,L,64849.9,65632.7743,110.77,10115.6,1
12,13,2024-08-02 00:00:00+00:00,2024-08-02 02:00:00+00:00,S,64629.5,63651.6189,142.94,10258.54,1
19,20,2024-08-02 14:00:00+00:00,2024-08-02 16:00:00+00:00,L,63374.6,63577.5912,22.6,10281.14,1
20,21,2024-08-02 16:00:00+00:00,2024-08-02 18:00:00+00:00,S,63064.5,62483.975,84.36,10365.5,1
24,25,2024-08-03 00:00:00+00:00,2024-08-03 02:00:00+00:00,L,61288.5,61941.2838,100.04,10465.53,1
33,34,2024-08-03 18:00:00+00:00,2024-08-03 20:00:00+00:00,S,60216.3,59823.7461,57.76,10523.29,1
36,37,2024-08-04 00:00:00+00:00,2024-08-04 02:00:00+00:00,L,60713.3,61086.4119,54.15,10577.44,1
39,40,2024-08-04 06:00:00+00:00,2024-08-04 08:00:00+00:00,S,60340.4,60077.4925,35.51,10612.95,1
41,42,2024-08-04 10:00:00+00:00,2024-08-04 12:00:00+00:00,L,60870.0,61055.4073,21.71,10634.66,1
47,48,2024-08-04 22:00:00+00:00,2024-08-05 00:00:00+00:00,S,58131.6,52160.2883,1081.76,11716.43,1
48,49,2024-08-05 00:00:00+00:00,2024-08-05 02:00:00+00:00,L,54396.9,54685.3419,50.41,11766.84,1
53,54,2024-08-05 10:00:00+00:00,2024-08-05 12:00:00+00:00,S,51302.1,49524.5362,395.94,12162.78,1
55,56,2024-08-05 14:00:00+00:00,2024-08-05 16:00:00+00:00,L,54282.8,55551.3651,272.08,12434.86,1
60,61,2024-08-06 00:00:00+00:00,2024-08-06 02:00:00+00:00,S,55696.7,55443.4933,44.1,12478.95,1
68,69,2024-08-06 16:00:00+00:00,2024-08-06 18:00:00+00:00,L,56471.3,57053.3076,116.13,12595.09,1
72,73,2024-08-07 00:00:00+00:00,2024-08-07 02:00:00+00:00,S,56934.9,56439.0348,97.1,12692.19,1
89,90,2024-08-08 10:00:00+00:00,2024-08-08 12:00:00+00:00,L,57295.1,58453.7305,243.97,12936.16,1
96,97,2024-08-09 00:00:00+00:00,2024-08-09 02:00:00+00:00,S,61367.0,61110.7369,41.08,12977.24,1
107,108,2024-08-09 22:00:00+00:00,2024-08-10 00:00:00+00:00,L,60814.9,61457.8196,124.21,13101.46,1
120,121,2024-08-11 00:00:00+00:00,2024-08-11 02:00:00+00:00,S,61089.5,60951.3023,16.54,13117.99,1
132,133,2024-08-12 00:00:00+00:00,2024-08-12 02:00:00+00:00,L,58562.1,58804.4755,41.17,13159.17,1
141,142,2024-08-12 18:00:00+00:00,2024-08-12 20:00:00+00:00,S,59015.6,58518.6203,97.66,13256.82,1
152,153,2024-08-13 16:00:00+00:00,2024-08-13 18:00:00+00:00,L,61132.5,61178.057,-3.38,13253.45,1
156,157,2024-08-14 00:00:00+00:00,2024-08-14 02:00:00+00:00,S,60500.0,60470.7754,-6.85,13246.59,1
161,162,2024-08-14 10:00:00+00:00,2024-08-14 12:00:00+00:00,L,61255.6,61948.5112,136.6,13383.19,1
164,165,2024-08-14 16:00:00+00:00,2024-08-14 18:00:00+00:00,S,59131.2,58701.7882,83.81,13467.0,1
168,169,2024-08-15 00:00:00+00:00,2024-08-15 02:00:00+00:00,L,58165.3,58536.641,72.51,13539.51,1
178,179,2024-08-15 20:00:00+00:00,2024-08-15 22:00:00+00:00,S,57607.8,57357.0313,45.4,13584.9,1
180,181,2024-08-16 00:00:00+00:00,2024-08-16 02:00:00+00:00,L,57522.1,58542.7679,227.46,13812.37,1
192,193,2024-08-17 00:00:00+00:00,2024-08-17 02:00:00+00:00,S,59215.0,58961.9032,45.22,13857.59,1
198,199,2024-08-17 12:00:00+00:00,2024-08-17 14:00:00+00:00,L,59308.0,59664.7465,69.5,13927.09,1
204,205,2024-08-18 00:00:00+00:00,2024-08-18 02:00:00+00:00,S,59418.8,59263.1356,22.56,13949.65,1
205,206,2024-08-18 02:00:00+00:00,2024-08-18 04:00:00+00:00,L,59306.7,59664.8821,70.3,14019.95,1
215,216,2024-08-18 22:00:00+00:00,2024-08-19 00:00:00+00:00,S,58406.4,58141.8223,49.49,14069.44,1
216,217,2024-08-19 00:00:00+00:00,2024-08-19 02:00:00+00:00,L,58525.0,58738.907,37.35,14106.79,1
222,223,2024-08-19 12:00:00+00:00,2024-08-19 14:00:00+00:00,S,58177.7,58048.0745,17.32,14124.12,1
223,224,2024-08-19 14:00:00+00:00,2024-08-19 16:00:00+00:00,L,58511.7,59270.7761,169.11,14293.23,1
228,229,2024-08-20 00:00:00+00:00,2024-08-20 02:00:00+00:00,S,60425.0,60311.3908,12.58,14305.81,1
235,236,2024-08-20 14:00:00+00:00,2024-08-20 16:00:00+00:00,L,58804.4,59028.5661,40.23,14346.04,1
236,237,2024-08-20 16:00:00+00:00,2024-08-20 18:00:00+00:00,S,59005.0,58964.119,-4.41,14341.63,1
240,241,2024-08-21 00:00:00+00:00,2024-08-21 02:00:00+00:00,L,59250.0,59483.4544,42.17,14383.8,1
252,253,2024-08-22 00:00:00+00:00,2024-08-22 02:00:00+00:00,S,60936.6,59625.4811,295.1,14678.9,1
253,254,2024-08-22 02:00:00+00:00,2024-08-22 04:00:00+00:00,L,60523.6,60824.9747,58.41,14737.31,1
260,261,2024-08-22 16:00:00+00:00,2024-08-22 18:00:00+00:00,S,60133.6,60101.3844,-6.84,14730.47,1
270,271,2024-08-23 12:00:00+00:00,2024-08-23 14:00:00+00:00,L,61089.6,62318.4159,281.57,15012.04,1
271,272,2024-08-23 14:00:00+00:00,2024-08-23 16:00:00+00:00,S,61504.0,61313.0347,31.6,15043.64,1
272,273,2024-08-23 16:00:00+00:00,2024-08-23 18:00:00+00:00,L,62975.0,63798.3,181.63,15225.27,1
276,277,2024-08-24 00:00:00+00:00,2024-08-24 02:00:00+00:00,S,63800.2,63732.0518,1.04,15226.31,1
282,283,2024-08-24 12:00:00+00:00,2024-08-24 14:00:00+00:00,L,64192.0,64198.8324,-13.61,15212.7,1
283,284,2024-08-24 14:00:00+00:00,2024-08-24 16:00:00+00:00,S,63946.3,63819.2587,15.01,15227.71,1
285,286,2024-08-24 18:00:00+00:00,2024-08-24 20:00:00+00:00,L,64186.3,64311.9335,14.58,15242.29,1
286,287,2024-08-24 20:00:00+00:00,2024-08-24 22:00:00+00:00,S,63593.4,63554.2615,-5.86,15236.43,1
296,297,2024-08-25 16:00:00+00:00,2024-08-25 18:00:00+00:00,L,64114.5,64223.7894,10.74,15247.16,1
307,308,2024-08-26 14:00:00+00:00,2024-08-26 16:00:00+00:00,S,63504.2,63163.8361,66.47,15313.63,1
312,313,2024-08-27 00:00:00+00:00,2024-08-27 02:00:00+00:00,L,62970.6,63169.5354,33.06,15346.7,1
317,318,2024-08-27 10:00:00+00:00,2024-08-27 12:00:00+00:00,S,62393.8,62014.0007,78.07,15424.77,1
324,325,2024-08-28 00:00:00+00:00,2024-08-28 02:00:00+00:00,L,59345.7,59636.0963,60.05,15484.82,1
332,333,2024-08-28 16:00:00+00:00,2024-08-28 18:00:00+00:00,S,58606.8,58540.557,2.02,15486.84,1
336,337,2024-08-29 00:00:00+00:00,2024-08-29 02:00:00+00:00,L,58969.1,59166.5448,36.37,15523.21,1
338,339,2024-08-29 04:00:00+00:00,2024-08-29 06:00:00+00:00,S,59409.9,59342.3385,2.13,15525.34,1
339,340,2024-08-29 06:00:00+00:00,2024-08-29 08:00:00+00:00,L,59550.0,59742.3127,34.61,15559.95,1
346,347,2024-08-29 20:00:00+00:00,2024-08-29 22:00:00+00:00,S,59449.5,58619.7888,201.6,15761.55,1
348,349,2024-08-30 00:00:00+00:00,2024-08-30 02:00:00+00:00,L,59186.0,59307.8953,16.7,15778.25,1
360,361,2024-08-31 00:00:00+00:00,2024-08-31 02:00:00+00:00,S,59246.4,59103.1907,22.36,15800.62,1
372,373,2024-09-01 00:00:00+00:00,2024-09-01 02:00:00+00:00,L,58803.9,58829.8509,-8.83,15791.79,1
380,381,2024-09-01 16:00:00+00:00,2024-09-01 18:00:00+00:00,S,58095.1,58087.3475,-13.68,15778.1,1
381,382,2024-09-01 18:00:00+00:00,2024-09-01 20:00:00+00:00,L,58481.5,58642.1499,27.56,15805.67,1
383,384,2024-09-01 22:00:00+00:00,2024-09-02 00:00:00+00:00,S,57266.1,57073.4346,37.37,15843.04,1
384,385,2024-09-02 00:00:00+00:00,2024-09-02 02:00:00+00:00,L,57386.0,57748.6821,84.29,15927.32,1
396,397,2024-09-03 00:00:00+00:00,2024-09-03 02:00:00+00:00,S,59359.9,59051.1677,66.91,15994.24,1
408,409,2024-09-04 00:00:00+00:00,2024-09-04 02:00:00+00:00,L,56751.1,56823.9217,4.53,15998.76,1
414,415,2024-09-04 12:00:00+00:00,2024-09-04 14:00:00+00:00,S,56466.2,56131.4289,78.85,16077.62,1
415,416,2024-09-04 14:00:00+00:00,2024-09-04 16:00:00+00:00,L,58098.7,58498.3695,94.52,16172.14,1
420,421,2024-09-05 00:00:00+00:00,2024-09-05 02:00:00+00:00,S,57998.9,56887.3742,293.76,16465.9,1
421,422,2024-09-05 02:00:00+00:00,2024-09-05 04:00:00+00:00,L,57094.1,57268.4819,33.83,16499.73,1
425,426,2024-09-05 10:00:00+00:00,2024-09-05 12:00:00+00:00,S,56665.9,56295.5901,91.33,16591.05,1
435,436,2024-09-06 06:00:00+00:00,2024-09-06 08:00:00+00:00,L,55763.9,55898.6442,23.5,16614.55,1
440,441,2024-09-06 16:00:00+00:00,2024-09-06 18:00:00+00:00,S,53910.0,53235.8199,191.16,16805.71,1
444,445,2024-09-07 00:00:00+00:00,2024-09-07 02:00:00+00:00,L,53794.4,53927.6328,24.82,16830.53,1
454,455,2024-09-07 20:00:00+00:00,2024-09-07 22:00:00+00:00,S,53906.8,53783.6765,21.61,16852.14,1
460,461,2024-09-08 08:00:00+00:00,2024-09-08 10:00:00+00:00,L,54426.1,54645.6313,51.12,16903.26,1
463,464,2024-09-08 14:00:00+00:00,2024-09-08 16:00:00+00:00,S,53670.0,53608.5705,2.44,16905.71,1
464,465,2024-09-08 16:00:00+00:00,2024-09-08 18:00:00+00:00,L,54482.4,54518.8681,-5.59,16900.12,1
468,469,2024-09-09 00:00:00+00:00,2024-09-09 02:00:00+00:00,S,55079.2,54772.1943,77.3,16977.42,1
474,475,2024-09-09 12:00:00+00:00,2024-09-09 14:00:00+00:00,L,55662.8,55727.5328,2.77,16980.18,1
480,481,2024-09-10 00:00:00+00:00,2024-09-10 02:00:00+00:00,S,56872.7,56491.8377,96.73,17076.91,1
483,484,2024-09-10 06:00:00+00:00,2024-09-10 08:00:00+00:00,L,57191.4,57344.7142,28.7,17105.62,1
504,505,2024-09-12 00:00:00+00:00,2024-09-12 02:00:00+00:00,S,58118.1,57813.7853,72.46,17178.08,1
512,513,2024-09-12 16:00:00+00:00,2024-09-12 18:00:00+00:00,L,58380.1,58444.6011,1.8,17179.88,1
516,517,2024-09-13 00:00:00+00:00,2024-09-13 02:00:00+00:00,S,58109.9,57801.2748,74.06,17253.94,1
