entry_i,exit_i,entry_dt,exit_dt,side,entry_px,exit_px,pnl_usd,equity,bars
9,10,2024-08-01 18:00:00+00:00,2024-08-01 20:00:00+00:00,S,63395.7,63315.3934,2.67,10002.67,1
10,11,2024-08-01 20:00:00+00:00,2024-08-01 22:00:00+00:00,L,64849.9,65619.0428,108.63,10111.3,1
12,13,2024-08-02 00:00:00+00:00,2024-08-02 02:00:00+00:00,S,64629.5,63666.1893,140.6,10251.9,1
19,20,2024-08-02 14:00:00+00:00,2024-08-02 16:00:00+00:00,L,63374.6,63560.4121,19.81,10271.71,1
20,21,2024-08-02 16:00:00+00:00,2024-08-02 18:00:00+00:00,S,63064.5,62500.8501,81.53,10353.24,1
24,25,2024-08-03 00:00:00+00:00,2024-08-03 02:00:00+00:00,L,61288.5,61923.1375,96.85,10450.09,1
33,34,2024-08-03 18:00:00+00:00,2024-08-03 20:00:00+00:00,S,60216.3,59839.4607,54.95,10505.04,1
36,37,2024-08-04 00:00:00+00:00,2024-08-04 02:00:00+00:00,L,60713.3,61072.1186,51.58,10556.62,1
39,40,2024-08-04 06:00:00+00:00,2024-08-04 08:00:00+00:00,S,60340.4,60090.9247,33.09,10589.71,1
41,42,2024-08-04 10:00:00+00:00,2024-08-04 12:00:00+00:00,L,60870.0,61042.8733,19.49,10609.2,1
47,48,2024-08-04 22:00:00+00:00,2024-08-05 00:00:00+00:00,S,58131.6,52184.4831,1074.76,11683.95,1
48,49,2024-08-05 00:00:00+00:00,2024-08-05 02:00:00+00:00,L,54396.9,54661.4193,45.13,11729.09,1
53,54,2024-08-05 10:00:00+00:00,2024-08-05 12:00:00+00:00,S,51302.1,49555.4618,387.6,12116.69,1
55,56,2024-08-05 14:00:00+00:00,2024-08-05 16:00:00+00:00,L,54282.8,55518.6508,263.74,12380.43,1
60,61,2024-08-06 00:00:00+00:00,2024-08-06 02:00:00+00:00,S,55696.7,55474.9328,36.91,12417.34,1
68,69,2024-08-06 16:00:00+00:00,2024-08-06 18:00:00+00:00,L,56471.3,57028.1756,110.03,12527.38,1
72,73,2024-08-07 00:00:00+00:00,2024-08-07 02:00:00+00:00,S,56934.9,56462.7478,91.36,12618.74,1
89,90,2024-08-08 10:00:00+00:00,2024-08-08 12:00:00+00:00,L,57295.1,58434.2047,238.26,12857.0,1
96,97,2024-08-09 00:00:00+00:00,2024-08-09 02:00:00+00:00,S,61367.0,61131.7685,36.43,12893.42,1
107,108,2024-08-09 22:00:00+00:00,2024-08-10 00:00:00+00:00,L,60814.9,61439.0955,119.44,13012.86,1
120,121,2024-08-11 00:00:00+00:00,2024-08-11 02:00:00+00:00,S,61089.5,60963.0227,13.93,13026.79,1
132,133,2024-08-12 00:00:00+00:00,2024-08-12 02:00:00+00:00,L,58562.1,58791.6547,38.04,13064.83,1
141,142,2024-08-12 18:00:00+00:00,2024-08-12 20:00:00+00:00,S,59015.6,58537.7027,92.73,13157.56,1
152,153,2024-08-13 16:00:00+00:00,2024-08-13 18:00:00+00:00,L,61132.5,61160.5705,-7.12,13150.45,1
156,157,2024-08-14 00:00:00+00:00,2024-08-14 02:00:00+00:00,S,60500.0,60486.7542,-10.27,13140.17,1
161,162,2024-08-14 10:00:00+00:00,2024-08-14 12:00:00+00:00,L,61255.6,61932.4117,132.05,13272.22,1
164,165,2024-08-14 16:00:00+00:00,2024-08-14 18:00:00+00:00,S,59131.2,58717.8817,79.5,13351.72,1
168,169,2024-08-15 00:00:00+00:00,2024-08-15 02:00:00+00:00,L,58165.3,58521.7096,68.46,13420.18,1
178,179,2024-08-15 20:00:00+00:00,2024-08-15 22:00:00+00:00,S,57607.8,57373.5126,41.16,13461.34,1
180,181,2024-08-16 00:00:00+00:00,2024-08-16 02:00:00+00:00,L,57522.1,58526.2792,221.54,13682.87,1
192,193,2024-08-17 00:00:00+00:00,2024-08-17 02:00:00+00:00,S,59215.0,58976.3319,41.47,13724.34,1
198,199,2024-08-17 12:00:00+00:00,2024-08-17 14:00:00+00:00,L,59308.0,59653.4646,66.22,13790.56,1
204,205,2024-08-18 00:00:00+00:00,2024-08-18 02:00:00+00:00,S,59418.8,59273.3557,19.97,13810.53,1
205,206,2024-08-18 02:00:00+00:00,2024-08-18 04:00:00+00:00,L,59306.7,59654.8212,67.26,13877.78,1
215,216,2024-08-18 22:00:00+00:00,2024-08-19 00:00:00+00:00,S,58406.4,58151.9233,46.59,13924.37,1
216,217,2024-08-19 00:00:00+00:00,2024-08-19 02:00:00+00:00,L,58525.0,58729.0698,34.63,13959.0,1
222,223,2024-08-19 12:00:00+00:00,2024-08-19 14:00:00+00:00,S,58177.7,58058.6454,14.61,13973.6,1
223,224,2024-08-19 14:00:00+00:00,2024-08-19 16:00:00+00:00,L,58511.7,59259.7607,164.68,14138.28,1
228,229,2024-08-20 00:00:00+00:00,2024-08-20 02:00:00+00:00,S,60425.0,60323.008,9.73,14148.01,1
235,236,2024-08-20 14:00:00+00:00,2024-08-20 16:00:00+00:00,L,58804.4,59015.6613,36.68,14184.69,1
236,237,2024-08-20 16:00:00+00:00,2024-08-20 18:00:00+00:00,S,59005.0,58976.89,-7.43,14177.26,1
240,241,2024-08-21 00:00:00+00:00,2024-08-21 02:00:00+00:00,L,59250.0,59471.3444,38.79,14216.04,1
252,253,2024-08-22 00:00:00+00:00,2024-08-22 02:00:00+00:00,S,60936.6,59639.711,288.34,14504.38,1
253,254,2024-08-22 02:00:00+00:00,2024-08-22 04:00:00+00:00,L,60523.6,60811.2473,54.43,14558.81,1
260,261,2024-08-22 16:00:00+00:00,2024-08-22 18:00:00+00:00,S,60133.6,60113.8442,-9.78,14549.04,1
270,271,2024-08-23 12:00:00+00:00,2024-08-23 14:00:00+00:00,L,61089.6,62306.8589,275.35,14824.39,1
271,272,2024-08-23 14:00:00+00:00,2024-08-23 16:00:00+00:00,S,61504.0,61325.9465,28.09,14852.48,1
272,273,2024-08-23 16:00:00+00:00,2024-08-23 18:00:00+00:00,L,62975.0,63784.7999,176.14,15028.62,1
276,277,2024-08-24 00:00:00+00:00,2024-08-24 02:00:00+00:00,S,63800.2,63746.0177,-2.27,15026.35,1
282,283,2024-08-24 12:00:00+00:00,2024-08-24 14:00:00+00:00,L,64192.0,63946.3,-72.54,14953.81,1
283,284,2024-08-24 14:00:00+00:00,2024-08-24 16:00:00+00:00,S,63946.3,63830.5866,12.11,14965.92,1
285,286,2024-08-24 18:00:00+00:00,2024-08-24 20:00:00+00:00,L,64186.3,64300.5352,11.67,14977.59,1
