entry_i,exit_i,entry_dt,exit_dt,side,entry_px,exit_px,pnl_usd,equity,bars
168,179,2024-08-15 00:00:00+00:00,2024-08-15 22:00:00+00:00,S,58165.3,57638.9454,804.93,10804.93,11
201,202,2024-08-17 18:00:00+00:00,2024-08-17 20:00:00+00:00,L,59447.5,59447.5,-108.05,10696.88,1
215,228,2024-08-18 22:00:00+00:00,2024-08-20 00:00:00+00:00,S,58406.4,60425.0,-3803.95,6892.93,13
228,229,2024-08-20 00:00:00+00:00,2024-08-20 02:00:00+00:00,L,60425.0,60425.0,-68.93,6824.0,1
323,328,2024-08-27 22:00:00+00:00,2024-08-28 08:00:00+00:00,S,59366.7,59353.6972,-53.29,6770.71,5
478,479,2024-09-09 20:00:00+00:00,2024-09-09 22:00:00+00:00,L,57433.4,57433.4,-67.71,6703.0,1
725,730,2024-09-30 10:00:00+00:00,2024-09-30 20:00:00+00:00,S,63793.8,63720.2073,10.3,6713.3,5
799,800,2024-10-06 14:00:00+00:00,2024-10-06 16:00:00+00:00,L,62683.7,62683.7,-67.13,6646.17,1
837,841,2024-10-09 18:00:00+00:00,2024-10-10 02:00:00+00:00,S,61007.9,60846.7928,109.05,6755.21,4
860,861,2024-10-11 16:00:00+00:00,2024-10-11 18:00:00+00:00,L,62899.9,62899.9,-67.55,6687.66,1
996,999,2024-10-23 00:00:00+00:00,2024-10-23 06:00:00+00:00,S,67343.7,67241.9936,34.12,6721.78,3
1017,1018,2024-10-24 18:00:00+00:00,2024-10-24 20:00:00+00:00,L,68276.9,68276.9,-67.22,6654.57,1
1028,1051,2024-10-25 16:00:00+00:00,2024-10-27 14:00:00+00:00,S,66800.1,67760.0,-1022.79,5631.78,23
1051,1052,2024-10-27 14:00:00+00:00,2024-10-27 16:00:00+00:00,L,67760.0,67760.0,-56.32,5575.46,1
1108,1109,2024-11-01 08:00:00+00:00,2024-11-01 10:00:00+00:00,S,69557.1,70034.6,-438.5,5136.96,1
1109,1110,2024-11-01 10:00:00+00:00,2024-11-01 12:00:00+00:00,L,70034.6,70034.6,-51.37,5085.59,1
1113,1131,2024-11-01 18:00:00+00:00,2024-11-03 06:00:00+00:00,S,69275.8,68708.9011,365.31,5450.9,18
