i,equity
0,100000.0
1,100000.0
2,100000.0
3,100000.0
4,100000.0
5,100000.0
6,100000.0
7,100000.0
8,100000.0
9,100000.0
10,100000.0
11,100000.0
12,100000.0
13,100000.0
14,100000.0
15,100000.0
16,100000.0
17,100000.0
18,100000.0
19,100000.0
20,100000.0
21,100000.0
22,100000.0
23,100000.0
24,100000.0
25,100000.0
26,100000.0
27,100000.0
28,100000.0
29,100000.0
30,100000.0
31,100000.0
32,100000.0
33,100000.0
34,100000.0
35,100000.0
36,100000.0
37,100000.0
38,100000.0
39,100000.0
40,100000.0
41,100000.0
42,100000.0
43,100000.0
44,100000.0
45,100000.0
46,100000.0
47,100000.0
48,100000.0
49,100000.0
50,100000.0
51,100000.0
52,100000.0
53,100000.0
54,100000.0
55,100000.0
56,100000.0
57,100000.0
58,100000.0
59,100000.0
60,100000.0
61,100000.0
62,100000.0
63,100000.0
64,100000.0
65,100000.0
66,100000.0
67,100000.0
68,100000.0
69,100000.0
70,100000.0
71,100000.0
72,100000.0
73,100000.0
74,100000.0
75,100000.0
76,100000.0
77,100000.0
78,100000.0
79,100000.0
80,100000.0
81,100000.0
82,100000.0
83,100000.0
84,100000.0
85,100000.0
86,100000.0
87,100000.0
88,100000.0
89,100000.0
90,100000.0
91,100000.0
92,100000.0
93,100000.0
94,100000.0
95,100000.0
96,100000.0
97,100000.0
98,100000.0
99,100000.0
100,100000.0
101,100000.0
102,100000.0
103,100000.0
104,100000.0
105,100000.0
106,100000.0
107,100000.0
108,100000.0
109,100000.0
110,100000.0
111,100000.0
112,100000.0
113,100000.0
114,100000.0
115,100000.0
116,100000.0
117,100000.0
118,100000.0
119,100000.0
120,100000.0
121,100000.0
122,100000.0
123,100000.0
124,100000.0
125,100000.0
126,100000.0
127,100000.0
128,98117.50677424515
129,99544.0
130,97541.62419843675
131,99088.0
132,97078.11792817549
133,98632.0
134,96649.72358286718
135,98176.0
136,96202.08874948388
137,97720.0
138,95837.66403695811
139,97264.0
140,95378.30708289283
141,96808.0
142,94882.01153697784
143,96352.0
144,94459.38147495638
145,95896.0
146,93992.95374737345
147,95440.0
148,93408.1495368871
149,94984.0
150,93009.4294558026
151,94528.0
152,92617.79224536753
153,94072.0
154,92119.54301267219
155,93616.0
156,91603.57753050447
157,93160.0
158,91221.3579371498
159,92704.0
160,90723.88292088755
161,92248.0
162,90204.05240512034
163,91792.0
164,89742.07642202757
165,91336.0
166,89273.91275603611
167,90880.0
168,88965.96955172926
169,90424.0
170,88219.72306924984
171,89968.0
172,87499.29791452656
173,89512.0
174,87024.79535148933
175,89056.0
176,86541.94576753306
177,88600.0
178,86064.63062136006
179,88144.0
180,85423.64733094894
181,87688.0
182,84905.98825033389
183,87232.0
184,84525.67063306445
185,84512.19631130075
186,84512.19631130075
187,84512.19631130075
188,84512.19631130075
189,84512.19631130075
190,84512.19631130075
191,84512.19631130075
192,84512.19631130075
193,84512.19631130075
194,84512.19631130075
195,84512.19631130075
196,84512.19631130075
197,84512.19631130075
198,84512.19631130075
199,84512.19631130075
200,84512.19631130075
201,84512.19631130075
202,84512.19631130075
203,84512.19631130075
204,84512.19631130075
205,84512.19631130075
206,84512.19631130075
207,84512.19631130075
208,84512.19631130075
209,84512.19631130075
210,84512.19631130075
211,84512.19631130075
212,84512.19631130075
213,84512.19631130075
214,84512.19631130075
215,84512.19631130075
216,84512.19631130075
217,84512.19631130075
218,84512.19631130075
219,84512.19631130075
220,84512.19631130075
221,84512.19631130075
222,84512.19631130075
223,84512.19631130075
224,84512.19631130075
225,84512.19631130075
226,84512.19631130075
227,84512.19631130075
228,84512.19631130075
229,84512.19631130075
230,84512.19631130075
231,84512.19631130075
232,84512.19631130075
233,84512.19631130075
234,84512.19631130075
235,84512.19631130075
236,84512.19631130075
237,84512.19631130075
238,84512.19631130075
239,84512.19631130075
240,84512.19631130075
241,84512.19631130075
242,84512.19631130075
243,84512.19631130075
244,84512.19631130075
245,84512.19631130075
246,84512.19631130075
247,84512.19631130075
248,84512.19631130075
249,84512.19631130075
250,84512.19631130075
251,84512.19631130075
252,84512.19631130075
253,84512.19631130075
254,84512.19631130075
255,84512.19631130075
256,84512.19631130075
257,84512.19631130075
258,84512.19631130075
259,84512.19631130075
260,84512.19631130075
261,84512.19631130075
262,84512.19631130075
263,84512.19631130075
264,84512.19631130075
265,84512.19631130075
266,84512.19631130075
267,84512.19631130075
268,84512.19631130075
269,84512.19631130075
270,84512.19631130075
271,84512.19631130075
272,84512.19631130075
273,84512.19631130075
274,84512.19631130075
275,84512.19631130075
276,84512.19631130075
277,84512.19631130075
278,84512.19631130075
279,84512.19631130075
280,84512.19631130075
281,84512.19631130075
282,84512.19631130075
283,84512.19631130075
284,84512.19631130075
285,84512.19631130075
286,84512.19631130075
287,84512.19631130075
288,83650.51334980832
289,84056.19631130075
290,83054.8261976318
291,83600.19631130075
292,82551.56053844359
293,83144.19631130075
294,82069.11460833212
295,82688.19631130075
296,81747.28696939535
297,82232.19631130075
298,81263.36485782424
299,81776.19631130075
300,80744.29987914607
301,81320.19631130075
302,80325.66398156265
303,80864.19631130075
304,79826.14448098425
305,80408.19631130075
306,79319.25103622786
307,79952.19631130075
308,78825.36469980431
309,79496.19631130075
310,78433.67607697907
311,79040.19631130075
312,77960.47020723038
313,78584.19631130075
314,77293.73834074961
315,78128.19631130075
316,76814.34922035875
317,77672.19631130075
318,76465.17740881858
319,77216.19631130075
320,76187.28705766577
321,76760.19631130075
322,75737.98557919479
323,76304.19631130075
324,75278.07926882287
325,75848.19631130075
326,74794.42175581527
327,75392.19631130075
328,74427.59147172041
329,74936.19631130075
330,73933.8722501791
331,74480.19631130075
332,73467.92891468696
333,74024.19631130075
334,72994.31918397291
335,73568.19631130075
336,72688.36745884715
337,73112.19631130075
338,72287.63374302167
339,72656.19631130075
340,71669.80386895085
341,72200.19631130075
342,71077.83502290372
343,71744.19631130075
344,70642.84275622293
345,71288.19631130075
346,70204.11825717252
347,70832.19631130075
348,69756.36955448221
349,70376.19631130075
350,69256.96146382527
351,69920.19631130075
352,68790.14077520146
353,69464.19631130075
354,68306.02369626777
355,69008.19631130075
356,67781.94527112295
357,68552.19631130075
358,67370.3839035536
359,68096.19631130075
360,66915.49103964829
361,67640.19631130075
362,66435.83732069393
363,67184.19631130075
364,65959.6860511461
365,66728.19631130075
366,65479.628471226366
367,66272.19631130075
368,65016.261490168436
369,65816.19631130075
370,64595.78732888061
371,65360.19631130075
372,64149.250209086385
373,64904.19631130075
374,63682.83338142794
375,64448.19631130075
376,63233.38567743501
377,63992.19631130075
378,62707.21135314235
379,63536.19631130075
380,62275.74938834848
381,63080.19631130075
382,61834.42068238346
383,62624.19631130075
384,61460.38356899282
385,62168.19631130075
386,60915.06762756574
387,61712.19631130075
388,60559.12766329561
389,61256.19631130075
390,60072.90075897387
391,60800.19631130075
392,59655.06562020111
393,60344.19631130075
394,59151.653735490974
395,59888.19631130075
396,58751.64418415512
397,59432.19631130075
398,58253.3571558331
399,58976.19631130075
400,57820.74627622396
401,58520.19631130075
402,57295.26130082046
403,58064.19631130075
404,56835.3967691691
405,57608.19631130075
406,56316.32482737083
407,57152.19631130075
408,55885.60095330676
409,56696.19631130075
410,55510.26173645879
411,56240.19631130075
412,55056.183557604345
413,55784.19631130075
414,54535.67245860933
415,55328.19631130075
416,54078.494979987576
417,54872.19631130075
418,53667.69204400768
419,54416.19631130075
420,53418.231548526266
421,53960.19631130075
422,52764.05980628425
423,53504.19631130075
424,52269.906712007374
425,53048.19631130075
426,51881.078732081034
427,52592.19631130075
428,51535.39942141269
429,52136.19631130075
430,51008.56955354951
431,51680.19631130075
432,50510.779513470494
433,51224.19631130075
434,50043.548178924415
435,50768.19631130075
436,49523.75531347534
437,50312.19631130075
438,48518.31870617433
439,49856.19631130075
440,48078.86611284116
441,49400.19631130075
442,47571.816492357844
443,48944.19631130075
444,47062.84388903661
445,48488.19631130075
446,46452.18311716697
447,48032.19631130075
448,46073.16513664564
449,46096.257784210815
450,46096.257784210815
451,46096.257784210815
452,46096.257784210815
453,46096.257784210815
454,46096.257784210815
455,46096.257784210815
456,46096.257784210815
457,46096.257784210815
458,46096.257784210815
459,46096.257784210815
460,46096.257784210815
461,46096.257784210815
462,46096.257784210815
463,46096.257784210815
464,46096.257784210815
465,46096.257784210815
466,46096.257784210815
467,46096.257784210815
468,46096.257784210815
469,46096.257784210815
470,46096.257784210815
471,46096.257784210815
472,46096.257784210815
473,46096.257784210815
474,46096.257784210815
475,46096.257784210815
476,46096.257784210815
477,46096.257784210815
478,46096.257784210815
479,46096.257784210815
480,46096.257784210815
481,46096.257784210815
482,46096.257784210815
483,46096.257784210815
484,46096.257784210815
485,46096.257784210815
486,46096.257784210815
487,46096.257784210815
488,46096.257784210815
489,46096.257784210815
490,46096.257784210815
491,46096.257784210815
492,46096.257784210815
493,46096.257784210815
494,46096.257784210815
495,46096.257784210815
496,46183.09317875673
497,46378.32621030524
498,46449.928764894496
499,46442.43412226737
500,46450.75398005863
501,46469.48818032209
502,46476.72638372496
503,46500.947610969684
504,46476.761784524795
505,46489.044092026335
506,46472.202161506495
507,46442.70090496691
508,46437.61558007111
509,46445.50337523
510,46445.50337523
511,46445.50337523
512,46445.50337523
513,46445.50337523
514,46445.50337523
515,46445.50337523
516,46445.50337523
517,46445.50337523
518,46445.50337523
519,46445.50337523
520,46445.50337523
521,46445.50337523
522,46445.50337523
523,46445.50337523
524,46445.50337523
525,46445.50337523
526,46445.50337523
527,46445.50337523
528,46445.50337523
529,46445.50337523
530,46445.50337523
531,46445.50337523
532,46445.50337523
533,46445.50337523
534,46445.50337523
535,46445.50337523
536,46445.50337523
537,46445.50337523
538,46445.50337523
539,46445.50337523
540,46445.50337523
541,46445.50337523
542,46445.50337523
543,46445.50337523
544,46445.50337523
545,46445.50337523
546,46445.50337523
547,46445.50337523
548,46445.50337523
549,46445.50337523
550,46445.50337523
551,46445.50337523
552,46445.50337523
553,46445.50337523
554,46445.50337523
555,46445.50337523
556,46445.50337523
557,46445.50337523
558,46445.50337523
559,46445.50337523
560,46445.50337523
561,46445.50337523
562,46445.50337523
563,46445.50337523
564,46445.50337523
565,46445.50337523
566,46445.50337523
567,46445.50337523
568,46445.50337523
569,46445.50337523
570,46445.50337523
571,46445.50337523
572,46445.50337523
573,46445.50337523
574,46445.50337523
575,46445.50337523
576,46445.50337523
577,46445.50337523
578,46445.50337523
579,46445.50337523
580,46445.50337523
581,46445.50337523
582,46445.50337523
583,46445.50337523
584,46445.50337523
585,46445.50337523
586,46445.50337523
587,46445.50337523
588,46445.50337523
589,46445.50337523
590,46445.50337523
591,46445.50337523
592,46445.50337523
593,46445.50337523
594,46445.50337523
595,46445.50337523
596,46445.50337523
597,46445.50337523
598,46445.50337523
599,46445.50337523
600,46445.50337523
601,46445.50337523
602,46445.50337523
603,46445.50337523
604,46445.50337523
605,46445.50337523
606,46445.50337523
607,46445.50337523
608,46445.50337523
609,46445.50337523
610,46445.50337523
611,46445.50337523
612,46202.285062660056
613,46277.40481455577
614,46381.90018927449
615,46293.29834182942
616,46342.3015574143
617,46287.832429921065
618,46232.354885524925
619,46219.66137923447
620,45916.01060028463
621,46200.14608630491
622,45808.03357816701
623,46056.49298203442
624,45708.92865094559
625,46026.7708998981
626,45621.35816085388
627,45877.956813014214
628,45436.658573942106
629,45761.07939112273
630,45150.61406878028
631,44350.0349868505
632,44344.81908966538
633,44344.81908966538
634,44344.81908966538
635,44344.81908966538
636,44344.81908966538
637,44344.81908966538
638,44344.81908966538
639,44344.81908966538
640,44344.81908966538
641,44344.81908966538
642,44344.81908966538
643,44344.81908966538
644,44344.81908966538
645,44344.81908966538
646,44344.81908966538
647,44344.81908966538
648,44344.81908966538
649,44344.81908966538
650,44344.81908966538
651,44344.81908966538
652,44344.81908966538
653,44344.81908966538
654,44344.81908966538
655,44344.81908966538
656,44344.81908966538
657,44344.81908966538
658,44344.81908966538
659,44344.81908966538
660,44344.81908966538
661,44344.81908966538
662,44344.81908966538
663,44344.81908966538
664,44344.81908966538
665,44344.81908966538
666,44344.81908966538
667,44344.81908966538
668,44344.81908966538
669,44344.81908966538
670,44344.81908966538
671,44344.81908966538
672,44344.81908966538
673,44344.81908966538
674,44344.81908966538
675,44344.81908966538
676,44344.81908966538
677,44344.81908966538
678,44344.81908966538
679,44344.81908966538
680,44344.81908966538
681,44344.81908966538
682,44344.81908966538
683,44344.81908966538
684,44344.81908966538
685,44344.81908966538
686,44344.81908966538
687,44344.81908966538
688,44344.81908966538
689,44344.81908966538
690,44344.81908966538
691,44344.81908966538
692,44344.81908966538
693,44344.81908966538
694,44344.81908966538
695,44344.81908966538
696,44344.81908966538
697,44344.81908966538
698,44344.81908966538
699,44344.81908966538
700,44344.81908966538
701,44344.81908966538
702,44344.81908966538
703,44344.81908966538
704,44344.81908966538
705,44344.81908966538
706,44344.81908966538
707,44344.81908966538
708,44344.81908966538
709,44344.81908966538
710,44344.81908966538
711,44344.81908966538
712,44344.81908966538
713,44344.81908966538
714,44344.81908966538
715,44344.81908966538
716,44344.81908966538
717,44344.81908966538
718,44344.81908966538
719,44344.81908966538
720,44344.81908966538
721,44344.81908966538
722,44344.81908966538
723,44344.81908966538
724,44344.81908966538
725,44344.81908966538
726,44344.81908966538
727,44344.81908966538
728,44344.81908966538
729,44344.81908966538
730,44344.81908966538
731,44344.81908966538
732,44344.81908966538
733,44344.81908966538
734,44344.81908966538
735,44344.81908966538
736,44344.81908966538
737,44344.81908966538
738,44344.81908966538
739,44344.81908966538
740,44344.81908966538
741,44344.81908966538
742,44344.81908966538
743,44344.81908966538
744,44344.81908966538
745,44344.81908966538
746,44344.81908966538
747,44344.81908966538
748,44344.81908966538
749,44344.81908966538
750,44344.81908966538
751,44344.81908966538
752,44344.81908966538
753,44344.81908966538
754,44344.81908966538
755,44344.81908966538
756,44344.81908966538
757,44344.81908966538
758,44344.81908966538
759,44344.81908966538
760,44344.81908966538
761,44344.81908966538
762,44344.81908966538
763,44344.81908966538
764,44344.81908966538
765,44344.81908966538
766,44344.81908966538
767,44344.81908966538
768,44344.81908966538
769,44344.81908966538
770,44344.81908966538
771,44344.81908966538
772,44344.81908966538
773,44344.81908966538
774,44344.81908966538
775,44344.81908966538
776,44344.81908966538
777,44344.81908966538
778,44344.81908966538
779,44344.81908966538
780,44344.81908966538
781,44344.81908966538
782,44344.81908966538
783,44344.81908966538
784,44344.81908966538
785,44344.81908966538
786,44344.81908966538
787,44344.81908966538
788,44344.81908966538
789,44344.81908966538
790,44344.81908966538
791,44344.81908966538
792,44344.81908966538
793,44344.81908966538
794,44344.81908966538
795,44344.81908966538
796,44344.81908966538
797,44344.81908966538
798,44344.81908966538
799,44344.81908966538
800,44344.81908966538
801,44344.81908966538
802,44344.81908966538
803,44344.81908966538
804,44344.81908966538
805,44344.81908966538
806,44344.81908966538
807,44344.81908966538
808,44344.81908966538
809,44344.81908966538
810,44344.81908966538
811,44344.81908966538
812,44344.81908966538
813,44344.81908966538
814,44344.81908966538
815,44344.81908966538
816,44344.81908966538
817,44344.81908966538
818,44344.81908966538
819,44344.81908966538
820,44344.81908966538
821,44344.81908966538
822,44344.81908966538
823,44344.81908966538
824,44344.81908966538
825,44344.81908966538
826,44344.81908966538
827,44344.81908966538
828,44344.81908966538
829,44344.81908966538
830,44344.81908966538
831,44344.81908966538
832,42326.053730322456
833,43888.81908966538
834,41815.03368967155
835,43432.81908966538
836,41184.44906761103
837,42976.81908966538
838,40658.266076296924
839,42520.81908966538
840,40157.004635124475
841,42064.81908966538
842,39552.32478056225
843,41608.81908966538
844,39157.250813906416
845,41152.81908966538
846,38613.95181432271
847,40696.81908966538
848,38303.19375241343
849,40240.81908966538
850,38168.91986174347
851,39784.81908966538
852,37587.803780973256
853,39328.81908966538
854,37118.955069802534
855,38872.81908966538
856,36687.983636799334
857,38416.81908966538
858,36174.36843741119
859,37960.81908966538
860,35720.60241426232
861,37504.81908966538
862,35235.56071519762
863,37048.81908966538
864,34857.26832913905
865,36592.81908966538
866,34355.164130232326
867,36136.81908966538
868,33904.84940066186
869,35680.81908966538
870,33471.75769621612
871,35224.81908966538
872,33024.43275003623
873,34768.81908966538
874,32398.04853954012
875,34312.81908966538
876,31993.409941455775
877,33856.81908966538
878,31527.885441347968
879,33400.81908966538
880,31112.03013913385
881,32944.81908966538
882,30666.33051144146
883,32488.819089665383
884,30249.806353882694
885,32032.819089665383
886,29784.536018805848
887,31576.819089665383
888,29340.849645700848
889,31120.819089665383
890,29683.956315003925
891,30664.819089665383
892,29486.409385977717
893,30208.819089665383
894,29092.806807410205
895,29752.819089665383
896,28782.111410526217
897,29296.819089665383
898,28241.615663366603
899,28840.819089665383
900,27774.168427193694
901,28384.819089665383
902,27379.08672812426
903,27928.819089665383
904,26971.532576891048
905,27472.819089665383
906,26435.60412458385
907,27016.819089665383
908,26406.48912124238
909,26574.400443396324
910,25981.63162174792
911,26256.319089665383
912,25531.211594774144
913,25839.135557689566
914,25258.32665257739
915,25495.819089665383
916,24763.764956008963
917,25064.307826586297
918,24523.758776622246
919,24776.345948595415
920,24176.292806391066
921,24451.85574953694
922,23890.150177939544
923,24172.094687205325
924,23774.633555938384
925,24053.329205414157
926,24172.259706361816
927,24218.619825083693
928,24174.674766831584
929,24296.755709134704
930,24307.667819971655
931,24303.575323340934
932,24275.356711902055
933,24302.675125085167
934,24331.793934779806
935,24337.440632929585
936,24368.404477065782
937,24311.863099017944
938,24318.91589196391
939,24080.3540954996
940,24080.3540954996
941,24080.3540954996
942,24080.3540954996
943,24080.3540954996
944,24080.3540954996
945,24080.3540954996
946,24080.3540954996
947,24080.3540954996
948,24080.3540954996
949,24080.3540954996
950,23016.158382218906
951,23624.3540954996
952,22656.990853951567
953,23168.3540954996
954,22151.231904398406
955,22712.3540954996
956,21728.309786978694
957,22256.3540954996
958,21469.24362114677
959,21800.3540954996
960,21064.24430034903
961,21371.584921541333
962,20991.356801102855
963,21136.273266674958
964,20780.674712301858
965,20804.798838948263
966,20512.01282524672
967,20571.157685608207
968,20368.475403596796
969,20445.084913986295
970,20153.777896694442
971,20214.885015783522
972,19952.54609469013
973,19941.813882034632
974,19648.079827937236
975,19641.432561556492
976,19464.74821432689
977,19468.32349362662
978,19160.765259701682
979,19128.4449000674
980,18833.394118162505
981,18869.60705170353
982,18594.388601695042
983,18709.74008283801
984,18294.39497187505
985,18114.079747046595
986,17833.07824749492
987,17769.501854767816
988,17557.243760054174
989,17454.763350614576
990,17171.564700888946
991,17204.249214648113
992,17007.817508211952
993,17060.552849885273
994,16817.737665617995
995,16968.13535924234
996,16731.521775902213
997,16783.81912780039
998,16442.146524883654
999,16438.02720675992
1000,16187.983375757827
1001,16303.007476796545
1002,16046.061698711559
1003,16197.066300066344
1004,16026.704722270902
1005,16027.422629765162
1006,15770.454153918186
1007,15840.358108979552
1008,15490.046704769087
1009,15549.29919620676
1010,15692.444687401485
1011,15536.95131229361
1012,15412.373872905302
1013,15272.496557082626
1014,15151.428253358286
1015,15099.06402059422
1016,14806.244142772182
1017,14752.344739624945
1018,14456.464753237186
1019,14373.24961519717
1020,14087.495473065319
1021,14069.211417914752
1022,13797.138614576972
1023,13904.857426004037
1024,13487.881144355111
1025,13581.748029260361
