bar,side,action,price,notional,fee
428,1,OPEN,25085.26,3750.0,0.75
428,1,OPEN,24959.21,3750.0,0.75
428,1,OPEN,24707.09,3750.0,0.75
428,1,OPEN,24454.98,3750.0,0.75
429,1,CLOSE,24583.56,3750.0,0.75
429,1,CLOSE,23960.84,3750.0,0.75
429,1,CLOSE,24212.95,3750.0,0.75
429,1,CLOSE,23476.78,3750.0,0.75
430,1,OPEN,25085.26,3750.0,0.75
430,1,OPEN,24959.21,3750.0,0.75
430,1,OPEN,24707.09,3750.0,0.75
430,1,OPEN,24454.98,3750.0,0.75
431,1,CLOSE,24583.56,3750.0,0.75
431,1,CLOSE,23960.84,3750.0,0.75
431,1,CLOSE,24212.95,3750.0,0.75
431,1,CLOSE,23476.78,3750.0,0.75
432,1,OPEN,25085.26,3750.0,0.75
432,1,OPEN,24959.21,3750.0,0.75
432,1,OPEN,24707.09,3750.0,0.75
432,1,OPEN,24454.98,3750.0,0.75
433,1,CLOSE,24583.56,3750.0,0.75
433,1,CLOSE,23960.84,3750.0,0.75
433,1,CLOSE,24212.95,3750.0,0.75
433,1,CLOSE,23476.78,3750.0,0.75
434,1,OPEN,25085.26,3750.0,0.75
434,1,OPEN,24959.21,3750.0,0.75
434,1,OPEN,24707.09,3750.0,0.75
434,1,OPEN,24454.98,3750.0,0.75
435,1,CLOSE,24583.56,3750.0,0.75
435,1,CLOSE,23960.84,3750.0,0.75
435,1,CLOSE,24212.95,3750.0,0.75
435,1,CLOSE,23476.78,3750.0,0.75
436,1,OPEN,25085.26,3750.0,0.75
436,1,OPEN,24959.21,3750.0,0.75
436,1,OPEN,24707.09,3750.0,0.75
436,1,OPEN,24454.98,3750.0,0.75
437,1,CLOSE,24583.56,3750.0,0.75
437,1,CLOSE,23960.84,3750.0,0.75
437,1,CLOSE,24212.95,3750.0,0.75
437,1,CLOSE,23476.78,3750.0,0.75
438,1,OPEN,25085.26,3750.0,0.75
438,1,OPEN,24959.21,3750.0,0.75
438,1,OPEN,24707.09,3750.0,0.75
438,1,OPEN,24454.98,3750.0,0.75
439,1,CLOSE,24583.56,3750.0,0.75
439,1,CLOSE,23960.84,3750.0,0.75
439,1,CLOSE,24212.95,3750.0,0.75
439,1,CLOSE,23476.78,3750.0,0.75
440,1,OPEN,25085.26,3750.0,0.75
440,1,OPEN,24959.21,3750.0,0.75
440,1,OPEN,24707.09,3750.0,0.75
440,1,OPEN,24454.98,3750.0,0.75
441,1,CLOSE,24583.56,3750.0,0.75
441,1,CLOSE,23960.84,3750.0,0.75
441,1,CLOSE,24212.95,3750.0,0.75
441,1,CLOSE,23476.78,3750.0,0.75
442,1,OPEN,25085.26,3750.0,0.75
442,1,OPEN,24959.21,3750.0,0.75
442,1,OPEN,24707.09,3750.0,0.75
442,1,OPEN,24454.98,3750.0,0.75
443,1,CLOSE,24583.56,3750.0,0.75
443,1,CLOSE,23960.84,3750.0,0.75
443,1,CLOSE,24212.95,3750.0,0.75
443,1,CLOSE,23476.78,3750.0,0.75
444,1,OPEN,25085.26,3750.0,0.75
444,1,OPEN,24959.21,3750.0,0.75
444,1,OPEN,24707.09,3750.0,0.75
444,1,OPEN,24454.98,3750.0,0.75
445,1,CLOSE,24583.56,3750.0,0.75
445,1,CLOSE,23960.84,3750.0,0.75
445,1,CLOSE,24212.95,3750.0,0.75
445,1,CLOSE,23476.78,3750.0,0.75
446,1,OPEN,25085.26,3750.0,0.75
446,1,OPEN,24959.21,3750.0,0.75
446,1,OPEN,24707.09,3750.0,0.75
446,1,OPEN,24454.98,3750.0,0.75
447,1,CLOSE,24583.56,3750.0,0.75
447,1,CLOSE,23960.84,3750.0,0.75
447,1,CLOSE,24212.95,3750.0,0.75
447,1,CLOSE,23476.78,3750.0,0.75
448,1,OPEN,25085.26,3750.0,0.75
448,1,OPEN,24959.21,3750.0,0.75
448,1,OPEN,24707.09,3750.0,0.75
448,1,OPEN,24454.98,3750.0,0.75
449,1,CLOSE,24583.56,3750.0,0.75
449,1,CLOSE,23960.84,3750.0,0.75
449,1,CLOSE,24212.95,3750.0,0.75
449,1,CLOSE,23476.78,3750.0,0.75
450,1,OPEN,25085.26,3750.0,0.75
450,1,OPEN,24959.21,3750.0,0.75
450,1,OPEN,24707.09,3750.0,0.75
450,1,OPEN,24454.98,3750.0,0.75
451,1,CLOSE,24583.56,3750.0,0.75
451,1,CLOSE,23960.84,3750.0,0.75
451,1,CLOSE,24212.95,3750.0,0.75
451,1,CLOSE,23476.78,3750.0,0.75
452,1,OPEN,25085.26,3750.0,0.75
452,1,OPEN,24959.21,3750.0,0.75
452,1,OPEN,24707.09,3750.0,0.75
452,1,OPEN,24454.98,3750.0,0.75
453,1,CLOSE,24583.56,3750.0,0.75
453,1,CLOSE,23960.84,3750.0,0.75
453,1,CLOSE,24212.95,3750.0,0.75
453,1,CLOSE,23476.78,3750.0,0.75
454,1,OPEN,25085.26,3750.0,0.75
454,1,OPEN,24959.21,3750.0,0.75
454,1,OPEN,24707.09,3750.0,0.75
454,1,OPEN,24454.98,3750.0,0.75
455,1,CLOSE,24583.56,3750.0,0.75
455,1,CLOSE,23960.84,3750.0,0.75
455,1,CLOSE,24212.95,3750.0,0.75
