tag,return_pct,max_dd_pct,n_fills,commissions,realized_pnl,sharpe,win_rate_pct,exposure_time_pct
c4_v0.05_sl2.0_e2_tr1,-0.8766,-0.9068,62,62.0,-876.59,-0.1014,41.94,0.0509
c4_v0.08_sl2.0_e2_tr1,-0.9848,-1.015,62,62.0,-984.84,-0.1129,41.94,0.0532
c4_v0.05_sl2.0_e2_tr0,-0.9914,-1.0442,46,46.0,-991.4,-0.0969,39.13,0.0754
c4_v0.08_sl2.0_e2_tr0,-1.1111,-1.164,46,46.0,-1111.14,-0.1077,39.13,0.0801
c4_v0.08_sl2.0_e3_tr0,-2.3594,-2.4055,50,50.0,-2359.39,-0.1612,28.0,0.1192
c4_v0.08_sl2.0_e3_tr1,-2.3638,-2.3638,74,74.0,-2363.78,-0.1773,37.84,0.0772
c4_v0.05_sl2.0_e3_tr0,-2.547,-2.5931,50,50.0,-2546.97,-0.1569,24.0,0.1069
c4_v0.05_sl2.0_e3_tr1,-2.6006,-2.6006,74,74.0,-2600.58,-0.1718,35.14,0.0715
c4_v0.03_sl2.0_e2_tr1,-3.6982,-3.7284,82,82.0,-3698.2,-0.2212,34.15,0.0495
c4_v0.03_sl2.0_e2_tr0,-3.7606,-3.8123,68,68.0,-3760.56,-0.2173,32.35,0.0735
c2_v0.08_sl2.0_e2_tr0,-5.3823,-5.5964,128,128.0,-5382.33,-0.2461,32.81,0.2287
c4_v0.03_sl2.0_e3_tr0,-5.4372,-5.4836,80,80.0,-5437.2,-0.239,22.5,0.1123
c4_v0.03_sl2.0_e3_tr1,-5.6569,-5.6569,98,98.0,-5656.87,-0.2567,26.53,0.0669
c2_v0.08_sl2.0_e2_tr1,-6.138,-6.3436,168,168.0,-6137.97,-0.3005,27.38,0.2034
c2_v0.08_sl2.0_e3_tr0,-6.2494,-6.4938,136,136.0,-6249.35,-0.2516,32.35,0.3777
c2_v0.08_sl2.0_e3_tr1,-7.9842,-8.1936,216,216.0,-7984.22,-0.3375,25.93,0.3196
c2_v0.05_sl2.0_e2_tr0,-9.6283,-9.8424,148,148.0,-9628.3,-0.3162,29.73,0.2221
c2_v0.05_sl2.0_e2_tr1,-10.4493,-10.6549,188,188.0,-10449.26,-0.3561,25.53,0.1995
c2_v0.05_sl2.0_e3_tr0,-12.6946,-12.939,162,162.0,-12694.6,-0.3606,24.69,0.3583
c2_v0.03_sl2.0_e2_tr0,-12.8285,-13.0815,188,188.0,-12828.48,-0.4347,24.47,0.2153
c2_v0.03_sl2.0_e2_tr1,-13.7246,-13.9689,230,230.0,-13724.59,-0.4684,21.74,0.1929
c2_v0.05_sl2.0_e3_tr1,-14.5612,-14.7706,242,242.0,-14561.16,-0.4251,22.31,0.3117
c2_v0.03_sl2.0_e3_tr0,-22.5986,-22.8792,262,262.0,-22598.63,-0.5919,19.85,0.3512
c2_v0.03_sl2.0_e3_tr1,-28.1923,-28.4729,366,366.0,-28192.32,-0.6478,15.85,0.2931
