i,equity
0,100000.0
1,100000.0
2,100000.0
3,99997.25453573001
4,100003.37734594653
5,100000.68387033799
6,99998.65583805827
7,100002.9234544593
8,100007.41542555115
9,100008.12445953321
10,100011.73272920029
11,100015.45683416969
12,100012.61734511428
13,100014.68622457955
14,100010.04458208394
15,100007.99673587093
16,100016.48106210593
17,100021.36565390667
18,100024.93764883434
19,100026.5718410862
20,100021.86526985533
21,100036.0
22,100036.0
23,100036.0
24,100036.0
25,100036.0
26,100036.0
27,100036.0
28,100036.0
29,100036.0
30,100036.0
31,100036.0
32,100036.0
33,100036.0
34,100036.0
35,100036.0
36,100036.0
37,100036.0
38,100036.0
39,100036.0
40,100036.0
41,100036.0
42,100036.0
43,100034.54773323884
44,100036.22875557859
45,100035.21156677135
46,100037.66407132454
47,100040.16583883343
48,100043.20037608531
49,100044.24858230911
50,100046.5669821496
51,100045.73255282611
52,100049.91321402852
53,100046.44595340661
54,100048.84128860384
55,100046.23400106023
56,100043.98310971457
57,100042.97960506167
58,100039.58654322883
59,100039.58654322883
60,100039.58654322883
61,100039.58654322883
62,100039.58654322883
63,100039.58654322883
64,100039.58654322883
65,100039.58654322883
66,100035.70579327545
67,100042.16448660851
68,100043.34916872054
69,100041.42075090807
70,100037.25169235819
71,100040.08269613115
72,100038.04776952362
73,100033.27669298941
74,100029.31104031081
75,100025.64652913871
76,100027.20064461422
77,100026.17633431648
78,100021.890116092
79,100023.85048654299
80,100021.69413990909
81,100016.58780396257
82,100019.20700738877
83,100015.21262326279
84,100012.10420237714
85,100000.28479224058
86,99992.95875785357
87,99937.03134364114
88,99914.50816045937
89,99918.12869977573
90,99904.65158739756
91,99884.74872865166
92,99860.98788707798
93,99799.81236564083
94,99817.80989374031
95,99823.08112097436
96,99815.30322582768
97,99828.80228641086
98,99827.4680184486
99,99817.02981795432
100,99814.34299185897
101,99805.2756396686
102,99808.4627019362
103,99810.42249374095
104,99802.26690656658
105,99802.98022322907
106,99807.45674254041
107,99838.16593936873
108,99829.83568106292
109,99811.41382100008
110,99811.53102145206
111,99800.65973991615
112,99791.9993440268
113,99802.1759950782
114,99808.83087373571
115,99815.81223194262
116,99810.39102530776
117,99827.1329331796
118,99818.2603713086
119,99797.010850835
120,99797.99852005998
121,99798.77310879475
122,99792.6651456956
123,99780.95711187573
124,99772.35890256723
125,99788.64904321948
126,99804.9163211582
127,99799.57376225795
128,99798.42239600403
129,99797.02228342676
130,99791.41908959212
131,99776.08186684025
132,99775.67399603069
133,99776.0562606011
134,99781.85698828072
135,99782.06000917696
136,99771.4425650085
137,99767.05018048298
138,99766.55817488758
139,99786.64718402183
140,99783.8414718161
141,99769.45167991336
142,99776.84548147253
143,99762.05239130293
144,99742.39961120655
145,99657.19805396933
146,99650.86581094163
147,99563.50437887793
148,99575.78562907374
149,99480.8524799183
150,99493.32373871804
151,99407.42431410968
152,99420.02857594086
153,99330.39207013845
154,99337.98163336629
155,99242.89183647574
156,99261.27503543523
157,99174.37699809273
158,99196.51422501795
159,99111.79773934066
160,99125.75838535113
161,99039.23029055123
162,99051.5567873342
163,98925.71008372938
164,98970.25219552204
165,98903.3250249273
166,98773.66506110448
167,98492.53245713822
168,98482.58678316949
169,98247.32494061277
170,98302.96250833817
171,98040.24206173391
172,98097.210159673
173,97744.19968384564
174,97854.66908518928
175,97540.81479008107
176,97639.22964561089
177,97200.75742972706
178,97341.04296220427
179,96888.87618761705
180,97032.40509794677
181,96624.63427249408
182,96757.40993538128
183,96462.54334128209
184,96574.3063323772
185,96121.11872058379
186,96263.20896189813
187,95874.79478909301
188,95968.23853179395
189,95603.11640141525
190,95710.81472980267
191,95490.05292236927
192,95557.19326426514
193,95338.67178807316
194,95393.92828284911
195,95135.47467782086
196,95230.06713886179
197,94978.23788903408
198,95065.65426678059
199,94775.81523235202
200,94896.16734359312
201,94445.39497094176
202,94588.15045616719
203,94121.18015683914
204,94281.73903629773
205,93816.3671843187
206,93979.35286020246
207,93544.9821316699
208,93674.91167312152
209,93194.4322141495
210,93354.39641472592
211,92870.04557199645
212,93054.41875280005
213,92555.62250208302
214,92747.30220357122
215,92271.13556058749
216,92442.80908593409
217,91946.77101061234
218,92146.36927135743
219,91670.01387670058
220,91836.15784868039
221,91344.72145525299
222,91529.7001292789
223,91023.40562583011
224,91232.85081411156
225,90786.42300356769
226,90929.06439000717
227,90456.13652256812
228,90615.43618700048
229,90122.44539148327
230,90310.24701220957
231,89849.60593712174
232,90010.48583187938
233,89532.81900417141
234,89700.82124421574
235,89203.0909643358
236,89391.17824214471
237,88928.1122507462
238,89101.06425754848
239,88640.43421688519
240,88799.20896189813
241,88348.73417930043
242,88496.58628278792
243,88043.42413277687
244,88191.40023634378
245,87745.94821801058
246,87888.02112298735
247,87444.02809345377
248,87592.35776407617
249,87154.89074850714
250,87279.35679459455
251,86836.88383639863
252,86976.8254632097
253,86554.09308322966
254,86673.79609902087
255,86198.77125527966
256,86361.11140539654
257,85874.72949657071
258,86051.82659902937
259,85573.37517723716
260,85754.16860622495
261,85309.09153244477
262,85451.98733684237
263,84989.86218649163
264,85141.93764969274
265,84673.41031823968
266,84837.2593339275
267,84361.98196577693
268,84532.35515152631
269,84088.76817173406
270,84235.09445876021
271,83787.58077107808
272,83922.24239858429
273,83421.17726121732
274,83605.21868800589
275,83105.67658395892
276,83303.43002614149
277,82840.31042244872
278,83003.52212634833
279,82539.03219839463
280,82698.07611428856
281,82227.27000857671
282,82405.52264489
283,81951.34746805285
284,82105.35165113446
285,81664.48929946111
286,81805.22633124157
287,81350.9867369608
288,81495.83828943138
289,81065.11903434558
290,81196.37586621664
291,80759.44446688645
292,80888.57733739445
293,80451.93870334678
294,80588.22083267612
295,80176.77466093133
296,80294.36650834198
297,80025.21310718225
298,80139.74094704517
299,79868.92873673222
300,79984.68523532168
301,79714.5860232523
302,79830.18557171072
303,79539.02854165398
304,79520.47809782215
305,79248.53880508567
306,79376.2779757763
307,79089.61564671803
308,79208.85165113446
309,78769.55170737699
310,78900.86542150675
311,78501.80040024083
312,78617.8064224387
313,78353.76015155723
314,78455.60344512685
315,78193.32282231632
316,78290.72046294012
317,78035.48934057486
318,78143.65083111724
319,77902.18134498667
320,78008.11751725817
321,77767.44021865352
322,77851.69351287457
323,77626.11949549799
324,77714.88353540667
325,77497.23770697875
326,77568.56470043022
327,77342.48446111889
328,77412.9934529586
329,77201.82613000873
330,77260.73807040714
331,77031.35892564518
332,77108.22562490246
333,76894.40161774762
334,76953.2686095834
335,76748.8012017488
336,76809.35850391346
337,76588.28219018554
338,76647.93722043761
339,76426.49872391854
340,76496.21759168518
341,76298.99835524113
342,76352.71347245811
343,76141.90658694672
344,76203.7646857299
345,76018.15056324644
346,76063.53904511842
347,75951.66823394984
348,75984.62297260729
349,75858.88987776221
350,75905.67258351923
351,75790.49768702369
352,75834.96281027046
353,75721.8332929752
354,75768.36546140337
355,75658.24462328645
356,75690.864715822
357,75587.63564644207
358,75622.06368623077
359,75513.27586406405
360,75527.36013338018
361,75410.57893215457
362,75436.03629961998
363,75323.73463107049
364,75372.25105511135
365,75252.30340124745
366,75270.24512787136
367,75103.13694237726
368,75140.19667956923
369,75033.47874182998
370,75066.09638947871
371,74956.0209990532
372,74983.84284574291
373,74883.3565097064
374,74904.51484846669
375,74851.63984426949
376,74871.64627556305
377,74771.83019711457
378,74774.57733348159
379,74720.3605705674
380,74720.69354967125
381,74717.96039777056
382,74715.49461942537
383,74726.85180633154
384,74732.67955956906
385,74726.84190360727
386,74721.51423794577
387,74716.81291959489
388,74701.45625138358
389,74635.51504968223
390,74617.95314906155
391,74547.37192161255
392,74541.74951277085
393,74463.29138617787
394,74461.12643395615
395,74374.56647305682
396,74382.43297089136
397,74300.31674129175
398,74312.58396711365
399,74242.22721468871
400,74247.63564849758
401,74177.27383580394
402,74164.78287406432
403,74099.83183551786
404,74099.35526507087
405,74104.52079357793
406,74111.21258536063
407,74099.11264738879
408,74111.28933177027
409,74089.7098792602
410,74018.84242243544
411,74006.31547459956
412,73945.1221079019
413,73945.52822675846
414,73935.88785658393
415,73925.47500046204
416,73843.13814965218
417,73837.98910434131
418,73779.2967104078
419,73770.60391422213
420,73688.34644667247
421,73690.74171903727
422,73609.75331809289
423,73607.95397739286
424,73546.50690917575
425,73560.99284519159
426,73550.60275308858
427,73559.67627970042
428,73560.56183409946
429,73564.91033968698
430,73562.94849609524
431,73560.66587125963
432,73564.15978588864
433,73557.02580919137
434,73555.82071208608
435,73552.47294489636
436,73568.09833552357
437,73578.95040215923
438,73574.78767721487
439,73573.64574552825
440,73570.58531906662
441,73567.63388391568
442,73566.97993605174
443,73572.30936343515
444,73575.61749742097
445,73574.44584083147
446,73570.9023846976
447,73568.1008125988
448,73571.6368375069
449,73576.2962160373
450,73578.74975906461
451,73562.7354676244
452,73542.18069726544
453,73528.30824849095
454,73498.2183302985
455,73475.8399110339
456,73465.51818293527
457,73474.25748582017
458,73467.35483790512
459,73466.41480788005
460,73470.49116499408
461,73456.77639976009
462,73445.4836380076
463,73451.70296594399
464,73449.71129283016
465,73443.5353699741
466,73423.52066736885
467,73412.2911530191
468,73392.27161902128
469,73348.03305398338
470,73336.51540477331
471,73338.77712448922
472,73365.8212761742
473,73374.34883921861
474,73362.8756487399
475,73377.89324063042
476,73345.54241909752
477,73350.27207136841
478,73345.79119880698
479,73356.31656697062
480,73336.6412135237
481,73320.44406858638
482,73287.22377975503
483,73292.14556639583
484,73278.50064396288
485,73260.16956743547
486,73287.60230593389
487,73304.48362719623
488,73282.68335823945
489,73260.60108727938
490,73279.86144557592
491,73266.36036309095
492,73239.9117121434
493,73254.71870308397
494,73301.14452524394
495,73293.79805772574
496,73272.86119557843
497,73259.51665478725
498,73264.70619842825
499,73265.30816014486
500,73270.08076609165
501,73263.9255491284
502,73284.37450546332
503,73281.73094306157
504,73282.87530396703
505,73298.04220464976
506,73304.62829947329
507,73303.70064478581
508,73282.1567517706
509,73291.84516718831
510,73279.48404174887
511,73272.97778605828
512,73280.54095979442
513,73328.29616688225
514,73324.10524604688
515,73337.0734023542
516,73352.70286309284
517,73338.504170308
518,73328.29616688225
519,73333.29941921309
520,73314.10254324868
521,73302.89958047945
522,73306.68484226818
523,73299.14933236226
524,73301.73939774121
525,73301.33342841436
526,73307.84123974465
527,73301.00694958509
528,73295.5921325963
529,73293.43547969217
530,73301.33437472982
531,73285.83278138949
532,73274.51106337937
533,73285.70124354232
534,73297.81124231995
535,73294.03733631657
536,73284.73978704798
537,73282.83769299914
538,73288.51369305135
539,73275.45548619566
540,73269.33282525238
541,73264.57285855305
542,73259.10694053011
543,73264.69304061483
544,73266.5856715092
545,73274.20351085904
546,73283.60420851136
547,73288.20614053104
548,73278.67011976974
549,73289.04079075543
550,73289.98048199448
551,73293.95216792633
552,73292.11820858967
553,73293.81305955558
554,73296.79206058332
555,73297.2207414809
556,73297.75919497035
557,73288.70390245624
558,73277.75503273231
559,73278.10516944776
560,73289.39471273268
561,73294.57200454423
562,73290.08552300913
563,73292.13429595227
564,73293.43453337671
565,73294.75748237188
566,73299.8439279005
567,73301.00789590055
568,73305.8426215202
569,73304.03515901609
570,73301.00221800785
571,73301.93907030056
572,73306.392430795
573,73306.392430795
574,73318.03873500352
575,73316.65806076607
576,73313.39989668141
577,73320.76412349139
578,73336.18717264962
579,73337.15525335209
580,73320.22567000196
581,73306.12273089257
582,73301.57663148429
583,73286.61443794885
584,73276.40085532739
585,73287.6222639001
586,73285.2555289667
587,73289.98048199448
588,73284.92526487562
589,73289.26979909364
590,73293.0550608824
591,73303.09262883068
592,73303.05477621278
593,73311.93121510737
594,73317.22963529617
595,73305.14518703562
596,73314.41340052534
597,73316.1451577937
598,73328.12077977782
599,73334.7648605325
600,73334.9096467959
601,73337.93312464966
602,73342.15085259777
603,73340.29796695219
604,73339.88253447086
605,73338.77345276678
606,73343.7217362401
607,73335.32886453903
608,73333.1807284739
609,73338.56620968385
610,73343.7217362401
611,73346.61840782393
612,73346.16323009384
613,73353.01550024691
614,73351.29131350212
615,73348.47318610041
616,73331.84926263972
617,73336.77388822686
618,73331.58334799907
619,73338.6154180871
620,73328.17377344286
621,73331.02123662343
622,73332.14829832104
623,73328.63841432743
624,73322.5290018004
625,73320.30989207675
626,73318.73711580354
627,73318.56110113036
628,73327.2842369225
629,73324.04026756957
630,73328.54756804451
631,73325.27804817448
632,73332.98862643813
633,73331.2351039145
634,73326.13162470784
635,73324.22858434354
636,73319.93231221334
637,73322.5290018004
638,73313.52575663588
639,73311.38045951712
640,73316.26912511727
641,73310.41616407644
642,73313.7528723432
643,73317.5334025547
644,73332.1274793812
645,73347.98772627601
646,73341.38812234733
647,73339.26932206108
648,73339.51441776191
649,73351.80894805174
650,73349.21320478011
651,73347.91107472479
652,73341.50262651645
653,73344.8506905686
654,73339.74815767737
655,73331.17643235678
656,73328.41508388189
657,73325.81555534847
658,73332.14072779746
659,73325.05282509803
660,73322.96052164432
661,73325.88463637613
662,73322.5290018004
663,73327.10349067209
664,73326.60572874687
665,73319.17525985558
666,73310.96218808947
667,73314.51654890909
668,73313.31094302937
669,73313.20590201474
670,73309.57962122113
671,73300.0407615135
672,73305.81612468768
673,73314.48910576112
674,73310.82591866507
675,73308.07024808286
676,73315.30672230749
677,73312.51603805374
678,73315.7704168766
679,73310.9347449415
680,73316.1432651628
681,73319.78468700357
682,73324.04216020045
683,73333.12584217798
684,73330.72030831123
685,73334.45163011947
686,73332.31674247063
687,73327.13093382005
688,73324.04216020045
689,73322.5290018004
690,73321.8249431077
691,73320.80860031742
692,73321.6744789516
693,73320.4092551987
694,73327.87000618431
695,73330.142109573
696,73330.68624095512
697,73334.33901858126
698,73328.44725860709
699,73330.44493051611
700,73330.3408358169
701,73336.99627235696
702,73332.51736134544
703,73335.72253176504
704,73333.2327758235
705,73333.2327758235
706,73332.15586884461
707,73330.67867043156
708,73332.4227298007
709,73317.22963529617
710,73318.03873500352
711,73300.24895091189
712,73310.495654574
713,73304.03421270063
714,73300.04549309073
715,73296.76840269714
716,73297.2207414809
717,73303.08789725344
718,73301.77535772821
719,73301.5066041412
720,73302.04695026155
721,73306.94886427795
722,73306.68389595274
723,73307.4409483105
724,73311.1732164342
725,73313.70934183264
726,73318.01696974822
727,73319.93325852878
728,73319.93325852878
729,73318.056714997
730,73312.38166126025
731,73314.39920579364
732,73309.09510771217
733,73314.14464693834
734,73303.89510432989
735,73306.54384126655
736,73310.36790198863
737,73310.12091365694
738,73311.9652824635
739,73311.59432680819
740,73311.41452687321
741,73319.17715248646
742,73332.73596021373
743,73338.85862115701
744,73332.99335801537
745,73334.9172173195
746,73335.21057510813
747,73341.44774022052
748,73341.69756749856
749,73333.74757142678
750,73336.68304194394
751,73342.75270922219
752,73338.71667383992
753,73341.46098863678
754,73339.22011365785
755,73341.10706665952
756,73333.45421363814
757,73330.90673245433
758,73335.37144873415
759,73329.72856972257
760,73333.12489586252
761,73326.40794881842
762,73333.12489586252
763,73330.46480314051
764,73335.94302326425
765,73342.07893262379
766,73338.32963082205
767,73335.83798224959
768,73337.43347009356
769,73342.60697664332
770,73343.13502066286
771,73343.7217362401
772,73342.83977024331
773,73337.69370684153
774,73341.59063385303
775,73341.73352748556
776,73342.26441045145
777,73343.7217362401
778,73341.03798563188
779,73333.35958209343
780,73332.42367611617
781,73336.68114931305
782,73335.07335936828
783,73334.7610752707
784,73337.93312464966
785,73339.96675654568
786,73343.72268255554
787,73346.40548684832
788,73341.42786759612
789,73346.41589631823
790,73345.29261988243
791,73340.48155214894
792,73340.48155214894
793,73344.19016238645
794,73341.82153482214
795,73341.47518336849
796,73341.06069720261
797,73341.06164351806
798,73336.96599026266
799,73334.9333046821
800,73338.11481721555
801,73339.2371473359
802,73339.23809365135
803,73335.07241305284
804,73333.24223897798
805,73335.45188554715
806,73338.66084122856
807,73336.30356944962
808,73333.74851774223
809,73338.29177820415
810,73339.99230706276
811,73338.29556346593
812,73336.54014831141
813,73336.53920199595
814,73336.96599026266
815,73335.61086654227
816,73333.32740736823
817,73336.9650439472
818,73333.13341270156
819,73335.6212760122
820,73333.8204377162
821,73333.82138403165
822,73334.31536069508
823,73336.68398825939
824,73336.77578085777
825,73336.7947071667
826,73340.40963217495
827,73337.97097726757
828,73342.21236310185
829,73339.65731139445
830,73336.1445884545
831,73334.3276627959
832,73326.6284403176
833,73325.61020489644
834,73328.9166310689
835,73334.33617963492
836,73336.68304194394
837,73333.12584217798
838,73332.68012760235
839,73335.88813696831
840,73335.88719065285
841,73337.2479922659
842,73331.28715126408
843,73332.74636968365
844,73326.55652034363
845,73327.51229894528
846,73325.80798482489
847,73326.74294448672
848,73326.74294448672
849,73327.44794949488
850,73321.18428754996
851,73323.54723722156
852,73317.23815213519
853,73321.1170991532
854,73319.52350394015
855,73313.51723979687
856,73302.86078154611
857,73304.77423138032
858,73308.80174992354
859,73314.62064360829
860,73314.4427363042
861,73312.01922244397
862,73311.85456355616
863,73317.87975400838
864,73317.99709712384
865,73314.07935117249
866,73321.48710849306
867,73314.30741319527
868,73310.65652820002
869,73310.61110505855
870,73310.50417141302
871,73305.53696163076
872,73305.71486893483
873,73297.91344438824
874,73302.9024194258
875,73298.7348461964
876,73304.67108299659
877,73311.15996801792
878,73311.0710143659
879,73306.74635277226
880,73305.70729841125
881,73300.20258145497
882,73302.03180921437
883,73301.33342841436
884,73301.33437472982
885,73304.57077355919
886,73297.60873081425
887,73300.24989722733
888,73300.79024334767
889,73295.07449804668
890,73297.00498155894
891,73294.87293285644
892,73294.28053938651
893,73291.5428487978
894,73296.79300689878
895,73291.5428487978
896,73299.11242605982
897,73299.19854076552
898,73311.93121510737
899,73313.3090503985
900,73307.42296831698
901,73311.93026879193
902,73312.90118844075
903,73312.3589496895
904,73316.03727783271
905,73313.96295437249
906,73309.32600868128
907,73312.45547386512
908,73318.96044624908
909,73322.52805548496
910,73314.67552990423
911,73317.09241955633
912,73321.93376938412
913,73318.69737055476
914,73321.71233156948
915,73328.07062505912
916,73324.19451698745
917,73321.8930778199
918,73323.90589077605
919,73323.90683709149
920,73322.21955664917
921,73325.0121335338
922,73327.21515589487
923,73333.12489586252
924,73337.17607229191
925,73338.85862115701
926,73343.418915297
927,73335.54178551464
928,73339.468048305
929,73340.767339414
930,73338.08074985942
931,73340.61403631154
932,73343.02146280918
933,73343.7198436092
934,73344.47878859786
935,73344.47973491329
936,73344.47878859786
937,73349.62390568419
938,73379.20572656317
939,73372.65819742763
940,73377.30218499732
941,73372.90774575806
942,73379.31051475978
943,73380.04344512065
944,73378.90256295513
945,73376.14370244576
946,73370.76552734476
947,73370.27963097344
948,73369.69504672334
949,73372.90208849113
950,73368.5497644613
951,73367.87466394021
952,73370.31797467158
953,73373.6010752504
954,73374.5791538452
955,73371.14330705909
956,73372.3294473601
957,73373.40181373719
958,73364.19304033497
959,73363.23759080791
960,73366.40251736628
961,73364.923456355
962,73363.05781543638
963,73363.0961591345
964,73361.58881178852
965,73366.4157176558
966,73368.23987195022
967,73367.874035355
968,73369.58252996983
969,73365.15729005504
970,73362.84472504843
971,73364.36778702478
972,73367.07950364302
973,73367.87340676978
974,73367.1323048011
975,73368.24992931366
976,73369.50835691442
977,73364.07675207016
978,73362.97107067668
979,73363.60091306228
