bar,side,action,price,notional,fee
2003,1,OPEN,123019.49,3750.0,0.75
2021,1,CLOSE,124249.69,3750.0,0.75
2043,1,OPEN,123317.81,3750.0,0.75
2058,1,CLOSE,123485.08,3750.0,0.75
2066,1,OPEN,123229.26,3750.0,0.75
2073,1,CLOSE,123071.2,3750.0,0.75
2074,1,OPEN,123229.26,3750.0,0.75
2084,1,OPEN,122558.95,3750.0,0.75
2086,1,CLOSE,122298.96,3750.0,0.75
2087,1,OPEN,123851.63,3750.0,0.75
2088,1,OPEN,121984.52,3750.0,0.75
2091,1,CLOSE,121573.72,3750.0,0.75
2092,1,CLOSE,121374.6,3750.0,0.75
2092,1,OPEN,121984.52,3750.0,0.75
2093,1,OPEN,123851.63,3750.0,0.75
2110,1,CLOSE,121637.53,3750.0,0.75
2111,1,OPEN,121984.52,3750.0,0.75
2122,1,CLOSE,121652.79,3750.0,0.75
2123,1,OPEN,121984.52,3750.0,0.75
2144,1,CLOSE,121374.6,3750.0,0.75
2145,1,OPEN,123851.63,3750.0,0.75
2146,1,CLOSE,121374.6,3750.0,0.75
2147,1,OPEN,123851.63,3750.0,0.75
2148,1,CLOSE,121374.6,3750.0,0.75
2149,1,OPEN,123851.63,3750.0,0.75
2150,1,CLOSE,121374.6,3750.0,0.75
2151,1,OPEN,123851.63,3750.0,0.75
2152,1,CLOSE,121374.6,3750.0,0.75
2153,1,OPEN,123851.63,3750.0,0.75
2154,1,CLOSE,121374.6,3750.0,0.75
2154,1,OPEN,120739.78,3750.0,0.75
2155,1,OPEN,123851.63,3750.0,0.75
2156,1,CLOSE,121374.6,3750.0,0.75
2157,1,OPEN,123851.63,3750.0,0.75
2158,1,CLOSE,121374.6,3750.0,0.75
2159,1,OPEN,123851.63,3750.0,0.75
2160,1,CLOSE,121374.6,3750.0,0.75
2161,1,OPEN,123851.63,3750.0,0.75
2162,1,CLOSE,121374.6,3750.0,0.75
2163,1,CLOSE,120699.87,3750.0,0.75
2163,1,OPEN,123851.63,3750.0,0.75
2164,1,CLOSE,121374.6,3750.0,0.75
2164,1,OPEN,120739.78,3750.0,0.75
2165,1,OPEN,123851.63,3750.0,0.75
2166,1,CLOSE,121374.6,3750.0,0.75
2166,1,CLOSE,119544.83,3750.0,0.75
2166,1,CLOSE,120777.45,3750.0,0.75
2167,1,CLOSE,118300.09,3750.0,0.75
2167,1,OPEN,123851.63,3750.0,0.75
2167,1,OPEN,121984.52,3750.0,0.75
2167,1,OPEN,119871.62,3750.0,0.75
2168,1,CLOSE,121374.6,3750.0,0.75
2168,1,CLOSE,119544.83,3750.0,0.75
2168,1,OPEN,123229.26,3750.0,0.75
2169,1,OPEN,123851.63,3750.0,0.75
2169,1,OPEN,121984.52,3750.0,0.75
2170,1,CLOSE,121374.6,3750.0,0.75
2170,1,CLOSE,119544.83,3750.0,0.75
2171,1,OPEN,123851.63,3750.0,0.75
2171,1,OPEN,121984.52,3750.0,0.75
2172,1,CLOSE,121374.6,3750.0,0.75
2172,1,CLOSE,118300.09,3750.0,0.75
2172,1,CLOSE,119544.83,3750.0,0.75
2173,1,OPEN,123851.63,3750.0,0.75
2173,1,OPEN,123229.26,3750.0,0.75
2173,1,OPEN,121984.52,3750.0,0.75
2174,1,CLOSE,121374.6,3750.0,0.75
2174,1,CLOSE,119544.83,3750.0,0.75
2175,1,OPEN,123851.63,3750.0,0.75
2175,1,OPEN,121984.52,3750.0,0.75
2176,1,CLOSE,121374.6,3750.0,0.75
2176,1,CLOSE,118300.09,3750.0,0.75
2176,1,CLOSE,119544.83,3750.0,0.75
2177,1,OPEN,123851.63,3750.0,0.75
2177,1,OPEN,123229.26,3750.0,0.75
2177,1,OPEN,121984.52,3750.0,0.75
