trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,price,time_in_force,expire_time_ns,filled_qty,liquidity_side,avg_px,slippage,commissions,status,is_post_only,is_reduce_only,is_quote_quantity,display_qty,emulation_trigger,trigger_instrument_id,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-1-001,BTC/USDT.SIM-SRGridStrategyV2-000,SIM-001,T-3167689254c2db5f-753,LIMIT,BUY,0.042983,116325.93,GTC,,0.042983,MAKER,116325.93,0.0,['1.00000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,4122d2dc-af28-47b5-b841-ea9cecdbbdbf,2025-08-07 15:55:00+00:00,2025-08-07 16:40:00+00:00
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-1-002,BTC/USDT.SIM-SRGridStrategyV2-000,SIM-001,T-d9f9880716b0f617-758,LIMIT,BUY,0.043118,115962.05,GTC,,0.043118,MAKER,115962.05,0.0,['1.00000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,f8ec426f-2af0-4035-8bc7-11a52c7f2a8c,2025-08-07 15:55:00+00:00,2025-08-07 16:45:00+00:00
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-1-003,BTC/USDT.SIM-SRGridStrategyV2-000,SIM-001,T-9deff08a0c92791f-895,LIMIT,SELL,0.042715,117053.69,GTC,,0.042715,MAKER,117053.69,0.0,['1.00000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,9e7bb603-7b9f-4745-a64b-99bc4335fc0f,2025-08-07 15:55:00+00:00,2025-08-07 19:40:00+00:00
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-1-004,BTC/USDT.SIM-SRGridStrategyV2-000,SIM-001,T-22d1b4b7c044752f-902,LIMIT,SELL,0.010242,117417.57,GTC,,0.010242,MAKER,117417.57,0.0,['0.24000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,e2ce5ccd-417e-44af-b130-51b0f95e6ca2,2025-08-07 15:55:00+00:00,2025-08-07 19:45:00+00:00
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-1-005,BTC/USDT.SIM-SRGridStrategyV2-000,SIM-001,T-9deff08a0c92791f-896,LIMIT,SELL,0.042715,117053.69,GTC,,0.042715,MAKER,117053.69,0.0,['1.00000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,b3e8dbaf-ca06-4b95-8542-54033b854004,2025-08-07 16:40:00+00:00,2025-08-07 19:40:00+00:00
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-1-006,BTC/USDT.SIM-SRGridStrategyV2-000,SIM-001,T-22d1b4b7c044752f-903,LIMIT,SELL,0.013586,117417.57,GTC,,0.013586,MAKER,117417.57,0.0,['0.32000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,97da0d1d-8a7c-4917-9d2d-054e509e7eba,2025-08-07 16:40:00+00:00,2025-08-07 19:45:00+00:00
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-1-007,BTC/USDT.SIM-SRGridStrategyV2-000,SIM-001,T-9deff08a0c92791f-897,LIMIT,SELL,0.042715,117053.69,GTC,,0.042715,MAKER,117053.69,0.0,['1.00000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,d08f8fea-f5f1-46aa-80e1-685eab2b5223,2025-08-07 16:45:00+00:00,2025-08-07 19:40:00+00:00
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-1-008,BTC/USDT.SIM-SRGridStrategyV2-000,SIM-001,T-22d1b4b7c044752f-904,LIMIT,SELL,0.016925,117417.57,GTC,,0.016925,MAKER,117417.57,0.0,['0.40000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,6e71a509-a485-4d11-8f85-7aa2b694dbac,2025-08-07 16:45:00+00:00,2025-08-07 19:45:00+00:00
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-1-010,BTC/USDT.SIM-SRGridStrategyV2-000,SIM-001,T-4ed1a597127593b9-1577,LIMIT,BUY,0.042976,116345.33,GTC,,0.042976,MAKER,116345.33,0.0,['1.00000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,c94d66ff-5338-4f6f-953a-5011bff8bf3e,2025-08-08 07:55:00+00:00,2025-08-08 10:50:00+00:00
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-1-011,BTC/USDT.SIM-SRGridStrategyV2-000,SIM-001,T-a00d220db4040f0b-1722,LIMIT,SELL,0.042716,117053.12,GTC,,0.042716,MAKER,117053.12,0.0,['1.00000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,938a3761-c130-4c26-bcc2-6d4f98663dff,2025-08-08 07:55:00+00:00,2025-08-08 14:00:00+00:00
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-1-009,BTC/USDT.SIM-SRGridStrategyV2-000,SIM-001,T-e3bf21ed7e993872-1473,LIMIT,BUY,0.042889,116581.26,GTC,,0.042889,MAKER,116581.26000000001,0.0,['1.00000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,c0b2fc65-83ab-4734-9449-74cde599a0d8,2025-08-08 07:55:00+00:00,2025-08-08 08:30:00+00:00
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-1-013,BTC/USDT.SIM-SRGridStrategyV2-000,SIM-001,T-a00d220db4040f0b-1723,LIMIT,SELL,0.042716,117053.12,GTC,,0.042716,MAKER,117053.12,0.0,['1.00000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,28be49e7-59a4-4d78-a40a-96489950c9bc,2025-08-08 08:30:00+00:00,2025-08-08 14:00:00+00:00
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-1-015,BTC/USDT.SIM-SRGridStrategyV2-000,SIM-001,T-a00d220db4040f0b-1724,LIMIT,SELL,0.042716,117053.12,GTC,,0.042716,MAKER,117053.12,0.0,['1.00000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,1ae7414e-033d-470d-8b1b-ee9f30cb3cf1,2025-08-08 10:50:00+00:00,2025-08-08 14:00:00+00:00
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-1-017,BTC/USDT.SIM-SRGridStrategyV2-000,SIM-001,T-56f613b01ab403e9-2217,LIMIT,BUY,0.042885,116591.02,GTC,,0.042885,MAKER,116591.02,0.0,['1.00000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,a7f1d508-8960-4c13-aace-ebd775dc3b6b,2025-08-08 23:55:00+00:00,2025-08-09 00:55:00+00:00
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-1-018,BTC/USDT.SIM-SRGridStrategyV2-000,SIM-001,T-b71e7fb95bbfb166-2266,LIMIT,BUY,0.042916,116507.30,GTC,,0.042916,MAKER,116507.3,0.0,['1.00000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,65f6b708-2794-46d2-b6ad-2d245d1cf4e7,2025-08-08 23:55:00+00:00,2025-08-09 02:05:00+00:00
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-1-019,BTC/USDT.SIM-SRGridStrategyV2-000,SIM-001,T-7d2a4ef0eaea5280-2404,LIMIT,SELL,0.042823,116758.46,GTC,,0.042823,MAKER,116758.46,0.0,['1.00000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,df0b4363-45f0-410d-99c8-ece01b252b4f,2025-08-08 23:55:00+00:00,2025-08-09 05:15:00+00:00
