screen,C_pct,V_pct,SL_pct,n_entries,win_rate,note,breakeven_win_rate,needs_vs_50pct_pp,ema_fast,ema_slow,enter_pct,exit_pct,flips,flips_per_year,avg_trend_bars,p_flip_within_5,p_flip_within_20,churn_cost_floor_pct_of_100k
A_entry_winrate,0.5,0.5,1.0,51866.0,0.6419,33294/51866,,,,,,,,,,,,
A_entry_winrate,0.5,0.5,2.0,51866.0,0.7587,39350/51866,,,,,,,,,,,,
A_entry_winrate,0.5,1.0,1.0,51866.0,0.4977,25816/51866,,,,,,,,,,,,
A_entry_winrate,0.5,1.0,2.0,51866.0,0.6382,33099/51866,,,,,,,,,,,,
A_entry_winrate,0.5,1.5,1.0,51866.0,0.4161,21583/51866,,,,,,,,,,,,
A_entry_winrate,0.5,1.5,2.0,51866.0,0.5458,28310/51866,,,,,,,,,,,,
A_entry_winrate,0.5,2.0,1.0,51866.0,0.348,18047/51866,,,,,,,,,,,,
A_entry_winrate,0.5,2.0,2.0,51866.0,0.47,24377/51866,,,,,,,,,,,,
A_entry_winrate,1.0,0.5,1.0,51710.0,0.6424,33216/51710,,,,,,,,,,,,
A_entry_winrate,1.0,0.5,2.0,51710.0,0.7593,39262/51710,,,,,,,,,,,,
A_entry_winrate,1.0,1.0,1.0,51710.0,0.4978,25740/51710,,,,,,,,,,,,
A_entry_winrate,1.0,1.0,2.0,51710.0,0.6384,33013/51710,,,,,,,,,,,,
A_entry_winrate,1.0,1.5,1.0,51710.0,0.4163,21527/51710,,,,,,,,,,,,
A_entry_winrate,1.0,1.5,2.0,51710.0,0.5464,28253/51710,,,,,,,,,,,,
A_entry_winrate,1.0,2.0,1.0,51710.0,0.348,17993/51710,,,,,,,,,,,,
A_entry_winrate,1.0,2.0,2.0,51710.0,0.4704,24322/51710,,,,,,,,,,,,
A_entry_winrate,2.0,0.5,1.0,51204.0,0.6409,32817/51204,,,,,,,,,,,,
A_entry_winrate,2.0,0.5,2.0,51204.0,0.7584,38834/51204,,,,,,,,,,,,
A_entry_winrate,2.0,1.0,1.0,51204.0,0.4955,25370/51204,,,,,,,,,,,,
A_entry_winrate,2.0,1.0,2.0,51204.0,0.6369,32613/51204,,,,,,,,,,,,
A_entry_winrate,2.0,1.5,1.0,51204.0,0.4134,21167/51204,,,,,,,,,,,,
A_entry_winrate,2.0,1.5,2.0,51204.0,0.5441,27862/51204,,,,,,,,,,,,
A_entry_winrate,2.0,2.0,1.0,51204.0,0.3454,17687/51204,,,,,,,,,,,,
A_entry_winrate,2.0,2.0,2.0,51204.0,0.4684,23986/51204,,,,,,,,,,,,
A_entry_winrate,3.0,0.5,1.0,50793.0,0.6405,32532/50793,,,,,,,,,,,,
A_entry_winrate,3.0,0.5,2.0,50793.0,0.7594,38574/50793,,,,,,,,,,,,
A_entry_winrate,3.0,1.0,1.0,50793.0,0.494,25092/50793,,,,,,,,,,,,
A_entry_winrate,3.0,1.0,2.0,50793.0,0.6362,32314/50793,,,,,,,,,,,,
A_entry_winrate,3.0,1.5,1.0,50793.0,0.412,20928/50793,,,,,,,,,,,,
A_entry_winrate,3.0,1.5,2.0,50793.0,0.5442,27642/50793,,,,,,,,,,,,
A_entry_winrate,3.0,2.0,1.0,50793.0,0.3431,17428/50793,,,,,,,,,,,,
A_entry_winrate,3.0,2.0,2.0,50793.0,0.4673,23735/50793,,,,,,,,,,,,
B_fee_breakeven,,0.5,1.0,,,,0.7467,24.67,,,,,,,,,,
B_fee_breakeven,,0.5,2.0,,,,0.848,34.8,,,,,,,,,,
B_fee_breakeven,,1.0,1.0,,,,0.56,6.0,,,,,,,,,,
B_fee_breakeven,,1.0,2.0,,,,0.7067,20.67,,,,,,,,,,
B_fee_breakeven,,1.5,1.0,,,,0.448,-5.2,,,,,,,,,,
B_fee_breakeven,,1.5,2.0,,,,0.6057,10.57,,,,,,,,,,
B_fee_breakeven,,2.0,1.0,,,,0.3733,-12.67,,,,,,,,,,
B_fee_breakeven,,2.0,2.0,,,,0.53,3.0,,,,,,,,,,
C_regime_churn,,,,,,,,,50.0,100.0,1.0,0.5,42.0,42.0,76.67,0.0,0.0,0.0
