trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20220811-080000-001-000-1,O-20220813-130000-001-000-7,BUY,FLAT,0.000000,0.209316,1660258800000000000,2022-08-11 23:00:00+00:00,1660399200000000000,2022-08-13 14:00:00+00:00,140400000000000.0,23887.3,24473.79,['2.02000000 USDT'],0.02455,120.74000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20220814-150000-001-000-8,O-20220814-180000-001-000-12,BUY,FLAT,0.000000,0.207020,1660500000000000000,2022-08-14 18:00:00+00:00,1660528800000000000,2022-08-15 02:00:00+00:00,28800000000000.0,24152.2,24896.88,['2.03083235 USDT'],0.03083,152.13000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20220814-180000-001-000-12,O-20220814-150000-001-000-9,SELL,FLAT,0.000000,0.194636,1660528800000000000,2022-08-15 02:00:00+00:00,1660604400000000000,2022-08-15 23:00:00+00:00,75600000000000.0,24896.88,23779.870000000003,['1.89485085 USDT'],0.04487,215.51000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20220814-150000-001-000-9,O-20220819-080000-001-000-24,BUY,FLAT,0.000000,0.660232,1660604400000000000,2022-08-15 23:00:00+00:00,1660899600000000000,2022-08-19 09:00:00+00:00,295200000000000.0,23282.119260199448,21792.12,['5.95431680 USDT'],-0.064,-989.70000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20220823-090000-001-000-25,O-20220827-170000-001-000-37,BUY,FLAT,0.000000,0.287104,1661526000000000000,2022-08-26 15:00:00+00:00,1661623200000000000,2022-08-27 18:00:00+00:00,97200000000000.0,20898.386219349086,19995.66,['2.35000000 USDT'],-0.0432,-261.53000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20220830-190000-001-000-40,O-20220904-170000-001-000-48,SELL,FLAT,0.000000,0.495016,1661914800000000000,2022-08-31 03:00:00+00:00,1662483600000000000,2022-09-06 17:00:00+00:00,568800000000000.0,20201.347411558418,19414.63073920843,['3.92211135 USDT'],0.03894,385.52000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20220904-170000-001-000-48,O-20220907-190000-001-000-54,BUY,FLAT,0.000000,0.122750,1662483600000000000,2022-09-06 17:00:00+00:00,1662692400000000000,2022-09-09 03:00:00+00:00,208800000000000.0,19465.929999999997,19483.255370101833,['0.95620321 USDT'],0.00089,1.16000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20220907-190000-001-000-54,O-20220909-210000-001-000-59,SELL,FLAT,0.000000,0.183967,1662692400000000000,2022-09-09 03:00:00+00:00,1662760800000000000,2022-09-09 22:00:00+00:00,68400000000000.0,19614.54,21239.75,['1.50168544 USDT'],-0.08286,-300.49000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20220917-210000-001-000-64,O-20220921-030000-001-000-72,BUY,FLAT,0.000000,0.310686,1663509600000000000,2022-09-18 14:00:00+00:00,1663732800000000000,2022-09-21 04:00:00+00:00,223200000000000.0,19709.496853961875,19030.68,['2.40000000 USDT'],-0.03444,-213.30000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20220923-000000-001-000-73,O-20220927-000000-001-000-82,BUY,FLAT,0.000000,0.266691,1663938000000000000,2022-09-23 13:00:00+00:00,1664247600000000000,2022-09-27 03:00:00+00:00,309600000000000.0,18748.32,19803.41517689011,['2.05627903 USDT'],0.05628,279.33000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20220927-000000-001-000-82,O-20220927-000000-001-000-79,SELL,FLAT,0.000000,0.233419,1664247600000000000,2022-09-27 03:00:00+00:00,1664298000000000000,2022-09-27 17:00:00+00:00,50400000000000.0,20215.17,18911.86,['1.82659966 USDT'],0.06447,302.39000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20220927-000000-001-000-79,O-20221026-180000-001-000-138,BUY,FLAT,0.000000,2.502495,1664298000000000000,2022-09-27 17:00:00+00:00,1666810800000000000,2022-10-26 19:00:00+00:00,2512800000000000.0,18921.243322213642,19731.645545576735,['27.39712131 USDT'],0.04283,2901.13000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20221029-210000-001-000-139,O-20221106-150000-001-000-155,BUY,FLAT,0.000000,0.492640,1667178000000000000,2022-10-31 01:00:00+00:00,1667750400000000000,2022-11-06 16:00:00+00:00,572400000000000.0,20298.800016888603,20915.90653564469,['4.06000000 USDT'],0.0304,299.96000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20221107-170000-001-000-156,O-20221108-170000-001-000-164,BUY,FLAT,0.000000,0.463798,1667858400000000000,2022-11-07 22:00:00+00:00,1667930400000000000,2022-11-08 18:00:00+00:00,72000000000000.0,20266.999377832588,19352.34,['3.68000000 USDT'],-0.04513,-427.90000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20221113-230000-001-000-165,O-20221114-020000-001-000-169,BUY,FLAT,0.000000,0.312798,1668391200000000000,2022-11-14 02:00:00+00:00,1668405600000000000,2022-11-14 06:00:00+00:00,14400000000000.0,15984.78,16674.92,['2.04317463 USDT'],0.04317,213.83000000 USDT,True
