total,locked,free,currency,account_id,account_type,base_currency,margins,reported,info
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],True,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99999.00000000,0.00000000,99999.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99999.00000000,0.00000000,99999.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99999.00000000,0.00000000,99999.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99999.00000000,0.00000000,99999.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99999.00000000,0.00000000,99999.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99999.00000000,0.00000000,99999.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99999.00000000,0.00000000,99999.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99999.00000000,0.00000000,99999.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99999.00000000,0.00000000,99999.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99999.00000000,0.00000000,99999.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99999.00000000,0.00000000,99999.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99999.00000000,0.00000000,99999.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99999.00000000,0.00000000,99999.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99999.00000000,0.00000000,99999.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100055.01000000,0.00000000,100055.01000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100055.01000000,0.00000000,100055.01000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100055.01000000,0.00000000,100055.01000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100055.01000000,0.00000000,100055.01000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100055.77000000,0.00000000,100055.77000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100055.77000000,0.00000000,100055.77000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100054.77000000,0.00000000,100054.77000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100054.77000000,0.00000000,100054.77000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100288.63000000,0.00000000,100288.63000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100498.78000000,0.00000000,100498.78000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100498.78000000,0.00000000,100498.78000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100498.78000000,0.00000000,100498.78000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100498.78000000,0.00000000,100498.78000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100498.78000000,0.00000000,100498.78000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100498.78000000,0.00000000,100498.78000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100498.78000000,0.00000000,100498.78000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100498.78000000,0.00000000,100498.78000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100498.78000000,0.00000000,100498.78000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100498.78000000,0.00000000,100498.78000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100498.78000000,0.00000000,100498.78000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100498.78000000,0.00000000,100498.78000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100497.78000000,0.00000000,100497.78000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100497.78000000,0.00000000,100497.78000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100497.78000000,0.00000000,100497.78000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100497.58000000,0.00000000,100497.58000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100497.58000000,0.00000000,100497.58000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100497.58000000,0.00000000,100497.58000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100497.58000000,0.00000000,100497.58000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100497.58000000,0.00000000,100497.58000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100497.58000000,0.00000000,100497.58000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100497.58000000,0.00000000,100497.58000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100497.58000000,0.00000000,100497.58000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100497.58000000,0.00000000,100497.58000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100497.58000000,0.00000000,100497.58000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100497.58000000,0.00000000,100497.58000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100497.58000000,0.00000000,100497.58000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100497.58000000,0.00000000,100497.58000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100497.58000000,0.00000000,100497.58000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100497.58000000,0.00000000,100497.58000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100497.58000000,0.00000000,100497.58000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100497.58000000,0.00000000,100497.58000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100497.58000000,0.00000000,100497.58000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
