total,locked,free,currency,account_id,account_type,base_currency,margins,reported,info
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],True,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99999.00000000,0.00000000,99999.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99999.00000000,0.00000000,99999.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99999.00000000,0.00000000,99999.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99999.00000000,0.00000000,99999.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99999.00000000,0.00000000,99999.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99999.00000000,0.00000000,99999.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99999.00000000,0.00000000,99999.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99999.00000000,0.00000000,99999.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99999.00000000,0.00000000,99999.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99949.25000000,0.00000000,99949.25000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99949.25000000,0.00000000,99949.25000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99949.25000000,0.00000000,99949.25000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99949.25000000,0.00000000,99949.25000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99949.25000000,0.00000000,99949.25000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99948.25000000,0.00000000,99948.25000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99948.25000000,0.00000000,99948.25000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99948.25000000,0.00000000,99948.25000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100096.80000000,0.00000000,100096.80000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100100.41000000,0.00000000,100100.41000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100100.41000000,0.00000000,100100.41000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100100.41000000,0.00000000,100100.41000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100316.82000000,0.00000000,100316.82000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100316.82000000,0.00000000,100316.82000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100315.82000000,0.00000000,100315.82000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100315.82000000,0.00000000,100315.82000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100315.82000000,0.00000000,100315.82000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100315.82000000,0.00000000,100315.82000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100315.82000000,0.00000000,100315.82000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100315.82000000,0.00000000,100315.82000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100232.13000000,0.00000000,100232.13000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100232.13000000,0.00000000,100232.13000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100232.13000000,0.00000000,100232.13000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100232.13000000,0.00000000,100232.13000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100232.13000000,0.00000000,100232.13000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100231.13000000,0.00000000,100231.13000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100231.13000000,0.00000000,100231.13000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100231.13000000,0.00000000,100231.13000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100230.93000000,0.00000000,100230.93000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100230.93000000,0.00000000,100230.93000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100230.93000000,0.00000000,100230.93000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100230.93000000,0.00000000,100230.93000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100230.93000000,0.00000000,100230.93000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100230.93000000,0.00000000,100230.93000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100230.93000000,0.00000000,100230.93000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100230.93000000,0.00000000,100230.93000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100230.93000000,0.00000000,100230.93000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100230.93000000,0.00000000,100230.93000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100230.93000000,0.00000000,100230.93000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100230.93000000,0.00000000,100230.93000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100230.93000000,0.00000000,100230.93000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100230.93000000,0.00000000,100230.93000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100230.93000000,0.00000000,100230.93000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100230.93000000,0.00000000,100230.93000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100230.93000000,0.00000000,100230.93000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100230.93000000,0.00000000,100230.93000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100026.65000000,0.00000000,100026.65000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
