ts_ns,equity
1660204800000000000,100000.0
1660208400000000000,100000.0
1660212000000000000,100000.0
1660215600000000000,100000.0
1660219200000000000,100000.0
1660222800000000000,100000.0
1660226400000000000,100000.0
1660230000000000000,100000.0
1660233600000000000,100000.0
1660237200000000000,100000.0
1660240800000000000,100000.0
1660244400000000000,100000.0
1660248000000000000,100000.0
1660251600000000000,100000.0
1660255200000000000,100000.0
1660258800000000000,100000.0
1660262400000000000,100000.0
1660266000000000000,100000.0
1660269600000000000,100000.0
1660273200000000000,100000.0
1660276800000000000,100000.0
1660280400000000000,100000.0
1660302000000000000,100000.0
1660323600000000000,100000.0
1660345200000000000,99999.0
1660356000000000000,99999.0
1660359600000000000,99949.25
1660363200000000000,99949.25
1660366800000000000,99949.25
1660370400000000000,99949.25
1660374000000000000,99949.25
1660377600000000000,99949.25
1660381200000000000,99949.25
1660384800000000000,99949.25
1660388400000000000,99949.25
1660392000000000000,99949.25
1660395600000000000,99949.25
1660399200000000000,99949.25
1660402800000000000,99949.25
1660406400000000000,99949.25
1660410000000000000,99949.25
1660413600000000000,99949.25
1660417200000000000,99949.25
1660420800000000000,99949.25
1660424400000000000,99949.25
1660428000000000000,99949.25
1660431600000000000,99949.25
1660435200000000000,99949.25
1660438800000000000,99949.25
1660442400000000000,99949.25
1660446000000000000,99949.25
1660449600000000000,99949.25
1660453200000000000,99949.25
1660456800000000000,99949.25
1660460400000000000,99949.25
1660464000000000000,99949.25
1660467600000000000,99949.25
1660471200000000000,99949.25
1660474800000000000,99949.25
1660478400000000000,99949.25
1660482000000000000,99949.25
1660485600000000000,99949.25
1660496400000000000,99949.25
1660518000000000000,99948.25
1660539600000000000,100100.41
1660561200000000000,100100.41
1660582800000000000,100100.41
1660604400000000000,100315.82
1660626000000000000,100315.82
1660647600000000000,100315.82
1660669200000000000,100315.82
1660690800000000000,100315.82
1660712400000000000,100315.82
1660734000000000000,100315.82
1660755600000000000,100315.82
1660766400000000000,100315.82
1660770000000000000,100315.82
1660773600000000000,100315.82
1660777200000000000,100315.82
1660780800000000000,100232.13
1660784400000000000,100232.13
1660788000000000000,100232.13
1660791600000000000,100232.13
1660795200000000000,100232.13
1660798800000000000,100232.13
1660802400000000000,100232.13
1660806000000000000,100232.13
1660809600000000000,100232.13
1660813200000000000,100232.13
1660816800000000000,100232.13
1660820400000000000,100232.13
1660824000000000000,100232.13
1660827600000000000,100232.13
1660831200000000000,100232.13
1660834800000000000,100232.13
1660838400000000000,100232.13
1660842000000000000,100232.13
1660845600000000000,100232.13
1660849200000000000,100232.13
1660852800000000000,100232.13
1660856400000000000,100232.13
1660860000000000000,100232.13
1660863600000000000,100232.13
1660867200000000000,100232.13
1660870800000000000,100232.13
1660874400000000000,100232.13
1660878000000000000,100232.13
1660881600000000000,100232.13
1660885200000000000,100232.13
1660888800000000000,100232.13
1660892400000000000,100232.13
1660896000000000000,100232.13
1660899600000000000,100232.13
1660903200000000000,100232.13
1660906800000000000,100232.13
1660910400000000000,100232.13
1660914000000000000,100232.13
1660917600000000000,100232.13
1660921200000000000,100232.13
1660924800000000000,100232.13
1660928400000000000,100232.13
1660932000000000000,100232.13
1660935600000000000,100232.13
1660939200000000000,100232.13
1660942800000000000,100232.13
1660946400000000000,100232.13
1660950000000000000,100232.13
1660953600000000000,100232.13
1660957200000000000,100232.13
1660960800000000000,100232.13
1660964400000000000,100232.13
1660968000000000000,100232.13
1660971600000000000,100232.13
1660975200000000000,100232.13
1660978800000000000,100232.13
1660982400000000000,100232.13
1660986000000000000,100232.13
1660989600000000000,100232.13
1660993200000000000,100232.13
1660996800000000000,100232.13
1661000400000000000,100232.13
1661004000000000000,100232.13
1661007600000000000,100232.13
1661011200000000000,100232.13
1661014800000000000,100232.13
1661018400000000000,100232.13
1661022000000000000,100232.13
1661025600000000000,100232.13
1661029200000000000,100232.13
1661032800000000000,100232.13
1661036400000000000,100232.13
1661040000000000000,100232.13
1661043600000000000,100232.13
1661047200000000000,100232.13
1661050800000000000,100232.13
1661054400000000000,100232.13
1661058000000000000,100232.13
1661061600000000000,100232.13
1661065200000000000,100232.13
1661068800000000000,100232.13
