trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20250807-155500-001-000-1,O-20250807-164500-001-000-7,BUY,FLAT,0.000000,0.086101,1754584800000000000,2025-08-07 16:40:00+00:00,1754595600000000000,2025-08-07 19:40:00+00:00,10800000000000.0,116143.70473153623,117053.69,['4.01570877 USDT'],0.00783,74.33000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20250807-164500-001-000-7,O-20250808-075500-001-000-10,SELL,FLAT,0.000000,0.082797,1754595600000000000,2025-08-07 19:40:00+00:00,1754650200000000000,2025-08-08 10:50:00+00:00,54600000000000.0,117232.793127408,116467.5421788229,['3.87290255 USDT'],0.00653,59.49000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20250808-075500-001-000-10,O-20250808-075500-001-000-11,BUY,FLAT,0.000000,0.003068,1754650200000000000,2025-08-08 10:50:00+00:00,1754661600000000000,2025-08-08 14:00:00+00:00,11400000000000.0,116345.33,117053.12,['0.14321188 USDT'],0.00608,2.03000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20250808-075500-001-000-11,O-20250812-075500-001-000-40,SELL,FLAT,0.000000,0.296127,1754661600000000000,2025-08-08 14:00:00+00:00,1754989800000000000,2025-08-12 09:10:00+00:00,328200000000000.0,117605.45864897821,118249.70259529594,['19.94008778 USDT'],-0.00548,-438.70000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20250812-075500-001-000-40,O-20250812-075500-001-000-41,BUY,FLAT,0.000000,0.041644,1754989800000000000,2025-08-12 09:10:00+00:00,1755001800000000000,2025-08-12 12:30:00+00:00,12000000000000.0,118635.41,119162.38,['1.98055804 USDT'],0.00444,19.96000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20250812-075500-001-000-41,O-20250820-235500-001-000-115,SELL,FLAT,0.000000,0.327076,1755001800000000000,2025-08-12 12:30:00+00:00,1755735300000000000,2025-08-21 00:15:00+00:00,733500000000000.0,115803.63077320716,116412.55666088947,['47.16925888 USDT'],-0.00526,1370.64000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20250820-235500-001-000-115,O-20250820-235500-001-000-117,BUY,FLAT,0.000000,0.033229,1755735300000000000,2025-08-21 00:15:00+00:00,1755736800000000000,2025-08-21 00:40:00+00:00,1500000000000.0,114097.62999999999,114444.85,['1.51885257 USDT'],0.00304,10.02000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20250820-235500-001-000-117,O-20250821-155500-001-000-123,SELL,FLAT,0.000000,0.141395,1755736800000000000,2025-08-21 00:40:00+00:00,1755796200000000000,2025-08-21 17:10:00+00:00,59400000000000.0,114551.97385911808,113807.34867215955,['6.45777112 USDT'],0.0065,98.83000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20250821-155500-001-000-123,O-20250821-155500-001-000-125,BUY,FLAT,0.000000,0.034824,1755796200000000000,2025-08-21 17:10:00+00:00,1755828900000000000,2025-08-22 02:15:00+00:00,32700000000000.0,112228.22,113355.94,['1.57114715 USDT'],0.01005,37.70000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20250821-155500-001-000-125,O-20250822-075500-001-000-131,SELL,FLAT,0.000000,0.053394,1755828900000000000,2025-08-22 02:15:00+00:00,1755859500000000000,2025-08-22 10:45:00+00:00,30600000000000.0,113355.94000000002,112765.2502987227,['2.41470094 USDT'],0.00521,29.13000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20250822-075500-001-000-131,O-20250822-075500-001-000-133,BUY,FLAT,0.000000,0.035359,1755859500000000000,2025-08-22 10:45:00+00:00,1755871200000000000,2025-08-22 14:00:00+00:00,11700000000000.0,112531.41,113658.25,['1.59956009 USDT'],0.01001,38.24000000 USDT,True
