total,locked,free,currency,account_id,account_type,base_currency,margins,reported,info
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],True,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99999.00000000,0.00000000,99999.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99999.00000000,0.00000000,99999.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99999.00000000,0.00000000,99999.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99999.00000000,0.00000000,99999.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99999.00000000,0.00000000,99999.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99999.00000000,0.00000000,99999.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99999.00000000,0.00000000,99999.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99999.00000000,0.00000000,99999.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100116.13000000,0.00000000,100116.13000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100116.13000000,0.00000000,100116.13000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100116.13000000,0.00000000,100116.13000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100116.13000000,0.00000000,100116.13000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100116.13000000,0.00000000,100116.13000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100115.13000000,0.00000000,100115.13000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100115.13000000,0.00000000,100115.13000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100115.13000000,0.00000000,100115.13000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100263.68000000,0.00000000,100263.68000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100267.29000000,0.00000000,100267.29000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100267.29000000,0.00000000,100267.29000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100267.29000000,0.00000000,100267.29000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100483.70000000,0.00000000,100483.70000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100483.70000000,0.00000000,100483.70000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100482.70000000,0.00000000,100482.70000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100482.70000000,0.00000000,100482.70000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100482.70000000,0.00000000,100482.70000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100482.70000000,0.00000000,100482.70000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100482.70000000,0.00000000,100482.70000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100482.70000000,0.00000000,100482.70000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100482.70000000,0.00000000,100482.70000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100482.70000000,0.00000000,100482.70000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100482.70000000,0.00000000,100482.70000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100481.70000000,0.00000000,100481.70000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100481.70000000,0.00000000,100481.70000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100481.70000000,0.00000000,100481.70000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100480.70000000,0.00000000,100480.70000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100480.70000000,0.00000000,100480.70000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100480.70000000,0.00000000,100480.70000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100480.70000000,0.00000000,100480.70000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100480.70000000,0.00000000,100480.70000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100480.70000000,0.00000000,100480.70000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100480.70000000,0.00000000,100480.70000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100480.70000000,0.00000000,100480.70000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100480.70000000,0.00000000,100480.70000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99481.13000000,0.00000000,99481.13000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99481.13000000,0.00000000,99481.13000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99481.13000000,0.00000000,99481.13000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99481.13000000,0.00000000,99481.13000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99481.13000000,0.00000000,99481.13000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99480.13000000,0.00000000,99480.13000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99480.13000000,0.00000000,99480.13000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99480.13000000,0.00000000,99480.13000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99479.93000000,0.00000000,99479.93000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99479.93000000,0.00000000,99479.93000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99479.93000000,0.00000000,99479.93000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99479.93000000,0.00000000,99479.93000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99479.93000000,0.00000000,99479.93000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
