trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250807-155500-001-000-1,O-20250807-164500-001-000-7,BUY,FLAT,0.000000,0.086101,1754584800000000000,2025-08-07 16:40:00+00:00,1754595600000000000,2025-08-07 19:40:00+00:00,10800000000000.0,116143.70473153623,117053.69,['4.01570877 USDT'],0.00783,74.33000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250807-164500-001-000-7,O-20250808-075500-001-000-10,SELL,FLAT,0.000000,0.082797,1754595600000000000,2025-08-07 19:40:00+00:00,1754650200000000000,2025-08-08 10:50:00+00:00,54600000000000.0,117232.793127408,116467.5421788229,['3.87290255 USDT'],0.00653,59.49000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250808-075500-001-000-10,O-20250808-075500-001-000-11,BUY,FLAT,0.000000,0.003068,1754650200000000000,2025-08-08 10:50:00+00:00,1754661600000000000,2025-08-08 14:00:00+00:00,11400000000000.0,116345.33,117053.12,['0.14321188 USDT'],0.00608,2.03000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250808-075500-001-000-11,O-20250812-075500-001-000-40,SELL,FLAT,0.000000,0.296127,1754661600000000000,2025-08-08 14:00:00+00:00,1754989800000000000,2025-08-12 09:10:00+00:00,328200000000000.0,117605.45864897821,118249.70259529594,['19.94008778 USDT'],-0.00548,-438.70000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250812-075500-001-000-40,O-20250812-075500-001-000-41,BUY,FLAT,0.000000,0.041644,1754989800000000000,2025-08-12 09:10:00+00:00,1755001800000000000,2025-08-12 12:30:00+00:00,12000000000000.0,118635.41,119162.38,['1.98055804 USDT'],0.00444,19.96000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250812-075500-001-000-41,O-20250820-235500-001-000-115,SELL,FLAT,0.000000,0.327076,1755001800000000000,2025-08-12 12:30:00+00:00,1755735300000000000,2025-08-21 00:15:00+00:00,733500000000000.0,115803.63077320716,116412.55666088947,['47.16925888 USDT'],-0.00526,1370.64000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250820-235500-001-000-115,O-20250820-235500-001-000-117,BUY,FLAT,0.000000,0.033229,1755735300000000000,2025-08-21 00:15:00+00:00,1755736800000000000,2025-08-21 00:40:00+00:00,1500000000000.0,114097.62999999999,114444.85,['1.51885257 USDT'],0.00304,10.02000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250820-235500-001-000-117,O-20250821-155500-001-000-123,SELL,FLAT,0.000000,0.141395,1755736800000000000,2025-08-21 00:40:00+00:00,1755796200000000000,2025-08-21 17:10:00+00:00,59400000000000.0,114551.97385911808,113807.34867215955,['6.45777112 USDT'],0.0065,98.83000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250821-155500-001-000-123,O-20250821-155500-001-000-125,BUY,FLAT,0.000000,0.034824,1755796200000000000,2025-08-21 17:10:00+00:00,1755828900000000000,2025-08-22 02:15:00+00:00,32700000000000.0,112228.22,113355.94,['1.57114715 USDT'],0.01005,37.70000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250821-155500-001-000-125,O-20250822-075500-001-000-131,SELL,FLAT,0.000000,0.053394,1755828900000000000,2025-08-22 02:15:00+00:00,1755859500000000000,2025-08-22 10:45:00+00:00,30600000000000.0,113355.94000000002,112765.2502987227,['2.41470094 USDT'],0.00521,29.13000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250822-075500-001-000-131,O-20250822-075500-001-000-133,BUY,FLAT,0.000000,0.035359,1755859500000000000,2025-08-22 10:45:00+00:00,1755871200000000000,2025-08-22 14:00:00+00:00,11700000000000.0,112531.41,113658.25,['1.59956009 USDT'],0.01001,38.24000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250822-075500-001-000-133,O-20250825-155500-001-000-159,SELL,FLAT,0.000000,0.230012,1755871200000000000,2025-08-22 14:00:00+00:00,1756150800000000000,2025-08-25 19:40:00+00:00,279600000000000.0,113512.30669319886,113870.36622733103,['16.39659133 USDT'],-0.00315,-36.75000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250825-155500-001-000-159,O-20250826-075500-001-000-169,BUY,FLAT,0.000000,0.126518,1756150800000000000,2025-08-25 19:40:00+00:00,1756239300000000000,2025-08-26 20:15:00+00:00,88500000000000.0,110641.96945067104,110934.13554608829,['5.60668206 USDT'],0.00264,31.35000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250826-075500-001-000-169,O-20250826-235500-001-000-175,SELL,FLAT,0.000000,0.053600,1756239300000000000,2025-08-26 20:15:00+00:00,1756264200000000000,2025-08-27 03:10:00+00:00,24900000000000.0,111283.98000000001,111339.20542537313,['2.38652239 USDT'],-0.0005,-5.34000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250826-235500-001-000-175,O-20250826-235500-001-000-176,BUY,FLAT,0.000000,0.036315,1756264200000000000,2025-08-27 03:10:00+00:00,1756304700000000000,2025-08-27 14:25:00+00:00,40500000000000.0,111033.81,112127.93,['1.62082820 USDT'],0.00985,38.11000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250826-235500-001-000-176,O-20250829-155500-001-000-200,SELL,FLAT,0.000000,0.230802,1756304700000000000,2025-08-27 14:25:00+00:00,1756497900000000000,2025-08-29 20:05:00+00:00,193200000000000.0,112838.05615644316,112047.27073841049,['14.33416674 USDT'],0.00701,170.92000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250829-155500-001-000-200,O-20250830-075500-001-000-208,BUY,FLAT,0.000000,0.039503,1756497900000000000,2025-08-29 20:05:00+00:00,1756542300000000000,2025-08-30 08:25:00+00:00,44400000000000.0,107769.20999999999,108698.22,['1.71022905 USDT'],0.00862,34.99000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250830-075500-001-000-208,O-20250830-075500-001-000-206,SELL,FLAT,0.000000,0.006496,1756542300000000000,2025-08-30 08:25:00+00:00,1756557600000000000,2025-08-30 12:40:00+00:00,15300000000000.0,108698.22,108350.3,['0.28198801 USDT'],0.0032,1.98000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250830-075500-001-000-206,O-20250830-124000-001-000-212,BUY,FLAT,0.000000,0.085798,1756557600000000000,2025-08-30 12:40:00+00:00,1756568100000000000,2025-08-30 15:35:00+00:00,10500000000000.0,108350.29999999999,108872.17,['3.72745237 USDT'],0.00482,41.05000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250830-124000-001-000-212,O-20250831-004000-001-000-220,SELL,FLAT,0.000000,0.097807,1756568100000000000,2025-08-30 15:35:00+00:00,1756615500000000000,2025-08-31 04:45:00+00:00,47400000000000.0,108978.30562250144,108703.66,['4.25815789 USDT'],0.00252,22.60000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250831-004000-001-000-220,O-20250908-161500-001-000-287,BUY,FLAT,0.000000,0.384043,1756615500000000000,2025-08-31 04:45:00+00:00,1757403300000000000,2025-09-09 07:35:00+00:00,787800000000000.0,111331.44239937996,111000.5188715171,['51.99298569 USDT'],-0.00297,1171.60000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250908-161500-001-000-287,O-20250909-075500-001-000-291,SELL,FLAT,0.000000,0.049474,1757403300000000000,2025-09-09 07:35:00+00:00,1757426400000000000,2025-09-09 14:00:00+00:00,23100000000000.0,113257.49999999999,112542.75561911307,['2.23422799 USDT'],0.00631,33.12000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250909-075500-001-000-291,O-20250910-005000-001-000-304,BUY,FLAT,0.000000,0.129458,1757426400000000000,2025-09-09 14:00:00+00:00,1757485500000000000,2025-09-10 06:25:00+00:00,59100000000000.0,111480.52850978696,111794.33999999998,['5.78094177 USDT'],0.00281,34.85000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250910-005000-001-000-304,O-20250915-235500-001-000-359,SELL,FLAT,0.000000,0.268150,1757485500000000000,2025-09-10 06:25:00+00:00,1757982300000000000,2025-09-16 00:25:00+00:00,496800000000000.0,115675.39692141874,114913.79921524339,['38.26610007 USDT'],0.00658,-314.16000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250915-235500-001-000-359,O-20250915-235500-001-000-360,BUY,FLAT,0.000000,0.036473,1757982300000000000,2025-09-16 00:25:00+00:00,1757985900000000000,2025-09-16 01:25:00+00:00,3600000000000.0,115067.67,115490.73,['1.68181597 USDT'],0.00368,13.75000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250915-235500-001-000-360,O-20250919-075500-001-000-393,SELL,FLAT,0.000000,0.223132,1757985900000000000,2025-09-16 01:25:00+00:00,1758276000000000000,2025-09-19 10:00:00+00:00,290100000000000.0,116253.88518461124,116669.30633216888,['13.86100331 USDT'],-0.00357,-225.40000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250919-075500-001-000-393,O-20250920-035500-001-000-406,BUY,FLAT,0.000000,0.088600,1758276000000000000,2025-09-19 10:00:00+00:00,1758352800000000000,2025-09-20 07:20:00+00:00,76800000000000.0,115493.89131918736,115739.93000000001,['4.09747332 USDT'],0.00213,17.70000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250920-035500-001-000-406,O-20250921-075500-001-000-417,SELL,FLAT,0.000000,0.170480,1758352800000000000,2025-09-20 07:20:00+00:00,1758442200000000000,2025-09-21 08:10:00+00:00,89400000000000.0,115821.62209760674,115773.7352293524,['7.89648876 USDT'],0.00041,0.26000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250921-075500-001-000-417,O-20250927-235500-001-000-474,BUY,FLAT,0.000000,0.419459,1758442200000000000,2025-09-21 08:10:00+00:00,1759019100000000000,2025-09-28 00:25:00+00:00,576900000000000.0,111328.51074682019,110462.83662307728,['26.68796472 USDT'],-0.00778,-943.90000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250927-235500-001-000-474,O-20250927-235500-001-000-472,SELL,FLAT,0.000000,0.033913,1759019100000000000,2025-09-28 00:25:00+00:00,1759021500000000000,2025-09-28 01:05:00+00:00,2400000000000.0,109782.97,109488.73,['1.48723561 USDT'],0.00268,8.50000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250927-235500-001-000-472,O-20250928-155500-001-000-482,BUY,FLAT,0.000000,0.148877,1759021500000000000,2025-09-28 01:05:00+00:00,1759075500000000000,2025-09-28 16:05:00+00:00,54000000000000.0,109398.3471921788,109955.3855793709,['6.53138295 USDT'],0.00509,76.41000000 USDT,True
