trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20220811-080000-001-000-1,O-20220813-130000-001-000-7,BUY,FLAT,0.000000,0.209316,1660258800000000000,2022-08-11 23:00:00+00:00,1660395600000000000,2022-08-13 13:00:00+00:00,136800000000000.0,23887.3,24461.56,['4.07000000 USDT'],0.02404,116.13000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20220814-150000-001-000-8,O-20220814-180000-001-000-12,BUY,FLAT,0.000000,0.207020,1660500000000000000,2022-08-14 18:00:00+00:00,1660528800000000000,2022-08-15 02:00:00+00:00,28800000000000.0,24152.2,24896.88,['2.03083235 USDT'],0.03083,152.13000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20220814-180000-001-000-12,O-20220814-150000-001-000-9,SELL,FLAT,0.000000,0.194636,1660528800000000000,2022-08-15 02:00:00+00:00,1660604400000000000,2022-08-15 23:00:00+00:00,75600000000000.0,24896.88,23779.870000000003,['1.89485085 USDT'],0.04487,215.51000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20220814-150000-001-000-9,O-20220819-080000-001-000-24,BUY,FLAT,0.000000,0.660232,1660604400000000000,2022-08-15 23:00:00+00:00,1660896000000000000,2022-08-19 08:00:00+00:00,291600000000000.0,23282.119260199448,21781.230000000003,['11.70431680 USDT'],-0.06447,-1002.64000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20220823-090000-001-000-25,O-20220827-170000-001-000-37,BUY,FLAT,0.000000,0.287104,1661526000000000000,2022-08-26 15:00:00+00:00,1661619600000000000,2022-08-27 17:00:00+00:00,93600000000000.0,20898.386219349086,19985.670000000002,['4.64000000 USDT'],-0.04367,-266.68000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20220830-190000-001-000-40,O-20220904-170000-001-000-48,SELL,FLAT,0.000000,0.495016,1661914800000000000,2022-08-31 03:00:00+00:00,1662483600000000000,2022-09-06 17:00:00+00:00,568800000000000.0,20201.347411558418,19414.63073920843,['3.92211135 USDT'],0.03894,385.52000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20220904-170000-001-000-48,O-20220907-190000-001-000-54,BUY,FLAT,0.000000,0.122750,1662483600000000000,2022-09-06 17:00:00+00:00,1662692400000000000,2022-09-09 03:00:00+00:00,208800000000000.0,19465.929999999997,19483.255370101833,['0.95620321 USDT'],0.00089,1.16000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20220907-190000-001-000-54,O-20220909-210000-001-000-59,SELL,FLAT,0.000000,0.183967,1662692400000000000,2022-09-09 03:00:00+00:00,1662757200000000000,2022-09-09 21:00:00+00:00,64800000000000.0,19614.54,21250.38,['3.07168544 USDT'],-0.0834,-304.01000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20220917-210000-001-000-64,O-20220921-030000-001-000-72,BUY,FLAT,0.000000,0.310686,1663509600000000000,2022-09-18 14:00:00+00:00,1663729200000000000,2022-09-21 03:00:00+00:00,219600000000000.0,19709.496853961875,19021.17,['4.77000000 USDT'],-0.03492,-218.62000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20220923-000000-001-000-73,O-20220927-000000-001-000-82,BUY,FLAT,0.000000,0.266691,1663938000000000000,2022-09-23 13:00:00+00:00,1664247600000000000,2022-09-27 03:00:00+00:00,309600000000000.0,18748.32,19803.41517689011,['2.05627903 USDT'],0.05628,279.33000000 USDT,True
