trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250807-155500-001-000-1,O-20250807-164500-001-000-7,BUY,FLAT,0.000000,0.086101,1754584800000000000,2025-08-07 16:40:00+00:00,1754595600000000000,2025-08-07 19:40:00+00:00,10800000000000.0,116143.70473153623,117053.69,['4.01570877 USDT'],0.00783,74.33000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250807-164500-001-000-7,O-20250808-075500-001-000-10,SELL,FLAT,0.000000,0.082797,1754595600000000000,2025-08-07 19:40:00+00:00,1754650200000000000,2025-08-08 10:50:00+00:00,54600000000000.0,117232.793127408,116467.5421788229,['3.87290255 USDT'],0.00653,59.49000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250808-075500-001-000-10,O-20250808-075500-001-000-11,BUY,FLAT,0.000000,0.003068,1754650200000000000,2025-08-08 10:50:00+00:00,1754661600000000000,2025-08-08 14:00:00+00:00,11400000000000.0,116345.33,117053.12,['0.14321188 USDT'],0.00608,2.03000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250808-075500-001-000-11,O-20250812-075500-001-000-40,SELL,FLAT,0.000000,0.296127,1754661600000000000,2025-08-08 14:00:00+00:00,1754989800000000000,2025-08-12 09:10:00+00:00,328200000000000.0,117605.45864897821,118249.70259529594,['19.94008778 USDT'],-0.00548,-438.70000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250812-075500-001-000-40,O-20250812-075500-001-000-41,BUY,FLAT,0.000000,0.041644,1754989800000000000,2025-08-12 09:10:00+00:00,1755001800000000000,2025-08-12 12:30:00+00:00,12000000000000.0,118635.41,119162.38,['1.98055804 USDT'],0.00444,19.96000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250812-075500-001-000-41,O-20250814-163500-001-000-65,SELL,FLAT,0.000000,0.209930,1755001800000000000,2025-08-12 12:30:00+00:00,1755189300000000000,2025-08-14 16:35:00+00:00,187500000000000.0,120258.3879650916,119353.2116864427,['18.79753098 USDT'],0.00753,152.16000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250814-194500-001-000-66,O-20250814-195500-001-000-70,BUY,FLAT,0.000000,0.084184,1755201300000000000,2025-08-14 19:55:00+00:00,1755223500000000000,2025-08-15 02:05:00+00:00,22200000000000.0,117762.4293086572,118759.31000000001,['3.97952496 USDT'],0.00847,79.94000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250814-195500-001-000-70,O-20250816-034500-001-000-83,SELL,FLAT,0.000000,0.168005,1755223500000000000,2025-08-15 02:05:00+00:00,1755339600000000000,2025-08-16 10:20:00+00:00,116100000000000.0,118614.36239282523,117881.45719554144,['9.96265342 USDT'],0.00618,181.69000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250816-034500-001-000-83,O-20250816-194500-001-000-93,BUY,FLAT,0.000000,0.129323,1755339600000000000,2025-08-16 10:20:00+00:00,1755406200000000000,2025-08-17 04:50:00+00:00,66600000000000.0,117450.18231281363,117816.79965984396,['6.08512402 USDT'],0.00312,41.32000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250816-194500-001-000-93,O-20250820-043500-001-000-129,SELL,FLAT,0.000000,0.253575,1755406200000000000,2025-08-17 04:50:00+00:00,1755697500000000000,2025-08-20 13:45:00+00:00,291300000000000.0,115537.45240195257,114961.81454590513,['23.73512353 USDT'],0.00498,827.81000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250820-043500-001-000-129,O-20250822-165000-001-000-150,BUY,FLAT,0.000000,0.364397,1755697500000000000,2025-08-20 13:45:00+00:00,1755881400000000000,2025-08-22 16:50:00+00:00,183900000000000.0,112926.86753492021,115120.70389496148,['35.48757407 USDT'],0.01943,1001.50000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250822-221500-001-000-151,O-20250823-141500-001-000-162,BUY,FLAT,0.000000,0.129500,1755912600000000000,2025-08-23 01:30:00+00:00,1755996000000000000,2025-08-24 00:40:00+00:00,83400000000000.0,115829.19202625482,115356.66130810812,['5.98772907 USDT'],-0.00408,-67.18000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250823-141500-001-000-162,O-20250824-061500-001-000-168,SELL,FLAT,0.000000,0.087277,1755996000000000000,2025-08-24 00:40:00+00:00,1756031400000000000,2025-08-24 10:30:00+00:00,35400000000000.0,115281.45360243824,114742.72550431386,['4.01513613 USDT'],0.00467,43.01000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250824-061500-001-000-168,O-20250826-003500-001-000-191,BUY,FLAT,0.000000,0.224294,1756031400000000000,2025-08-24 10:30:00+00:00,1756168500000000000,2025-08-26 00:35:00+00:00,137100000000000.0,111978.31342493447,110504.0088040666,['23.76713480 USDT'],-0.01317,-636.90000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250826-021500-001-000-194,O-20250829-123000-001-000-224,SELL,FLAT,0.000000,0.271080,1756193700000000000,2025-08-26 07:35:00+00:00,1756475100000000000,2025-08-29 13:45:00+00:00,281400000000000.0,110946.33771418488,110178.84043764549,['17.93519045 USDT'],0.00692,305.68000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250829-123000-001-000-224,O-20250830-021500-001-000-227,BUY,FLAT,0.000000,0.002964,1756475100000000000,2025-08-29 13:45:00+00:00,1756524000000000000,2025-08-30 03:20:00+00:00,48900000000000.0,109328.90999999999,108161.15,['0.12892792 USDT'],-0.01068,-3.59000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250830-021500-001-000-227,O-20250831-004000-001-000-240,SELL,FLAT,0.000000,0.135253,1756524000000000000,2025-08-30 03:20:00+00:00,1756634100000000000,2025-08-31 09:55:00+00:00,110100000000000.0,108881.37510515092,108522.5069717438,['9.86193048 USDT'],0.0033,39.51000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250831-004000-001-000-240,O-20250831-101500-001-000-243,BUY,FLAT,0.000000,0.003409,1756634100000000000,2025-08-31 09:55:00+00:00,1756652400000000000,2025-08-31 15:00:00+00:00,18300000000000.0,108463.5,108640.08,['0.14802120 USDT'],0.00163,0.46000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250831-101500-001-000-243,O-20250831-150000-001-000-245,SELL,FLAT,0.000000,0.088525,1756652400000000000,2025-08-31 15:00:00+00:00,1756683600000000000,2025-08-31 23:40:00+00:00,31200000000000.0,108780.0011296244,108100.46,['3.83985986 USDT'],0.00625,56.31000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250831-150000-001-000-245,O-20250901-181500-001-000-260,BUY,FLAT,0.000000,0.235885,1756683600000000000,2025-08-31 23:40:00+00:00,1756781700000000000,2025-09-02 02:55:00+00:00,98100000000000.0,108247.84971642867,109000.53423919767,['14.23770916 USDT'],0.00695,313.64000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250901-181500-001-000-260,O-20250905-200000-001-000-305,SELL,FLAT,0.000000,0.290545,1756781700000000000,2025-09-02 02:55:00+00:00,1757106900000000000,2025-09-05 21:15:00+00:00,325200000000000.0,111426.90929578667,110614.40101350565,['34.81811168 USDT'],0.00729,228.16000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250905-200000-001-000-305,O-20250906-101500-001-000-309,BUY,FLAT,0.000000,0.028070,1757106900000000000,2025-09-05 21:15:00+00:00,1757159100000000000,2025-09-06 11:45:00+00:00,52200000000000.0,110483.06999999999,110833.65000000001,['1.24246458 USDT'],0.00317,8.60000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250906-101500-001-000-309,O-20250906-114500-001-000-311,SELL,FLAT,0.000000,0.062109,1757159100000000000,2025-09-06 11:45:00+00:00,1757173200000000000,2025-09-06 15:40:00+00:00,14100000000000.0,110916.0993967058,110606.37000000001,['2.75172561 USDT'],0.00279,16.48000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250906-114500-001-000-311,O-20250910-101500-001-000-339,BUY,FLAT,0.000000,0.299983,1757173200000000000,2025-09-06 15:40:00+00:00,1757506500000000000,2025-09-10 12:15:00+00:00,333300000000000.0,110706.4557894402,111612.90152680944,['21.34543074 USDT'],0.00819,445.26000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250910-101500-001-000-339,O-20250915-042500-001-000-400,SELL,FLAT,0.000000,0.229383,1757506500000000000,2025-09-10 12:15:00+00:00,1757926200000000000,2025-09-15 08:50:00+00:00,419700000000000.0,115551.92217290474,114873.52884464125,['26.55420360 USDT'],0.00587,13.40000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250915-042500-001-000-400,O-20250915-181500-001-000-403,BUY,FLAT,0.000000,0.025530,1757926200000000000,2025-09-15 08:50:00+00:00,1757962200000000000,2025-09-15 18:50:00+00:00,36000000000000.0,114850.69,115233.22,['1.17480914 USDT'],0.00333,8.59000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250915-181500-001-000-403,O-20250916-101500-001-000-410,SELL,FLAT,0.000000,0.061146,1757962200000000000,2025-09-15 18:50:00+00:00,1758029700000000000,2025-09-16 13:35:00+00:00,67500000000000.0,115429.48158113369,115310.53613122691,['2.82176625 USDT'],0.00103,4.45000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250916-101500-001-000-410,O-20250916-101500-001-000-411,BUY,FLAT,0.000000,0.025603,1758029700000000000,2025-09-16 13:35:00+00:00,1758038100000000000,2025-09-16 15:55:00+00:00,8400000000000.0,115192.23,115692.90999999999,['1.18226453 USDT'],0.00435,11.64000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250916-101500-001-000-411,O-20250920-111000-001-000-450,SELL,FLAT,0.000000,0.233519,1758038100000000000,2025-09-16 15:55:00+00:00,1758411000000000000,2025-09-20 23:30:00+00:00,372900000000000.0,115863.54715285568,116098.16092023649,['24.83165344 USDT'],-0.00202,-107.09000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250920-111000-001-000-450,O-20250921-021500-001-000-456,BUY,FLAT,0.000000,0.111458,1758411000000000000,2025-09-20 23:30:00+00:00,1758422400000000000,2025-09-21 02:40:00+00:00,11400000000000.0,115556.76285004216,115565.24043424429,['5.15207009 USDT'],7e-05,-4.21000000 USDT,True
TESTER-001,SRGridStrategyV2-000,BTC/USDT.SIM,SIM-001,O-20250921-021500-001-000-456,O-20250921-023000-001-000-459,SELL,FLAT,0.000000,0.061582,1758422400000000000,2025-09-21 02:40:00+00:00,1758447000000000000,2025-09-21 09:30:00+00:00,24600000000000.0,115606.64,115393.34000000001,['2.84509367 USDT'],0.00185,10.29000000 USDT,True
