trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20250807-155500-001-000-1,O-20250810-075500-001-000-20,BUY,FLAT,0.000000,0.162288,1754584800000000000,2025-08-07 16:40:00+00:00,1754828100000000000,2025-08-10 12:15:00+00:00,243300000000000.0,116503.46225558256,117339.70261583284,['16.06252940 USDT'],0.00718,298.96000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20250810-075500-001-000-20,O-20250810-235500-001-000-21,SELL,FLAT,0.000000,0.007485,1754828100000000000,2025-08-10 12:15:00+00:00,1754874900000000000,2025-08-11 01:15:00+00:00,46800000000000.0,118552.03000000001,118991.60000000002,['0.35560006 USDT'],-0.00371,-3.65000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20250810-235500-001-000-21,O-20250810-235500-001-000-23,BUY,FLAT,0.000000,0.034535,1754874900000000000,2025-08-11 01:15:00+00:00,1754875800000000000,2025-08-11 01:30:00+00:00,900000000000.0,118991.60000000002,119596.42000000001,['1.64792838 USDT'],0.00508,19.24000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20250810-235500-001-000-23,O-20250811-155500-001-000-26,SELL,FLAT,0.000000,0.070624,1754875800000000000,2025-08-11 01:30:00+00:00,1754935200000000000,2025-08-11 18:00:00+00:00,59400000000000.0,120361.72219557091,119712.60106847533,['3.39485125 USDT'],0.00539,42.45000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20250811-155500-001-000-26,O-20250813-103500-001-000-37,BUY,FLAT,0.000000,0.097167,1754935200000000000,2025-08-11 18:00:00+00:00,1755083100000000000,2025-08-13 11:05:00+00:00,147900000000000.0,119607.42950600034,119949.04786591105,['8.64490421 USDT'],0.00286,119.01000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20250813-103500-001-000-37,O-20250814-163500-001-000-46,SELL,FLAT,0.000000,0.094168,1755083100000000000,2025-08-13 11:05:00+00:00,1755189600000000000,2025-08-14 16:40:00+00:00,106500000000000.0,121692.24702191826,120699.55731819727,['4.56418670 USDT'],0.00816,88.93000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20250814-194500-001-000-47,O-20250818-194500-001-000-78,BUY,FLAT,0.000000,0.212904,1755201300000000000,2025-08-14 19:55:00+00:00,1755554400000000000,2025-08-18 22:00:00+00:00,353100000000000.0,117880.75470141377,117481.38727667181,['19.96388584 USDT'],-0.00339,-200.32000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20250818-194500-001-000-78,O-20250818-194500-001-000-75,SELL,FLAT,0.000000,0.001545,1755554400000000000,2025-08-18 22:00:00+00:00,1755562800000000000,2025-08-19 00:20:00+00:00,8400000000000.0,116874.46,115966.14,['0.07194773 USDT'],0.00777,1.33000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20250818-194500-001-000-75,O-20250822-165000-001-000-101,BUY,FLAT,0.000000,0.262946,1755562800000000000,2025-08-19 00:20:00+00:00,1755882000000000000,2025-08-22 17:00:00+00:00,319200000000000.0,112943.24273847735,114875.28814643508,['26.05416643 USDT'],0.01711,622.54000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20250822-221500-001-000-102,O-20250824-061500-001-000-112,BUY,FLAT,0.000000,0.129500,1755912600000000000,2025-08-23 01:30:00+00:00,1756016700000000000,2025-08-24 06:25:00+00:00,104100000000000.0,115829.19202625482,115275.5378338224,['5.98562326 USDT'],-0.00478,-77.68000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20250824-061500-001-000-112,O-20250824-061500-001-000-110,SELL,FLAT,0.000000,0.000625,1756016700000000000,2025-08-24 06:25:00+00:00,1756026600000000000,2025-08-24 09:10:00+00:00,9900000000000.0,115014.5,114742.92,['0.02871950 USDT'],0.00236,0.15000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20250824-061500-001-000-110,O-20250826-003500-001-000-124,BUY,FLAT,0.000000,0.206574,1756026600000000000,2025-08-24 09:10:00+00:00,1756168800000000000,2025-08-26 00:40:00+00:00,142200000000000.0,111781.77552641818,110604.36244039284,['13.15565724 USDT'],-0.01053,-529.05000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20250826-021500-001-000-127,O-20250904-101500-001-000-175,SELL,FLAT,0.000000,0.271709,1756193700000000000,2025-08-26 07:35:00+00:00,1756983300000000000,2025-09-04 10:55:00+00:00,789600000000000.0,111340.79277615121,109760.67139152659,['36.94606004 USDT'],0.01419,399.28000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20250904-101500-001-000-175,O-20250904-101500-001-000-177,BUY,FLAT,0.000000,0.024117,1756983300000000000,2025-09-04 10:55:00+00:00,1756988100000000000,2025-09-04 12:15:00+00:00,4800000000000.0,110697.05,111101.27,['1.06982566 USDT'],0.00365,8.68000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20250904-101500-001-000-177,O-20250904-101500-001-000-176,SELL,FLAT,0.000000,0.020887,1756988100000000000,2025-09-04 12:15:00+00:00,1756993200000000000,2025-09-04 13:40:00+00:00,5100000000000.0,111101.27,110494.95,['0.92569526 USDT'],0.00546,11.74000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20250904-101500-001-000-176,O-20250904-101500-001-000-178,BUY,FLAT,0.000000,0.024364,1756993200000000000,2025-09-04 13:40:00+00:00,1757026500000000000,2025-09-04 22:55:00+00:00,33300000000000.0,110494.95,111303.37,['1.08078136 USDT'],0.00732,18.61000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20250904-101500-001-000-178,O-20250921-181500-001-000-270,SELL,FLAT,0.000000,0.432452,1757026500000000000,2025-09-04 22:55:00+00:00,1758492600000000000,2025-09-21 22:10:00+00:00,1466100000000000.0,115580.89004491028,114140.08626643723,['65.59095619 USDT'],0.01247,-744.19000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20250921-181500-001-000-270,O-20250922-101500-001-000-275,BUY,FLAT,0.000000,0.043249,1758492600000000000,2025-09-21 22:10:00+00:00,1758540000000000000,2025-09-22 11:20:00+00:00,47400000000000.0,115225.39,112957.20999999999,['1.97372882 USDT'],-0.01968,-100.07000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20250922-101500-001-000-275,O-20250922-101500-001-000-274,SELL,FLAT,0.000000,0.045148,1758540000000000000,2025-09-22 11:20:00+00:00,1758570300000000000,2025-09-22 19:45:00+00:00,30300000000000.0,113287.79922654381,112276.1681031275,['2.03671396 USDT'],0.00893,43.64000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20250922-101500-001-000-274,O-20250927-021500-001-000-306,BUY,FLAT,0.000000,0.163565,1758570300000000000,2025-09-22 19:45:00+00:00,1758944100000000000,2025-09-27 03:35:00+00:00,373800000000000.0,111037.13339400805,111679.34938871223,['21.14904007 USDT'],0.00578,20.54000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20250927-021500-001-000-306,O-20250927-021500-001-000-303,SELL,FLAT,0.000000,0.019018,1758944100000000000,2025-09-27 03:35:00+00:00,1758963900000000000,2025-09-27 09:05:00+00:00,19800000000000.0,109686.28,109168.44,['0.83242975 USDT'],0.00472,9.01000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20250927-021500-001-000-303,O-20250927-181500-001-000-309,BUY,FLAT,0.000000,0.026783,1758963900000000000,2025-09-27 09:05:00+00:00,1759011000000000000,2025-09-27 22:10:00+00:00,47100000000000.0,109168.44,109573.91,['1.17171636 USDT'],0.00371,9.69000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20250927-181500-001-000-309,O-20251007-191000-001-000-361,SELL,FLAT,0.000000,0.240238,1759011000000000000,2025-09-27 22:10:00+00:00,1759864800000000000,2025-10-07 19:20:00+00:00,853800000000000.0,122174.13359627133,119106.12465793053,['31.17305253 USDT'],0.02511,-1768.97000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20251007-204000-001-000-362,O-20251009-204000-001-000-376,BUY,FLAT,0.000000,0.083841,1759879500000000000,2025-10-07 23:25:00+00:00,1760044200000000000,2025-10-09 21:10:00+00:00,164700000000000.0,121613.61428182619,122784.59317916259,['12.05282689 USDT'],0.00963,251.83000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20251009-204000-001-000-376,O-20251010-185500-001-000-382,SELL,FLAT,0.000000,0.162274,1760044200000000000,2025-10-09 21:10:00+00:00,1760123100000000000,2025-10-10 19:05:00+00:00,78900000000000.0,121620.29366885638,119188.19687713376,['7.81717311 USDT'],0.02,386.84000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20251011-053500-001-000-387,O-20251015-053500-001-000-418,BUY,FLAT,0.000000,0.135762,1760166000000000000,2025-10-11 07:00:00+00:00,1760517000000000000,2025-10-15 08:30:00+00:00,351000000000000.0,112250.62081970932,113207.85635658508,['18.04910299 USDT'],0.00853,227.51000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20251015-053500-001-000-418,O-20251015-053500-001-000-416,SELL,FLAT,0.000000,0.041926,1760517000000000000,2025-10-15 08:30:00+00:00,1760526900000000000,2025-10-15 11:15:00+00:00,9900000000000.0,113401.44,111710.54000000001,['1.88760248 USDT'],0.01491,69.01000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20251015-053500-001-000-416,O-20251016-182500-001-000-428,BUY,FLAT,0.000000,0.093914,1760526900000000000,2025-10-15 11:15:00+00:00,1760639400000000000,2025-10-16 18:30:00+00:00,112500000000000.0,110577.89151414623,109228.34731245264,['6.09329453 USDT'],-0.0122,-187.34000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20251016-222500-001-000-431,O-20251017-090500-001-000-433,SELL,FLAT,0.000000,0.092133,1760656800000000000,2025-10-16 23:20:00+00:00,1760692200000000000,2025-10-17 09:10:00+00:00,35400000000000.0,108538.6238100355,107109.98003788004,['3.97000000 USDT'],0.01316,127.65000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20251017-140500-001-000-436,O-20251020-075500-001-000-455,SELL,FLAT,0.000000,0.240648,1760715900000000000,2025-10-17 15:45:00+00:00,1760947200000000000,2025-10-20 08:00:00+00:00,231300000000000.0,107901.05131600409,109098.64945319183,['16.51000000 USDT'],-0.0111,-590.22000000 USDT,True
