total,locked,free,currency,account_id,account_type,base_currency,margins,reported,info
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],True,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99999.00000000,0.00000000,99999.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99998.00000000,0.00000000,99998.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99998.00000000,0.00000000,99998.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99998.00000000,0.00000000,99998.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100035.87000000,0.00000000,100035.87000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100073.74000000,0.00000000,100073.74000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100074.35000000,0.00000000,100074.35000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100074.35000000,0.00000000,100074.35000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100074.03000000,0.00000000,100074.03000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100074.03000000,0.00000000,100074.03000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100074.03000000,0.00000000,100074.03000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100074.03000000,0.00000000,100074.03000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100074.03000000,0.00000000,100074.03000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100092.34000000,0.00000000,100092.34000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100092.34000000,0.00000000,100092.34000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100091.34000000,0.00000000,100091.34000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100117.40000000,0.00000000,100117.40000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100117.40000000,0.00000000,100117.40000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100117.40000000,0.00000000,100117.40000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100117.40000000,0.00000000,100117.40000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100117.40000000,0.00000000,100117.40000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100117.40000000,0.00000000,100117.40000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100117.40000000,0.00000000,100117.40000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100117.40000000,0.00000000,100117.40000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100116.40000000,0.00000000,100116.40000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100115.40000000,0.00000000,100115.40000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100124.41000000,0.00000000,100124.41000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100137.00000000,0.00000000,100137.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100137.00000000,0.00000000,100137.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100137.00000000,0.00000000,100137.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100137.00000000,0.00000000,100137.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100137.00000000,0.00000000,100137.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100136.00000000,0.00000000,100136.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100135.00000000,0.00000000,100135.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100135.00000000,0.00000000,100135.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100135.00000000,0.00000000,100135.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100159.44000000,0.00000000,100159.44000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100183.88000000,0.00000000,100183.88000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100200.11000000,0.00000000,100200.11000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100200.11000000,0.00000000,100200.11000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100199.11000000,0.00000000,100199.11000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100199.11000000,0.00000000,100199.11000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100199.11000000,0.00000000,100199.11000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100199.11000000,0.00000000,100199.11000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100199.11000000,0.00000000,100199.11000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100198.11000000,0.00000000,100198.11000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100197.11000000,0.00000000,100197.11000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100197.11000000,0.00000000,100197.11000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100197.11000000,0.00000000,100197.11000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100197.11000000,0.00000000,100197.11000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100197.11000000,0.00000000,100197.11000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100197.11000000,0.00000000,100197.11000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100197.11000000,0.00000000,100197.11000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100151.65000000,0.00000000,100151.65000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100150.65000000,0.00000000,100150.65000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100150.65000000,0.00000000,100150.65000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
