trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,price,time_in_force,expire_time_ns,filled_qty,liquidity_side,avg_px,slippage,commissions,status,is_post_only,is_reduce_only,is_quote_quantity,display_qty,emulation_trigger,trigger_instrument_id,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-1-001,BTC/USDT.SIM-SRGridStrategyUser-000,SIM-001,T-3167689254c2db5f-753,LIMIT,BUY,0.042983,116325.93,GTC,,0.042983,MAKER,116325.93,0.0,['1.00000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,0162da63-3db1-41f7-9a8f-351b51ecafd9,2025-08-07 15:55:00+00:00,2025-08-07 16:40:00+00:00
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-1-002,BTC/USDT.SIM-SRGridStrategyUser-000,SIM-001,T-d9f9880716b0f617-758,LIMIT,BUY,0.043118,115962.05,GTC,,0.043118,MAKER,115962.05,0.0,['1.00000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,e3f5e4ed-bf7f-48ff-8a89-df10b4e1245f,2025-08-07 15:55:00+00:00,2025-08-07 16:45:00+00:00
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-1-003,BTC/USDT.SIM-SRGridStrategyUser-000,SIM-001,T-9deff08a0c92791f-895,LIMIT,SELL,0.042715,117053.69,GTC,,0.042715,MAKER,117053.69,0.0,['1.00000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,24300669-79a0-4b22-b3dc-3310d0bcc953,2025-08-07 15:55:00+00:00,2025-08-07 19:40:00+00:00
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-1-004,BTC/USDT.SIM-SRGridStrategyUser-000,SIM-001,T-22d1b4b7c044752f-901,LIMIT,SELL,0.010242,117417.57,GTC,,0.010242,MAKER,117417.57,0.0,['0.24000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,32297953-0a5a-4f8c-9834-fbf0a82a1f26,2025-08-07 15:55:00+00:00,2025-08-07 19:45:00+00:00
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-1-005,BTC/USDT.SIM-SRGridStrategyUser-000,SIM-001,T-9deff08a0c92791f-896,LIMIT,SELL,0.042715,117053.69,GTC,,0.042715,MAKER,117053.69,0.0,['1.00000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,c4aca094-f531-438e-b878-ee0669bc56cb,2025-08-07 19:00:00+00:00,2025-08-07 19:40:00+00:00
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-1-006,BTC/USDT.SIM-SRGridStrategyUser-000,SIM-001,T-22d1b4b7c044752f-902,LIMIT,SELL,0.013519,117417.57,GTC,,0.013519,MAKER,117417.57,0.0,['0.32000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,1c053823-3a4d-4faa-822b-61131b9053af,2025-08-07 19:00:00+00:00,2025-08-07 19:45:00+00:00
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-1-007,BTC/USDT.SIM-SRGridStrategyUser-000,SIM-001,T-e3bf21ed7e993872-1471,LIMIT,BUY,0.042889,116581.26,GTC,,0.042889,MAKER,116581.26000000001,0.0,['1.00000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,dc8256b0-aece-4494-9200-39f2fec65779,2025-08-08 07:55:00+00:00,2025-08-08 08:30:00+00:00
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-1-008,BTC/USDT.SIM-SRGridStrategyUser-000,SIM-001,T-4ed1a597127593b9-1575,LIMIT,BUY,0.042976,116345.33,GTC,,0.042976,MAKER,116345.33,0.0,['1.00000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,513b51f2-463b-4aa3-938d-4c8ce0783183,2025-08-08 07:55:00+00:00,2025-08-08 10:50:00+00:00
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-1-009,BTC/USDT.SIM-SRGridStrategyUser-000,SIM-001,T-a00d220db4040f0b-1720,LIMIT,SELL,0.042716,117053.12,GTC,,0.042716,MAKER,117053.12,0.0,['1.00000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,2b45efec-cbbb-46bc-a313-7f94f50c93ec,2025-08-08 07:55:00+00:00,2025-08-08 14:00:00+00:00
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-1-012,BTC/USDT.SIM-SRGridStrategyUser-000,SIM-001,T-56f613b01ab403e9-2213,LIMIT,BUY,0.042885,116591.02,GTC,,0.042885,MAKER,116591.02,0.0,['1.00000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,22f704bc-a8e3-49dd-8190-2295e64bb840,2025-08-08 23:55:00+00:00,2025-08-09 00:55:00+00:00
