trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20250807-155500-001-000-1,O-20250810-075500-001-000-20,BUY,FLAT,0.000000,0.162288,1754584800000000000,2025-08-07 16:40:00+00:00,1754828100000000000,2025-08-10 12:15:00+00:00,243300000000000.0,116503.46225558256,117339.70261583284,['16.06252940 USDT'],0.00718,298.96000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20250810-075500-001-000-20,O-20250810-235500-001-000-21,SELL,FLAT,0.000000,0.007485,1754828100000000000,2025-08-10 12:15:00+00:00,1754874900000000000,2025-08-11 01:15:00+00:00,46800000000000.0,118552.03000000001,118991.60000000002,['0.35560006 USDT'],-0.00371,-3.65000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20250810-235500-001-000-21,O-20250810-235500-001-000-23,BUY,FLAT,0.000000,0.034535,1754874900000000000,2025-08-11 01:15:00+00:00,1754875800000000000,2025-08-11 01:30:00+00:00,900000000000.0,118991.60000000002,119596.42000000001,['1.64792838 USDT'],0.00508,19.24000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20250810-235500-001-000-23,O-20250811-155500-001-000-26,SELL,FLAT,0.000000,0.068773,1754875800000000000,2025-08-11 01:30:00+00:00,1754935200000000000,2025-08-11 18:00:00+00:00,59400000000000.0,120374.180768761,119719.38735259479,['3.30062714 USDT'],0.00544,41.73000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20250811-155500-001-000-26,O-20250813-155500-001-000-39,BUY,FLAT,0.000000,0.099018,1754935200000000000,2025-08-11 18:00:00+00:00,1755101700000000000,2025-08-13 16:15:00+00:00,166500000000000.0,119594.51959433068,120045.93914225609,['8.73585196 USDT'],0.00377,137.51000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20250813-155500-001-000-39,O-20250814-075500-001-000-42,SELL,FLAT,0.000000,0.054661,1755101700000000000,2025-08-13 16:15:00+00:00,1755168600000000000,2025-08-14 10:50:00+00:00,66900000000000.0,122132.58929931762,121218.59378862445,['2.66264685 USDT'],0.00748,47.30000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20250814-075500-001-000-42,O-20250814-163500-001-000-45,BUY,FLAT,0.000000,0.027905,1755168600000000000,2025-08-14 10:50:00+00:00,1755189600000000000,2025-08-14 16:40:00+00:00,21000000000000.0,120911.96,117861.13,['1.33481621 USDT'],-0.02523,-86.46000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20250814-194500-001-000-46,O-20250818-194500-001-000-74,BUY,FLAT,0.000000,0.212904,1755201300000000000,2025-08-14 19:55:00+00:00,1755554400000000000,2025-08-18 22:00:00+00:00,353100000000000.0,117880.75470141377,117481.38727667181,['19.96388584 USDT'],-0.00339,-200.32000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20250818-194500-001-000-74,O-20250818-194500-001-000-71,SELL,FLAT,0.000000,0.001545,1755554400000000000,2025-08-18 22:00:00+00:00,1755562800000000000,2025-08-19 00:20:00+00:00,8400000000000.0,116874.46,115966.14,['0.07194773 USDT'],0.00777,1.33000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20250818-194500-001-000-71,O-20250822-165000-001-000-97,BUY,FLAT,0.000000,0.306994,1755562800000000000,2025-08-19 00:20:00+00:00,1755882000000000000,2025-08-22 17:00:00+00:00,319200000000000.0,112973.17413450577,114875.16654380824,['26.05416643 USDT'],0.01684,617.00000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20250822-221500-001-000-98,O-20250824-061500-001-000-108,BUY,FLAT,0.000000,0.129500,1755912600000000000,2025-08-23 01:30:00+00:00,1756016700000000000,2025-08-24 06:25:00+00:00,104100000000000.0,115829.19202625482,115275.5378338224,['5.98562326 USDT'],-0.00478,-77.68000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20250824-061500-001-000-108,O-20250824-061500-001-000-106,SELL,FLAT,0.000000,0.000625,1756016700000000000,2025-08-24 06:25:00+00:00,1756026600000000000,2025-08-24 09:10:00+00:00,9900000000000.0,115014.5,114742.92,['0.02871950 USDT'],0.00236,0.15000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20250824-061500-001-000-106,O-20250826-003500-001-000-118,BUY,FLAT,0.000000,0.116552,1756026600000000000,2025-08-24 09:10:00+00:00,1756168800000000000,2025-08-26 00:40:00+00:00,142200000000000.0,112152.22343013901,111077.85627779322,['9.17565724 USDT'],-0.00958,-384.81000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20250826-021500-001-000-121,O-20250923-021500-001-000-277,SELL,FLAT,0.000000,0.311882,1756193700000000000,2025-08-26 07:35:00+00:00,1758595800000000000,2025-09-23 02:50:00+00:00,2402100000000000.0,114084.01418535852,112365.80823769081,['114.24598837 USDT'],0.01506,106.37000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20250923-021500-001-000-277,O-20250923-021500-001-000-278,BUY,FLAT,0.000000,0.030589,1758595800000000000,2025-09-23 02:50:00+00:00,1758604200000000000,2025-09-23 05:10:00+00:00,8400000000000.0,111805.92,112577.67,['1.37273591 USDT'],0.0069,22.24000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20250923-021500-001-000-278,O-20251007-191000-001-000-355,SELL,FLAT,0.000000,0.266301,1758604200000000000,2025-09-23 05:10:00+00:00,1759864800000000000,2025-10-07 19:20:00+00:00,1260600000000000.0,121496.72952546686,116352.74979079358,['48.94127572 USDT'],0.04234,-1682.62000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20251007-204000-001-000-356,O-20251009-204000-001-000-370,BUY,FLAT,0.000000,0.083841,1759879500000000000,2025-10-07 23:25:00+00:00,1760044200000000000,2025-10-09 21:10:00+00:00,164700000000000.0,121613.61428182619,122784.59317916259,['12.05282689 USDT'],0.00963,251.83000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20251009-204000-001-000-370,O-20251010-185500-001-000-377,SELL,FLAT,0.000000,0.203278,1760044200000000000,2025-10-09 21:10:00+00:00,1760123100000000000,2025-10-10 19:05:00+00:00,78900000000000.0,121684.57713446609,118782.93005814696,['9.77717311 USDT'],0.02385,580.06000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20251011-053500-001-000-382,O-20251016-182500-001-000-419,BUY,FLAT,0.000000,0.137115,1760166000000000000,2025-10-11 07:00:00+00:00,1760639400000000000,2025-10-16 18:30:00+00:00,473400000000000.0,110748.55810743407,111689.10682811636,['25.96000000 USDT'],0.00849,-228.56000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20251016-222500-001-000-422,O-20251017-090500-001-000-424,SELL,FLAT,0.000000,0.092133,1760656800000000000,2025-10-16 23:20:00+00:00,1760692200000000000,2025-10-17 09:10:00+00:00,35400000000000.0,108538.6238100355,107109.98003788004,['3.97000000 USDT'],0.01316,127.65000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20251017-140500-001-000-427,O-20251020-075500-001-000-446,SELL,FLAT,0.000000,0.234721,1760715900000000000,2025-10-17 15:45:00+00:00,1760947200000000000,2025-10-20 08:00:00+00:00,231300000000000.0,107907.61541316606,109066.8025967708,['16.25000000 USDT'],-0.01074,-569.37000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20251020-104000-001-000-447,O-20251020-104000-001-000-450,BUY,FLAT,0.000000,0.045195,1760957400000000000,2025-10-20 10:50:00+00:00,1760972700000000000,2025-10-20 15:05:00+00:00,15300000000000.0,110631.05,111238.59898108197,['2.00548776 USDT'],0.00549,25.45000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20251020-104000-001-000-450,O-20251020-104000-001-000-448,SELL,FLAT,0.000000,0.044581,1760972700000000000,2025-10-20 15:05:00+00:00,1760978700000000000,2025-10-20 16:45:00+00:00,6000000000000.0,111539.90000000001,110328.09999999999,['1.97822768 USDT'],0.01086,52.05000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20251020-104000-001-000-448,O-20251021-153500-001-000-455,BUY,FLAT,0.000000,0.092573,1760978700000000000,2025-10-20 16:45:00+00:00,1761061200000000000,2025-10-21 15:40:00+00:00,82500000000000.0,108902.27791548292,110385.8228964169,['4.05628456 USDT'],0.01362,133.27000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20251021-205000-001-000-456,O-20251021-233500-001-000-460,BUY,FLAT,0.000000,0.090820,1761081600000000000,2025-10-21 21:20:00+00:00,1761090000000000000,2025-10-21 23:40:00+00:00,8400000000000.0,110108.02235972254,108365.0,['3.97000000 USDT'],-0.01583,-162.27000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20251022-051000-001-000-461,O-20251022-211000-001-000-467,BUY,FLAT,0.000000,0.092696,1761110700000000000,2025-10-22 05:25:00+00:00,1761175500000000000,2025-10-22 23:25:00+00:00,64800000000000.0,107880.07363597135,108816.86315094502,['4.01739074 USDT'],0.00868,82.82000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20251022-211000-001-000-467,O-20251103-051000-001-000-531,SELL,FLAT,0.000000,0.227782,1761175500000000000,2025-10-22 23:25:00+00:00,1762148700000000000,2025-11-03 05:45:00+00:00,973200000000000.0,110714.33815720685,111205.33391105593,['41.94735939 USDT'],-0.00443,47.10000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20251103-051000-001-000-531,O-20251104-093500-001-000-539,BUY,FLAT,0.000000,0.058201,1762148700000000000,2025-11-03 05:45:00+00:00,1762252800000000000,2025-11-04 10:40:00+00:00,104100000000000.0,105474.22593961813,105708.34915530762,['3.81524987 USDT'],0.00222,-12.79000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20251104-123500-001-000-540,O-20251104-195000-001-000-544,BUY,FLAT,0.000000,0.058057,1762266600000000000,2025-11-04 14:30:00+00:00,1762286100000000000,2025-11-04 19:55:00+00:00,19500000000000.0,103345.4969643626,103780.89142618461,['2.41000000 USDT'],0.00421,22.87000000 USDT,True
TESTER-001,SRGridStrategyUser-000,BTC/USDT.SIM,SIM-001,O-20251105-000000-001-000-545,O-20251107-203000-001-000-567,BUY,FLAT,0.000000,0.249364,1762302900000000000,2025-11-05 00:35:00+00:00,1762547700000000000,2025-11-07 20:35:00+00:00,244800000000000.0,101590.41974012046,102749.1383171853,['18.14000000 USDT'],0.01141,667.94000000 USDT,True
