atr,lv,reb,ent,cap,return_pct,max_dd_pct,sharpe,n_fills,commissions,n_rebalances,n_regime_flips,n_liquidations,n_cap_enforcements,realized_pnl,final_equity
1.5,2,96,0.8,4,-3.124,-5.8323,-0.0479,366,785.42,82,162,0,0,-3148.96,96875.97
1.5,2,96,0.8,3,-3.124,-5.8323,-0.0479,366,785.42,82,162,0,0,-3148.96,96875.97
1.5,2,192,0.8,3,-3.124,-5.8323,-0.0479,366,785.42,82,162,0,0,-3148.96,96875.97
1.5,2,192,0.8,4,-3.124,-5.8323,-0.0479,366,785.42,82,162,0,0,-3148.96,96875.97
2.5,2,96,0.8,3,-3.1865,-6.2689,-0.0455,348,761.85,82,162,0,0,-3203.45,96813.46
2.5,2,96,0.8,4,-3.1865,-6.2689,-0.0455,348,761.85,82,162,0,0,-3203.45,96813.46
2.5,2,192,0.8,3,-3.1865,-6.2689,-0.0455,348,761.85,82,162,0,0,-3203.45,96813.46
2.5,2,192,0.8,4,-3.1865,-6.2689,-0.0455,348,761.85,82,162,0,0,-3203.45,96813.46
2.0,2,192,0.8,4,-3.3428,-6.0227,-0.0496,357,774.59,82,162,0,0,-3364.24,96657.18
2.0,2,192,0.8,3,-3.3428,-6.0227,-0.0496,357,774.59,82,162,0,0,-3364.24,96657.18
2.0,2,96,0.8,3,-3.3428,-6.0227,-0.0496,357,774.59,82,162,0,0,-3364.24,96657.18
2.0,2,96,0.8,4,-3.3428,-6.0227,-0.0496,357,774.59,82,162,0,0,-3364.24,96657.18
2.0,3,96,0.8,4,-5.8376,-9.5911,-0.0672,477,992.94,82,162,0,0,-5799.55,94162.42
2.0,3,96,0.8,3,-5.8376,-9.5911,-0.0672,477,992.94,82,162,0,0,-5799.55,94162.42
2.0,3,192,0.8,4,-5.8376,-9.5911,-0.0672,477,992.94,82,162,0,0,-5799.55,94162.42
2.0,3,192,0.8,3,-5.8376,-9.5911,-0.0672,477,992.94,82,162,0,0,-5799.55,94162.42
2.5,3,192,0.8,4,-6.5207,-9.349,-0.075,460,956.55,82,162,0,0,-6489.29,93479.26
2.5,3,192,0.8,3,-6.5207,-9.349,-0.075,460,956.55,82,162,0,0,-6489.29,93479.26
2.5,3,96,0.8,4,-6.5207,-9.349,-0.075,460,956.55,82,162,0,0,-6489.29,93479.26
2.5,3,96,0.8,3,-6.5207,-9.349,-0.075,460,956.55,82,162,0,0,-6489.29,93479.26
1.5,3,192,0.8,4,-6.6842,-10.2899,-0.0739,495,1043.27,82,162,0,0,-6639.51,93315.76
