i,equity
0,99998.0
1,99998.0
2,99998.0
3,99998.0
4,99998.0
5,99998.0
6,99998.0
7,99998.0
8,99998.0
9,99998.0
10,99998.0
11,99998.0
12,99998.0
13,99998.0
14,99998.0
15,99998.0
16,99998.0
17,99998.0
18,99998.0
19,99998.0
20,99998.0
21,99998.0
22,99998.0
23,99998.0
24,99998.0
25,99998.0
26,99998.0
27,99998.0
28,99998.0
29,99998.0
30,99998.0
31,99998.0
32,99998.0
33,99998.0
34,99998.0
35,99998.0
36,99998.0
37,99998.0
38,99998.0
39,99998.0
40,99998.0
41,99998.0
42,99998.0
43,99998.0
44,99998.0
45,99998.0
46,100022.10538765919
47,99966.2589198832
48,100018.89617029547
49,100018.89617029547
50,100018.89617029547
51,100018.89617029547
52,100018.89617029547
53,100018.89617029547
54,100018.89617029547
55,100018.89617029547
56,100018.89617029547
57,100018.89617029547
58,100018.89617029547
59,100018.89617029547
60,100019.29813934932
61,100022.98754512367
62,100022.98754512367
63,100022.98754512367
64,100022.98754512367
65,100022.98754512367
66,100022.98754512367
67,100022.98754512367
68,100022.98754512367
69,100022.98754512367
70,100022.98754512367
71,100022.98754512367
72,100022.98754512367
73,100022.98754512367
74,100022.98754512367
75,100022.98754512367
76,100022.98754512367
77,100022.98754512367
78,100022.98754512367
79,100022.98754512367
80,100022.98754512367
81,100022.98754512367
82,100022.98754512367
83,100022.98754512367
84,100022.98754512367
85,100022.98754512367
86,100022.98754512367
87,100022.98754512367
88,100022.98754512367
89,100022.98754512367
90,100022.98754512367
91,100022.98754512367
92,100022.98754512367
93,100022.98754512367
94,100022.98754512367
95,100022.98754512367
96,100022.98754512367
97,100022.98754512367
98,100022.98754512367
99,100022.98754512367
100,100022.98754512367
101,100022.98754512367
102,100022.98754512367
103,100022.98754512367
104,100022.98754512367
105,100022.98754512367
106,100022.98754512367
107,100022.98754512367
108,100022.98754512367
109,100022.98754512367
110,100022.98754512367
111,100022.98754512367
112,100022.98754512367
113,100022.98754512367
114,100022.98754512367
115,100022.98754512367
116,100022.98754512367
117,100022.98754512367
118,100022.98754512367
119,100022.98754512367
120,100022.98754512367
121,100022.98754512367
122,100022.98754512367
123,100022.98754512367
124,100022.98754512367
125,100022.98754512367
126,100022.98754512367
127,100022.98754512367
128,100022.98754512367
129,100022.98754512367
130,100022.98754512367
131,100022.98754512367
132,100022.98754512367
133,100022.98754512367
134,100022.98754512367
135,100022.98754512367
136,100022.98754512367
137,100022.98754512367
138,100022.98754512367
139,100022.98754512367
140,100022.98754512367
141,100022.98754512367
142,100022.98754512367
143,100022.98754512367
144,100022.98754512367
145,100022.98754512367
146,100022.98754512367
147,100022.98754512367
148,100022.98754512367
149,100022.98754512367
150,100022.98754512367
151,100022.98754512367
152,100022.98754512367
153,100022.98754512367
154,100022.98754512367
155,100022.98754512367
156,100022.98754512367
157,100022.98754512367
158,100022.98754512367
159,100022.98754512367
160,100022.98754512367
161,100022.98754512367
162,100022.98754512367
163,100022.98754512367
164,100022.98754512367
165,99859.20455534523
166,99802.49506785431
167,99689.24071425184
168,99689.24071425184
169,99689.24071425184
170,99689.24071425184
171,99689.24071425184
172,99689.24071425184
173,99689.24071425184
174,99689.24071425184
175,99689.24071425184
176,99689.24071425184
177,99689.24071425184
178,99689.24071425184
179,99689.24071425184
180,99689.24071425184
181,99689.24071425184
182,99689.24071425184
183,99689.24071425184
184,99689.24071425184
185,99689.24071425184
186,99689.24071425184
187,99689.24071425184
188,99689.24071425184
189,99689.24071425184
190,99739.22591923055
191,99689.19714669728
192,99660.21000475061
193,99670.24171193257
194,99783.11588587638
195,99766.41134660374
196,99809.05358847568
197,99740.3623469546
198,99740.3623469546
199,99740.3623469546
200,99740.3623469546
201,99740.3623469546
202,99740.3623469546
203,99740.3623469546
204,99740.3623469546
205,99740.3623469546
206,99740.3623469546
207,99740.3623469546
208,99740.3623469546
209,99740.3623469546
210,99740.3623469546
211,99740.3623469546
212,99740.3623469546
213,99708.63848873603
214,99753.94572893326
215,99691.63245232722
216,99724.50032620814
217,99763.28778011743
218,99763.28778011743
219,99763.28778011743
220,99763.28778011743
221,99763.28778011743
222,99763.28778011743
223,99763.28778011743
224,99763.28778011743
225,99763.28778011743
226,99763.28778011743
227,99763.28778011743
228,99763.28778011743
229,99763.28778011743
230,99763.28778011743
231,99763.28778011743
232,99763.28778011743
233,99763.28778011743
234,99763.28778011743
235,99763.28778011743
236,99763.28778011743
237,99789.86750753918
238,99792.84715882882
239,99899.09475615495
240,100006.3135663132
241,100010.64556177489
242,100009.85673501508
243,100011.63388832571
244,100012.04762927158
245,100012.44662885358
246,100011.21392324843
247,100012.83481810207
248,100011.29745764368
249,100010.7926478277
250,100009.50490779745
251,100010.2835793955
252,100010.96692350719
253,100008.96078767783
254,100006.75122102711
255,100005.36909741643
256,100005.36909741643
257,100005.36909741643
258,100005.36909741643
259,100005.36909741643
260,100005.36909741643
261,100005.36909741643
262,100005.36909741643
263,100005.36909741643
264,100005.36909741643
265,100005.36909741643
266,100005.36909741643
267,100005.36909741643
268,100005.36909741643
269,100005.36909741643
270,100005.36909741643
271,100005.36909741643
272,100005.36909741643
273,100005.36909741643
274,100005.36909741643
275,100005.36909741643
276,100005.36909741643
277,100005.36909741643
278,100005.36909741643
279,100005.36909741643
280,100005.36909741643
281,100005.36909741643
282,100005.36909741643
283,100005.36909741643
284,100005.36909741643
285,100005.36909741643
286,100005.36909741643
287,100005.36909741643
288,100005.36909741643
289,100005.36909741643
290,100005.36909741643
291,100005.36909741643
292,100005.36909741643
293,100005.36909741643
294,100005.36909741643
295,100005.36909741643
296,100005.36909741643
297,100005.36909741643
298,100005.36909741643
299,100005.36909741643
300,100005.36909741643
