bar,side,px,notional,fee,kind
401,BUY,21414.72,5000.0,1.0,GRID
401,SELL,21414.72,5000.0,1.0,GRID
447,BUY,21508.97,10000.0,2.0,GRID
449,SELL,21571.16,10028.91,6.0173,FLAT
461,BUY,21399.11,10000.0,2.0,GRID
462,SELL,21425.0,10012.1,6.0073,FLAT
566,BUY,20192.86,6277.18,1.2554,GRID
566,BUY,19991.63,6638.7,1.3277,GRID
566,BUY,19790.4,2084.12,0.4168,GRID
568,SELL,19616.65,14678.06,8.8068,FLAT
591,BUY,20036.47,10000.0,2.0,GRID
598,SELL,20155.0,10059.16,6.0355,FLAT
614,BUY,19751.81,10000.0,2.0,GRID
618,SELL,19812.93,10030.94,6.0186,FLAT
638,SELL,20422.83,9598.25,1.9197,GRID
641,BUY,19891.19,10000.0,2.0,GRID
656,SELL,19785.31,648.14,0.3889,FLAT
720,SELL,19896.55,5687.03,1.1374,GRID
720,SELL,20051.71,5123.88,1.0248,GRID
737,BUY,19586.23,10000.0,2.0,GRID
737,BUY,19431.07,655.99,0.1312,GRID
737,BUY,19275.91,500.0,0.1,GRID
738,SELL,18958.66,547.88,0.3287,FLAT
796,BUY,20132.72,4794.79,0.959,GRID
797,SELL,20589.62,7917.45,1.5835,GRID
798,BUY,20693.48,3029.05,1.8174,FLAT
906,SELL,20750.53,3119.64,0.6239,GRID
907,BUY,20283.58,3049.44,1.8297,FLAT
1008,BUY,19961.56,4312.98,0.8626,GRID
1018,BUY,19796.92,8685.95,1.7372,GRID
1025,BUY,19632.27,2001.07,0.4002,GRID
1031,SELL,19416.18,14693.09,8.8159,FLAT
1173,BUY,18916.48,6947.24,1.3894,GRID
1197,SELL,18743.1,6883.57,4.1301,FLAT
1208,SELL,19110.99,7740.54,1.5481,GRID
1224,SELL,19342.56,4414.89,0.883,GRID
1225,SELL,19574.12,2844.57,0.5689,GRID
1227,BUY,20099.04,15649.14,9.3895,FLAT
1331,BUY,19178.9,5482.13,1.0964,GRID
1333,SELL,19332.38,5526.0,3.3156,FLAT
1349,SELL,19383.19,6242.41,1.2485,GRID
1354,BUY,19117.31,9729.71,1.9459,GRID
1362,SELL,19218.75,3591.89,2.1551,FLAT
1480,BUY,19445.2,4264.66,0.8529,GRID
1482,SELL,19456.63,4267.16,2.5603,FLAT
1633,SELL,19816.81,2880.25,0.576,GRID
1636,BUY,19812.52,2879.62,1.7278,FLAT
1679,BUY,18994.86,10000.0,2.0,GRID
1699,SELL,19220.64,7533.84,1.5068,GRID
1699,SELL,19333.54,7781.52,1.5563,GRID
1715,SELL,19446.43,9684.64,1.9369,GRID
1718,BUY,19473.84,14917.2,8.9503,FLAT
1765,BUY,19079.96,10000.0,2.0,GRID
1778,SELL,19062.77,9990.99,5.9946,FLAT
1837,SELL,19245.07,5902.44,1.1805,GRID
1841,BUY,19148.05,8111.87,1.6224,GRID
1860,BUY,19099.54,7332.33,1.4665,GRID
1865,SELL,19293.58,10000.0,2.0,GRID
1865,SELL,19342.09,10000.0,2.0,GRID
1870,BUY,19592.96,10471.9,6.2831,FLAT
2041,BUY,20500.11,5389.66,1.0779,GRID
2053,BUY,20322.74,4481.02,0.8962,GRID
2060,SELL,20401.49,9862.12,5.9173,FLAT
2073,SELL,20680.18,8234.01,1.6468,GRID
2077,BUY,20380.64,9303.25,1.8606,GRID
2084,SELL,20483.34,1194.49,0.7167,FLAT
2148,BUY,20520.34,5509.32,1.1019,GRID
2148,BUY,20385.58,4732.36,0.9465,GRID
2149,SELL,20789.84,10000.0,2.0,GRID
2150,SELL,20924.6,4834.81,0.967,GRID
2150,SELL,21059.35,547.95,0.1096,GRID
2152,BUY,20783.3,4935.19,2.9611,FLAT
2446,SELL,16681.65,4910.9,0.9822,GRID
2453,BUY,16578.36,4880.49,2.9283,FLAT
2472,SELL,16852.54,10000.0,2.0,GRID
2473,SELL,17010.92,2941.97,0.5884,GRID
2476,BUY,16808.69,12880.97,7.7286,FLAT
2489,BUY,16592.77,8693.86,1.7388,GRID
2541,BUY,16435.67,3478.77,0.6958,GRID
2541,BUY,16278.56,2827.36,0.5655,GRID
2544,SELL,16268.73,14793.18,8.8759,FLAT
2711,BUY,16428.16,7748.73,1.5497,GRID
2713,BUY,16328.13,2733.2,0.5466,GRID
2713,BUY,16228.09,4518.06,0.9036,GRID
2716,SELL,16209.96,14872.25,8.9234,FLAT
2750,BUY,16362.29,2694.92,0.539,GRID
2760,SELL,16611.03,9609.81,1.922,GRID
2760,SELL,16735.4,5289.59,1.0579,GRID
2760,SELL,16859.78,2795.51,0.5591,GRID
2762,BUY,16961.35,15192.26,9.1154,FLAT
2867,BUY,16927.09,7370.41,1.4741,GRID
2872,SELL,17088.31,10000.0,2.0,GRID
2879,SELL,17168.91,7220.39,1.4441,GRID
2880,SELL,17249.52,631.08,0.1262,GRID
2885,BUY,17340.42,10524.07,6.3144,FLAT
2928,SELL,17140.74,10000.0,2.0,GRID
2935,BUY,16867.06,7990.17,1.598,GRID
2935,BUY,16730.22,2557.28,0.5115,GRID
2941,SELL,16855.24,727.52,0.4365,FLAT
3058,SELL,16987.94,5804.47,1.1609,GRID
3068,BUY,17123.19,5850.69,3.5104,FLAT
3079,BUY,17085.39,4246.41,0.8493,GRID
3081,SELL,17252.51,10000.0,2.0,GRID
3081,SELL,17336.08,4287.22,0.8574,GRID
3081,SELL,17419.64,694.9,0.139,GRID
3086,BUY,17871.78,11049.72,6.6298,FLAT
3152,BUY,17251.81,2580.87,0.5162,GRID
3153,BUY,17107.6,5337.36,1.0675,GRID
3153,BUY,16963.4,7081.77,1.4164,GRID
3154,SELL,16994.06,14938.82,8.9633,FLAT
3302,BUY,16748.28,10000.0,2.0,GRID
3302,BUY,16643.76,3845.69,0.7691,GRID
3408,SELL,16957.32,9874.54,1.9749,GRID
3438,SELL,16612.64,4083.69,2.4502,FLAT
3526,BUY,16530.91,8734.41,1.7469,GRID
3526,BUY,16484.03,4039.45,0.8079,GRID
3548,SELL,16624.67,9315.71,1.8631,GRID
3555,SELL,16671.55,9070.35,1.8141,GRID
3559,SELL,16718.43,9387.8,1.8776,GRID
3575,BUY,16672.87,14880.86,8.9285,FLAT
3661,BUY,16689.46,4428.92,0.8858,GRID
3661,SELL,16786.98,4690.76,0.9382,GRID
3663,SELL,16835.74,9262.86,1.8526,GRID
3667,SELL,16884.5,5475.3,1.0951,GRID
3683,BUY,16918.3,15032.35,9.0194,FLAT
3719,SELL,17016.46,10000.0,2.0,GRID
