i,equity
0,99997.0
1,99997.0
2,99997.0
3,99997.0
4,99997.0
5,99997.0
6,99997.0
7,99997.0
8,99997.0
9,99997.0
10,99997.0
11,99997.0
12,99997.0
13,99997.0
14,99997.0
15,99997.0
16,99997.0
17,99997.0
18,99997.0
19,99997.0
20,99997.0
21,99997.0
22,99997.0
23,99997.0
24,99997.0
25,99997.0
26,99997.0
27,99997.0
28,99997.0
29,99997.0
30,99997.0
31,99997.0
32,99997.0
33,99997.0
34,99997.0
35,99997.0
36,99997.0
37,99997.0
38,99997.0
39,99997.0
40,99997.0
41,99997.0
42,99997.0
43,99997.0
44,99997.0
45,99997.0
46,99997.0
47,99997.0
48,99997.0
49,99997.0
50,99997.0
51,99997.0
52,99997.0
53,99997.0
54,99997.0
55,99997.0
56,99997.0
57,99997.0
58,99997.0
59,99997.0
60,99997.0
61,99997.0
62,99997.0
63,99997.0
64,99997.0
65,99997.0
66,99997.0
67,99997.0
68,99997.0
69,99997.0
70,99997.0
71,99997.0
72,99997.0
73,99997.0
74,99997.0
75,99997.0
76,99997.0
77,99997.0
78,99997.0
79,99997.0
80,99997.0
81,99997.0
82,99997.0
83,99997.0
84,99997.0
85,99997.0
86,99997.0
87,99997.0
88,99997.0
89,99997.0
90,99997.0
91,99997.0
92,99997.0
93,99997.0
94,99997.0
95,99997.0
96,99997.0
97,99997.0
98,99997.0
99,99997.0
100,99997.0
101,99997.0
102,99997.0
103,99994.14305003124
104,99997.66281526876
105,99997.25315138126
106,99997.79658306876
107,99986.61777523247
108,99996.64450789125
109,99987.74560499622
110,99999.32738833001
111,99994.14388608
112,99988.72461808249
113,100005.66463785504
114,100014.54765582382
115,100043.64466047015
116,100035.94632358012
117,100017.29992830881
118,100028.42104878135
119,100048.47284200141
120,100035.60772383638
121,100033.20241158262
122,100030.74108406261
123,100012.96919578381
124,100019.63417641883
125,100051.34216131143
126,100053.70817927393
127,100036.39360966138
128,100026.24732203134
129,100047.43112525891
130,100047.95031153267
131,100044.42385790516
132,100019.47281901007
133,100027.58500003135
134,100036.57419619137
135,100036.55329497263
136,100036.11353333012
137,100051.66320403143
138,100056.8709516952
139,100059.55383213396
140,100054.67381558019
141,100045.39367445516
142,100053.87037273143
143,100057.93189755894
144,100086.34241500594
145,100086.30623224603
146,100086.49264178501
147,100085.86366183778
148,100085.88745690402
149,100085.62600824225
150,100085.1147262382
151,100084.12284925062
152,100084.41783677605
153,100084.40797415184
154,100084.12180951613
155,100084.49822310473
156,100084.59806732155
157,100083.98352483024
158,100083.56433359445
159,100083.5465392815
160,100083.65282985209
161,100083.2757033027
162,100083.52607136557
163,100083.52877467523
164,100082.98633034345
165,100082.77523453724
166,100082.77416509607
167,100082.06586826133
168,100082.29885790503
169,100082.7563410764
170,100083.20497165133
171,100083.03525727743
172,100083.07123209046
173,100083.33761206434
174,100083.87331297532
175,100082.95686129761
176,100083.31589646704
177,100083.56982933385
178,100083.5878910071
179,100083.30885597927
180,100083.20244658188
181,100083.03255396779
182,100082.91960909651
183,100083.04734790411
184,100082.7191482887
185,100082.22566059761
186,100082.05033165752
187,100081.78199104148
188,100081.5743412124
189,100057.05708371673
190,100084.49318077344
191,100063.54164726875
192,100060.33285384912
193,100053.01847492103
194,100043.68174719905
195,100058.40531624599
196,100064.54890744222
197,100068.0177792659
198,100070.63682968241
199,100076.91872344131
200,100079.17592564353
201,100072.03725185795
202,100061.44623297005
203,100062.38390694847
204,100061.51755881999
205,100082.81354399021
206,100076.60123642636
207,100081.24176580933
208,100078.61923608306
209,100043.53648601686
210,100047.15670781478
211,100051.53280965652
212,100027.05586554468
213,100028.7102773322
214,100051.72765100269
215,100041.34713035483
216,100029.39135221633
