bar,side,px,notional,fee,kind
1201,BUY,121704.68,7500.0,1.5,GRID
1201,SELL,121704.68,7500.0,1.5,GRID
1304,BUY,119610.25,10000.0,2.0,GRID
1345,SELL,120769.73,9738.17,1.9476,GRID
1390,BUY,119030.51,10000.0,2.0,GRID
1894,SELL,121349.47,10000.0,2.0,GRID
2171,SELL,118866.37,543.95,0.3264,FLAT
2274,BUY,117463.22,10000.0,2.0,GRID
2294,SELL,118396.22,10000.0,2.0,GRID
2336,SELL,118862.71,10000.0,2.0,GRID
2485,BUY,116996.73,10000.0,2.0,GRID
3218,SELL,115333.52,232.13,0.1393,FLAT
3323,SELL,115437.97,9493.52,1.8987,GRID
3355,SELL,115808.77,5506.48,1.1013,GRID
3504,BUY,114696.39,10000.0,2.0,GRID
3629,BUY,114325.59,4108.25,0.8216,GRID
3677,BUY,113252.48,754.92,0.453,FLAT
3736,BUY,112861.9,10000.0,2.0,GRID
3778,SELL,113457.8,10000.0,2.0,GRID
3815,SELL,113755.75,10000.0,2.0,GRID
3913,BUY,112563.95,10000.0,2.0,GRID
4507,SELL,116860.01,163.15,0.0979,FLAT
4627,BUY,116477.54,9331.15,1.8662,GRID
4634,BUY,116197.9,5668.85,1.1338,GRID
5462,SELL,110052.92,14185.53,8.5113,FLAT
5540,SELL,110305.17,8197.94,1.6396,GRID
5624,SELL,110730.77,6802.06,1.3604,GRID
5637,BUY,109453.95,10000.0,2.0,GRID
5759,BUY,111763.22,4960.8,2.9765,FLAT
5798,BUY,111038.23,6748.22,1.3496,GRID
5806,SELL,111723.35,10000.0,2.0,GRID
5852,BUY,110695.68,10000.0,2.0,GRID
5933,SELL,112065.9,10000.0,2.0,GRID
6154,BUY,113062.52,3123.74,1.8742,FLAT
6198,SELL,113033.51,8165.56,1.6331,GRID
6202,SELL,113199.01,6834.44,1.3669,GRID
6213,BUY,112702.49,10000.0,2.0,GRID
6222,BUY,112536.99,10000.0,2.0,GRID
6560,SELL,108144.01,4863.59,2.9182,FLAT
6645,BUY,107961.28,9791.54,1.9583,GRID
6647,BUY,107596.21,5208.46,1.0417,GRID
6677,SELL,108691.42,10000.0,2.0,GRID
6920,SELL,109056.49,9832.95,1.9666,GRID
7558,BUY,110230.0,4747.06,2.8482,FLAT
7630,BUY,109851.91,5818.67,1.1637,GRID
7633,BUY,109411.81,9181.33,1.8363,GRID
7653,SELL,110732.11,10000.0,2.0,GRID
7654,SELL,111172.21,1306.86,0.2614,GRID
8573,SELL,111056.01,3867.01,2.3202,FLAT
8675,SELL,111191.08,8910.57,1.7821,GRID
8830,BUY,110396.86,10000.0,2.0,GRID
8836,BUY,109999.74,8769.62,1.7539,GRID
9209,SELL,111588.2,10000.0,2.0,GRID
13369,SELL,112495.74,62.28,0.0374,FLAT
13431,BUY,112691.62,10000.0,2.0,GRID
13483,BUY,112226.7,4771.71,0.9543,GRID
14002,SELL,113621.46,10000.0,2.0,GRID
14370,SELL,109176.06,4721.29,2.8328,FLAT
14490,BUY,109012.42,10000.0,2.0,GRID
14619,SELL,110107.6,10000.0,2.0,GRID
15222,SELL,110655.18,8744.18,1.7488,GRID
15483,BUY,113947.92,8900.41,5.3402,FLAT
15540,SELL,114313.69,9330.89,1.8662,GRID
15561,SELL,114468.18,5669.11,1.1338,GRID
15616,BUY,114004.71,10000.0,2.0,GRID
15623,BUY,113850.22,10000.0,2.0,GRID
15992,SELL,116453.18,5170.45,3.1023,FLAT
16066,SELL,117244.58,8413.45,1.6827,GRID
16104,SELL,117721.08,6586.55,1.3173,GRID
16615,BUY,123762.57,15805.75,9.4835,FLAT
16704,BUY,122131.65,8085.43,1.6171,GRID
16721,BUY,121967.45,6914.57,1.3829,GRID
16760,SELL,122460.05,10000.0,2.0,GRID
16766,SELL,122624.25,10000.0,2.0,GRID
17057,BUY,125392.08,5055.15,3.0331,FLAT
17222,BUY,122708.71,8008.31,1.6017,GRID
17283,SELL,123691.39,10000.0,2.0,GRID
17283,SELL,124182.72,10000.0,2.0,GRID
17749,BUY,122217.38,10000.0,2.0,GRID
17778,BUY,121418.0,1734.91,1.0409,FLAT
17850,BUY,121546.36,9334.37,1.8669,GRID
17906,BUY,121113.35,5665.63,1.1331,GRID
17959,SELL,122412.4,10000.0,2.0,GRID
17961,SELL,122845.41,10000.0,2.0,GRID
18371,BUY,120649.32,4767.8,2.8607,FLAT
18430,SELL,121800.05,7325.0,1.465,GRID
18462,BUY,121172.53,10000.0,2.0,GRID
18527,BUY,120858.77,10000.0,2.0,GRID
18595,SELL,122113.81,10000.0,2.0,GRID
18639,SELL,118064.59,2743.56,1.6461,FLAT
18804,BUY,111776.6,9440.76,1.8882,GRID
18805,BUY,111056.6,5559.24,1.1118,GRID
18816,SELL,110316.84,14839.68,8.9038,FLAT
18869,SELL,112426.09,7087.83,1.4176,GRID
18958,BUY,110963.91,10000.0,2.0,GRID
18970,BUY,110232.81,4635.34,0.9271,GRID
19189,SELL,113157.19,10000.0,2.0,GRID
19215,BUY,114367.53,2201.24,1.3207,FLAT
19324,BUY,115067.71,8996.52,1.7993,GRID
19353,BUY,114464.36,6003.48,1.2007,GRID
19635,SELL,113387.98,14812.22,8.8873,FLAT
19774,SELL,112576.53,5975.75,1.1951,GRID
19806,BUY,113241.08,6011.02,3.6066,FLAT
19874,BUY,112792.37,8104.3,1.6209,GRID
19885,BUY,112434.74,6895.7,1.3791,GRID
19901,SELL,113507.65,10000.0,2.0,GRID
20074,SELL,110774.41,4993.98,2.9964,FLAT
20118,BUY,110781.74,9644.44,1.9289,GRID
20200,SELL,111645.68,10000.0,2.0,GRID
20274,BUY,110349.77,10000.0,2.0,GRID
