i,equity
0,100000.0
1,100003.87629926093
2,100014.88400012725
3,100034.36888114263
4,100049.92941114913
5,100020.65922774303
6,100009.27389231088
7,100034.16768949064
8,100051.48928034508
9,100073.13256866961
10,100094.03328251294
11,100094.10816202602
12,100094.01288838133
13,100093.99797706744
14,100094.32107193542
15,100094.67835652526
16,100094.79393718662
17,100094.79393718662
18,100094.79393718662
19,100094.79393718662
20,100094.79393718662
21,100094.79393718662
22,100094.79393718662
23,100094.79393718662
24,100094.79393718662
25,100094.79393718662
26,100094.79393718662
27,100094.79393718662
28,100094.79393718662
29,100094.79393718662
30,100094.33304471923
31,100130.85454987851
32,100099.3447068294
33,100098.4795423325
34,100067.15040926555
35,100072.76371254546
36,100085.11000484764
37,100075.17747023578
38,100095.4335844981
39,100101.26651347498
40,100082.15452690383
41,100119.48312384675
42,100089.78950730574
43,100089.78950730574
44,100089.78950730574
45,100089.78950730574
46,100089.78950730574
47,100089.78950730574
48,100089.78950730574
49,100089.78950730574
50,100089.78950730574
51,100089.78950730574
52,100089.78950730574
53,100089.78950730574
54,100089.78950730574
55,100089.78950730574
56,100089.78950730574
57,100089.78950730574
58,100089.78950730574
59,100089.78950730574
60,100089.78950730574
61,100089.78950730574
62,100089.78950730574
63,100089.78950730574
64,100089.78950730574
65,100089.78950730574
66,100089.78950730574
67,100089.78950730574
68,100089.78950730574
69,100089.78950730574
70,100089.78950730574
71,100112.39545918388
72,100129.67263012566
73,100105.23725768694
74,100124.17673514764
75,100103.29142568045
76,100089.77416006
77,100105.941156357
78,100141.01629613782
79,100165.35581613955
80,100165.31590069587
81,100155.48885998926
82,100161.73998494109
83,100147.81058566371
84,100182.37173763872
85,100192.96994517256
86,100193.00665901027
87,100193.25137650139
88,100193.01196050002
89,100193.26191706788
90,100193.03924377896
91,100192.99076298186
92,100192.80012188465
93,100192.9630834217
94,100192.78340421528
95,100193.19155009177
96,100193.0429910468
97,100192.82854390975
98,100192.52867506503
99,100185.25952728835
100,100196.58922798325
101,100171.77941661149
102,100163.52527742184
103,100163.52527742184
104,100163.52527742184
105,100163.52527742184
106,100163.52527742184
107,100163.52527742184
108,100163.52527742184
109,100163.52527742184
110,100163.52527742184
111,100163.52527742184
112,100163.52527742184
113,100163.52527742184
114,100163.52527742184
115,100163.52527742184
116,100163.52527742184
117,100163.52527742184
118,100163.52527742184
119,100163.52527742184
120,100163.52527742184
121,100163.52527742184
122,100163.52527742184
123,100163.52527742184
124,100163.52527742184
125,100163.52527742184
126,100163.52527742184
127,100163.52527742184
128,100163.52527742184
129,100163.52527742184
130,100163.52527742184
131,100163.52527742184
132,100163.52527742184
133,100163.52527742184
134,100163.52527742184
135,100163.52527742184
136,100163.52527742184
137,100163.52527742184
138,100163.52527742184
139,100163.52527742184
140,100163.52527742184
141,100163.52527742184
142,100163.52527742184
143,100163.52527742184
144,100163.52527742184
145,100163.52527742184
146,100163.52527742184
147,100163.52527742184
148,100163.52527742184
149,100163.52527742184
150,100163.52527742184
151,100163.52527742184
152,100163.52527742184
153,100163.52527742184
154,100163.52527742184
155,100163.52527742184
156,100163.52527742184
157,100163.52527742184
158,100163.52527742184
159,100163.52527742184
160,100163.52527742184
161,100163.52527742184
162,100163.52527742184
163,100163.52527742184
164,100163.52527742184
165,100163.52527742184
166,100163.52527742184
167,100163.52527742184
168,100163.52527742184
169,100163.52527742184
170,100163.52527742184
171,100163.52527742184
172,100163.52527742184
173,100163.52527742184
174,100163.52527742184
175,100163.52527742184
176,100163.52527742184
177,100163.52527742184
178,100163.52527742184
179,100163.52527742184
180,100163.52527742184
181,100163.52527742184
182,100163.52527742184
183,100163.52527742184
184,100163.52527742184
185,100163.52527742184
186,100163.52527742184
187,100163.52527742184
188,100163.52527742184
189,100163.52527742184
190,100163.52527742184
191,100163.52527742184
192,100163.52527742184
193,100163.52527742184
194,100163.52527742184
195,100163.52527742184
196,100163.52527742184
197,100147.31814048006
198,100149.48153588676
199,100158.09102123049
200,100164.0321914217
201,100163.27190413781
202,100178.16024855639
203,100162.87552480477
204,100166.48587065212
205,100185.28183749378
206,100216.13008145224
207,100233.30397648369
208,100240.04456118107
209,100242.32103350613
210,100247.28819759563
211,100252.6732416344
212,100253.71409722754
213,100246.51455807463
214,100254.86493640665
215,100265.36393510072
216,100268.09721572831
217,100268.57356355422
218,100273.24439085642
219,100273.24439085642
220,100273.24439085642
221,100273.24439085642
222,100273.24439085642
223,100273.24439085642
224,100273.24439085642
225,100273.24439085642
226,100273.24439085642
227,100273.24439085642
228,100273.24439085642
229,100273.24439085642
230,100273.24439085642
231,100273.24439085642
232,100273.24439085642
233,100273.24439085642
234,100273.24439085642
235,100273.24439085642
236,100273.24439085642
237,100273.24439085642
238,100273.24439085642
239,100273.24439085642
240,100273.24439085642
