bar,side,px,notional,fee,kind
201,SELL,29855.34,10000.0,2.0,GRID
210,BUY,29562.19,10000.0,2.0,GRID
216,SELL,29761.83,98.85,0.0593,FLAT
230,SELL,30077.09,10000.0,2.0,GRID
242,BUY,30068.09,9997.01,5.9982,FLAT
271,SELL,29992.81,10000.0,2.0,GRID
285,BUY,29671.43,10000.0,2.0,GRID
299,BUY,29510.74,6875.24,1.375,GRID
302,SELL,29412.31,6958.52,4.1751,FLAT
397,SELL,29265.06,6379.8,1.276,GRID
407,BUY,28980.56,8956.73,1.7913,GRID
415,SELL,29407.31,8755.07,1.751,GRID
418,BUY,29323.63,6059.97,3.636,FLAT
444,SELL,29270.18,8926.16,1.7852,GRID
449,SELL,29444.96,2688.91,0.5378,GRID
451,SELL,29619.74,3384.93,0.677,GRID
454,BUY,29841.87,15235.97,9.1416,FLAT
558,SELL,29888.75,10000.0,2.0,GRID
562,SELL,30046.23,4185.26,0.8371,GRID
584,SELL,30203.7,705.21,0.141,GRID
591,BUY,30474.92,15152.64,9.0916,FLAT
808,BUY,29250.07,7986.39,1.5973,GRID
840,SELL,29551.34,6341.39,1.2683,GRID
854,SELL,29701.98,8575.32,1.7151,GRID
856,BUY,29830.67,6868.89,4.1213,FLAT
1025,SELL,30812.72,8024.83,1.605,GRID
1032,SELL,30981.7,4453.09,0.8906,GRID
1036,BUY,30474.74,9004.91,1.801,GRID
1040,BUY,30305.76,10000.0,2.0,GRID
1049,SELL,30345.75,6715.1,4.0291,FLAT
1105,BUY,30451.74,6754.07,1.3508,GRID
1113,BUY,30290.58,5159.81,1.032,GRID
1114,BUY,30129.42,3086.12,0.6172,GRID
1149,SELL,29751.78,14714.29,8.8286,FLAT
1200,SELL,30236.24,4564.57,0.9129,GRID
1211,BUY,29965.5,6913.55,1.3827,GRID
1225,BUY,29830.14,6930.13,1.386,GRID
1232,BUY,29694.77,5720.9,1.1442,GRID
1240,SELL,29313.56,14795.42,8.8773,FLAT
1337,BUY,29196.34,4395.08,0.879,GRID
1346,BUY,29045.82,6164.32,1.2329,GRID
1350,BUY,28895.3,4440.6,0.8881,GRID
1364,SELL,29455.74,15212.17,9.1273,FLAT
1381,BUY,28959.58,10000.0,2.0,GRID
1394,SELL,29249.54,10000.0,2.0,GRID
1459,SELL,29394.51,9074.33,1.8149,GRID
1474,SELL,29539.49,4746.22,0.9492,GRID
1475,BUY,29523.72,13756.83,8.2541,FLAT
1494,BUY,29010.53,10000.0,2.0,GRID
1506,BUY,28832.76,2858.64,0.5717,GRID
1510,SELL,28691.53,12734.67,7.6408,FLAT
1592,BUY,28971.67,9210.35,1.8421,GRID
1606,SELL,29288.59,10000.0,2.0,GRID
1614,SELL,29447.05,6025.88,1.2052,GRID
1615,SELL,29605.51,1790.98,0.3582,GRID
1616,BUY,29608.14,8546.4,5.1278,FLAT
1646,BUY,28936.11,8972.43,1.7945,GRID
1653,SELL,28841.99,8943.24,5.3659,FLAT
1764,SELL,28817.88,2458.01,0.4916,GRID
1775,BUY,28984.18,2472.19,1.4833,FLAT
1854,SELL,29106.25,6455.54,1.2911,GRID
1858,SELL,29251.98,5523.97,1.1048,GRID
1863,BUY,29256.79,12013.8,7.2083,FLAT
1967,SELL,29435.56,10000.0,2.0,GRID
1986,SELL,29578.69,3018.53,0.6037,GRID
1994,BUY,29567.24,13062.1,7.8373,FLAT
2016,SELL,29361.17,9512.85,1.9026,GRID
2018,SELL,29520.73,4426.87,0.8854,GRID
2041,SELL,29680.29,1060.29,0.2121,GRID
2065,BUY,29042.04,9546.84,1.9094,GRID
2066,BUY,28898.6,5229.23,3.1375,FLAT
2124,BUY,29341.61,6155.49,1.2311,GRID
2125,SELL,29283.66,6143.33,3.686,FLAT
2209,SELL,29528.5,10000.0,2.0,GRID
2225,SELL,29680.1,2561.87,0.5124,GRID
2225,SELL,29831.7,500.0,0.1,GRID
2232,BUY,29610.35,13079.85,7.8479,FLAT
2355,BUY,29989.29,2476.77,0.4954,GRID
2357,BUY,29814.89,3347.61,0.6695,GRID
2368,SELL,29731.28,5793.68,3.4762,FLAT
2426,BUY,29938.4,3821.77,0.7644,GRID
2440,SELL,30203.16,7880.96,1.5762,GRID
2461,BUY,29806.02,8446.08,1.6892,GRID
2467,BUY,29673.64,10000.0,2.0,GRID
2477,SELL,29484.13,14361.43,8.6169,FLAT
2563,SELL,29583.27,5477.32,1.0955,GRID
2577,BUY,29313.36,8916.49,1.7833,GRID
2580,BUY,29178.4,6634.19,1.3268,GRID
2583,BUY,29043.44,4926.64,0.9853,GRID
2597,SELL,28969.73,14949.12,8.9695,FLAT
2639,BUY,28996.92,10000.0,2.0,GRID
2650,SELL,29279.85,6798.22,1.3596,GRID
2683,SELL,29421.31,9972.7,1.9945,GRID
2689,BUY,29297.03,6629.29,3.9776,FLAT
2731,BUY,29066.38,9750.76,1.9502,GRID
2738,SELL,29375.33,10000.0,2.0,GRID
2764,SELL,29529.81,7554.74,1.5109,GRID
2792,BUY,28911.9,10000.0,2.0,GRID
2794,BUY,28757.42,4523.93,0.9048,GRID
2795,SELL,28635.14,6941.19,4.1647,FLAT
2832,SELL,29336.61,8332.05,1.6664,GRID
2839,SELL,29477.54,5372.17,1.0744,GRID
2841,SELL,29618.47,1295.79,0.2592,GRID
2844,BUY,29529.15,15060.18,9.0361,FLAT
2937,SELL,29786.18,3513.94,0.7028,GRID
2938,SELL,29924.07,5975.99,1.1952,GRID
2939,SELL,30061.97,5510.07,1.102,GRID
2953,BUY,30220.62,15139.55,9.0837,FLAT
3004,SELL,30353.51,6378.67,1.2757,GRID
3013,SELL,30538.71,6003.49,1.2007,GRID
3035,BUY,29983.11,10000.0,2.0,GRID
3041,BUY,29896.76,2188.77,1.3133,FLAT
3143,BUY,29837.34,3450.45,0.6901,GRID
3152,SELL,29950.5,3463.53,2.0781,FLAT
3206,SELL,29753.65,3811.17,0.7622,GRID
3219,SELL,29922.83,5975.22,1.195,GRID
3221,SELL,30092.0,5213.61,1.0427,GRID
3264,BUY,30346.2,15204.48,9.1227,FLAT
3293,SELL,30211.88,8146.74,1.6293,GRID
3339,SELL,30380.13,4309.85,0.862,GRID
3345,SELL,30548.37,2543.41,0.5087,GRID
3349,BUY,30722.76,15200.89,9.1205,FLAT
3399,BUY,30239.18,3703.72,0.7407,GRID
3426,BUY,30072.47,6029.11,1.2058,GRID
3429,BUY,29905.77,5267.17,1.0534,GRID
3430,SELL,29802.13,14874.02,8.9244,FLAT
3537,BUY,29109.37,8296.03,1.6592,GRID
3539,BUY,28954.14,6254.28,1.2509,GRID
3540,BUY,28798.92,500.0,0.1,GRID
3542,SELL,28890.31,14975.67,8.9854,FLAT
3602,SELL,29343.11,7714.62,1.5429,GRID
3603,SELL,29494.75,3454.74,0.6909,GRID
3605,SELL,29646.39,3830.64,0.7661,GRID
3606,BUY,29601.24,15074.5,9.0447,FLAT
3706,SELL,29719.41,4495.54,0.8991,GRID
3708,SELL,29866.21,5279.26,1.0559,GRID
3709,SELL,30013.0,5225.19,1.045,GRID
3725,BUY,30514.43,15322.14,9.1933,FLAT
3751,BUY,29719.78,6809.4,1.3619,GRID
3760,SELL,29698.06,6804.42,4.0827,FLAT
3785,BUY,29809.57,6446.44,1.2893,GRID
3788,SELL,30025.82,8166.96,1.6334,GRID
3798,SELL,30133.95,7037.28,1.4075,GRID
3800,SELL,30242.08,6242.2,1.2484,GRID
3831,BUY,29701.44,10000.0,2.0,GRID
3878,BUY,29593.31,10000.0,2.0,GRID
3888,SELL,29628.28,5300.89,3.1805,FLAT
3917,BUY,29852.89,7465.78,1.4932,GRID
3928,SELL,30186.13,10000.0,2.0,GRID
3929,SELL,30352.75,5075.94,1.0152,GRID
3930,BUY,30409.92,7554.56,4.5327,FLAT
3972,SELL,30101.57,7759.03,1.5518,GRID
4000,BUY,29794.63,10000.0,2.0,GRID
4036,SELL,30255.05,9458.56,1.8917,GRID
4040,SELL,30408.52,7782.41,1.5565,GRID
4059,BUY,30573.93,15002.22,9.0013,FLAT
4173,BUY,30727.02,5659.83,1.132,GRID
4178,BUY,30596.0,3839.56,0.7679,GRID
4195,BUY,30464.98,5500.61,1.1001,GRID
4199,SELL,30443.42,14924.72,8.9548,FLAT
4302,SELL,30352.52,5883.77,1.1768,GRID
4302,SELL,30485.58,4824.65,0.9649,GRID
4309,BUY,30460.7,10725.45,6.4353,FLAT
4342,SELL,29878.3,4338.07,0.8676,GRID
4346,SELL,30064.06,6649.62,1.3299,GRID
4356,BUY,29704.54,10882.94,6.5298,FLAT
4421,BUY,29789.09,10000.0,2.0,GRID
4423,BUY,29622.68,3726.06,0.7452,GRID
4434,BUY,29456.28,500.0,0.1,GRID
4489,SELL,29211.33,13976.22,8.3857,FLAT
4528,BUY,29287.72,8277.97,1.6556,GRID
4541,SELL,29591.13,5428.14,1.0856,GRID
4565,SELL,29742.83,9431.96,1.8864,GRID
4574,SELL,29894.54,8417.87,1.6836,GRID
4577,BUY,29881.77,14925.87,8.9555,FLAT
4659,SELL,30043.98,5193.99,1.0388,GRID
4660,SELL,30174.65,5423.35,1.0847,GRID
4674,BUY,29782.63,9728.49,1.9457,GRID
4676,BUY,29651.96,8402.36,1.6805,GRID
4681,SELL,29610.93,7621.98,4.5732,FLAT
4745,SELL,29788.35,6087.61,1.2175,GRID
4749,SELL,29932.23,4823.78,0.9648,GRID
4754,SELL,30076.1,4088.61,0.8177,GRID
4757,BUY,30084.8,15086.35,9.0518,FLAT
4808,BUY,29715.8,4159.52,0.8319,GRID
4813,BUY,29573.79,5878.13,1.1756,GRID
4818,SELL,29489.64,9989.26,5.9936,FLAT
4874,BUY,29896.23,4023.08,0.8046,GRID
4879,SELL,30166.54,10000.0,2.0,GRID
4882,BUY,30190.62,5945.29,3.5672,FLAT
4908,BUY,29601.6,5871.95,1.1744,GRID
4915,SELL,29917.82,6082.7,1.2165,GRID
4924,SELL,30075.93,7372.87,1.4746,GRID
4933,BUY,30110.98,7530.43,4.5183,FLAT
4973,SELL,30185.31,10000.0,2.0,GRID
4980,SELL,30337.73,4026.27,0.8053,GRID
4985,BUY,30338.05,14076.92,8.4462,FLAT
5013,SELL,30196.98,10000.0,2.0,GRID
5014,SELL,30357.87,2352.25,0.4705,GRID
5015,SELL,30518.77,500.0,0.1,GRID
5021,BUY,30217.13,12843.08,7.7058,FLAT
5140,BUY,30388.48,2409.08,0.4818,GRID
5143,SELL,30674.68,6122.16,1.2244,GRID
5144,SELL,30817.78,6433.35,1.2867,GRID
5163,SELL,30960.88,4853.57,0.9707,GRID
5193,BUY,30532.29,14833.4,8.9,FLAT
5397,SELL,29913.86,4820.26,0.9641,GRID
5404,BUY,29794.12,4800.97,2.8806,FLAT
5429,SELL,29676.2,5721.67,1.1443,GRID
5432,SELL,29809.4,3816.94,0.7634,GRID
5434,SELL,29942.6,5461.4,1.0923,GRID
5493,BUY,29995.11,15094.84,9.0569,FLAT
5515,BUY,29448.66,10000.0,2.0,GRID
5524,SELL,29714.7,8021.81,1.6044,GRID
5547,SELL,29847.71,8298.92,1.6598,GRID
5551,SELL,29980.73,8679.27,1.7359,GRID
5603,BUY,29315.65,10000.0,2.0,GRID
5607,BUY,29285.19,4592.19,2.7553,FLAT
5644,BUY,29544.08,9832.72,1.9665,GRID
5664,SELL,29844.39,10000.0,2.0,GRID
5671,SELL,29994.54,8386.64,1.6773,GRID
5675,BUY,30033.96,8465.41,5.0792,FLAT
5714,SELL,29695.76,7045.51,1.4091,GRID
5716,SELL,29828.15,5246.04,1.0492,GRID
5724,SELL,29960.53,2708.44,0.5417,GRID
5761,BUY,30012.38,15112.21,9.0673,FLAT
5820,BUY,29810.52,5961.13,1.1922,GRID
5827,SELL,29903.74,5979.77,3.5879,FLAT
5878,BUY,30002.29,4433.24,0.8866,GRID
5883,BUY,29856.22,5188.12,1.0376,GRID
5884,BUY,29710.15,5378.64,1.0757,GRID
5913,SELL,30294.42,10000.0,2.0,GRID
5921,SELL,30262.39,5219.56,3.1317,FLAT
6027,BUY,30177.79,4348.23,0.8696,GRID
6035,SELL,30173.68,4347.64,2.6086,FLAT
6055,BUY,30585.86,3672.83,0.7346,GRID
6081,BUY,30424.06,5438.87,1.0878,GRID
6086,BUY,30262.25,5888.3,1.1777,GRID
6105,SELL,29984.77,14795.3,8.8772,FLAT
6246,BUY,29014.93,10000.0,2.0,GRID
6255,SELL,29289.98,10000.0,2.0,GRID
6255,SELL,29427.5,7405.87,1.4812,GRID
6273,SELL,29565.03,3984.05,0.7968,GRID
6274,BUY,29644.49,11359.29,6.8156,FLAT
6316,SELL,29374.18,6721.2,1.3442,GRID
6320,SELL,29515.92,5287.13,1.0574,GRID
6323,SELL,29657.66,2991.67,0.5983,GRID
6332,BUY,29937.12,15232.45,9.1395,FLAT
6392,SELL,29966.16,7005.67,1.4011,GRID
6400,SELL,30109.58,4123.31,0.8247,GRID
6402,SELL,30253.01,3871.02,0.7742,GRID
6403,BUY,30184.7,15052.64,9.0316,FLAT
6427,BUY,29518.11,5042.72,1.0085,GRID
6428,BUY,29328.91,5497.45,1.0995,GRID
6430,SELL,29406.86,10535.78,6.3215,FLAT
6520,BUY,29402.8,5421.28,1.0843,GRID
6530,SELL,29342.3,5410.13,3.2461,FLAT
6544,BUY,28827.18,10000.0,2.0,GRID
6549,SELL,29121.96,6487.97,1.2976,GRID
