i,equity
0,100000.0
1,100000.0
2,100000.0
3,100000.0
4,100000.0
5,100000.0
6,100000.0
7,100000.0
8,100000.0
9,100000.0
10,100012.6818599668
11,100042.8911567775
12,100067.33865684601
13,100067.33865684601
14,100067.33865684601
15,100067.33865684601
16,100067.33865684601
17,100067.33865684601
18,100067.33865684601
19,100067.33865684601
20,100067.33865684601
21,100067.33865684601
22,100067.33865684601
23,100067.33865684601
24,100067.33865684601
25,100067.33865684601
26,100067.33865684601
27,100067.33865684601
28,100067.33865684601
29,100067.33865684601
30,100067.33865684601
31,100067.33865684601
32,100067.33865684601
33,100067.33865684601
34,100067.33865684601
35,100067.33865684601
36,100067.33865684601
37,100067.33865684601
38,100067.33865684601
39,100067.33865684601
40,100067.33865684601
41,100067.33865684601
42,100067.33865684601
43,100067.33865684601
44,100067.33865684601
45,100067.33865684601
46,100067.33865684601
47,100067.33865684601
48,100067.33865684601
49,100067.33865684601
50,100067.33865684601
51,100067.33865684601
52,100067.33865684601
53,100067.33865684601
54,100067.33865684601
55,100067.33865684601
56,100067.33865684601
57,100067.33865684601
58,100067.33865684601
59,100067.33865684601
60,100067.33865684601
61,100067.33865684601
62,100067.33865684601
63,100067.33865684601
64,100067.33865684601
65,100067.33865684601
66,100067.33865684601
67,100067.33865684601
68,100067.33865684601
69,100067.33865684601
70,99849.65579554494
71,99584.93765148698
72,99544.18705847798
73,99494.56943828647
74,99522.81256190485
75,99480.82751520658
76,99480.82751520658
77,99480.82751520658
78,99480.82751520658
79,99480.82751520658
80,99480.82751520658
81,99480.82751520658
82,99480.82751520658
83,99480.82751520658
84,99480.82751520658
85,99480.82751520658
86,99480.82751520658
87,99480.82751520658
88,99480.82751520658
89,99480.82751520658
90,99480.82751520658
91,99480.82751520658
92,99480.82751520658
93,99480.82751520658
94,99480.82751520658
95,99480.82751520658
96,99480.82751520658
97,99480.82751520658
98,99480.82751520658
99,99480.82751520658
100,99480.82751520658
101,99480.82751520658
102,99480.82751520658
103,99480.82751520658
104,99480.82751520658
105,99480.82751520658
106,99480.82751520658
107,99480.82751520658
108,99480.82751520658
109,99480.82751520658
110,99480.82751520658
111,99480.82751520658
112,99480.82751520658
113,99480.82751520658
114,99480.82751520658
115,99480.82751520658
116,99480.82751520658
117,99480.82751520658
118,99480.82751520658
119,99480.82751520658
120,99480.82751520658
121,99480.82751520658
122,99480.82751520658
123,99480.82751520658
124,99480.82751520658
125,99480.82751520658
126,99480.82751520658
127,99480.82751520658
128,99480.82751520658
129,99480.82751520658
130,99480.82751520658
131,99480.82751520658
132,99480.82751520658
133,99480.82751520658
134,99480.82751520658
135,99480.82751520658
136,99480.82751520658
137,99480.82751520658
138,99480.82751520658
139,99480.82751520658
140,99480.82751520658
141,99480.82751520658
142,99480.82751520658
143,99480.82751520658
144,99480.82751520658
145,99480.82751520658
146,99480.82751520658
147,99480.82751520658
148,99480.82751520658
149,99480.82751520658
150,99480.82751520658
151,99480.82751520658
152,99480.82751520658
153,99480.82751520658
154,99480.82751520658
155,99480.82751520658
156,99480.82751520658
157,99480.82751520658
158,99480.82751520658
159,99480.82751520658
160,99480.82751520658
161,99480.82751520658
162,99480.82751520658
163,99480.82751520658
164,99480.82751520658
165,99480.82751520658
166,99312.45364788124
167,99255.76170486807
168,99151.34650068272
169,99194.37852488895
170,99194.37852488895
171,99194.37852488895
172,99194.37852488895
173,99194.37852488895
174,99194.37852488895
175,99194.37852488895
176,99194.37852488895
177,99194.37852488895
178,99194.37852488895
179,99194.37852488895
180,99194.37852488895
181,99194.37852488895
182,99194.37852488895
183,99194.37852488895
184,99194.37852488895
185,99194.37852488895
186,99194.37852488895
187,99194.37852488895
188,99194.37852488895
189,99194.37852488895
190,99194.37852488895
191,99274.47950092994
192,99224.30084207775
193,99195.22685458636
194,99205.28861678638
195,99318.50096201795
196,99301.74637590679
197,99344.5163740346
198,99281.67291002517
199,99223.09943162893
200,99223.09943162893
201,99223.09943162893
202,99223.09943162893
203,99223.09943162893
204,99223.09943162893
205,99223.09943162893
206,99223.09943162893
207,99223.09943162893
208,99223.09943162893
209,99223.09943162893
210,99223.09943162893
211,99223.09943162893
212,99223.09943162893
213,99223.09943162893
214,99219.9621067592
215,99265.39925077396
216,99202.90731105625
217,99235.86942290605
218,99280.80390994715
219,99304.57958074035
220,99304.57958074035
221,99304.57958074035
222,99304.57958074035
223,99304.57958074035
224,99304.57958074035
225,99304.57958074035
226,99304.57958074035
227,99304.57958074035
228,99304.57958074035
229,99304.57958074035
230,99304.57958074035
231,99304.57958074035
232,99304.57958074035
233,99304.57958074035
234,99304.57958074035
235,99304.57958074035
236,99304.57958074035
237,99304.57958074035
238,99332.61122040791
239,99335.54319605386
240,99440.09078821151
241,99542.81521732877
242,99548.12806663189
243,99547.16063309273
244,99549.34017086265
245,99549.84759136097
246,99550.33693274415
247,99548.82511696016
248,99550.81301610956
249,99548.92756527929
250,99548.3084560252
251,99546.729144878
252,99547.68412391562
253,99548.522191342
254,99546.0618246502
255,99543.35196616944
256,99542.13383556697
257,99542.59666091461
258,99544.69785585224
259,99542.67420023066
260,99544.76173539241
261,99545.28884203834
262,99543.39696307824
263,99541.63726253773
264,99542.23427509554
265,99543.36683121967
266,99540.84620081073
267,99539.10819520839
268,99540.42114072583
269,99540.74576128216
270,99542.47091062485
271,99544.00562662135
272,99543.01689990214
273,99541.87711213194
274,99542.4158697632
275,99541.6308344079
276,99542.79392414872
277,99541.47736280825
278,99538.74500587309
279,99535.99055224165
280,99540.16080146778
281,99541.80479567139
282,99541.00730581455
283,99544.76454769922
284,99545.73640057763
285,99539.21425935056
286,99540.58304924588
287,99542.31824254141
288,99546.35631334796
289,99544.26958170244
290,99544.6122813739
291,99546.04615608374
292,99546.81431759823
293,99545.161082958
294,99544.07874659816
295,99550.77123326568
296,99547.30928359501
297,99544.313775095
298,99544.86940656704
299,99546.13534638511
300,99546.21891207287
301,99539.75261522368
302,99542.20976785057
303,99540.71522766548
304,99541.98679209714
305,99541.4620959999
306,99538.34766709807
307,99538.7847799264
308,99539.80604905289
309,99540.47457455503
310,99544.4600150486
311,99544.91721578264
312,99544.57090028813
313,99543.78827548154
314,99540.36931392908
315,99539.05355610485
316,99540.30141680778
317,99540.71562942359
318,99542.90762169505
319,99560.38617518307
320,99477.86471590401
321,99711.50927979987
322,99679.73447079131
323,99698.59211375217
324,99718.59952643815
325,99705.05779412
326,99650.17403310521
327,99616.4190651256
328,99537.79468849018
329,99609.84692459804
330,99609.9462874138
331,99607.51899577185
332,99652.51615661936
333,99704.5822720732
334,99663.95707511876
335,99678.46404621849
336,99728.9403566203
337,99851.01632322899
338,99871.66377580028
339,99890.95878142255
340,99868.25032042949
341,99868.79791053318
342,99878.78100990392
343,99895.81666738182
344,99889.70837882356
345,99896.24209171435
346,99921.61232927445
347,99902.24977316694
348,99905.73221626734
349,99900.34973611424
350,99895.48035220003
351,99894.40529341377
352,99893.75134722695
353,99896.16448051855
354,99901.83872127808
355,99903.14948814047
356,99897.3559560985
357,99888.66637665774
358,99879.27398472169
359,99884.21235636549
360,99877.73613324937
361,99865.87311824705
362,99854.98168043658
363,99866.81738779593
364,99810.01174144848
365,99813.36626980024
366,99817.25689030076
367,99823.63394355559
368,99821.95667937971
369,99839.33583826124
370,99831.42668251156
371,99834.33279062093
372,99815.08952579586
373,99822.20388541077
374,99832.04613483358
375,99841.05047079065
376,99832.99040438248
377,99839.12743782807
378,99821.50107291547
379,99821.00234912024
380,99845.15236621306
381,99833.00046509304
382,99820.32971875666
383,99829.67468162862
384,99838.44330950954
385,99837.08080184997
386,99836.7991019541
387,99815.07659059655
388,99811.61139442856
389,99818.02150430382
390,99821.72528303668
391,99819.7634444762
392,99812.83305214021
393,99817.7168084981
394,99808.47532722054
395,99729.07907391808
396,99670.08881613333
397,99645.24892174453
398,99644.98435310108
399,99669.32270838019
400,99669.32270838019
401,99669.32270838019
402,99669.32270838019
403,99669.32270838019
404,99669.32270838019
405,99669.32270838019
406,99669.32270838019
407,99669.32270838019
408,99669.32270838019
409,99669.32270838019
410,99669.32270838019
411,99669.32270838019
412,99669.32270838019
413,99669.32270838019
414,99669.32270838019
415,99669.32270838019
416,99669.32270838019
417,99669.32270838019
418,99669.32270838019
419,99669.32270838019
420,99669.32270838019
421,99669.32270838019
422,99669.32270838019
423,99669.32270838019
424,99669.32270838019
425,99669.32270838019
426,99669.32270838019
427,99669.32270838019
428,99669.32270838019
429,99669.32270838019
430,99669.32270838019
431,99669.32270838019
432,99669.32270838019
433,99669.32270838019
434,99669.32270838019
435,99669.32270838019
436,99669.32270838019
437,99669.32270838019
438,99669.32270838019
439,99669.32270838019
440,99669.32270838019
441,99669.32270838019
442,99669.32270838019
443,99669.32270838019
444,99669.32270838019
445,99669.32270838019
446,99669.32270838019
447,99669.32270838019
448,99669.32270838019
449,99669.32270838019
450,99669.32270838019
451,99669.32270838019
452,99669.32270838019
453,99669.32270838019
454,99669.32270838019
455,99669.32270838019
456,99669.32270838019
457,99669.32270838019
458,99669.32270838019
459,99669.32270838019
460,99669.32270838019
461,99669.32270838019
462,99669.32270838019
463,99669.32270838019
464,99669.32270838019
465,99669.32270838019
466,99669.32270838019
467,99669.32270838019
468,99669.32270838019
469,99669.32270838019
470,99669.32270838019
471,99669.32270838019
472,99669.32270838019
473,99669.32270838019
474,99669.32270838019
475,99669.32270838019
476,99669.32270838019
477,99669.32270838019
478,99669.32270838019
479,99669.32270838019
480,99669.32270838019
481,99669.32270838019
482,99669.32270838019
483,99669.32270838019
484,99669.32270838019
485,99669.32270838019
486,99669.32270838019
487,99669.32270838019
488,99669.32270838019
489,99669.32270838019
490,99669.32270838019
491,99669.32270838019
492,99669.32270838019
493,99669.32270838019
494,99669.32270838019
495,99669.32270838019
496,99669.32270838019
497,99669.32270838019
498,99669.32270838019
499,99669.32270838019
500,99669.32270838019
501,99669.32270838019
502,99669.32270838019
503,99669.32270838019
504,99669.32270838019
505,99669.32270838019
506,99669.32270838019
507,99669.32270838019
508,99669.32270838019
509,99669.32270838019
510,99669.32270838019
511,99669.32270838019
512,99669.32270838019
513,99669.32270838019
514,99669.32270838019
515,99669.32270838019
516,99669.32270838019
517,99669.32270838019
518,99669.32270838019
519,99669.32270838019
520,99669.32270838019
521,99669.32270838019
522,99669.32270838019
523,99669.32270838019
524,99669.32270838019
525,99669.32270838019
526,99669.32270838019
527,99669.32270838019
528,99669.32270838019
529,99669.32270838019
530,99669.32270838019
531,99669.32270838019
532,99669.32270838019
533,99669.32270838019
534,99669.32270838019
535,99669.32270838019
536,99669.32270838019
537,99669.32270838019
538,99669.32270838019
539,99669.32270838019
540,99669.32270838019
541,99669.32270838019
542,99669.32270838019
543,99669.32270838019
544,99669.32270838019
545,99669.32270838019
546,99669.32270838019
547,99669.32270838019
548,99669.32270838019
549,99669.32270838019
550,99669.32270838019
551,99669.32270838019
552,99669.32270838019
553,99669.32270838019
554,99669.32270838019
555,99669.32270838019
556,99669.32270838019
557,99669.32270838019
558,99669.32270838019
559,99669.32270838019
560,99669.32270838019
561,99669.32270838019
562,99669.32270838019
563,99669.32270838019
564,99669.32270838019
565,99669.32270838019
566,99669.32270838019
567,99669.32270838019
568,99669.32270838019
569,99669.32270838019
570,99669.32270838019
571,99669.32270838019
572,99669.32270838019
573,99669.32270838019
574,99669.32270838019
575,99669.32270838019
576,99669.32270838019
577,99669.32270838019
578,99669.32270838019
579,99669.32270838019
580,99669.32270838019
581,99669.32270838019
582,99669.32270838019
583,99669.32270838019
584,99669.32270838019
585,99669.32270838019
586,99669.32270838019
587,99669.32270838019
588,99669.32270838019
589,99669.32270838019
590,99669.32270838019
591,99669.32270838019
592,99669.32270838019
593,99669.32270838019
594,99669.32270838019
595,99669.32270838019
596,99669.32270838019
597,99669.32270838019
598,99669.32270838019
599,99669.32270838019
600,99669.32270838019
601,99669.32270838019
602,99669.32270838019
603,99669.32270838019
604,99669.32270838019
605,99669.32270838019
606,99669.32270838019
607,99669.32270838019
608,99669.32270838019
609,99669.32270838019
610,99669.32270838019
611,99669.32270838019
612,99669.32270838019
613,99669.32270838019
614,99669.32270838019
615,99669.32270838019
616,99669.32270838019
617,99641.73327452691
618,99717.75186227221
619,99722.09258090927
620,99766.82759580696
621,99749.13444918854
622,99646.62204274302
623,99649.10245339277
624,99603.20811612619
625,99527.01947180076
626,99529.57795185877
627,99597.75614677723
628,99595.09926364008
629,99399.28470559123
630,99386.5755694451
631,99363.33730382951
632,99386.30691390007
633,99386.30691390007
634,99386.30691390007
635,99386.30691390007
636,99386.30691390007
637,99386.30691390007
638,99386.30691390007
639,99386.30691390007
640,99386.30691390007
641,99386.30691390007
642,99386.30691390007
643,99386.30691390007
644,99386.30691390007
645,99386.30691390007
646,99386.30691390007
647,99386.30691390007
648,99386.30691390007
649,99386.30691390007
650,99386.30691390007
651,99386.30691390007
652,99386.30691390007
653,99386.30691390007
654,99386.30691390007
655,99386.30691390007
656,99386.30691390007
657,99386.30691390007
658,99386.30691390007
659,99386.30691390007
660,99386.30691390007
661,99386.30691390007
662,99386.30691390007
663,99386.30691390007
664,99386.30691390007
665,99386.30691390007
666,99386.30691390007
667,99386.30691390007
668,99386.30691390007
669,99386.30691390007
670,99386.30691390007
671,99386.30691390007
672,99386.30691390007
673,99386.30691390007
674,99386.30691390007
675,99386.30691390007
676,99386.30691390007
677,99386.30691390007
678,99386.30691390007
679,99386.30691390007
680,99386.30691390007
681,99386.30691390007
682,99386.30691390007
683,99386.30691390007
684,99386.30691390007
685,99386.30691390007
686,99386.30691390007
687,99386.30691390007
688,99386.30691390007
689,99386.30691390007
690,99386.30691390007
691,99386.30691390007
692,99386.30691390007
693,99386.30691390007
694,99386.30691390007
695,99386.30691390007
696,99386.30691390007
697,99386.30691390007
698,99386.30691390007
699,99386.30691390007
700,99386.30691390007
701,99386.30691390007
702,99386.30691390007
703,99386.30691390007
704,99386.30691390007
705,99386.30691390007
706,99386.30691390007
707,99386.30691390007
708,99386.30691390007
709,99386.30691390007
710,99386.30691390007
711,99386.30691390007
712,99386.30691390007
713,99386.30691390007
714,99386.30691390007
715,99386.30691390007
716,99386.30691390007
717,99386.30691390007
718,99386.30691390007
719,99386.30691390007
720,99386.30691390007
721,99386.30691390007
722,99386.30691390007
723,99386.30691390007
724,99386.30691390007
725,99386.30691390007
726,99386.30691390007
727,99386.30691390007
728,99386.30691390007
729,99386.30691390007
730,99386.30691390007
731,99386.30691390007
732,99386.30691390007
733,99386.30691390007
734,99386.30691390007
735,99386.30691390007
736,99386.30691390007
737,99386.30691390007
738,99386.30691390007
739,99386.30691390007
740,99386.30691390007
741,99386.30691390007
742,99386.30691390007
743,99386.30691390007
744,99386.30691390007
745,99386.30691390007
746,99386.30691390007
747,99386.30691390007
748,99386.30691390007
749,99386.30691390007
750,99386.30691390007
751,99386.30691390007
752,99386.30691390007
753,99386.30691390007
754,99386.30691390007
755,99386.30691390007
756,99386.30691390007
757,99386.30691390007
758,99386.30691390007
759,99386.30691390007
760,99386.30691390007
761,99386.30691390007
762,99386.30691390007
763,99386.30691390007
764,99386.30691390007
765,99386.30691390007
766,99386.30691390007
767,99386.30691390007
768,99386.30691390007
769,99386.30691390007
770,99386.30691390007
771,99386.30691390007
772,99386.30691390007
773,99408.78150925043
774,99386.4708790286
775,99398.29786736469
776,99413.05736715297
777,99417.66559943497
778,99408.12714719084
779,99444.40442581661
780,99428.90747037387
781,99423.31250165282
782,99434.23930937785
783,99459.78366533326
784,99454.67340924894
785,99440.32245296876
786,99449.87475414536
787,99466.6561980754
788,99456.24872531829
789,99403.27655859047
790,99396.87488955258
791,99421.92414617192
792,99416.32917745085
793,99427.21097614535
794,99402.68105449392
795,99396.56328857184
796,99391.96198075607
797,99336.87785182537
798,99352.55484339032
799,99359.13308631729
800,99347.2160799201
801,99384.07847594304
802,99375.62716489843
803,99380.25617057914
804,99359.42737613244
805,99346.12547648746
806,99322.37109505481
807,99395.07106609734
808,99445.04988004813
809,99509.73733895809
810,99506.72526071443
811,99569.1430160889
812,99506.38225850296
813,99478.49531399831
814,99494.19559169514
815,99500.8711641471
816,99509.0599816497
817,99500.28027798446
818,99484.19952724634
819,99475.13446880013
820,99500.76163402914
821,99505.52907653154
822,99493.6854119352
823,99467.91412812994
824,99433.76379030141
825,99280.61507201295
826,99144.39530910537
827,99136.5663879014
828,99158.93968568629
829,99088.06346987237
830,99095.2468408498
831,99099.86967368025
832,99116.30304287042
833,99100.39391245483
834,99083.43630449007
835,99080.1478976313
836,99062.11581680621
837,99095.04321091255
838,99090.93595175297
839,99228.1175411726
840,99564.73082508029
841,99631.2744890381
842,99551.65085102673
843,99579.11489724253
844,99580.9042411591
845,99615.11407061486
846,99577.98410120809
847,99578.4476842567
848,99570.7790674714
849,99611.0631346294
850,99771.29389992348
851,99722.92962355385
852,99715.20901614628
853,99688.87143341306
854,99744.02915109305
855,99707.40609025345
856,99724.8706067854
857,99763.4953065825
858,99610.8075140699
859,99632.04135071662
860,99581.26817551501
861,99559.46244202327
862,99447.11937239465
863,99401.39362010539
864,99392.78050701547
865,99463.01983770652
866,99372.0232510729
867,99375.8618920174
868,99366.54257297494
869,99344.78883010548
870,99402.27746068404
871,99433.87476137056
872,99422.96972834876
873,99397.60696978316
874,99422.94373303762
875,99392.85416039702
876,99360.0134173278
877,99416.05930813828
878,99445.9192555305
879,99456.8849442783
880,99463.54407648112
881,99404.19244860443
882,99422.77476351523
883,99412.11668594924
884,99521.0413721634
885,99616.16254816402
886,99527.22392366205
887,99487.5854067306
888,99420.24455323127
889,99499.40027564218
890,99482.80226948147
891,99437.10251250335
892,99393.66001504226
893,99426.36644900394
894,99415.13647459293
895,99356.45639225394
896,99376.45545162169
897,99392.59420728566
898,99456.5383401298
899,99440.24361259902
900,99426.28846307052
901,99419.49502176017
902,99419.87195377165
903,99365.19081679583
904,99342.4665823106
905,99384.39701917392
906,99402.26879558033
907,99423.7062621643
908,99483.97205848261
909,99408.19572651947
910,99182.46977481675
911,99285.18591422113
912,99303.98052417288
913,99318.4079218537
914,99323.35569607335
915,99407.57617160404
916,99428.8966592879
917,99456.29571722586
918,99445.9885763602
919,99429.63319310344
920,99438.18131791551
921,99429.10028922514
922,99433.45450384052
923,99432.47534712104
924,99436.210006821
925,99474.99067848493
926,99485.86538364373
927,99478.49138038466
928,99467.57768225914
929,99469.97358343557
930,99470.64512897326
931,99497.61053722638
932,99499.49685800206
933,99495.13039730543
934,99496.43021498279
935,99495.30476309141
936,99500.15652157004
937,99501.7977547724
938,99499.23348031135
939,99503.20609381307
940,99505.14484625867
941,99500.49062104808
942,99496.11806364563
943,99497.74344541291
944,99501.76483256106
945,99498.09095764373
946,99496.8399136128
947,99497.75807750683
948,99494.93652206086
949,99495.34987871436
950,99501.66240790357
951,99500.87593285488
952,99501.11004635775
953,99503.76455206469
954,99505.30634074187
955,99522.44496063153
956,99516.23694664218
957,99516.8427437777
958,99505.97778152984
959,99513.35050146707
960,99524.1329402661
961,99523.15391207805
962,99527.3813632962
963,99535.23609519572
964,99529.78767204192
965,99523.21768019759
966,99518.35817438296
967,99497.00710753856
968,99503.46644294019
969,99528.22535311348
970,99512.45962332659
971,99517.91742414504
972,99504.15851459037
973,99532.12083500347
974,99523.18579613783
