bar,side,px,notional,fee,kind
410,BUY,21168.98,10000.0,2.0,GRID
412,SELL,21328.56,10075.38,6.0452,FLAT
470,BUY,21584.89,6519.27,1.3039,GRID
470,BUY,21416.33,6541.55,1.3083,GRID
470,BUY,21247.76,1939.17,0.3878,GRID
475,SELL,20644.47,14425.14,8.6551,FLAT
566,BUY,20202.57,6174.85,1.235,GRID
566,BUY,20001.34,6583.95,1.3168,GRID
566,BUY,19800.11,2241.21,0.4482,GRID
569,SELL,19685.99,14725.39,8.8352,FLAT
591,BUY,19976.62,10000.0,2.0,GRID
599,SELL,20050.02,10036.74,6.022,FLAT
614,BUY,19695.34,10000.0,2.0,GRID
619,SELL,19871.68,10089.53,6.0537,FLAT
638,SELL,20426.89,9446.55,1.8893,GRID
641,BUY,19895.25,10000.0,2.0,GRID
719,SELL,19863.8,5610.02,1.122,GRID
720,SELL,20018.96,5307.52,1.0615,GRID
720,SELL,20174.12,4082.47,0.8165,GRID
737,BUY,19553.48,10000.0,2.0,GRID
737,BUY,19398.32,554.96,0.111,GRID
737,BUY,19243.16,500.0,0.1,GRID
798,SELL,20762.45,7257.4,1.4515,GRID
799,BUY,20631.76,10177.01,6.1062,FLAT
1017,BUY,19948.97,4601.08,0.9202,GRID
1018,BUY,19784.32,8772.01,1.7544,GRID
1025,BUY,19619.68,1626.91,0.3254,GRID
1032,SELL,19458.2,14728.82,8.8373,FLAT
1173,BUY,18882.09,6537.42,1.3075,GRID
1208,SELL,19086.58,7554.89,1.511,GRID
1209,SELL,19318.14,4610.05,0.922,GRID
1225,SELL,19549.71,2835.06,0.567,GRID
1331,BUY,19162.99,5965.84,1.1932,GRID
1354,BUY,19155.48,5928.38,1.1857,GRID
1480,BUY,19377.63,4640.55,0.9281,GRID
1633,BUY,19451.56,7902.84,1.5806,GRID
1637,SELL,19804.01,16503.0,9.9018,FLAT
1678,BUY,19042.44,10000.0,2.0,GRID
1699,SELL,19268.22,7529.05,1.5058,GRID
1699,SELL,19381.12,9010.7,1.8021,GRID
1715,SELL,19494.01,8460.24,1.692,GRID
1719,BUY,19535.19,14935.06,8.961,FLAT
1776,BUY,19058.05,10000.0,2.0,GRID
1840,BUY,19187.69,4700.86,0.9402,GRID
1842,BUY,19139.18,5532.13,1.1064,GRID
1860,BUY,19090.67,4767.0,0.9534,GRID
1865,SELL,19284.71,9646.75,1.9294,GRID
1865,SELL,19333.22,9470.59,1.8941,GRID
1865,SELL,19381.73,10000.0,2.0,GRID
2041,BUY,20470.12,4369.03,0.8738,GRID
2050,SELL,20824.86,10000.0,2.0,GRID
2054,BUY,20292.75,10000.0,2.0,GRID
2077,BUY,20474.8,5763.36,1.1527,GRID
2148,BUY,20423.71,6025.27,1.2051,GRID
2148,SELL,20693.21,8478.16,1.6956,GRID
2149,SELL,20827.97,10000.0,2.0,GRID
2150,SELL,20962.72,1734.36,0.3469,GRID
2418,BUY,16716.96,9333.17,1.8666,GRID
2441,SELL,16628.57,4778.56,0.9557,GRID
2472,SELL,16852.93,10000.0,2.0,GRID
2477,BUY,16805.13,11596.49,6.9579,FLAT
2487,BUY,16620.87,8676.46,1.7353,GRID
2531,BUY,16463.77,4176.72,0.8353,GRID
2541,BUY,16306.66,2146.82,0.4294,GRID
2545,SELL,16214.15,14712.18,8.8273,FLAT
2711,BUY,16427.18,7495.51,1.4991,GRID
2713,BUY,16327.15,2711.55,0.5423,GRID
2713,BUY,16227.11,4792.94,0.9586,GRID
2717,SELL,16159.31,14829.87,8.8979,FLAT
2760,SELL,16536.91,7493.56,1.4987,GRID
2760,SELL,16661.28,4675.58,0.9351,GRID
2760,SELL,16785.66,2830.86,0.5662,GRID
2763,BUY,16845.25,15201.4,9.1208,FLAT
2867,BUY,16934.48,7335.82,1.4672,GRID
2872,SELL,17095.7,10000.0,2.0,GRID
2879,SELL,17176.3,6506.27,1.3013,GRID
2880,SELL,17256.91,592.3,0.1185,GRID
2928,SELL,17112.9,10000.0,2.0,GRID
2935,BUY,16839.22,5311.05,1.0622,GRID
2936,BUY,16702.38,3059.21,0.6118,GRID
2942,BUY,16837.91,10955.87,6.5735,FLAT
3058,SELL,17004.4,5604.35,1.1209,GRID
3068,SELL,17089.83,4561.89,0.9124,GRID
3069,BUY,17175.67,10245.6,6.1474,FLAT
3079,BUY,17102.88,4384.42,0.8769,GRID
3081,SELL,17270.0,10000.0,2.0,GRID
3081,SELL,17353.57,4545.63,0.9091,GRID
3081,SELL,17437.13,598.64,0.1197,GRID
3087,BUY,17752.94,10988.3,6.593,FLAT
3151,SELL,17484.11,3496.82,0.6994,GRID
3152,BUY,17195.71,6026.42,1.2053,GRID
3153,BUY,17051.5,6002.11,1.2004,GRID
3302,BUY,16732.43,10000.0,2.0,GRID
3303,BUY,16627.91,3504.5,0.7009,GRID
3325,SELL,16941.47,9369.46,1.8739,GRID
3439,SELL,16647.16,12615.43,7.5693,FLAT
3526,BUY,16523.26,8722.59,1.7445,GRID
3526,BUY,16476.38,3998.92,0.7998,GRID
3547,SELL,16617.02,9350.96,1.8702,GRID
3555,SELL,16663.9,9097.17,1.8194,GRID
3559,SELL,16710.78,9273.38,1.8547,GRID
3576,BUY,16695.59,14908.91,8.9453,FLAT
3661,BUY,16682.26,4529.23,0.9058,GRID
3661,SELL,16779.78,4259.84,0.852,GRID
3663,SELL,16828.54,9121.58,1.8243,GRID
3667,SELL,16877.3,6147.81,1.2296,GRID
3684,BUY,16916.14,15032.75,9.0196,FLAT
3719,BUY,17074.51,583.39,0.1167,GRID
3719,BUY,17021.19,2783.96,0.5568,GRID
3719,BUY,16967.87,10000.0,2.0,GRID
3720,SELL,17181.15,10000.0,2.0,GRID
3722,SELL,17234.47,2519.68,0.5039,GRID
3999,SELL,21217.88,10000.0,2.0,GRID
4003,SELL,21444.74,2597.38,0.5195,GRID
4004,SELL,21671.61,500.0,0.1,GRID
4005,BUY,22315.41,12421.89,7.4531,FLAT
4171,SELL,23256.91,10000.0,2.0,GRID
4291,BUY,22783.85,9111.39,1.8223,GRID
4291,SELL,23208.75,10000.0,2.0,GRID
4291,SELL,23421.21,1357.91,0.2716,GRID
4292,SELL,23633.66,10000.0,2.0,GRID
4297,BUY,23950.55,22562.6,13.5376,FLAT
4380,BUY,23171.83,4973.29,0.9947,GRID
4385,BUY,22911.76,6608.97,1.3218,GRID
4387,SELL,22891.8,11516.4,6.9098,FLAT
4454,BUY,23022.91,9563.95,1.9128,GRID
4456,BUY,22758.16,4539.6,0.9079,GRID
4467,BUY,22493.42,896.45,0.1793,GRID
4470,SELL,22719.25,14875.1,8.9251,FLAT
4598,BUY,22119.87,575.89,0.1152,GRID
4598,BUY,21992.36,3980.45,0.7961,GRID
4598,BUY,21864.84,10000.0,2.0,GRID
4604,SELL,22252.94,14784.47,8.8707,FLAT
4737,SELL,24874.11,10000.0,2.0,GRID
4778,BUY,24056.61,4092.53,0.8185,GRID
4911,SELL,23740.42,5215.7,1.0431,GRID
4912,BUY,23378.38,4817.45,0.9635,GRID
4912,BUY,23197.36,9193.76,1.8388,GRID
4952,SELL,23921.44,10000.0,2.0,GRID
4987,SELL,23481.57,4780.52,0.9561,GRID
4993,BUY,23129.35,10000.0,2.0,GRID
4993,BUY,22953.25,4567.4,0.9135,GRID
4993,BUY,22777.14,3747.7,0.7495,GRID
5102,BUY,22306.32,10000.0,2.0,GRID
5103,BUY,22174.13,2825.87,0.5652,GRID
5103,BUY,22041.94,500.0,0.1,GRID
5117,SELL,21954.98,20274.86,12.1649,FLAT
5231,BUY,21656.28,10000.0,2.0,GRID
5232,SELL,22337.94,10000.0,2.0,GRID
5486,SELL,27783.37,10000.0,2.0,GRID
5491,BUY,27940.04,7385.57,1.4771,GRID
5623,BUY,28148.68,5530.61,1.1061,GRID
5724,BUY,28152.12,4338.29,0.8677,GRID
5727,BUY,28024.7,5743.37,1.1487,GRID
5730,BUY,27897.29,4918.34,0.9837,GRID
5738,SELL,27753.85,18048.92,10.8293,FLAT
5783,SELL,28409.72,10000.0,2.0,GRID
5783,SELL,28696.44,2238.31,0.4477,GRID
5791,BUY,28543.8,12273.6,7.3642,FLAT
5815,BUY,27862.02,7657.67,1.5315,GRID
5838,BUY,27796.99,6440.43,1.2881,GRID
5844,SELL,27896.93,14130.85,8.4785,FLAT
5858,SELL,28035.18,6016.25,1.2032,GRID
5898,SELL,28167.12,4504.41,0.9009,GRID
5900,SELL,28299.06,4479.34,0.8959,GRID
5912,BUY,28310.29,15083.71,9.0502,FLAT
6039,BUY,30280.94,4095.06,0.819,GRID
6048,BUY,30138.59,6242.93,1.2486,GRID
6071,BUY,29996.25,4662.01,0.9324,GRID
6080,SELL,29876.97,14872.64,8.9236,FLAT
6125,BUY,30057.3,9902.31,1.9805,GRID
6397,SELL,29407.23,6903.72,1.3807,GRID
6398,SELL,29521.95,4685.68,0.9371,GRID
6398,SELL,29636.67,3410.6,0.6821,GRID
6403,BUY,29177.79,10000.0,2.0,GRID
6552,SELL,29112.24,6280.43,1.2561,GRID
6573,BUY,28729.68,4241.41,0.8483,GRID
6574,BUY,28554.8,5205.01,1.041,GRID
6575,BUY,28379.93,5553.58,1.1107,GRID
6577,SELL,28284.98,13392.41,8.0354,FLAT
6743,BUY,26739.76,6827.8,1.3656,GRID
6744,SELL,27061.82,6154.29,1.2309,GRID
6744,SELL,27222.86,4134.07,0.8268,GRID
