i,equity
0,100000.0
1,100000.0
2,100000.0
3,100000.0
4,100000.0
5,100000.0
6,100000.0
7,100000.0
8,100000.0
9,100000.0
10,100000.0
11,100000.0
12,100000.0
13,100000.56341387534
14,100003.37602491904
15,99994.67283507621
16,99984.183590443
17,99993.7126180008
18,100000.56341387534
19,99997.20563086943
20,100010.08903942401
21,100018.20538269286
22,100014.80337356833
23,100021.57592323299
24,100019.24809848952
25,100019.61296396813
26,100013.76405978079
27,100019.90638725512
28,100024.77296130775
29,100026.71125600646
30,100019.61211346585
31,100033.54419133307
32,100043.71960062454
33,100033.66241115016
34,100022.7785334585
35,100026.17033655566
36,100034.52652146778
37,100036.23603105286
38,100031.13471837062
39,100042.87079934798
40,100048.3735491069
41,100052.651575581
42,100057.56407675681
43,100052.54356179129
44,100050.84255722903
45,100043.99601386591
46,100035.54712420514
47,100031.411131612
48,100039.98164309896
49,100030.66098860004
50,100029.81643983487
51,100026.24688176096
52,100027.8951551818
53,100026.37190559629
54,100023.69452441529
55,100023.30924688194
56,100022.82531108397
57,100030.96376741212
58,100040.80407880482
59,100040.48939296081
60,100030.3429007469
61,100025.68980276682
62,100029.72203408167
63,100027.88069664301
64,100026.71210650874
65,100025.52310431971
66,100020.95165455864
67,100019.90553675283
68,100015.56032059854
69,100017.1847799555
70,100019.91063976653
71,100019.06864250821
72,100015.0661787732
73,100015.0661787732
74,100004.5990471993
75,100005.83993002748
76,100008.76820938141
77,100002.14960062965
78,99988.28811445175
79,99987.41805061816
80,100002.6335364276
81,100015.30857192332
82,100019.39438488187
83,100032.84167644886
84,100042.02114756912
85,100031.93589151946
86,100034.06299772457
87,100029.81643983487
88,100034.35982302068
89,100030.455167048
90,100027.05315792348
91,100018.0318802275
92,100018.06590031875
93,100010.08818892173
94,100005.32622664967
95,100016.18714077973
96,100007.85732143832
97,100006.30090226384
98,99995.53779589612
99,99989.5664193803
100,99989.43629253127
101,99986.71893774306
102,99982.92824907605
103,99984.59353254251
104,99984.96690304393
105,99985.96369171742
106,99981.51641528938
107,99989.05952002075
108,99990.99016019891
109,99986.14995171699
110,99981.51641528938
111,99978.91302780683
112,99979.32211940405
113,99973.16363238638
114,99974.7132475426
115,99977.2460433358
116,99992.18681690846
117,99987.76080303745
118,99992.42580804946
119,99986.10572559836
120,99995.49016776838
121,99992.93100640445
122,99991.91805818763
123,99995.07257114834
124,100000.56341387534
125,100002.55784172459
126,100003.97137651582
127,100004.12956994012
128,99996.28963991265
129,99999.20516173236
130,99995.15421936734
131,99998.09270474865
132,99991.16281216197
133,99992.73879288892
134,99997.32555169106
135,99999.03591177842
136,100002.89719213475
137,100000.56341387534
138,100008.65509257802
139,100010.58318124936
140,100006.18948646502
141,100011.44984307383
142,100008.45097203055
143,100005.05321541743
144,99991.93676923781
145,99977.68235100603
146,99983.61375391464
147,99985.5180285221
148,99985.29774843129
149,99974.24802279483
150,99976.58095055197
151,99977.7512416908
152,99983.51084313863
153,99980.50176606799
154,99985.08767436785
155,99992.79152403034
156,99995.2732896867
157,99997.60961945297
158,99991.92486220588
159,99998.29512429156
160,100000.17558483513
161,99997.54753278644
162,100000.56341387534
163,99996.45208584834
164,99996.89945004821
165,100003.57759395966
166,100010.95910325761
167,100007.76461668967
168,100008.84815659584
169,100008.94256234905
170,100012.20168709035
171,100020.77475008415
172,100015.58413466241
173,100007.78928125583
174,100011.0815755861
175,100013.55823822875
176,100007.05444728493
177,100009.56257851199
178,100006.63770116717
179,100010.98376782377
180,100006.30260326841
181,100003.02987049062
182,99999.2034607278
183,99991.03948933122
184,99993.20146612985
185,99989.84793563535
186,99991.76666878158
187,99996.42742128219
188,99999.2034607278
189,100000.56341387534
190,100001.1961875725
191,100002.10962702244
192,100001.3314174352
193,100002.46853898506
194,99995.76317900063
195,99993.72112302363
196,99993.23208421197
197,99989.9491454068
198,99995.24437260913
199,99993.44896229367
200,99993.54251754459
201,99987.56093500138
202,99991.58636229798
203,99988.70571107179
204,99990.94338257344
205,99990.94338257344
206,99991.91125416938
207,99993.23888823022
208,99991.67141252609
209,100005.32622664967
210,100004.5990471993
211,100020.58763958231
212,100011.37840088221
213,100017.18563045778
214,100020.77049757275
215,100023.71578697232
216,100023.30924688194
217,100018.03613273891
218,100019.21577940285
219,100019.45732205069
220,100018.97168524815
221,100014.5660834319
222,100014.80422407061
223,100014.1238222457
224,100010.76944124892
225,100008.49009513548
226,100004.61860875177
227,100002.89634163248
228,100002.89634163248
229,100004.58288765597
230,100009.68334983592
231,100007.87007897254
232,100012.63714425829
233,100008.09886408616
234,100017.3106542931
235,100014.93009840822
236,100011.49321869016
237,100011.71519978554
238,100010.0575708396
239,100010.39096773381
240,100010.55256316724
241,100003.57589295511
242,99991.38989627104
243,99985.88714651212
244,99991.15855965058
245,99989.42948851304
246,99989.16583280588
247,99983.56017227094
248,99983.33563966872
249,99990.4807093325
250,99987.84245125644
251,99982.38732962526
252,99986.01472185428
253,99983.548265239
254,99985.56225464072
255,99983.86635309215
256,99990.74436503966
257,99993.03391718047
258,99989.02124741809
259,99994.09279252047
260,99991.04033983349
261,99997.07720502497
262,99991.04033983349
263,99993.43110174575
264,99988.50754404029
265,99982.99288724942
266,99986.36257728726
267,99988.60194979349
268,99987.1680029475
269,99982.51830697655
270,99982.04372670368
271,99981.51641528938
272,99982.3090834154
273,99986.9341148202
274,99983.43174642649
275,99983.30332058204
276,99982.82618880233
277,99981.51641528938
278,99983.92843975867
279,99990.82941526777
280,99991.67056202382
281,99987.844152261
282,99989.28915563664
283,99989.56982138942
284,99986.71893774306
285,99984.89120834091
286,99981.5155647871
287,99979.10439082008
288,99983.57803281884
289,99979.09503529499
290,99980.1045815027
291,99984.42853509997
292,99984.42853509997
293,99981.09541666022
294,99983.2242238699
295,99983.53550770479
296,99983.90802770392
297,99983.90717720165
298,99987.58815107438
299,99989.41502997425
300,99986.55564130508
301,99985.54694559966
302,99985.54609509738
303,99989.29000613892
304,99990.93487755064
305,99988.9489547242
306,99986.06490148888
307,99988.18350267118
308,99990.47985883024
309,99986.39659737851
310,99984.86824477933
311,99986.39319536938
312,99987.97087710089
313,99987.97172760317
314,99987.58815107438
315,99988.80607034096
316,99990.85833234533
317,99987.58900157666
318,99991.03268531297
319,99988.79671481586
320,99990.41522065687
321,99990.41437015458
322,99989.97040796383
323,99987.84160075415
324,99987.75910203288
325,99987.74209198727
326,99984.49317327334
327,99986.68491765182
328,99982.87296642778
329,99985.16932258684
330,99988.3263870544
331,99989.95935143418
332,99996.87903799347
333,99997.79417844796
334,99994.82252347769
335,99989.95169691365
336,99987.84245125644
337,99991.03948933122
338,99991.44007590563
339,99988.5568731726
340,99988.55772367486
341,99987.3347013946
342,99992.69201526346
343,99991.38054074594
344,99996.94367616683
345,99996.0846688629
346,99997.6164234712
347,99996.77612721745
348,99996.77612721745
349,99996.14250301801
350,100001.77197761682
351,99999.64827342084
352,100005.31857212914
353,100001.83236327878
354,100003.2646091202
355,100008.66274709855
356,100018.24025328638
357,100016.52053767393
358,100012.90079996544
359,100007.67106143876
360,100007.83095586761
361,100010.00909220958
362,100010.1570796065
363,100004.74193158254
364,100004.63646929967
365,100008.15754874356
366,100001.49981688686
367,100007.95257769381
368,100011.23381549442
369,100011.27463960391
370,100011.37074636167
371,100015.83503283534
372,100015.67513840648
373,100022.68667921214
374,100018.20283118602
375,100021.94844323212
376,100016.61324242258
377,100010.78134828086
378,100010.86129549528
379,100014.74809092005
380,100015.68194242474
381,100020.62931419408
382,100018.98529328466
383,100019.61296396813
384,100019.61211346585
385,100016.70339566437
386,100022.96054094666
387,100020.58678908003
388,100020.1011522775
389,100025.23818605553
390,100023.50316140203
391,100025.41934304142
392,100025.9517574694
393,100028.41226056873
394,100023.693673913
395,100028.41226056873
396,100021.60909282195
397,100021.53169711436
398,100010.08818892173
399,100008.8498576004
400,100014.13998178905
401,100010.08903942401
402,100009.21642408357
403,100009.70376189066
404,100006.3978595239
405,100008.26216052414
406,100012.42962170168
407,100009.61701065798
408,100003.77065797748
409,100000.56426437761
410,100007.62173230645
411,100005.44954948044
412,100001.09837981017
413,100004.00709761164
414,100001.29739734395
415,99995.58287251703
416,99999.06652986055
417,100001.13495140825
418,99999.32593305629
419,99999.325082554
420,100000.84152812127
421,99998.33169588965
422,99996.35172657916
423,99991.04033983349
424,99987.39933956797
425,99985.88714651212
426,99981.78857601935
427,99988.86815700748
428,99985.33942304307
429,99984.17168341107
430,99986.5862593872
431,99984.30946478061
432,99982.14578697742
433,99981.51811629394
434,99980.83601346448
435,99980.83516296219
436,99980.83601346448
437,99976.21183256195
438,99949.18947466525
439,99955.46175350995
440,99948.86536972283
441,99955.10729163075
442,99946.01271051873
443,99944.97164615817
444,99946.59217087035
445,99950.51089426527
446,99958.15012811513
447,99958.84030200081
448,99959.67065350623
449,99955.11532729048
450,99961.29742817598
451,99962.25635023708
452,99958.78583808486
453,99954.12247688831
454,99952.73320060612
455,99957.61352461539
456,99955.92871462536
457,99954.40551068101
458,99967.48577901904
459,99968.84291266231
460,99964.347407469
461,99966.4482860628
462,99969.0982680715
463,99969.04380415555
464,99971.18486104802
465,99964.3286575963
466,99961.73760375896
467,99962.25724308816
468,99959.83047384974
469,99966.11614546065
470,99969.400944588
471,99967.2375664185
472,99963.38580685465
473,99962.25813593924
474,99963.31080736384
475,99961.72331814167
476,99959.9358302773
477,99967.65095646905
478,99969.2214815207
479,99968.32684473743
480,99963.05902335898
481,99962.98938097466
482,99962.25724308816
483,99952.67337958369
484,99952.3662388118
485,99947.33323726767
486,99933.54047376692
487,99929.57353641362
488,99936.36277603426
489,99939.72168180134
490,99935.95831449452
491,99932.25923246556
492,99925.71731259438
493,99931.48691628041
494,99936.18777722237
495,99937.48687554536
496,99934.85742911154
497,99933.36279640178
498,99930.5333513258
499,99931.36548853338
500,99933.93600679585
501,99941.69577554164
502,99940.48864088
503,99942.67344747543
504,99939.50025473323
505,99942.61273360191
506,99939.93775176296
507,99941.01720872
508,99936.18688437129
509,99936.1243847956
510,99934.82707217478
511,99927.13783866439
512,99929.65746441524
513,99933.68600849314
514,99935.38242554721
515,99936.63330991183
516,99930.53245847471
517,99931.35566717149
518,99935.65028087154
519,99934.76010834369
520,99933.47886704233
521,99932.61012294042
522,99935.10742741424
523,99934.75653693937
524,99934.76100119478
525,99939.7422173762
526,99934.76100119478
527,99934.2217191418
528,99938.27972730537
529,99939.9359660608
530,99938.31365564645
531,99941.92970252488
532,99941.35559927973
533,99941.61006183786
534,99943.6859406014
535,99947.73948450957
536,99949.5796505877
537,99952.45820247315
538,99955.68318057805
539,99954.38318940399
540,99950.9296414223
541,99946.54127835874
542,99943.26005063571
543,99937.2583056686
544,99931.89941347987
545,99930.72888571255
546,99917.6780814602
547,99923.86553945218
548,99922.67804751433
549,99928.5119364782
550,99931.20656104095
551,99938.29937002916
552,99945.77967638656
553,99939.33239872998
554,99943.65201226031
555,99942.67344747543
556,99938.3582982005
557,99942.41273495975
558,99946.4582432082
559,99948.86358402066
560,99946.22074482062
561,99941.63506166812
562,99940.30560640838
563,99948.7296563585
564,99948.86358402066
565,99948.83411993498
566,99942.69934015679
567,99944.22165125005
568,99940.06275091431
569,99941.31809953433
570,99941.31720668325
571,99940.27882087594
572,99936.1904557756
573,99934.04314892557
574,99952.67337958369
575,99959.85547368001
576,99946.92252577037
577,99955.83585811293
578,99956.24389105699
579,99965.82864741253
580,99964.55633462197
581,99965.39740034036
582,99984.58923432848
583,99977.02857137378
584,99975.65000930456
585,99978.10534977757
586,99984.57673441335
587,99985.00262437903
588,99979.92855168517
589,99979.15891405327
590,99971.48039475585
591,99971.74110727153
592,99971.13486138747
593,99971.89646335965
594,99971.21611083586
595,99971.1857538991
596,99972.66967239587
597,99967.51077884932
598,99970.03040460015
599,99972.66967239587
600,99980.13747883815
601,99979.53480435841
602,99978.15267088487
603,99977.97320781757
604,99978.68570298029
605,99979.09552162651
606,100001.65697559468
607,100003.14892975119
608,100002.25697152117
609,99987.25707335879
610,99990.13562524423
611,99993.0043557678
612,99987.72224877204
613,99984.65798386173
614,99998.11146395166
615,100000.72751761926
616,100006.10069542528
617,100000.86501668576
618,99997.82485875463
619,100000.64358961764
620,100006.14176657502
621,99997.97128633193
622,99993.32846071024
623,99990.38562354694
624,100000.1444858633
625,99994.69184431106
626,99988.38206572097
627,99991.18740381778
628,99986.0338673777
629,99991.18651096668
630,99991.28115318129
631,99998.02128599246
632,99992.28828920076
633,99992.61507269644
634,99989.57580761639
635,99993.0561411305
636,99995.3561255154
637,99993.5713162043
638,99994.60791630944
639,99994.60791630944
640,99985.61869162499
641,99988.78384870746
642,99985.01423144309
643,99989.04277552098
644,99982.2749643263
645,99981.4338986079
646,99979.46962622949
647,99983.11067293819
648,99979.82498095976
649,99983.03745914955
650,99970.8643275099
651,99966.19471635578
652,99966.70185576985
653,99965.7688263901
654,99964.545620409
655,99966.27596580416
656,99972.66967239587
657,99978.04195735083
658,99981.94103802196
659,99990.11330396721
660,99998.32842676436
661,100001.54269065631
662,100002.19625764767
663,100004.22213675066
664,100000.6882321717
665,100006.89979714286
666,100014.93545687271
667,100015.38098956218
668,100018.06043565655
669,100004.73374042014
670,100005.73998358853
671,100024.75592591368
672,100014.50420980055
673,100038.82458039848
674,100041.68259670906
675,100029.89339103429
676,100028.4621507513
677,100027.8951903148
678,100030.01214022808
679,100025.6327056753
680,100022.35951361201
681,100024.27825058528
682,100024.37378565097
683,100033.3737245484
684,100041.1843858058
685,100081.00197261828
686,100078.32788363041
687,100081.6247331732
688,100082.45823685787
689,100082.83460563328
690,100083.29987348801
691,100083.01472749062
692,100083.27853770897
693,100083.15964304972
694,100083.23157769282
695,100082.99224919101
696,100082.81223760708
697,100082.8364232006
698,100082.8266828611
699,100083.37783831988
700,100083.03900670903
701,100082.5643158317
702,100081.99848181735
703,100082.17791014742
704,100082.38547075549
705,100082.45736651501
706,100082.2299558338
707,100082.00798885532
708,100082.09384382397
709,100081.99535168828
710,100081.76222511922
711,100081.73638697309
712,100081.61946401534
713,100081.49114816547
714,100081.93840666946
715,100081.9169234855
716,100081.50273547556
717,100081.76726054425
718,100081.94515297248
719,100081.8385536081
720,100081.9808675507
721,100082.15216921027
722,100082.16189010798
723,100082.2418736544
724,100082.09775162484
725,100082.26084884675
726,100082.28466504616
727,100082.2095419486
728,100082.38461531649
729,100082.62481869909
730,100082.62194131337
731,100082.56542401403
732,100082.46671801861
733,100082.41465289044
734,100082.03114403368
735,100081.71200696162
736,100081.614934077
737,100081.85888972614
738,100082.2712890909
739,100082.63430629527
740,100082.37464167543
741,100082.49339216195
742,100082.12504790563
743,100081.97622096159
744,100081.57420351557
745,100081.66561883771
746,100081.88301699427
747,100081.83122405123
748,100081.37968835224
749,100081.68556611982
750,100081.65057088804
751,100081.77414293983
752,100082.14585062675
753,100082.08009847459
754,100081.78001436206
755,100081.9135211713
756,100082.09526307503
757,100081.98108141044
758,100081.69326507082
759,100082.09771274125
760,100082.04642528489
761,100081.97377129535
762,100081.79434296528
763,100081.6971923135
764,100081.64954047289
765,100081.79988387699
766,100081.46569885525
767,100081.6891045266
768,100081.73912826624
769,100081.96609178616
770,100081.9071248206
771,100081.89703452877
772,100081.83194339766
773,100081.6656771631
774,100081.59224550174
775,100081.56003044671
776,100081.43258947763
777,100081.27079485601
778,100081.14119584764
779,100080.84048959766
780,100080.89335183943
781,100080.67029612041
782,100080.65903932086
783,100081.09570204632
784,100081.33440841068
785,100081.42809842288
786,100081.4919258373
787,100081.37150335636
788,100081.42930381419
789,100081.42734019285
790,100081.4659710404
791,100081.55077615207
792,100081.75361240385
793,100081.27730785748
794,100081.5625773219
795,100081.54506026422
796,100081.78384439574
797,100081.67217072277
798,100081.57084008497
799,100081.41062024879
800,100081.5446714283
801,100081.4833714473
802,100081.50011083318
803,100081.39391974651
804,100081.23062810664
805,100081.27621911695
806,100081.23729664247
807,100081.24752302688
808,100081.25354998346
809,100081.21659113035
810,100081.16652850709
811,100081.19421362379
812,100081.2802824522
813,100081.50281324274
814,100081.56893478901
815,100081.53559210984
816,100081.31796065174
817,100081.55610320403
818,100081.75096831967
819,100081.60338565052
820,100081.94050638337
821,100081.81502903563
822,100081.90323646151
823,100082.30768413196
824,100082.3134000198
825,100082.23777143557
826,100082.31822158508
827,100082.50929555061
828,100082.442921261
829,100082.57644751205
830,100082.67019584963
831,100082.45810530323
832,100082.01218828313
833,100081.92127844768
834,100081.43235617608
835,100080.98397004796
836,100081.37700538448
837,100081.1528609249
838,100081.71875326463
839,100081.67467871438
840,100082.12975282012
841,100082.0263807938
842,100081.79838685873
843,100081.6707320299
844,100081.58522701358
845,100081.48566557917
846,100082.06172597791
847,100082.52881511323
848,100082.32543449118
849,100082.36600951826
850,100082.21554946339
851,100082.08620319836
852,100082.51819989292
853,100082.52986497019
854,100082.52156332353
855,100082.8909768786
856,100082.79709244844
857,100083.04647235849
858,100083.46485979625
859,100083.52347680948
860,100083.79838379694
861,100083.66816265111
862,100083.41100602288
863,100083.48896762259
864,100083.33421093092
865,100083.29629942983
866,100083.23869338995
867,100083.12423954022
868,100083.33829370796
869,100083.26375386426
870,100083.2376046494
871,100083.16749753506
872,100083.38689819655
873,100083.25257483189
874,100083.71521179606
875,100084.0749238952
876,100083.93612891759
877,100084.24432025883
878,100084.73160941961
879,100084.49298082244
880,100084.27651587207
881,100084.07966769328
882,100084.36690077904
883,100084.074943337
884,100083.97345716483
885,100084.03646802383
886,100083.94270024444
887,100083.83818115218
888,100083.98216708918
889,100083.94271968624
890,100084.26452028428
891,100083.9897105058
892,100084.14854997452
893,100084.20555331872
894,100084.30795325528
895,100084.17763490048
896,100084.44241271251
897,100084.0574846047
898,100083.78526058502
899,100083.87115443725
900,100083.80411912658
901,100083.91557893982
902,100083.70710456737
903,100083.77021263535
904,100083.75092637428
905,100083.76371907568
906,100083.86304720855
907,100083.8513626895
908,100083.83240693895
909,100083.8309099207
910,100084.14063716377
911,100083.90193079942
912,100083.97110470758
913,100084.21299952638
914,100084.18624761586
915,100083.62572121168
916,100083.40947012106
917,100083.70638522094
918,100083.82569951953
919,100084.03411556658
920,100084.15479079085
921,100084.06135352199
922,100084.37493024056
923,100084.43018382319
924,100084.54586250603
925,100084.50285725453
926,100084.4680175571
927,100084.29076670812
928,100084.14440887209
929,100084.30649512063
930,100084.36690077904
931,100084.50266283657
932,100085.10154790315
933,100085.08788032096
934,100084.9705879691
935,100084.98855218808
936,100085.08667492964
937,100085.04158940603
938,100085.03964522648
939,100084.7674600904
940,100084.67960261682
941,100084.48745935253
942,100084.36688133725
943,100084.01856213024
944,100084.15479079085
945,100084.11190219012
946,100084.045100181
947,100083.85449281856
948,100083.86013093924
949,100083.79643961739
950,100083.65554492587
951,100083.65317302683
952,100083.65807235928
953,100083.45432234312
954,100083.72565204022
955,100083.68233571998
956,100083.7879046692
957,100083.79568138738
958,100083.7644773057
959,100083.76581878959
960,100083.46390714827
961,100083.0719605523
962,100083.30644804703
963,100083.35876591856
964,100083.29398585617
965,100083.88974079369
966,100084.06423090771
967,100084.33573558096
968,100084.64239102036
969,100084.21299952638
970,100084.06164514892
971,100083.92139203665
972,100083.91538452187
973,100083.64281054986
974,100083.2585045795
975,100083.2193488035
976,100083.23219983028
