bar,side,px,notional,fee,kind
2513,SELL,117577.58,10000.0,2.0,GRID
2938,SELL,118067.1,500.0,0.1,GRID
3187,BUY,116598.56,10000.0,2.0,GRID
3193,BUY,116109.04,634.53,0.1269,GRID
4524,SELL,116504.69,226.51,0.1359,FLAT
4605,SELL,116913.28,8573.75,1.7147,GRID
4625,BUY,116577.72,10000.0,2.0,GRID
4627,BUY,116409.93,10000.0,2.0,GRID
5481,SELL,109480.0,10767.22,6.4603,FLAT
5538,SELL,110286.9,8752.35,1.7505,GRID
5559,BUY,109776.18,10000.0,2.0,GRID
5563,SELL,110542.27,10000.0,2.0,GRID
5637,BUY,109520.81,10000.0,2.0,GRID
17800,SELL,121399.98,1527.01,0.9162,FLAT
17848,BUY,121656.92,8013.16,1.6026,GRID
17852,BUY,121397.11,6986.84,1.3974,GRID
17884,SELL,122176.54,10000.0,2.0,GRID
17959,SELL,122436.35,10000.0,2.0,GRID
18661,BUY,117061.04,4694.55,2.8167,FLAT
18804,BUY,111957.48,8991.62,1.7983,GRID
18804,BUY,111525.48,6008.38,1.2017,GRID
19186,SELL,112821.48,10000.0,2.0,GRID
19189,SELL,113253.48,10000.0,2.0,GRID
20383,BUY,108284.45,4628.7,2.7772,FLAT
20449,BUY,107962.54,9067.72,1.8135,GRID
20452,SELL,108412.58,10000.0,2.0,GRID
20455,SELL,108637.6,10000.0,2.0,GRID
20526,BUY,107737.52,10000.0,2.0,GRID
20559,BUY,105232.45,787.32,0.4724,FLAT
20633,SELL,106155.17,10000.0,2.0,GRID
20639,SELL,106828.59,3579.9,0.716,GRID
21409,BUY,111070.23,14185.05,8.511,FLAT
21463,SELL,111140.41,8375.61,1.6751,GRID
21467,BUY,110787.73,10000.0,2.0,GRID
21470,BUY,110611.39,10000.0,2.0,GRID
21489,SELL,111316.75,10000.0,2.0,GRID
21789,SELL,113377.25,1754.51,1.0527,FLAT
21865,BUY,110421.34,9160.12,1.832,GRID
21868,BUY,109995.48,5839.88,1.168,GRID
21885,SELL,108524.67,14764.57,8.8587,FLAT
21973,BUY,107769.09,9559.97,1.912,GRID
21980,SELL,108190.95,10000.0,2.0,GRID
22020,BUY,107558.16,10000.0,2.0,GRID
22046,SELL,108401.88,10000.0,2.0,GRID
