i,equity
0,100000.0
1,100000.0
2,100000.0
3,100000.0
4,100000.0
5,100000.0
6,100000.0
7,100000.0
8,100000.0
9,100000.0
10,100000.0
11,100000.0
12,100000.0
13,100000.0
14,100000.0
15,100000.0
16,100000.0
17,100000.0
18,100000.0
19,100000.0
20,100000.0
21,100000.0
22,100000.0
23,100000.0
24,100000.0
25,100000.0
26,100000.0
27,100000.0
28,100000.0
29,100000.0
30,100000.0
31,100000.0
32,100000.0
33,100000.0
34,100000.0
35,100000.0
36,100000.0
37,100000.0
38,100000.0
39,100000.0
40,100000.0
41,100000.0
42,100000.0
43,100000.0
44,100000.0
45,100000.0
46,100000.0
47,100000.0
48,100000.0
49,100000.0
50,100000.0
51,100000.0
52,100000.0
53,100000.0
54,100000.0
55,100000.0
56,100000.0
57,100000.0
58,100000.0
59,100000.0
60,100000.0
61,100000.0
62,100000.0
63,100000.0
64,100000.0
65,100000.0
66,100000.0
67,100000.0
68,100000.0
69,100000.0
70,100000.0
71,100000.0
72,100000.0
73,100000.0
74,100000.0
75,100000.0
76,100000.0
77,100000.0
78,100000.0
79,100000.0
80,100000.0
81,100000.0
82,100000.0
83,100000.0
84,100000.0
85,100000.0
86,100000.0
87,100000.0
88,100000.0
89,100000.0
90,100000.0
91,100000.0
92,100000.0
93,100000.0
94,100000.0
95,100000.0
96,100000.0
97,100000.0
98,100000.0
99,100000.0
100,100000.0
101,100000.0
102,100000.0
103,100000.0
104,100000.0
105,100000.0
106,100000.0
107,100000.0
108,100000.0
109,100000.0
110,100000.0
111,100000.0
112,100000.0
113,100000.0
114,100000.0
115,100000.0
116,100000.0
117,100000.0
118,100000.0
119,100000.0
120,100000.0
121,100000.0
122,100000.0
123,100000.0
124,100000.0
125,100000.0
126,100000.0
127,100000.0
128,100000.0
129,100000.0
130,100000.0
131,100000.0
132,100000.0
133,100000.0
134,100000.0
135,100000.0
136,100000.0
137,100000.0
138,100000.0
139,100000.0
140,100000.0
141,100000.0
142,100000.0
143,100000.0
144,100000.0
145,100000.0
146,100000.0
147,100000.0
148,100000.0
149,100000.0
150,100000.0
151,100000.0
152,100000.0
153,99651.6287811776
154,99650.17584516383
155,99646.46374454704
156,99628.80432047468
157,99646.26757662828
158,99655.09944435587
159,99644.98278454489
160,99640.31786832264
161,99613.09579713295
162,99617.56885681926
163,99623.58323586734
164,99615.43903370114
165,99620.41868086999
166,99611.10393826541
167,99568.75539129226
168,99772.01532951665
169,99823.35650808198
170,99555.27759795725
171,99403.4033442876
172,99388.6340193517
173,99388.6340193517
174,99388.6340193517
175,99388.6340193517
176,99388.6340193517
177,99388.6340193517
178,99388.6340193517
179,99388.6340193517
180,99388.6340193517
181,99388.6340193517
182,99388.6340193517
183,99388.6340193517
184,99388.6340193517
185,99388.6340193517
186,99388.6340193517
187,99388.6340193517
188,99388.6340193517
189,99388.6340193517
190,99388.6340193517
191,99388.6340193517
192,99388.6340193517
193,99388.6340193517
194,99388.6340193517
195,99388.6340193517
196,99388.6340193517
197,99388.6340193517
198,99388.6340193517
199,99388.6340193517
200,99388.6340193517
201,99388.6340193517
202,99388.6340193517
203,99388.6340193517
204,99388.6340193517
205,99388.6340193517
206,99388.6340193517
207,99388.6340193517
208,99388.6340193517
209,99388.6340193517
210,99388.6340193517
211,99388.6340193517
212,99388.6340193517
213,99388.6340193517
214,99388.6340193517
215,99388.6340193517
216,99388.6340193517
217,99388.6340193517
218,99388.6340193517
219,99388.6340193517
220,99388.6340193517
221,99388.6340193517
222,99388.6340193517
223,99388.6340193517
224,99388.6340193517
225,99388.6340193517
226,99388.6340193517
227,99388.6340193517
228,99388.6340193517
229,99388.6340193517
230,99388.6340193517
231,99388.6340193517
232,99388.6340193517
233,99388.6340193517
234,99388.6340193517
235,99388.6340193517
236,99388.6340193517
237,99388.6340193517
238,99388.6340193517
239,99388.6340193517
240,99388.6340193517
241,99388.6340193517
242,99388.6340193517
243,99388.6340193517
244,99388.6340193517
245,99388.6340193517
246,99388.6340193517
247,99388.6340193517
248,99388.6340193517
249,99388.6340193517
250,99388.6340193517
251,99388.6340193517
252,99388.6340193517
253,99388.6340193517
254,99388.6340193517
255,99388.6340193517
256,99388.6340193517
257,99388.6340193517
258,99388.6340193517
259,99388.6340193517
260,99388.6340193517
261,99388.6340193517
262,99388.6340193517
263,99388.6340193517
264,99388.6340193517
265,99388.6340193517
266,99388.6340193517
267,99388.6340193517
268,99388.6340193517
269,99388.6340193517
270,99388.6340193517
271,99388.6340193517
272,99388.6340193517
273,99388.6340193517
274,99388.6340193517
275,99388.6340193517
276,99388.6340193517
277,99388.6340193517
278,99388.6340193517
279,99388.6340193517
280,99388.6340193517
281,99388.6340193517
282,99388.6340193517
283,99388.6340193517
284,99388.6340193517
285,99388.6340193517
286,99388.6340193517
287,99388.6340193517
288,99388.6340193517
289,99388.6340193517
290,99388.6340193517
291,99388.6340193517
292,99388.6340193517
293,99388.6340193517
294,99388.6340193517
295,99388.6340193517
296,99388.6340193517
297,99388.6340193517
298,99388.6340193517
299,99388.6340193517
300,99388.6340193517
301,99388.6340193517
302,99388.6340193517
303,99388.6340193517
304,99388.6340193517
305,99388.6340193517
306,99388.6340193517
307,99388.6340193517
308,99388.6340193517
309,99388.6340193517
310,99388.6340193517
311,99388.6340193517
312,99388.6340193517
313,99388.6340193517
314,99388.6340193517
315,99388.6340193517
316,99388.6340193517
317,99388.6340193517
318,99388.6340193517
319,99388.6340193517
320,99388.6340193517
321,99388.6340193517
322,99388.6340193517
323,99388.6340193517
324,99388.6340193517
325,99388.6340193517
326,99388.6340193517
327,99388.6340193517
328,99388.6340193517
329,99388.6340193517
330,99388.6340193517
331,99388.6340193517
332,99388.6340193517
333,99388.6340193517
334,99388.6340193517
335,99388.6340193517
336,99388.6340193517
337,99388.6340193517
338,99388.6340193517
339,99388.6340193517
340,99388.6340193517
341,99388.6340193517
342,99388.6340193517
343,99388.6340193517
344,99388.6340193517
345,99388.6340193517
346,99388.6340193517
347,99388.6340193517
348,99388.6340193517
349,99388.6340193517
350,99388.6340193517
351,99388.6340193517
352,99388.6340193517
353,99388.6340193517
354,99388.6340193517
355,99388.6340193517
356,99388.6340193517
357,99388.6340193517
358,99388.6340193517
359,99388.6340193517
360,99388.6340193517
361,99388.6340193517
362,99388.6340193517
363,99388.6340193517
364,99388.6340193517
365,99388.6340193517
366,99388.6340193517
367,99388.6340193517
368,99388.6340193517
369,99388.6340193517
370,99388.6340193517
371,99388.6340193517
372,99388.6340193517
373,99388.6340193517
374,99388.6340193517
375,99388.6340193517
376,99388.6340193517
377,99388.6340193517
378,99388.6340193517
379,99388.6340193517
380,99388.6340193517
381,99388.6340193517
382,99388.6340193517
383,99388.6340193517
384,99388.6340193517
385,99388.6340193517
386,99388.6340193517
387,99388.6340193517
388,99388.6340193517
389,99388.6340193517
390,99388.6340193517
391,99388.6340193517
392,99388.6340193517
393,99388.6340193517
394,99388.6340193517
395,99388.6340193517
396,99388.6340193517
397,99388.6340193517
398,99388.6340193517
399,99388.6340193517
400,99388.6340193517
401,99388.6340193517
402,99388.6340193517
403,99388.6340193517
404,99388.6340193517
405,99388.6340193517
406,99388.6340193517
407,99388.6340193517
408,99388.6340193517
409,99388.6340193517
410,99388.6340193517
411,99388.6340193517
412,99388.6340193517
413,99388.6340193517
414,99388.6340193517
415,99388.6340193517
416,99388.6340193517
417,99388.6340193517
418,99388.6340193517
419,99388.6340193517
420,99388.6340193517
421,99388.6340193517
422,99388.6340193517
423,99388.6340193517
424,99388.6340193517
425,99388.6340193517
426,99388.6340193517
427,99388.6340193517
428,99388.6340193517
429,99388.6340193517
430,99388.6340193517
431,99388.6340193517
432,99388.6340193517
433,99388.6340193517
434,99388.6340193517
435,99388.6340193517
436,99388.6340193517
437,99388.6340193517
438,99388.6340193517
439,99388.6340193517
440,99388.6340193517
441,99388.6340193517
442,99388.6340193517
443,99388.6340193517
444,99388.6340193517
445,99388.6340193517
446,99388.6340193517
447,99388.6340193517
448,99388.6340193517
449,99388.6340193517
450,99388.6340193517
451,99388.6340193517
452,99388.6340193517
453,99388.6340193517
454,99388.6340193517
455,99388.6340193517
456,99388.6340193517
457,99388.6340193517
458,99388.6340193517
459,99388.6340193517
460,99388.6340193517
461,99388.6340193517
462,99388.6340193517
463,99388.6340193517
464,99388.6340193517
465,99388.6340193517
466,99388.6340193517
467,99388.6340193517
468,99388.6340193517
469,99388.6340193517
470,99388.6340193517
471,99388.6340193517
472,99388.6340193517
473,99388.6340193517
474,99388.6340193517
475,99388.6340193517
476,99388.6340193517
477,99388.6340193517
478,99388.6340193517
479,99388.6340193517
480,99388.6340193517
481,99388.6340193517
482,99388.6340193517
483,99388.6340193517
484,99388.6340193517
485,99388.6340193517
486,99388.6340193517
487,99388.6340193517
488,99388.6340193517
489,99388.6340193517
490,99388.6340193517
491,99388.6340193517
492,99388.6340193517
493,99388.6340193517
494,99388.6340193517
495,99388.6340193517
496,99388.6340193517
497,99388.6340193517
498,99388.6340193517
499,99388.6340193517
500,99388.6340193517
501,99388.6340193517
502,99388.6340193517
503,99388.6340193517
504,99388.6340193517
505,99388.6340193517
506,99388.6340193517
507,99388.6340193517
508,99388.6340193517
509,99388.6340193517
510,99388.6340193517
511,99388.6340193517
512,99388.6340193517
513,99388.6340193517
514,99388.6340193517
515,99388.6340193517
516,99388.6340193517
517,99388.6340193517
518,99388.6340193517
519,99388.6340193517
520,99388.6340193517
521,99388.6340193517
522,99388.6340193517
523,99388.6340193517
524,99388.6340193517
525,99388.6340193517
526,99388.6340193517
527,99388.6340193517
528,99388.6340193517
529,99388.6340193517
530,99388.6340193517
531,99388.6340193517
532,99388.6340193517
533,99388.6340193517
534,99388.6340193517
535,99388.6340193517
536,99388.6340193517
537,99388.6340193517
538,99388.6340193517
539,99388.6340193517
540,99388.6340193517
541,99388.6340193517
542,99388.6340193517
543,99388.6340193517
544,99388.6340193517
545,99388.6340193517
546,99388.6340193517
547,99388.6340193517
548,99388.6340193517
549,99388.6340193517
550,99388.6340193517
551,99388.6340193517
552,99388.6340193517
553,99388.6340193517
554,99388.6340193517
555,99388.6340193517
556,99388.6340193517
557,99388.6340193517
558,99388.6340193517
559,99388.6340193517
560,99388.6340193517
561,99388.6340193517
562,99388.6340193517
563,99388.6340193517
564,99388.6340193517
565,99388.6340193517
566,99388.6340193517
567,99388.6340193517
568,99388.6340193517
569,99388.6340193517
570,99388.6340193517
571,99388.6340193517
572,99388.6340193517
573,99388.6340193517
574,99388.6340193517
575,99388.6340193517
576,99388.6340193517
577,99388.6340193517
578,99388.6340193517
579,99388.6340193517
580,99388.6340193517
581,99388.6340193517
582,99388.6340193517
583,99388.6340193517
584,99388.6340193517
585,99388.6340193517
586,99388.6340193517
587,99388.6340193517
588,99388.6340193517
589,99388.6340193517
590,99388.6340193517
591,99388.6340193517
592,99388.6340193517
593,99388.6340193517
594,99388.6340193517
595,99388.6340193517
596,99388.6340193517
597,99388.6340193517
598,99388.6340193517
599,99388.6340193517
600,99388.6340193517
601,99388.6340193517
602,99388.6340193517
603,99388.6340193517
604,99388.6340193517
605,99388.6340193517
606,99388.6340193517
607,99388.6340193517
608,99388.6340193517
609,99388.6340193517
610,99388.6340193517
611,99388.6340193517
612,99388.6340193517
613,99388.6340193517
614,99388.6340193517
615,99388.6340193517
616,99248.18759054189
617,99230.41888596484
618,99212.32121959122
619,99213.3343265734
620,99245.94325678964
621,99245.94325678964
622,99245.94325678964
623,99245.94325678964
624,99245.94325678964
625,99245.94325678964
626,99245.94325678964
627,99245.94325678964
628,99245.94325678964
629,99245.94325678964
630,99245.94325678964
631,99245.94325678964
632,99245.94325678964
633,99245.94325678964
634,99245.94325678964
635,99245.94325678964
636,99245.94325678964
637,99245.94325678964
638,99245.94325678964
639,99245.94325678964
640,99245.94325678964
641,99245.94325678964
642,99245.94325678964
643,99245.94325678964
644,99245.94325678964
645,99245.94325678964
646,99245.94325678964
647,99245.94325678964
648,99245.94325678964
649,99245.94325678964
650,99245.94325678964
651,99245.94325678964
652,99245.94325678964
653,99245.94325678964
654,99245.94325678964
655,99245.94325678964
656,99245.94325678964
657,99245.94325678964
658,99245.94325678964
659,99245.94325678964
660,99245.94325678964
661,99245.94325678964
662,99245.94325678964
663,99245.94325678964
664,99245.94325678964
665,99245.94325678964
666,99245.94325678964
667,99245.94325678964
668,99245.94325678964
669,99245.94325678964
670,99245.94325678964
671,99245.94325678964
672,99245.94325678964
673,99245.94325678964
674,99245.94325678964
675,99245.94325678964
676,99245.94325678964
677,99245.94325678964
678,99245.94325678964
679,99245.94325678964
680,99245.94325678964
681,99245.94325678964
682,99245.94325678964
683,99245.94325678964
684,99245.94325678964
685,99245.94325678964
686,99245.94325678964
687,99245.94325678964
688,99245.94325678964
689,99245.94325678964
690,99245.94325678964
691,99245.94325678964
692,99245.94325678964
693,99245.94325678964
694,99245.94325678964
695,99245.94325678964
696,99245.94325678964
697,99245.94325678964
698,99245.94325678964
699,99245.94325678964
700,99245.94325678964
701,99245.94325678964
702,99245.94325678964
703,99245.94325678964
704,99245.94325678964
705,99245.94325678964
706,99245.94325678964
707,99245.94325678964
708,99245.94325678964
709,99245.94325678964
710,99245.94325678964
711,99245.94325678964
712,99245.94325678964
713,99245.94325678964
714,99245.94325678964
715,99245.94325678964
716,99245.94325678964
717,99245.94325678964
718,99245.94325678964
719,99245.94325678964
720,99245.94325678964
721,99245.94325678964
722,99245.94325678964
723,99245.94325678964
724,99245.94325678964
725,99245.94325678964
726,99245.94325678964
727,99245.94325678964
728,99245.94325678964
729,99245.94325678964
730,99245.94325678964
731,99245.94325678964
732,99245.94325678964
733,99245.94325678964
734,99245.94325678964
735,99245.94325678964
736,99245.94325678964
737,99245.94325678964
738,99245.94325678964
739,99245.94325678964
740,99245.94325678964
741,99245.94325678964
742,99245.94325678964
743,99245.94325678964
744,99245.94325678964
745,99245.94325678964
746,99245.94325678964
747,99245.94325678964
748,99245.94325678964
749,99245.94325678964
750,99245.94325678964
751,99245.94325678964
752,99245.94325678964
753,99245.94325678964
754,99245.94325678964
755,99245.94325678964
756,99245.94325678964
757,99245.94325678964
758,99245.94325678964
759,99245.94325678964
760,99245.94325678964
761,99245.94325678964
762,99245.94325678964
763,99245.94325678964
764,99245.94325678964
765,99245.94325678964
766,99245.94325678964
767,99245.94325678964
768,99245.94325678964
769,99245.94325678964
770,99245.94325678964
771,99245.94325678964
772,99245.94325678964
773,99245.94325678964
774,99245.94325678964
775,99245.94325678964
776,99245.94325678964
777,99245.94325678964
778,99245.94325678964
779,99245.94325678964
780,99245.94325678964
781,99245.94325678964
782,99245.94325678964
783,99245.94325678964
784,99245.94325678964
785,99245.94325678964
786,99245.94325678964
787,99245.94325678964
788,99245.94325678964
789,99245.94325678964
790,99245.94325678964
791,99245.94325678964
792,99245.94325678964
793,99245.94325678964
794,99245.94325678964
795,99245.94325678964
796,99245.94325678964
797,99245.94325678964
798,99245.94325678964
799,99245.94325678964
800,99245.94325678964
801,99245.94325678964
802,99245.94325678964
803,99245.94325678964
804,99245.94325678964
805,99245.94325678964
806,99245.94325678964
807,99245.94325678964
808,99245.94325678964
809,99245.94325678964
810,99245.94325678964
811,99245.94325678964
812,99245.94325678964
813,99245.94325678964
814,99245.94325678964
815,99245.94325678964
816,99245.94325678964
817,99245.94325678964
818,99245.94325678964
819,99245.94325678964
820,99245.94325678964
821,99245.94325678964
822,99245.94325678964
823,99245.94325678964
824,99245.94325678964
825,99245.94325678964
826,99245.94325678964
827,99245.94325678964
828,99245.94325678964
829,99245.94325678964
830,99245.94325678964
831,99245.94325678964
832,99245.94325678964
833,99245.94325678964
834,99245.94325678964
835,99245.94325678964
836,99245.94325678964
837,99245.94325678964
838,99245.94325678964
839,99245.94325678964
840,99245.94325678964
841,99245.94325678964
842,99245.94325678964
843,99245.94325678964
844,99245.94325678964
845,99245.94325678964
846,99245.94325678964
847,99245.94325678964
848,99245.94325678964
849,99245.94325678964
850,99245.94325678964
851,99245.94325678964
852,99245.94325678964
853,99245.94325678964
854,99245.94325678964
855,99245.94325678964
856,99245.94325678964
857,99245.94325678964
858,99245.94325678964
859,99245.94325678964
860,99245.94325678964
861,99245.94325678964
862,99245.94325678964
863,99245.94325678964
864,99245.94325678964
865,99245.94325678964
866,99245.94325678964
867,99245.94325678964
868,99245.94325678964
869,99245.94325678964
870,99245.94325678964
871,99245.94325678964
872,99245.94325678964
873,99245.94325678964
874,99245.94325678964
875,99245.94325678964
876,99245.94325678964
877,99245.94325678964
878,99245.94325678964
879,99245.94325678964
880,99245.94325678964
881,99245.94325678964
882,99245.94325678964
883,99245.94325678964
884,99245.94325678964
885,99245.94325678964
886,99245.94325678964
887,99245.94325678964
888,99245.94325678964
889,99245.94325678964
890,99245.94325678964
891,99245.94325678964
892,99245.94325678964
893,99245.94325678964
894,99245.94325678964
895,99245.94325678964
896,99245.94325678964
897,99245.94325678964
898,99245.94325678964
899,99245.94325678964
900,99245.94325678964
901,99245.94325678964
902,99245.94325678964
903,99245.94325678964
904,99245.94325678964
905,99245.94325678964
906,99245.94325678964
907,99245.94325678964
908,99245.94325678964
909,99245.94325678964
910,99245.94325678964
911,99245.94325678964
912,99245.94325678964
913,99245.94325678964
914,99245.94325678964
915,99245.94325678964
916,99245.94325678964
917,99245.94325678964
918,99245.94325678964
919,99245.94325678964
920,99245.94325678964
921,99245.94325678964
922,99245.94325678964
923,99245.94325678964
924,99245.94325678964
925,99245.94325678964
926,99245.94325678964
927,99245.94325678964
928,99245.94325678964
929,99245.94325678964
930,99245.94325678964
931,99245.94325678964
932,99245.94325678964
933,99245.94325678964
934,99245.94325678964
935,99245.94325678964
936,99245.94325678964
937,99245.94325678964
938,99245.94325678964
939,99245.94325678964
940,99245.94325678964
941,99245.94325678964
942,99245.94325678964
943,99245.94325678964
944,99245.94325678964
945,99245.94325678964
946,99245.94325678964
947,99245.94325678964
948,99245.94325678964
949,99245.94325678964
950,99245.94325678964
951,99245.94325678964
952,99245.94325678964
953,99245.94325678964
954,99245.94325678964
955,99245.94325678964
956,99245.94325678964
957,99217.49157768676
958,99311.44523414061
959,99298.3793789031
960,99329.6217289395
961,99343.03949050048
962,99412.16775540738
963,99440.30426554341
964,99445.6041880515
965,99402.38369323197
966,99458.37678801945
967,99456.01475012097
968,99461.74922361942
969,99493.94325678964
970,99477.77439847281
971,99459.11749611274
972,99465.55646817366
973,99479.53213064671
974,99479.53213064671
975,99479.53213064671
976,99479.53213064671
977,99479.53213064671
978,99479.53213064671
979,99479.53213064671
980,99479.53213064671
981,99479.53213064671
982,99479.53213064671
983,99479.53213064671
984,99479.53213064671
985,99479.53213064671
986,99479.53213064671
987,99479.53213064671
988,99479.53213064671
989,99479.53213064671
990,99479.53213064671
991,99479.53213064671
992,99479.53213064671
993,99479.53213064671
994,99479.53213064671
995,99479.53213064671
996,99479.53213064671
997,99479.53213064671
998,99479.53213064671
999,99479.53213064671
1000,99479.53213064671
1001,99479.53213064671
1002,99479.53213064671
1003,99479.53213064671
1004,99479.53213064671
1005,99479.53213064671
1006,99479.53213064671
1007,99479.53213064671
1008,99479.53213064671
1009,99479.53213064671
1010,99479.53213064671
1011,99479.53213064671
1012,99479.53213064671
1013,99479.53213064671
1014,99479.53213064671
