i,equity
0,100000.0
1,100000.0
2,100000.0
3,99997.25453573001
4,100003.37734594653
5,100000.68387033799
6,99998.65583805827
7,100002.9234544593
8,100007.41542555115
9,100008.12445953321
10,100011.73272920029
11,100015.45683416969
12,100012.61734511428
13,100014.68622457955
14,100010.04458208394
15,100007.99673587093
16,100016.48106210593
17,100021.36565390667
18,100024.93764883434
19,100026.5718410862
20,100021.86526985533
21,100036.0
22,100036.0
23,100036.0
24,100036.0
25,100036.0
26,100036.0
27,100036.0
28,100036.0
29,100036.0
30,100036.0
31,100036.0
32,100036.0
33,100036.0
34,100036.0
35,100036.0
36,100036.0
37,100036.0
38,100036.0
39,100036.0
40,100036.0
41,100036.0
42,100036.0
43,100034.54773323884
44,100036.22875557859
45,100035.21156677135
46,100037.66407132454
47,100040.16583883343
48,100043.20037608531
49,100044.24858230911
50,100046.5669821496
51,100045.73255282611
52,100049.91321402852
53,100046.44595340661
54,100048.84128860384
55,100046.23400106023
56,100043.98310971457
57,100042.97960506167
58,100039.58654322883
59,100039.58654322883
60,100039.58654322883
61,100039.58654322883
62,100039.58654322883
63,100039.58654322883
64,100039.58654322883
65,100039.58654322883
66,100035.70579327545
67,100042.16448660851
68,100043.34916872054
69,100041.42075090807
70,100037.25169235819
71,100040.08269613115
72,100038.04776952362
73,100033.27669298941
74,100029.31104031081
75,100025.64652913871
76,100027.20064461422
77,100026.17633431648
78,100021.890116092
79,100023.85048654299
80,100021.69413990909
81,100016.58780396257
82,100019.20700738877
83,100015.21262326279
84,100012.10420237714
85,100000.28479224058
86,99992.95875785357
87,99937.03134364114
88,99914.50816045937
89,99918.12869977573
90,99904.65158739756
91,99884.74872865166
92,99860.98788707798
93,99799.81236564083
94,99817.80989374031
95,99823.08112097436
96,99815.30322582768
97,99828.80228641086
98,99827.4680184486
99,99817.02981795432
100,99814.34299185897
101,99805.2756396686
102,99808.4627019362
103,99810.42249374095
104,99802.26690656658
105,99802.98022322907
106,99807.45674254041
107,99838.16593936873
108,99829.83568106292
109,99811.41382100008
110,99811.53102145206
111,99800.65973991615
112,99791.9993440268
113,99802.1759950782
114,99808.83087373571
115,99815.81223194262
116,99810.39102530776
117,99827.1329331796
118,99818.2603713086
119,99797.010850835
120,99797.99852005998
121,99798.77310879475
122,99792.6651456956
123,99780.95711187573
124,99772.35890256723
125,99788.64904321948
126,99804.9163211582
127,99799.57376225795
128,99798.42239600403
129,99797.02228342676
130,99791.41908959212
131,99776.08186684025
132,99775.67399603069
133,99776.0562606011
134,99781.85698828072
135,99782.06000917696
136,99771.4425650085
137,99767.05018048298
138,99766.55817488758
139,99786.64718402183
140,99783.8414718161
141,99769.45167991336
142,99776.84548147253
143,99762.05239130293
144,99742.39961120655
145,99657.19805396933
146,99650.86581094163
147,99563.50437887793
148,99575.78562907374
149,99480.8524799183
150,99493.32373871804
151,99407.42431410968
152,99420.02857594086
153,99330.39207013845
154,99337.98163336629
155,99242.89183647574
156,99261.27503543523
157,99174.37699809273
158,99196.51422501795
159,99111.79773934066
160,99125.75838535113
161,99039.23029055123
162,99051.5567873342
163,98925.71008372938
164,98970.25219552204
165,98903.3250249273
166,98773.66506110448
167,98584.8853711801
168,98559.08678316949
169,98406.88558953773
170,98366.53803964329
171,98213.34899915515
172,98133.60488557757
173,98046.60868461414
174,98007.66908518928
175,97800.92336738252
176,97751.65218045384
177,97622.50138313022
178,97574.40303119276
179,97390.79906658959
180,97338.24004741413
181,97182.99189745908
182,97139.90993538128
183,96955.10034597416
184,96917.77824414108
185,96778.91121043861
186,96715.04384904263
187,96580.09142394472
188,96505.84333583967
189,96368.55423553922
190,96322.81472980267
191,96188.56308685572
192,96155.13842673329
193,96036.77647078208
194,95986.76019406211
195,95846.15236979358
196,95817.48883490979
197,95689.97678123122
198,95647.39091770974
199,95499.93315428178
200,95469.49401348532
201,95331.30373455149
202,95272.83306689617
203,95093.41508962431
204,95041.06230777563
205,94865.25810746306
206,94817.2323600469
207,94653.86805135773
208,94589.34838340445
209,94402.77012708032
210,94329.75423570935
211,94164.79529586852
212,94110.67569133072
213,93931.81803793188
214,93877.51388621055
215,93713.85627762452
216,93649.52746341197
217,93475.89252750645
218,93437.42821770669
219,93261.80791877421
220,93198.16099196795
221,93023.3787627192
222,92966.29889531061
223,92786.94420353678
224,92753.39180612109
225,92592.80987284446
226,92526.79951504972
227,92351.8757739887
228,92280.79182595343
229,92109.2339554649
230,92051.43225437526
231,91897.11439402192
232,91832.78077469573
233,91662.95145905548
234,91594.59231932403
235,91422.29746562471
236,91356.44644699314
237,91209.10488493826
238,91156.82650082577
239,90989.54252220229
240,90934.04384904263
241,90767.96278478995
242,90709.74733930161
243,90539.5564780196
244,90480.39393917864
245,90315.07965021148
246,90254.6051715729
247,90088.37367571339
248,90044.03768104556
249,89868.07934517448
250,89799.26736871469
251,89633.30448758726
252,89575.1510654652
253,89416.19350903232
254,89350.05226654958
255,89162.70206850783
256,89105.90588833834
257,88924.90022548157
258,88868.4666476266
259,88698.47805010641
260,88653.96423727069
261,88490.64995002103
262,88430.53851985685
263,88255.2619385804
264,88191.59035835139
265,88021.26706686895
266,87963.2385854056
267,87789.79191274993
268,87734.44123339518
269,87577.48458832975
270,87520.72259784829
271,87351.14613677391
272,87276.24604678442
273,87092.09629650794
274,87023.53986022586
275,86858.57852744347
276,86800.88866043826
277,86650.20745376505
278,86581.94773951035
279,86423.82344660161
280,86352.08149146117
281,86192.1808448439
282,86147.6490445373
283,85978.51485520837
284,85928.189104228
285,85759.36372417328
286,85708.81926716444
287,85526.84817847566
288,85471.17636843146
289,85308.19384980976
290,85253.11426272248
291,85079.60470499277
292,85018.60708037109
293,84850.09706062828
294,84798.78117276906
295,84643.64470780287
296,84621.96356795251
297,84491.72286243645
298,84466.52827276487
299,84336.2611373516
300,84310.44855815971
301,84182.25473703665
302,84155.2018735333
303,84012.19754350767
304,83955.97809782217
305,83794.84836428221
306,83779.58374645935
307,83637.40879579958
308,83603.89407823916
309,83474.14740374697
310,83407.31163456525
311,83259.76562131749
312,83207.24197320892
313,83043.51231283431
314,83020.80860699817
315,82884.94012802886
316,82849.98733334363
317,82726.8923889552
318,82708.72236377292
319,82588.64407155632
320,82581.92448781549
321,82449.3221666529
322,82423.78807058913
323,82305.07135141933
324,82295.07504610442
325,82170.13879611569
326,82152.09759493158
327,82015.82540384207
328,81995.24041534687
329,81872.07080001525
330,81843.35743082382
331,81705.98576055907
332,81691.08882104068
333,81565.00366879295
334,81535.15306335148
335,81417.54684826231
336,81395.78899502438
337,81258.91420316757
338,81230.15605982124
339,81099.33432923508
340,81079.07677025131
341,80965.43662374251
342,80942.63546217726
343,80808.10226240539
344,80798.47847329748
345,80682.38717320727
346,80727.77571884479
347,80615.90443232153
348,80648.85981344554
349,80523.12694960613
350,80569.90959384291
351,80454.73449636406
352,80499.199420103
353,80386.06972273749
354,80432.60138630179
355,80322.48043136693
356,80355.10070993872
357,80251.87114801179
358,80286.29914783478
359,80177.51141919939
360,80191.59685406464
361,80074.81595267817
362,80098.23763060407
363,79985.62248289344
364,79976.59076617204
365,79856.63167858167
366,79873.749811901
367,79765.36740907648
368,79802.42697971154
369,79695.70862511348
370,79728.3260870769
371,79618.25147345044
372,79646.07398800072
373,79545.58728922471
374,79566.74670080746
375,79513.86426220018
376,79533.86717247128
377,79434.05636505921
378,79436.80339505374
379,79382.58202149898
380,79382.9149378524
381,79380.18230101845
382,79377.71698735307
383,79389.07203397958
384,79394.89868896788
385,79389.0621331215
386,79383.73547146693
387,79379.03503908684
388,79363.68146454189
389,79297.7380733403
390,79280.18012063163
391,79209.59713943632
392,79203.97640992684
393,79125.5180325654
394,79123.35436637765
395,79036.79542324838
396,79044.6614540704
397,78962.54527812357
398,78974.81078029136
399,78904.45228205141
400,78909.85956115901
401,78839.49672719621
402,78827.00838184639
403,78762.05490443086
404,78761.57842379398
405,78766.74297885287
406,78773.4335095618
407,78761.33585183338
408,78773.51024150851
409,78751.93502873498
410,78681.0670591762
411,78668.54235519317
412,78607.3462209448
413,78607.75226328784
414,78598.11370937676
415,78587.70297090706
416,78505.3670639197
417,78500.21983323939
418,78441.52383850406
419,78432.83235447893
420,78350.57652707165
421,78352.97100350901
422,78271.9837927234
423,78270.18484065618
424,78208.73488755204
425,78223.21809520702
426,78212.8299600311
427,78221.90177768502
428,78222.7871652939
429,78227.13485185997
430,78225.17337777263
431,78222.89118285914
432,78226.38443942505
433,78219.25180638018
434,78218.0469362495
435,78214.69979959668
436,78230.32224725188
437,78241.17226994963
438,78237.01032903578
439,78235.86861242686
440,78232.80876238279
441,78229.85788312137
442,78229.20405842556
443,78234.53248203531
444,78237.83999294898
445,78236.66855703572
446,78233.1257682959
447,78230.32472386057
448,78233.86008277429
449,78238.51858373173
450,78240.97166464524
451,78224.96038942476
452,78204.40949046427
453,78190.53990161662
454,78160.44459528472
455,78138.07038543113
456,78127.75059886358
457,78136.48825787375
458,78129.58690835614
459,78128.64705515199
460,78132.7226454977
461,78119.01046002969
462,78107.71982246102
463,78113.93798053337
464,78111.94668205596
465,78105.77192089937
466,78085.76098308686
467,78074.8923299825
468,78059.98832868985
469,78023.2877184316
470,78001.51540477331
471,78003.77712448922
472,78030.8212761742
473,78039.34883921861
474,78027.8756487399
475,78042.89324063042
476,78010.54241909752
477,78015.27207136841
478,78010.79119880698
479,78021.31656697062
480,78001.6412135237
481,77985.44406858638
482,77952.22377975503
483,77957.14556639583
484,77943.50064396288
485,77925.16956743547
486,77952.60230593389
487,77969.48362719623
488,77947.68335823945
489,77925.60108727938
490,77944.86144557592
491,77931.36036309095
492,77904.9117121434
493,77919.71870308397
494,77966.14452524394
495,77958.79805772574
496,77937.86119557843
497,77924.51665478725
498,77929.70619842825
499,77930.30816014486
500,77935.08076609165
501,77928.9255491284
502,77949.37450546332
503,77946.73094306157
504,77947.87530396703
505,77963.04220464976
506,77969.62829947329
507,77968.70064478581
508,77947.1567517706
509,77956.84516718831
510,77944.48404174887
511,77937.97778605828
512,77945.54095979442
513,77993.29616688225
514,77989.10524604688
515,78002.0734023542
516,78017.70286309284
517,78003.504170308
518,77993.29616688225
519,77998.29941921309
520,77979.10254324868
521,77967.89958047945
522,77971.68484226818
523,77964.14933236226
524,77966.73939774121
525,77966.33342841436
526,77972.84123974465
527,77966.00694958509
528,77960.5921325963
529,77958.43547969217
530,77966.33437472982
531,77950.83278138949
532,77939.51106337937
533,77950.70124354232
534,77962.81124231995
535,77959.03733631657
536,77949.73978704798
537,77947.83769299914
538,77953.51369305135
539,77940.45548619566
540,77934.33282525238
541,77929.57285855305
542,77924.10694053011
543,77929.69304061483
544,77931.5856715092
545,77939.20351085904
546,77948.60420851136
547,77953.20614053104
548,77943.67011976974
549,77954.04079075543
550,77954.98048199448
551,77958.95216792633
552,77957.11820858967
553,77958.81305955558
554,77961.79206058332
555,77962.2207414809
556,77962.75919497035
557,77953.70390245624
558,77942.75503273231
559,77943.10516944776
560,77954.39471273268
561,77959.57200454423
562,77955.08552300913
563,77957.13429595227
564,77958.43453337671
565,77959.75748237188
566,77964.8439279005
567,77966.00789590055
568,77970.8426215202
569,77969.03515901609
570,77966.00221800785
571,77966.93907030056
572,77971.392430795
573,77971.392430795
574,77983.03873500352
575,77981.65806076607
576,77978.39989668141
577,77985.76412349139
578,78001.18717264962
579,78002.15525335209
580,77985.22567000196
581,77971.12273089257
582,77966.57663148429
583,77951.61443794885
584,77941.40085532739
585,77952.6222639001
586,77950.2555289667
587,77954.98048199448
588,77949.92526487562
589,77954.26979909364
590,77958.0550608824
591,77968.09262883068
592,77968.05477621278
593,77976.93121510737
594,77982.22963529617
595,77970.14518703562
596,77979.41340052534
597,77981.1451577937
598,77993.12077977782
599,77999.7648605325
600,77999.9096467959
601,78002.93312464966
602,78007.15085259777
603,78005.29796695219
604,78004.88253447086
605,78003.77345276678
606,78008.7217362401
607,78000.32886453903
608,77998.1807284739
609,78003.56620968385
610,78008.7217362401
611,78011.61840782393
612,78011.16323009384
613,78018.01550024691
614,78016.29131350212
615,78013.47318610041
616,77996.84926263972
617,78001.77388822686
618,77996.58334799907
619,78003.6154180871
620,77993.17377344286
621,77996.02123662343
622,77997.14829832104
623,77993.63841432743
624,77987.5290018004
625,77985.30989207675
626,77983.73711580354
627,77983.56110113036
628,77992.2842369225
629,77989.04026756957
630,77993.54756804451
631,77990.27804817448
632,77997.98862643813
633,77996.2351039145
634,77991.13162470784
635,77989.22858434354
636,77984.93231221334
637,77987.5290018004
638,77978.52575663588
639,77976.38045951712
640,77981.26912511727
641,77975.41616407644
642,77978.7528723432
643,77982.5334025547
644,77997.1274793812
645,78012.98772627601
646,78006.38812234733
647,78004.26932206108
648,78004.51441776191
649,78016.80894805174
650,78014.21320478011
651,78012.91107472479
652,78006.50262651645
653,78009.8506905686
654,78004.74815767737
655,77996.17643235678
656,77993.41508388189
657,77990.81555534847
658,77997.14072779746
659,77990.05282509803
660,77987.96052164432
661,77990.88463637613
662,77987.5290018004
663,77992.10349067209
664,77991.60572874687
665,77984.17525985558
666,77975.96218808947
667,77979.51654890909
668,77978.31094302937
669,77978.20590201474
670,77974.57962122113
671,77965.0407615135
672,77970.81612468768
673,77979.48910576112
674,77975.82591866507
675,77973.07024808286
676,77980.30672230749
677,77977.51603805374
678,77980.7704168766
679,77975.9347449415
680,77981.1432651628
681,77984.78468700357
682,77989.04216020045
683,77998.12584217798
684,77995.72030831123
685,77999.45163011947
686,77997.31674247063
687,77992.13093382005
688,77989.04216020045
689,77987.5290018004
690,77986.8249431077
691,77985.80860031742
692,77986.6744789516
693,77985.4092551987
694,77992.87000618431
695,77995.142109573
696,77995.68624095512
697,77999.33901858126
698,77993.44725860709
699,77995.44493051611
700,77995.3408358169
701,78001.99627235696
702,77997.51736134544
703,78000.72253176504
704,77998.2327758235
705,77998.2327758235
706,77997.15586884461
707,77995.67867043156
708,77997.4227298007
709,77982.22963529617
710,77983.03873500352
711,77965.24895091189
712,77975.495654574
713,77969.03421270063
714,77965.04549309073
715,77961.76840269714
716,77962.2207414809
717,77968.08789725344
718,77966.77535772821
719,77966.5066041412
720,77967.04695026155
721,77971.94886427795
722,77971.68389595274
723,77972.4409483105
724,77976.1732164342
725,77978.70934183264
726,77983.01696974822
727,77984.93325852878
728,77984.93325852878
729,77983.056714997
730,77977.38166126025
731,77979.39920579364
732,77974.09510771217
733,77979.14464693834
734,77968.89510432989
735,77971.54384126655
736,77975.36790198863
737,77975.12091365694
738,77976.9652824635
739,77976.59432680819
740,77976.41452687321
741,77984.17715248646
742,77997.73596021373
743,78003.85862115701
744,77997.99335801537
745,77999.9172173195
746,78000.21057510813
747,78006.44774022052
748,78006.69756749856
749,77998.74757142678
750,78001.68304194394
751,78007.75270922219
752,78003.71667383992
753,78006.46098863678
754,78004.22011365785
755,78006.10706665952
756,77998.45421363814
757,77995.90673245433
758,78000.37144873415
759,77994.72856972257
760,77998.12489586252
761,77991.40794881842
762,77998.12489586252
763,77995.46480314051
764,78000.94302326425
765,78007.07893262379
766,78003.32963082205
767,78000.83798224959
768,78002.43347009356
769,78007.60697664332
770,78008.13502066286
771,78008.7217362401
772,78007.83977024331
773,78002.69370684153
774,78006.59063385303
775,78006.73352748556
776,78007.26441045145
777,78008.7217362401
778,78006.03798563188
779,77998.35958209343
780,77997.42367611617
781,78001.68114931305
782,78000.07335936828
783,77999.7610752707
784,78002.93312464966
785,78004.96675654568
786,78008.72268255554
787,78011.40548684832
788,78006.42786759612
789,78011.41589631823
790,78010.29261988243
791,78005.48155214894
792,78005.48155214894
793,78009.19016238645
794,78006.82153482214
795,78006.47518336849
796,78006.06069720261
797,78006.06164351806
798,78001.96599026266
799,77999.9333046821
800,78003.11481721555
801,78004.2371473359
802,78004.23809365135
803,78000.07241305284
804,77998.24223897798
805,78000.45188554715
806,78003.66084122856
807,78001.30356944962
808,77998.74851774223
809,78003.29177820415
810,78004.99230706276
811,78003.29556346593
812,78001.54014831141
813,78001.53920199595
814,78001.96599026266
815,78000.61086654227
816,77998.32740736823
817,78001.9650439472
818,77998.13341270156
819,78000.6212760122
820,77998.8204377162
821,77998.82138403165
822,77999.31536069508
823,78001.68398825939
824,78001.77578085777
825,78001.7947071667
826,78005.40963217495
827,78002.97097726757
828,78007.21236310185
829,78004.65731139445
830,78001.1445884545
831,77999.3276627959
832,77991.6284403176
833,77990.61020489644
834,77993.9166310689
835,77999.33617963492
836,78001.68304194394
837,77998.12584217798
838,77997.68012760235
839,78000.88813696831
840,78000.88719065285
841,78002.2479922659
842,77996.28715126408
843,77997.74636968365
844,77991.55652034363
845,77992.51229894528
846,77990.80798482489
847,77991.74294448672
848,77991.74294448672
849,77992.44794949488
850,77986.18428754996
851,77988.54723722156
852,77982.23815213519
853,77986.1170991532
854,77984.52350394015
855,77978.51723979687
856,77967.86078154611
857,77969.77423138032
858,77973.80174992354
859,77979.62064360829
860,77979.4427363042
861,77977.01922244397
862,77976.85456355616
863,77982.87975400838
864,77982.99709712384
865,77979.07935117249
866,77986.48710849306
867,77979.30741319527
868,77975.65652820002
869,77975.61110505855
870,77975.50417141302
871,77970.53696163076
872,77970.71486893483
873,77962.91344438824
874,77967.9024194258
875,77963.7348461964
876,77969.67108299659
877,77976.15996801792
878,77976.0710143659
879,77971.74635277226
880,77970.70729841125
881,77965.20258145497
882,77967.03180921437
883,77966.33342841436
884,77966.33437472982
885,77969.57077355919
886,77962.60873081425
887,77965.24989722733
888,77965.79024334767
889,77960.07449804668
890,77962.00498155894
891,77959.87293285644
892,77959.28053938651
893,77956.5428487978
894,77961.79300689878
895,77956.5428487978
896,77964.11242605982
897,77964.19854076552
898,77976.93121510737
899,77978.3090503985
900,77972.42296831698
901,77976.93026879193
902,77977.90118844075
903,77977.3589496895
904,77981.03727783271
905,77978.96295437249
906,77974.32600868128
907,77977.45547386512
908,77983.96044624908
909,77987.52805548496
910,77979.67552990423
911,77982.09241955633
912,77986.93376938412
913,77983.69737055476
914,77986.71233156948
915,77993.07062505912
916,77989.19451698745
917,77986.8930778199
918,77988.90589077605
919,77988.90683709149
920,77987.21955664917
921,77990.0121335338
922,77992.21515589487
923,77998.12489586252
924,78002.17607229191
925,78003.85862115701
926,78008.418915297
927,78000.54178551464
928,78004.468048305
929,78005.767339414
930,78003.08074985942
931,78005.61403631154
932,78008.02146280918
933,78008.7198436092
934,78009.47878859786
935,78009.47973491329
936,78009.47878859786
937,78014.62390568419
938,78044.20572656317
939,78037.65819742763
940,78042.30218499732
941,78037.90774575806
942,78044.31051475978
943,78045.04344512065
944,78043.90256295513
945,78041.14370244576
946,78035.76552734476
947,78035.27963097344
948,78034.69504672334
949,78037.90208849113
950,78033.5497644613
951,78032.87466394021
952,78035.31797467158
953,78038.6010752504
954,78039.5791538452
955,78036.14330705909
956,78037.3294473601
957,78038.40181373719
958,78029.19304033497
959,78028.23759080791
960,78031.40251736628
961,78029.923456355
962,78028.05781543638
963,78028.0961591345
964,78026.58881178852
965,78031.4157176558
966,78033.23987195022
967,78032.874035355
968,78034.58252996983
969,78030.15729005504
970,78027.84472504843
971,78029.36778702478
972,78032.07950364302
973,78032.87340676978
974,78032.1323048011
975,78033.24992931366
976,78034.50835691442
977,78029.07675207016
978,78027.97107067668
979,78028.60091306228
